"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.104166731E-4,-9.494306488E0,-1.166075134E-1,1.695224762E0
1.006441662E-2,-9.173074493E0,1.122665405E-2,1.472487946E0
2.001941664E-2,-9.117989044E0,1.410067749E-1,1.005758514E0
2.997341665E-2,-8.834628296E0,1.811233521E-2,1.018032990E0
3.992841666E-2,-9.060209198E0,3.517684937E-2,1.831890564E0
4.988341662E-2,-9.357940063E0,1.492396545E-1,2.379601593E0
5.983741663E-2,-9.616003418E0,1.246907043E-1,2.444865875E0
6.979241665E-2,-9.678573303E0,1.279838562E-1,2.423011322E0
7.974641665E-2,-9.690698090E0,1.216969299E-1,2.304906921E0
8.970141667E-2,-9.667795715E0,8.562194824E-2,2.264790344E0
9.965641663E-2,-9.593250732E0,1.035845947E-1,2.252366180E0
1.096104166E-1,-9.550739136E0,1.414558411E-1,2.233355713E0
1.195654167E-1,-9.497899017E0,1.878593445E-1,2.245779877E0
1.295194167E-1,-9.491013336E0,2.287243652E-1,2.254761200E0
1.394744166E-1,-9.524244232E0,2.430944824E-1,2.259700928E0
1.494284166E-1,-9.551936646E0,2.456391907E-1,2.258952484E0
1.593834166E-1,-9.541907501E0,2.634521484E-1,2.221829681E0
1.693384167E-1,-9.538165283E0,2.668949890E-1,2.219734039E0
1.792924167E-1,-9.486522675E0,2.698887634E-1,2.222727814E0
1.892474166E-1,-9.451645203E0,2.546205139E-1,2.221081238E0
1.992010417E-1,-9.435478821E0,2.519261169E-1,2.246079254E0
2.091560417E-1,-9.453591156E0,2.418969727E-1,2.285148010E0
2.191100416E-1,-9.496252441E0,1.913021851E-1,2.315834198E0
2.290650416E-1,-9.530082092E0,1.339714050E-1,2.296674042E0
2.390200417E-1,-9.536069641E0,7.783813477E-2,2.269730072E0
2.489740417E-1,-9.534423065E0,4.131408691E-2,2.264041901E0
2.589290416E-1,-9.510023804E0,4.206253052E-2,2.265538788E0
2.688830416E-1,-9.472901001E0,5.014572144E-2,2.270777893E0
2.788380416E-1,-9.481882324E0,3.203338623E-2,2.267933807E0
2.887930417E-1,-9.495653687E0,1.541793823E-2,2.261796570E0
2.987470417E-1,-9.521250458E0,-2.993774414E-3,2.211650848E0
3.087020416E-1,-9.541159058E0,-4.191284180E-3,2.198627930E0
3.186560416E-1,-9.553134155E0,2.948867798E-2,2.187700653E0
3.286110417E-1,-9.586365051E0,9.145980835E-2,2.147135010E0
3.385650417E-1,-9.617051239E0,1.553768921E-1,2.113754425E0
3.485200416E-1,-9.635163574E0,1.803749084E-1,2.092049561E0
3.584750416E-1,-9.646839294E0,1.953437805E-1,2.061063995E0
3.684290416E-1,-9.619595947E0,1.769320679E-1,2.058968353E0
3.783840417E-1,-9.554631042E0,1.463955688E-1,2.110012207E0
3.883380417E-1,-9.485474854E0,1.127156067E-1,2.173629913E0
3.982930416E-1,-9.453441467E0,5.673202515E-2,2.207160187E0
4.082470416E-1,-9.448052673E0,-5.493576050E-2,2.235002289E0
4.182020416E-1,-9.465117188E0,-2.026785278E-1,2.271975403E0
4.281570417E-1,-9.523046722E0,-3.394940186E-1,2.257455597E0
4.381110417E-1,-9.576485596E0,-4.393363953E-1,2.228565674E0
4.480660416E-1,-9.596992950E0,-4.854405212E-1,2.226619720E0
4.580200416E-1,-9.583371277E0,-5.179229736E-1,2.224224701E0
4.679750417E-1,-9.533225555E0,-4.788542175E-1,2.237846375E0
4.779290417E-1,-9.500743103E0,-4.385879517E-1,2.290686493E0
4.878840416E-1,-9.467811584E0,-4.629872131E-1,2.311343536E0
4.978390416E-1,-9.423354034E0,-4.917274475E-1,2.290237427E0
5.077930416E-1,-9.381740570E0,-4.465214539E-1,2.240540771E0
5.177480417E-1,-9.378597107E0,-3.242257690E-1,2.197879486E0
5.277020417E-1,-9.398356018E0,-1.136137390E-1,2.201172638E0
