"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.575416646E-3,1.387251168E-1,-4.675384462E-1,1.028412115E-2
1.753041666E-2,6.076431274E-2,-2.154466510E-1,1.521319617E-2
2.748441667E-2,-1.114769466E-2,3.281481564E-2,-2.176985517E-2
3.743941663E-2,1.086276583E-2,1.086172611E-1,-1.749584451E-2
4.739341664E-2,1.368412003E-2,5.609919503E-2,-1.195806824E-2
5.734841665E-2,1.164467074E-2,1.701530069E-2,-9.176008403E-3
6.730241666E-2,1.614647917E-2,7.992244326E-3,-9.365625679E-3
7.725741662E-2,1.431412157E-2,6.386603229E-3,-9.524978697E-3
8.721241663E-2,1.335724723E-2,-1.697155647E-3,-1.048664562E-2
9.716641664E-2,6.003296934E-3,-7.488443982E-3,-1.073688734E-2
1.071214167E-1,1.091895509E-3,-6.325707771E-3,-9.613299742E-3
1.170754167E-1,-6.409330294E-3,-9.615431773E-4,-1.007632539E-2
1.270304166E-1,-1.341690589E-2,7.682012394E-3,-8.757794276E-3
1.369854166E-1,-1.180909202E-2,4.789395258E-3,-6.667769514E-3
1.469394166E-1,-1.673380844E-2,5.683152005E-3,-5.811030045E-3
1.568944167E-1,-2.487855591E-2,-7.666472811E-4,-5.863453262E-4
1.668484167E-1,-3.157134354E-2,1.913025393E-3,-2.881723922E-3
1.768034166E-1,-4.389841855E-2,8.887161501E-3,-2.577542327E-3
1.867574166E-1,-5.414573103E-2,1.893793046E-2,-5.419738591E-5
1.967124167E-1,-6.140161678E-2,3.162427992E-2,2.933385782E-3
2.066670416E-1,-6.396649778E-2,4.324391857E-2,3.595713992E-3
2.166210416E-1,-6.396943331E-2,4.750086740E-2,4.534914158E-3
2.265760417E-1,-6.412017345E-2,4.471893236E-2,7.268915419E-3
2.365300417E-1,-6.585589796E-2,4.743892327E-2,8.569441736E-3
2.464850416E-1,-6.989990920E-2,5.273435265E-2,8.752666414E-3
2.564390416E-1,-6.927777827E-2,5.876410380E-2,7.723176852E-3
2.663940417E-1,-6.928336620E-2,6.031912565E-2,4.125512671E-3
2.763490417E-1,-6.627503037E-2,6.411922723E-2,4.091133364E-3
2.863030416E-1,-6.199879199E-2,5.968214199E-2,-5.313153379E-4
2.962580416E-1,-5.844753236E-2,5.991667509E-2,-1.560576726E-3
3.062120416E-1,-5.454387143E-2,6.305334717E-2,-3.515337128E-3
3.161670417E-1,-5.994546041E-2,6.315641850E-2,-1.114426181E-3
3.261220416E-1,-6.782709062E-2,6.136171892E-2,3.684221301E-4
3.360760416E-1,-7.875339687E-2,5.506947637E-2,3.557112068E-4
3.460310416E-1,-8.138593286E-2,4.691194743E-2,6.565404125E-3
3.559850416E-1,-8.021534234E-2,4.261687025E-2,8.831027895E-3
3.659400417E-1,-7.685789466E-2,3.963439912E-2,7.980147377E-3
3.758940417E-1,-8.075630665E-2,3.553212434E-2,7.718556561E-3
3.858490416E-1,-7.836292684E-2,3.493158147E-2,5.761399399E-3
3.958040416E-1,-7.066524774E-2,3.828577325E-2,7.330336142E-3
4.057580417E-1,-5.533103272E-2,4.270022735E-2,4.709253088E-3
4.157130417E-1,-3.068811074E-2,4.907860607E-2,-3.594723530E-3
4.256670416E-1,-3.762752749E-3,5.141126737E-2,-9.952221066E-3
4.356220416E-1,2.772543393E-2,5.746630207E-2,-1.159057394E-2
4.455760416E-1,5.354398489E-2,5.077271163E-2,-1.897791587E-2
4.555310417E-1,8.351872116E-2,5.354437605E-2,-2.532771416E-2
