"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.276666685E-3,9.464219055E0,2.773731995E-1,-2.338137817E-1
1.323166670E-2,8.981173553E0,1.525328064E-1,-6.264472961E-1
2.318566671E-2,9.033115540E0,2.282752991E-1,1.574725342E0
3.313966672E-2,9.290580139E0,2.953358459E-1,2.777623901E0
4.309466667E-2,9.327702942E0,3.165916443E-1,2.610870667E0
5.304866668E-2,9.429191895E0,3.577560425E-1,2.468666382E0
6.300266669E-2,9.666149139E0,3.299139404E-1,2.505789185E0
7.295666670E-2,9.582622833E0,2.668949890E-1,2.312541046E0
8.291166672E-2,9.527687073E0,2.356100464E-1,2.208806763E0
9.286566667E-2,9.457183685E0,2.406994629E-1,2.199226685E0
1.028196667E-1,9.530980225E0,2.749781799E-1,2.261796570E0
1.127746667E-1,9.539213104E0,2.899470520E-1,2.343077545E0
1.227286667E-1,9.432485046E0,2.990780640E-1,2.323767700E0
1.326826667E-1,9.407037964E0,3.288661194E-1,2.316133575E0
1.426376667E-1,9.411828003E0,3.450325012E-1,2.328857117E0
1.525916667E-1,9.470805359E0,3.463796997E-1,2.322270813E0
1.625456667E-1,9.540709991E0,3.376977539E-1,2.292632446E0
1.724996667E-1,9.568402405E0,3.656895447E-1,2.230811005E0
1.824546667E-1,9.537865906E0,4.577481079E-1,2.195035400E0
1.924086667E-1,9.490414581E0,5.560935974E-1,2.183659058E0
2.023626667E-1,9.484277344E0,6.015989685E-1,2.214644623E0
2.123176667E-1,9.499844971E0,5.462141418E-1,2.235601044E0
2.222716667E-1,9.495953064E0,4.614903259E-1,2.291135559E0
2.322256667E-1,9.479636993E0,4.317022705E-1,2.349364471E0
2.421806667E-1,9.491312714E0,4.132905579E-1,2.264041901E0
2.521346667E-1,9.457782440E0,3.707789612E-1,2.176324310E0
2.620886667E-1,9.428892517E0,3.183879089E-1,2.164947968E0
2.720426667E-1,9.391620026E0,2.658471680E-1,2.104773102E0
2.819976667E-1,9.401649170E0,2.085163879E-1,2.163151703E0
2.919516667E-1,9.447902985E0,1.751358032E-1,2.338137817E0
3.019056667E-1,9.490414581E0,1.697470093E-1,2.392325134E0
3.118606667E-1,9.494007111E0,1.821711731E-1,2.354154510E0
3.218146667E-1,9.483528900E0,2.062710571E-1,2.273023224E0
3.317686667E-1,9.454788666E0,2.031275940E-1,2.191891937E0
3.417236667E-1,9.482630768E0,1.933978271E-1,2.070644073E0
3.516776667E-1,9.483828278E0,1.648072815E-1,2.017953644E0
3.616316667E-1,9.518705750E0,1.517843628E-1,2.085163879E0
3.715866667E-1,9.592651978E0,1.507365417E-1,2.137554932E0
3.815406667E-1,9.558223572E0,1.544787598E-1,2.032772827E0
3.914946667E-1,9.505832520E0,1.387614441E-1,1.933678894E0
4.014486667E-1,9.483828278E0,1.137634277E-1,1.971400452E0
4.114036667E-1,9.451944580E0,6.137237549E-2,2.031425629E0
4.213576667E-1,9.453890533E0,1.541793823E-2,2.045945435E0
4.313116667E-1,9.486522675E0,1.856140137E-2,2.029779053E0
4.412666667E-1,9.498497772E0,6.017486572E-2,2.017205200E0
4.512206667E-1,9.560468903E0,1.372645569E-1,2.054477692E0
4.611746667E-1,9.620793457E0,2.213896179E-1,2.039508820E0
4.711286667E-1,9.620643768E0,2.285746765E-1,2.003882904E0
4.810836667E-1,9.595496063E0,2.203417969E-1,1.925895081E0
4.910376667E-1,9.531578979E0,1.721420288E-1,1.912722473E0
5.009916667E-1,9.462722168E0,9.415420532E-2,1.896256714E0
5.109466667E-1,9.431886292E0,3.293151855E-3,1.916165314E0
5.209006667E-1,9.407487030E0,-5.688171387E-2,2.003733215E0
5.308546667E-1,9.443412323E0,-5.583389282E-2,2.013762360E0
5.408096667E-1,9.495803375E0,-1.062789917E-2,2.008074188E0
5.507636667E-1,9.534123688E0,5.987548828E-2,1.996099091E0
5.607176667E-1,9.561217346E0,1.607656860E-1,1.971699829E0
5.706726667E-1,9.522148590E0,2.359094238E-1,1.860032043E0
5.806266667E-1,9.459129639E0,2.850073242E-1,1.815873871E0
5.905806667E-1,9.495054932E0,3.382965088E-1,1.896107025E0
6.005346667E-1,9.572444000E0,3.495231628E-1,2.005529480E0
6.104896667E-1,9.764494629E0,3.412902832E-1,2.060614929E0
6.204436667E-1,9.956096191E0,3.733236694E-1,2.004930725E0
6.303976667E-1,1.000414627E1,4.032614136E-1,1.924098816E0
6.403526667E-1,9.910890198E0,4.213737488E-1,1.856888580E0
6.503066667E-1,9.734407196E0,4.076023865E-1,1.804198151E0
6.602606667E-1,9.594298553E0,3.034190369E-1,1.750310211E0
6.702156667E-1,9.412277069E0,2.829116821E-1,1.685045929E0
6.801696667E-1,9.122330017E0,3.899391174E-1,1.597627716E0
6.901236667E-1,9.548493805E0,-3.147953796E-1,1.566492462E0
7.000776667E-1,9.707912292E0,-3.637435913E-1,1.951192474E0
7.100326667E-1,9.655072174E0,-2.421963501E-1,2.066602478E0
7.199866667E-1,9.530680847E0,-7.943980408E-1,1.616189117E0
7.299406667E-1,9.793384552E0,3.038681030E-1,1.415606232E0
7.398956667E-1,9.877210236E0,9.280700684E-1,1.192570038E0
7.498496667E-1,9.735455017E0,7.191046143E-1,1.307231598E0
7.598036667E-1,9.388326874E0,3.382965088E-2,1.118474121E0
7.697586667E-1,9.466763763E0,1.237925720E-1,7.879614258E-1
7.797126667E-1,9.869276733E0,9.901908875E-1,5.463638306E-1
7.896666667E-1,1.032507889E1,1.437011719E0,4.418811035E-1
7.996206667E-1,1.037447617E1,1.346300354E0,9.104067993E-1
8.095756667E-1,1.011656250E1,6.258485413E-1,1.707798615E0
8.195296667E-1,9.905651093E0,2.914439392E-1,1.994452515E0
8.294836667E-1,9.869426422E0,1.459465027E-1,1.567091217E0
8.394386667E-1,9.705217896E0,2.523751831E-1,1.202299805E0
8.493926667E-1,9.221573639E0,4.309538269E-1,1.197659454E0
8.593466667E-1,9.120683441E0,4.842430115E-1,1.393751678E0
8.693016667E-1,9.572593689E0,3.601510620E-1,1.593137054E0
8.792556667E-1,9.748777313E0,1.074765015E-1,1.760489044E0
8.892096667E-1,9.729018402E0,3.266207886E-1,1.645677795E0
8.991641667E-1,9.756112061E0,6.360273743E-1,1.356179810E0
9.091191667E-1,9.630074158E0,6.821315002E-1,1.305585022E0
9.190731667E-1,9.589807892E0,4.572990417E-1,1.530866547E0
9.290271667E-1,9.620194702E0,2.636018372E-1,1.888772278E0
9.389821667E-1,9.646240540E0,2.293231201E-1,1.812880096E0
9.489361667E-1,9.588460693E0,2.088157654E-1,1.505718842E0
9.588901667E-1,9.661508789E0,7.768844604E-2,1.436113586E0
9.688451667E-1,9.785900116E0,-9.505233765E-2,1.483564911E0
9.787991667E-1,9.808503113E0,-4.108955383E-1,1.572929077E0
9.887531667E-1,9.671238556E0,-4.122427368E-1,1.610201569E0
9.987071667E-1,9.618099060E0,-3.170407104E-1,1.559457092E0
1.008662167E0,9.727970581E0,-2.772235107E-1,1.498234406E0
1.018616167E0,9.780361633E0,-3.391946411E-1,1.628014526E0
1.028570167E0,9.755513306E0,-3.285667419E-1,1.733545074E0
1.038525167E0,9.656419373E0,-3.035687256E-1,1.733844452E0
1.048479167E0,9.539063416E0,-3.198847961E-1,1.795067139E0
1.058433167E0,9.540111237E0,-3.338058472E-1,1.798659668E0
1.068388167E0,9.572444000E0,-3.144960022E-1,1.745520172E0
1.078342167E0,9.560319214E0,-2.941383362E-1,1.749412079E0
1.088296167E0,9.497599640E0,-1.745370483E-1,1.783241730E0
1.098250167E0,9.486672363E0,-3.906875610E-2,1.832189941E0
1.108205167E0,9.472901001E0,8.083190918E-3,1.861678619E0
1.118159167E0,9.508526917E0,5.149291992E-2,1.883233795E0
1.128113167E0,9.566456451E0,1.526824951E-2,1.863774261E0
1.138068167E0,9.573342133E0,-1.082249451E-1,1.845961304E0
1.148022167E0,9.601483612E0,-3.158432007E-2,1.813927917E0
1.157976167E0,9.602830811E0,5.224136353E-2,1.810634766E0
1.167931167E0,9.618847504E0,1.549278259E-1,1.844614105E0
1.177885167E0,9.639205170E0,2.079176331E-1,1.832189941E0
1.187839167E0,9.655072174E0,2.207908630E-1,1.769021301E0
1.197794167E0,9.608069916E0,2.556683350E-1,1.701362000E0
1.207748167E0,9.558972015E0,2.555186462E-1,1.681603088E0
1.217702167E0,9.521699524E0,2.270777893E-1,1.710043945E0
1.227656167E0,9.500593414E0,2.140548706E-1,1.714833984E0
1.237611167E0,9.488768005E0,2.293231201E-1,1.710642700E0
1.247565167E0,9.494456177E0,2.032772827E-1,1.722617798E0
1.257519167E0,9.533674622E0,1.487905884E-1,1.714085541E0
