"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.520666669E-3,-9.708640166E-3,1.165155992E-1,1.046762615E-2
1.447566669E-2,-1.223888397E-1,6.796557922E-3,3.970886767E-2
2.442966669E-2,-9.415304288E-3,-1.031903103E-1,1.100112684E-2
3.438366670E-2,4.860618711E-2,-1.256900132E-1,-6.773672067E-4
4.433866672E-2,3.284917772E-2,-9.892196208E-2,1.580249146E-2
5.429266667E-2,5.152299628E-2,-4.249383882E-2,1.763847470E-2
6.424666668E-2,7.173042744E-2,-3.407923505E-2,1.071376260E-2
7.420066668E-2,7.248064131E-2,-4.744244739E-2,9.237162303E-4
8.415566670E-2,5.572362989E-2,-6.868488342E-2,8.276909590E-3
9.410966671E-2,4.106771946E-2,-5.650438368E-2,2.517679706E-2
1.040636667E-1,4.403672367E-2,-3.728710115E-2,1.811656915E-2
1.140186667E-1,4.647937417E-2,-3.244973347E-2,1.502384059E-2
1.239726667E-1,4.602646828E-2,-4.038435593E-2,1.414055936E-2
1.339266667E-1,5.085131899E-2,-5.689302459E-2,1.509823278E-2
1.438816667E-1,5.283207819E-2,-6.916940212E-2,1.466218289E-2
1.538356667E-1,4.814011976E-2,-6.996568292E-2,1.325283851E-2
1.637896667E-1,3.074012510E-2,-4.983858019E-2,9.166868404E-3
1.737436667E-1,1.661045849E-2,-3.044836968E-2,8.202804253E-3
1.836986667E-1,-6.785132922E-3,-3.146871924E-2,1.710008131E-3
1.936526667E-1,-2.602487430E-2,-4.684421048E-2,-6.301114336E-4
2.036066667E-1,-3.018477745E-2,-5.583415553E-2,1.213485841E-3
2.135616667E-1,-3.477793187E-2,-7.323817909E-2,1.117079519E-3
2.235156667E-1,-3.526580706E-2,-7.931240648E-2,2.238261513E-3
2.334696667E-1,-3.713534772E-2,-6.356806308E-2,1.146897906E-3
2.434246667E-1,-3.043599054E-2,-4.640681669E-2,2.933802549E-3
2.533786667E-1,-1.248522103E-2,-3.892386705E-2,2.131392015E-3
2.633326667E-1,7.947994396E-3,-6.795898825E-2,5.511147901E-3
2.732866667E-1,5.692030303E-3,-1.089431792E-1,7.279752754E-3
2.832416667E-1,1.020829659E-2,-1.331000030E-1,1.069361903E-2
2.931956667E-1,2.065241523E-2,-1.201682240E-1,1.046512090E-2
3.031496667E-1,2.408497781E-2,-8.621621132E-2,1.307554170E-2
3.131046667E-1,2.593853697E-2,-7.372278720E-2,1.448009256E-2
3.230586667E-1,3.100910224E-2,-8.120475709E-2,2.139462903E-2
3.330126667E-1,3.359716013E-2,-1.082510203E-1,2.611002140E-2
3.429676667E-1,3.449417651E-2,-1.496780068E-1,3.439056501E-2
3.529216667E-1,4.456891119E-2,-1.627179086E-1,4.139920697E-2
3.628756667E-1,8.365616202E-2,-1.202844307E-1,4.337219149E-2
3.728306667E-1,1.077524424E-1,-9.588534385E-2,4.292105138E-2
3.827846667E-1,1.067097709E-1,-9.644505382E-2,5.058099702E-2
3.927386667E-1,1.077116504E-1,-1.024560705E-1,5.561490357E-2
4.026926667E-1,1.176007539E-1,-1.127941087E-1,5.994001031E-2
4.126476667E-1,1.374684721E-1,-1.192972809E-1,6.415872276E-2
4.226016667E-1,1.414266229E-1,-1.160711274E-1,6.501551718E-2
4.325556667E-1,1.438245326E-1,-1.127640158E-1,6.690875441E-2
4.425106667E-1,1.401870698E-1,-1.111884043E-1,6.345562637E-2
4.524646667E-1,1.351723373E-1,-9.513113648E-2,6.091390550E-2
4.624186667E-1,1.340230852E-1,-9.345858544E-2,5.899528414E-2
4.723726667E-1,1.353661120E-1,-1.003878638E-1,5.795425177E-2
4.823276667E-1,1.340592802E-1,-1.143578216E-1,5.321742967E-2
4.922816667E-1,1.410753727E-1,-1.227089614E-1,5.730910972E-2
5.022356667E-1,1.476259530E-1,-1.360984594E-1,6.030011550E-2
5.121906667E-1,1.644187868E-1,-1.552694887E-1,6.699503213E-2
5.221446667E-1,1.800540835E-1,-1.684041023E-1,6.340474635E-2
5.320986667E-1,1.884132177E-1,-1.595040858E-1,6.692944467E-2
5.420536667E-1,1.943828017E-1,-1.459641308E-1,7.132612914E-2
5.520076667E-1,2.044958919E-1,-1.421153396E-1,7.418503612E-2
5.619616667E-1,2.047601938E-1,-1.292830706E-1,7.487912476E-2
5.719166667E-1,1.922899485E-1,-1.089285314E-1,8.742155135E-2
5.818706667E-1,1.791812181E-1,-1.196457967E-1,8.770510554E-2
5.918246667E-1,1.630818844E-1,-1.296907216E-1,7.756750286E-2
6.017786667E-1,1.541207284E-1,-1.323730499E-1,6.450091302E-2
6.117336667E-1,1.376658529E-1,-1.399292350E-1,4.867321998E-2
6.216876667E-1,1.142759994E-1,-1.385828406E-1,3.502045199E-2
6.316416667E-1,9.380774200E-2,-1.194264442E-1,2.501229197E-2
6.415966667E-1,6.901675463E-2,-1.010869369E-1,1.706496626E-2
6.515506667E-1,5.029579252E-2,-1.072963700E-1,2.791488077E-3
6.615046667E-1,3.737705573E-2,-1.195960864E-1,-1.126812771E-2
6.714596667E-1,3.190931678E-2,-1.078717858E-1,-3.885046113E-3
6.814136667E-1,2.792544290E-2,-1.881091893E-1,-4.823058844E-4
