"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.376624976E-3,9.819280701E0,4.647834778E-1,1.386117554E0
1.133062498E-2,1.034004776E1,5.881269836E-1,1.251248016E0
2.128562500E-2,1.019559814E1,5.712121582E-1,4.367916870E-1
3.123962501E-2,9.879156189E0,4.005670166E-1,6.265969849E-1
4.119462497E-2,9.683962097E0,2.589614868E-1,1.203647003E0
5.114962498E-2,9.427994385E0,1.212478638E-1,1.297651520E0
6.110362499E-2,9.215586090E0,1.811233521E-2,1.169967041E0
7.105862501E-2,9.232201538E0,-1.014889526E-1,1.098715210E0
8.101262496E-2,9.374256134E0,-1.402583313E-1,1.211131439E0
9.096762497E-2,9.534273376E0,-7.020401001E-2,1.353186035E0
1.009226250E-1,9.601184235E0,2.724334717E-2,1.331481171E0
1.108766250E-1,9.717342682E0,1.463955688E-1,1.641785889E0
1.208316250E-1,9.998458099E0,3.667373657E-1,1.780247955E0
1.307856250E-1,9.914033661E0,4.977149963E-1,1.554816742E0
1.407406250E-1,9.737999725E0,5.393284607E-1,1.515149231E0
1.506956250E-1,9.627529449E0,5.098397827E-1,1.528022461E0
1.606496250E-1,9.521699524E0,4.267625427E-1,1.528770905E0
1.706046250E-1,9.551786957E0,3.486250305E-1,1.553768921E0
1.805586250E-1,9.606872406E0,2.650987244E-1,1.652713165E0
1.905136250E-1,9.635013885E0,1.746867371E-1,1.626667328E0
2.004686250E-1,9.696386261E0,9.265731812E-2,1.582359467E0
2.104226250E-1,9.701176300E0,8.098159790E-2,1.562001801E0
2.203776250E-1,9.692344666E0,1.814227295E-1,1.537901917E0
2.303326250E-1,9.650431824E0,3.785627747E-1,1.541195068E0
2.402866250E-1,9.588311005E0,6.123765564E-1,1.505269775E0
2.502416250E-1,9.555229797E0,7.708969116E-1,1.474134521E0
2.601956250E-1,9.583520966E0,8.924441528E-1,1.432820435E0
2.701506250E-1,9.660011902E0,8.750802612E-1,1.419348450E0
2.801056250E-1,9.670041046E0,7.634124756E-1,1.370699615E0
2.900596250E-1,9.663305054E0,6.402186584E-1,1.237925720E0
3.000147500E-1,9.699380035E0,5.566923523E-1,1.292861481E0
3.099687500E-1,9.657916260E0,5.022056580E-1,1.384470978E0
3.199237500E-1,9.545799408E0,3.558100891E-1,2.062710571E-1
3.298787500E-1,9.178014221E0,4.126918030E-1,1.430575104E0
3.398327500E-1,1.026640091E1,3.839515686E-1,3.336860962E0
3.497877500E-1,1.011671219E1,2.200424194E-2,6.791377258E-1
3.597417500E-1,9.640103302E0,-5.209167480E-2,4.944218445E-1
3.696967500E-1,9.976154480E0,-8.741821289E-2,1.088686066E0
3.796517500E-1,9.970166931E0,-1.369651794E-1,1.110241241E0
3.896057500E-1,9.850715332E0,-1.080752563E-1,7.894583130E-1
3.995607500E-1,9.803713074E0,-5.957611084E-2,8.879534912E-1
4.095147500E-1,9.690249023E0,-2.844085693E-2,9.996212769E-1
4.194697500E-1,9.622140656E0,6.182144165E-2,8.418493652E-1
4.294247500E-1,9.601932678E0,1.863624573E-1,8.812174988E-1
4.393787500E-1,9.686656494E0,2.529739380E-1,1.089733887E0
4.493337500E-1,9.752818909E0,2.562670898E-1,1.207089844E0
4.592877500E-1,9.766739960E0,2.409988403E-1,1.177301788E0
4.692427500E-1,9.684411163E0,2.371069336E-1,1.090182953E0
4.791977500E-1,9.646240540E0,2.341131592E-1,9.951306152E-1
4.891517500E-1,9.606872406E0,2.544708252E-1,8.705895996E-1
4.991067500E-1,9.575138397E0,2.679428101E-1,7.912545776E-1
5.090607500E-1,9.611063690E0,2.409988403E-1,7.429051208E-1
5.190157500E-1,9.635013885E0,2.270777893E-1,7.617658997E-1
5.289707500E-1,9.668843536E0,2.577639771E-1,7.502398682E-1
5.389247500E-1,9.700128479E0,3.107537842E-1,7.387138367E-1
5.488797500E-1,9.737400970E0,3.848497009E-1,7.399113464E-1
5.588347500E-1,9.749825134E0,4.487667847E-1,7.156617737E-1
5.687887500E-1,9.821975098E0,5.254074097E-1,6.484515381E-1
5.787437500E-1,9.880204010E0,5.923182678E-1,5.489085388E-1
5.886977500E-1,9.885592804E0,6.104306030E-1,4.755610657E-1
5.986527500E-1,9.956844635E0,6.376739502E-1,4.679269409E-1
6.086077500E-1,9.912985840E0,6.491999817E-1,4.373904419E-1
6.185617500E-1,9.936636658E0,5.661227417E-1,4.266128540E-1
6.285167500E-1,9.952653351E0,5.066963196E-1,4.426295471E-1
