"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.864625003E-3,2.645168602E-1,-2.853097208E-2,-9.032341093E-2
1.381862495E-2,1.330796778E-1,1.161597222E-1,-1.077652872E-1
2.377362497E-2,1.089570671E-2,2.038879693E-1,-9.313920885E-2
3.372762498E-2,-1.999590918E-2,1.757870317E-1,-8.956611902E-2
4.368262499E-2,-1.694525778E-2,7.182067633E-2,-9.292782843E-2
5.363762501E-2,-4.004137963E-2,-3.011553921E-2,-7.518902421E-2
6.359162496E-2,-8.481470495E-2,-1.258660406E-1,-5.020191520E-2
7.354662498E-2,-1.031840667E-1,-2.074798495E-1,-3.844811022E-2
8.350062498E-2,-1.000553817E-1,-2.543948889E-1,-3.931949288E-2
9.345562500E-2,-1.084766313E-1,-2.888022959E-1,-3.931979090E-2
1.034106250E-1,-9.849110991E-2,-2.291802615E-1,-3.719459102E-2
1.133646250E-1,-8.584068716E-2,-1.286963671E-1,-5.104794726E-2
1.233196250E-1,-1.068690121E-1,-7.579986006E-2,-6.285906583E-2
1.332736250E-1,-1.199029237E-1,-7.130115479E-2,-6.665394455E-2
1.432286250E-1,-1.212896332E-1,-8.434371650E-2,-6.953361630E-2
1.531836250E-1,-1.193766594E-1,-9.829098731E-2,-6.105127558E-2
1.631376250E-1,-1.262390912E-1,-1.130523533E-1,-4.993443936E-2
1.730926250E-1,-1.223937050E-1,-1.035809964E-1,-4.891453683E-2
1.830466250E-1,-1.210240424E-1,-9.018582851E-2,-4.629531875E-2
1.930016250E-1,-1.221447662E-1,-7.854861021E-2,-4.898411781E-2
2.029566250E-1,-1.147390455E-1,-6.823605299E-2,-5.029625446E-2
2.129106250E-1,-1.244493723E-1,-8.414597064E-2,-5.723067001E-2
2.228656250E-1,-1.462476104E-1,-9.245663136E-2,-5.885999650E-2
2.328206250E-1,-1.811290234E-1,-7.578081638E-2,-5.429785699E-2
2.427746250E-1,-2.060948312E-1,-6.790744513E-2,-4.743009806E-2
2.527296250E-1,-2.199388593E-1,-8.004368842E-2,-4.651691765E-2
2.626836250E-1,-2.292593867E-1,-9.565807134E-2,-5.902845040E-2
2.726386250E-1,-2.284659147E-1,-1.064330041E-1,-6.972927600E-2
2.825936250E-1,-2.560741007E-1,-1.122192517E-1,-7.559754699E-2
2.925476250E-1,-2.790840864E-1,-1.038888097E-1,-9.101828933E-2
3.025027500E-1,-2.937844694E-1,-1.061714068E-1,-9.287824482E-2
3.124567500E-1,-4.034165740E-1,-2.507410049E-1,-7.902835310E-2
3.224117500E-1,-4.737064540E-1,-3.056593835E-1,-3.621857613E-2
3.323667500E-1,-1.648996323E-1,6.011590362E-2,-8.651710302E-2
3.423207500E-1,-2.080143541E-1,1.620890014E-2,-1.014534384E-1
3.522757500E-1,-2.953034937E-1,-2.373664081E-2,-6.205447391E-2
3.622297500E-1,-2.427867800E-1,-3.703434020E-2,-7.033371925E-2
3.721847500E-1,-1.568005383E-1,-3.075703047E-2,-8.981600404E-2
3.821397500E-1,-1.580623388E-1,1.790371723E-2,-7.650685310E-2
3.920937500E-1,-1.634388566E-1,5.752825737E-2,-6.765382737E-2
4.020487500E-1,-1.350338459E-1,5.375136435E-2,-6.773425639E-2
4.120027500E-1,-1.263715774E-1,2.967060171E-2,-5.772963539E-2
4.219577500E-1,-1.389603317E-1,-8.209944353E-4,-4.675741121E-2
4.319127500E-1,-1.344977319E-1,-1.260186452E-2,-4.356429353E-2
4.418667500E-1,-1.231713146E-1,-1.298876829E-3,-4.859554023E-2
4.518217500E-1,-1.156562492E-1,1.578448527E-2,-5.997260287E-2
4.617757500E-1,-1.086971387E-1,2.870560996E-2,-7.648500055E-2
4.717307500E-1,-1.024196818E-1,1.976281963E-2,-8.567678183E-2
4.816857500E-1,-1.020396501E-1,1.522296458E-3,-8.889893442E-2
4.916397500E-1,-1.059468761E-1,-1.647530310E-2,-8.200617135E-2
5.015947500E-1,-1.078102887E-1,-3.421675041E-2,-7.565559447E-2
5.115487500E-1,-1.030432805E-1,-3.867259622E-2,-6.341465563E-2
5.215037500E-1,-9.924162179E-2,-3.239285946E-2,-6.037652120E-2
5.314587500E-1,-9.364339709E-2,-3.242851794E-2,-5.997697264E-2
5.414127500E-1,-9.823308885E-2,-3.710236400E-2,-6.568812579E-2
5.513677500E-1,-1.165098771E-1,-2.911541797E-2,-7.304544747E-2
5.613227500E-1,-1.397166699E-1,-1.664063893E-2,-7.945754379E-2
5.712767500E-1,-1.673345715E-1,6.712256931E-3,-8.330886066E-2
5.812317500E-1,-2.060907483E-1,3.581661358E-2,-8.524045348E-2
5.911857500E-1,-2.365641445E-1,5.772259459E-2,-9.909901023E-2
6.011407500E-1,-2.704938948E-1,9.382814169E-2,-1.006175429E-1
6.110957500E-1,-2.962182164E-1,1.213405207E-1,-1.066100150E-1
6.210497500E-1,-3.138360977E-1,1.263448745E-1,-1.165835559E-1
6.310047500E-1,-3.259059191E-1,1.412684172E-1,-1.166693494E-1
6.409587500E-1,-3.291714787E-1,1.702204347E-1,-1.194259897E-1
6.509137500E-1,-3.463070393E-1,1.562692225E-1,-1.213840097E-1
6.608687500E-1,-3.575740755E-1,1.356539577E-1,-1.279076934E-1
6.708227500E-1,-3.572624922E-1,1.302086562E-1,-1.271882355E-1
6.807777500E-1,-3.461422026E-1,9.640807658E-2,-1.311693788E-1
6.907317500E-1,-3.251086473E-1,6.532824039E-2,-1.277211457E-1
7.006867500E-1,-2.941105366E-1,4.589594528E-2,-1.309861839E-1
7.106417500E-1,-2.585057616E-1,2.369824052E-2,-1.244762018E-1
7.205957500E-1,-2.279585004E-1,-7.296158932E-3,-1.212985143E-1
7.305507500E-1,-2.000913620E-1,-8.221616969E-3,-1.108036861E-1
7.405047500E-1,-1.930275857E-1,-1.087305974E-2,-9.721091390E-2
7.504597500E-1,-1.942033917E-1,-3.356992826E-2,-8.987265080E-2
7.604147500E-1,-1.804931760E-1,-6.067078561E-2,-8.439080417E-2
7.703687500E-1,-1.697081327E-1,-5.495674908E-2,-6.994057447E-2
7.803237500E-1,-1.691209078E-1,-3.917352483E-2,-5.624979734E-2
7.902777500E-1,-1.606768966E-1,-4.821041971E-2,-5.831332505E-2
8.002327500E-1,-1.385548115E-1,-6.454891711E-2,-6.487295777E-2
8.101877500E-1,-1.217375249E-1,-6.661653519E-2,-6.151323020E-2
8.201417500E-1,-1.112031266E-1,-9.201084077E-2,-6.344109029E-2
8.300967500E-1,-1.011897773E-1,-1.568219811E-1,-6.290306896E-2
8.400507500E-1,-5.361506715E-2,-1.824953854E-1,-6.092940643E-2
8.500057500E-1,2.379631251E-2,-1.678872555E-1,-6.205379590E-2
8.599607500E-1,7.309728116E-2,-1.787122041E-1,-6.573748589E-2
8.699147500E-1,1.079707295E-1,-1.633212864E-1,-4.484290257E-2
8.798697500E-1,1.621058583E-1,-1.183410287E-1,-2.822450921E-2
8.898247500E-1,2.067478150E-1,-7.256542891E-2,-2.276790328E-2
8.997787500E-1,2.368966490E-1,-2.876228280E-2,-2.289014310E-2
9.097337500E-1,2.484359145E-1,-3.368775174E-2,-2.177614719E-2
9.196877500E-1,2.383172363E-1,-3.872432187E-2,-2.730673552E-2
9.296427500E-1,2.059345543E-1,-2.853930369E-2,-3.244590759E-2
9.395977500E-1,1.514886320E-1,-3.795075230E-3,-2.942641452E-2
9.495517500E-1,1.019633263E-1,1.747678593E-2,-2.901649848E-2
9.595067500E-1,7.182619721E-2,2.442683838E-2,-2.811395377E-2
9.694607500E-1,4.313071072E-2,2.213010564E-2,-3.630338237E-2
9.794157500E-1,1.321675535E-2,2.083181590E-2,-5.729575083E-2
9.893707500E-1,-8.472643793E-3,3.060848452E-2,-6.958158314E-2
9.993247500E-1,-2.477145568E-2,3.093578666E-2,-8.430539817E-2
1.009279750E0,-5.862132087E-2,2.977050468E-2,-9.873424470E-2
1.019233750E0,-1.100019515E-1,2.433579229E-2,-1.042310074E-1
1.029188750E0,-1.539027095E-1,6.790627539E-2,-1.192010418E-1
1.039143750E0,-1.714990139E-1,-1.319044083E-2,-1.068106815E-1
1.049097750E0,-2.060102522E-1,-7.918242365E-2,-7.888364792E-2
1.059052750E0,-2.431741357E-1,-1.032355651E-1,-6.952822953E-2
1.069006750E0,-2.594736814E-1,-8.656379580E-2,-6.848452240E-2
1.078961750E0,-2.699708045E-1,-4.960471392E-2,-6.012513116E-2
1.088916750E0,-2.632428706E-1,-6.835211068E-3,-5.252395570E-2
1.098870750E0,-2.531228662E-1,2.147632092E-2,-5.343874916E-2
1.108825750E0,-2.295485735E-1,5.099944398E-2,-6.645930558E-2
1.118779750E0,-2.012090832E-1,8.652788401E-2,-6.841833144E-2
1.128734750E0,-1.902606487E-1,9.932482243E-2,-6.429728121E-2
1.138689750E0,-1.884073615E-1,1.174713373E-1,-6.536974013E-2
1.148643750E0,-1.958430111E-1,1.493139416E-1,-7.844803482E-2
1.158598750E0,-2.065481246E-1,1.880165935E-1,-9.677777439E-2
1.168552750E0,-2.123232037E-1,1.954709738E-1,-1.099873930E-1
1.178507750E0,-2.082088888E-1,1.683163196E-1,-1.220592335E-1
1.188462750E0,-1.963514239E-1,1.161793470E-1,-1.219716147E-1
1.198416750E0,-1.684034169E-1,8.467041701E-2,-9.905032814E-2
1.208371750E0,-1.246615127E-1,6.027993560E-2,-7.646104693E-2
1.218326750E0,-7.644658536E-2,3.070872836E-2,-5.545962602E-2
1.228280750E0,-3.235936537E-2,-9.317852557E-3,-4.456215724E-2
1.238235750E0,-9.238601662E-3,-3.528287262E-2,-3.898230195E-2
1.248189750E0,-4.104806110E-3,-3.891367838E-2,-3.078392707E-2
1.258144750E0,-2.126344014E-3,-2.551824600E-2,-2.114594728E-2
1.268099750E0,8.911870420E-3,-3.960327711E-3,-7.145717274E-3
1.278053750E0,3.066376969E-2,8.872114122E-3,6.547990255E-3
1.288008750E0,5.143822730E-2,-3.985122894E-4,1.911999844E-2
1.297962292E0,7.027582824E-2,7.636510767E-3,3.041899204E-2
1.307917292E0,7.938839495E-2,1.458269730E-2,3.627079353E-2
1.317872292E0,9.714422375E-2,4.494909197E-3,3.887004033E-2
1.327826292E0,1.191070899E-1,-3.002734110E-2,3.110691346E-2
1.337781292E0,1.492199898E-1,-5.048973858E-2,2.173791267E-2
1.347735292E0,1.708823591E-1,-2.904672921E-2,1.559675112E-2
1.357690292E0,1.814481914E-1,-1.611734927E-2,-3.716759384E-3
1.367645292E0,1.941438019E-1,-1.046618912E-2,-2.346267179E-2
1.377599292E0,1.905991435E-1,1.006119046E-2,-1.893023774E-2
1.387554292E0,1.806049943E-1,2.561294660E-2,-1.889519021E-2
1.397508292E0,1.564173698E-1,2.243126743E-2,-3.367839754E-2
1.407463292E0,1.346792132E-1,4.025574028E-2,-3.739076108E-2
1.417418292E0,1.216153502E-1,5.511671305E-2,-2.920553461E-2
1.427372292E0,1.126345694E-1,5.276576057E-2,-1.996679977E-2
1.437327292E0,1.054384410E-1,-3.264753846E-3,-1.145974733E-3
1.447281292E0,1.060390547E-1,-4.538938031E-2,1.912130043E-2
1.457236292E0,1.331156790E-1,-2.751504257E-2,3.376362845E-2
1.467191292E0,1.455036104E-1,-2.236897871E-2,4.363206029E-2
1.477145292E0,1.476732939E-1,-3.382429853E-2,2.873087302E-2
1.487100292E0,1.619784534E-1,-5.142253265E-2,2.529164776E-2
1.497054292E0,1.762242317E-1,-4.958601668E-2,3.363932669E-2
1.507009292E0,1.744765639E-1,-2.555292845E-2,5.005139858E-2
1.516964292E0,1.581551135E-1,-6.547680241E-4,5.705764145E-2
1.526918292E0,1.468810886E-1,2.662807703E-2,4.734719172E-2
1.536873292E0,1.300150305E-1,2.086925879E-2,1.939678565E-2
1.546828292E0,1.066730842E-1,1.925894991E-2,4.403579514E-3
1.556782292E0,8.079195023E-2,2.893474698E-2,-2.417840995E-3
1.566737292E0,5.301003903E-2,5.257634819E-2,-4.942977801E-3
1.576691292E0,1.618890837E-2,8.392974734E-2,-1.931153238E-2
1.586646292E0,-1.751696318E-2,8.823479712E-2,-3.825008869E-2
1.596601292E0,-3.825899586E-2,6.925044954E-2,-3.957527876E-2
1.606555292E0,-5.555077270E-2,5.004063249E-2,-3.835596144E-2
1.616510292E0,-6.082915887E-2,4.549594969E-2,-3.958421201E-2
1.626464292E0,-6.150964648E-2,5.615673959E-2,-3.733891249E-2
1.636419292E0,-5.983132124E-2,5.669949204E-2,-3.431143239E-2
1.646374292E0,-5.221755058E-2,5.073392391E-2,-2.066588961E-2
1.656328292E0,-4.653303325E-2,1.488085464E-2,-2.386860736E-2
1.666283292E0,-4.409803078E-2,7.464486640E-3,-2.402849682E-2
1.676237292E0,-3.806037828E-2,-5.643007532E-2,-1.984040998E-2
1.686192292E0,-4.581783339E-2,-9.955366701E-2,-2.284362540E-2
1.696147292E0,-5.600842088E-2,-9.419032931E-2,-2.003265917E-2
1.706101292E0,-5.681568757E-2,-6.567203999E-2,-2.579843253E-2
1.716056292E0,-5.834407732E-2,-4.027054831E-2,-3.085045144E-2
1.726010292E0,-6.669341773E-2,-3.589966521E-2,-3.499861434E-2
1.735965292E0,-7.043009996E-2,-3.160185739E-2,-3.336156905E-2
1.745920292E0,-7.145741582E-2,-3.422632813E-2,-2.865624055E-2
1.755874292E0,-7.313787192E-2,-1.750114560E-2,-1.906539872E-2
1.765829292E0,-7.288560271E-2,4.291146062E-3,-2.503244579E-2
1.775784292E0,-7.566142082E-2,5.279445089E-3,-2.126380429E-2
1.785738292E0,-7.516930997E-2,-8.432667702E-3,-1.876302995E-2
1.795693292E0,-6.949171424E-2,-1.124816202E-2,-1.590306126E-2
1.805647292E0,-5.933677405E-2,-7.327160332E-3,-6.778072566E-3
1.815602292E0,-5.527785048E-2,-1.163854758E-4,-1.632313244E-3
1.825557292E0,-4.759523645E-2,5.613415968E-3,5.121618975E-3
1.835511292E0,-3.747389466E-2,1.017221436E-2,1.189829782E-2
1.845466292E0,-3.698025644E-2,4.367302172E-3,2.260336280E-2
1.855420292E0,-3.888228908E-2,3.640525974E-3,3.232949227E-2
1.865375292E0,-5.197085440E-2,1.995344460E-2,3.403429314E-2
1.875330292E0,-6.144078448E-2,3.729621321E-2,3.522126377E-2
1.885284292E0,-7.058410347E-2,4.731000960E-2,2.823270485E-2
1.895239292E0,-7.425314188E-2,3.743980080E-2,2.913391776E-2
1.905193292E0,-7.820026577E-2,2.679155394E-2,1.952995360E-2
1.915148292E0,-8.090204000E-2,2.446128801E-2,7.390200160E-3
1.925103292E0,-7.573609799E-2,1.677469537E-2,-2.594025806E-3
1.935057292E0,-6.922946125E-2,1.053384226E-2,-7.219137158E-3
