"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-6.258336361E-5,1.006626709E1,-7.161108398E-1,1.545985107E0
9.892416652E-3,9.477391663E0,-6.388714600E-1,1.560055847E0
1.984741667E-2,9.290879517E0,-2.601589966E-1,1.782044220E0
2.980241668E-2,9.541907501E0,-2.978805542E-1,2.396366730E0
3.975741664E-2,9.549092560E0,-4.243675232E-1,2.566263428E0
4.971241666E-2,9.494456177E0,-6.215075684E-1,2.352957001E0
5.966841668E-2,9.368867340E0,-7.104226685E-1,2.038760376E0
6.962441665E-2,9.396110687E0,-6.345304871E-1,2.110461273E0
7.957941666E-2,9.284293213E0,-6.120771790E-1,2.186652832E0
8.953441668E-2,9.279802551E0,-5.617817688E-1,2.184557190E0
9.948941664E-2,9.272318115E0,-4.893324280E-1,2.357747040E0
1.094444167E-1,9.321565704E0,-4.496649170E-1,2.388732605E0
1.193994167E-1,9.255103912E0,-4.505630493E-1,2.446811829E0
1.293544167E-1,9.454189911E0,-3.992198181E-1,2.422262878E0
1.393094166E-1,9.303303680E0,-1.905537415E-1,2.398162994E0
1.492644167E-1,9.278455353E0,-7.619155884E-2,2.517614594E0
1.592194167E-1,9.044192505E0,-1.429527283E-1,2.390528870E0
1.691744166E-1,9.536518707E0,-2.091151428E-1,2.486030273E0
1.791294166E-1,9.659712524E0,-2.757266235E-1,2.473007355E0
1.890844167E-1,9.551936646E0,-3.582051086E-1,2.749931488E0
1.990394167E-1,9.626781006E0,-4.324507141E-1,2.862946472E0
2.089944166E-1,9.625733185E0,-5.608836365E-1,2.650687866E0
2.189504167E-1,9.717492371E0,-5.839356995E-1,2.234553223E0
2.289054167E-1,9.553583221E0,-6.357279968E-1,2.342179413E0
2.388604166E-1,9.086105347E0,-7.812254333E-1,1.673669586E0
2.488154166E-1,9.273964691E0,-5.200186157E-1,2.141746216E0
2.587704167E-1,9.313632202E0,-3.606001282E-1,2.243235168E0
