"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.915416648E-3,9.077743441E-2,1.667434871E-1,4.401883110E-2
1.487041666E-2,8.453869075E-2,8.750253171E-2,2.850249037E-2
2.482541668E-2,1.551630646E-1,5.884478614E-2,-1.162725966E-3
3.478041664E-2,2.063128203E-1,1.468348950E-1,-1.061701681E-3
4.473541665E-2,2.081871629E-1,2.054127157E-1,1.066100039E-2
5.469141668E-2,1.599799842E-1,1.601508856E-1,2.267180756E-2
6.464641663E-2,1.263913959E-1,1.185869351E-1,-9.741350077E-4
7.460141665E-2,8.139165491E-2,6.100639701E-2,-1.680270396E-2
8.455641667E-2,3.310455009E-2,1.230890211E-2,-3.791891038E-2
9.451141668E-2,1.924411207E-2,-1.540360972E-2,-3.682778031E-2
1.044664166E-1,-3.020448377E-3,-3.544097021E-2,-4.024115205E-2
1.144214167E-1,-1.541265287E-3,-4.739458114E-2,-2.375055477E-2
1.243764167E-1,-2.642451227E-2,-6.945434213E-2,-3.177119792E-2
1.343314167E-1,-6.481836736E-2,-1.145557463E-1,-3.907472640E-2
1.442874167E-1,-6.667485833E-2,-1.205103025E-1,-8.879354596E-2
1.542424167E-1,-7.059061527E-2,-1.775895357E-1,-8.445109427E-2
1.641974167E-1,-4.614785314E-2,-1.261921376E-1,-6.021792442E-2
1.741524166E-1,-8.185698092E-2,-7.266177237E-2,-5.764911696E-2
1.841074167E-1,-5.657771975E-2,-6.458245218E-3,-5.187378824E-2
1.940624167E-1,-7.425050251E-3,4.881772026E-2,-6.740965694E-2
2.040174166E-1,3.024083562E-2,1.187797636E-1,-7.372241467E-2
2.139724166E-1,-1.055207849E-2,2.255952656E-1,-7.266283035E-2
2.239274167E-1,7.922003046E-3,1.395416111E-1,-5.548836663E-2
2.338824167E-1,-2.727264538E-2,-6.411532313E-2,-2.066207863E-2
2.438374166E-1,-4.365800694E-2,-1.577768326E-1,-4.683429748E-2
2.537924167E-1,-8.227434754E-2,-2.270156443E-1,-5.997091904E-2
2.637474167E-1,-8.409434557E-2,-2.148740292E-1,-8.343203366E-2
2.737024167E-1,-7.831437886E-2,-1.529278457E-1,-1.154846847E-1
2.836584167E-1,-6.742710620E-2,-8.249071240E-2,-1.310029179E-1
2.936134167E-1,2.000547945E-2,2.605003119E-2,-5.787909031E-2
3.035684167E-1,-2.481764928E-2,4.085481167E-2,-7.234005630E-2
3.135234166E-1,-2.468030527E-2,3.987464681E-2,-4.248937964E-2
3.234784167E-1,5.991321057E-3,6.959419698E-2,-4.498049989E-2
3.334334167E-1,-5.544731393E-4,6.375808269E-2,-4.690367728E-2
3.433884167E-1,-1.167823002E-2,1.150340401E-2,-4.951064661E-2
3.533434166E-1,-1.073719654E-2,-5.944024771E-2,-5.580510944E-2
3.632984167E-1,-2.423542924E-2,-1.223347932E-1,-5.723229796E-2
3.732534167E-1,-4.046507925E-2,-1.527826339E-1,-3.867512941E-2
3.832084166E-1,-3.690470010E-2,-1.247683018E-1,-4.184216261E-2
3.931634167E-1,-2.677824162E-2,-7.636389881E-2,-4.249099270E-2
4.031184167E-1,-1.720151305E-2,-3.635789454E-2,-6.051366776E-2
4.130734167E-1,-2.873300109E-4,-8.514744695E-4,-7.489581406E-2
4.230294166E-1,-2.247732133E-2,-4.828956351E-2,-5.232898146E-2
4.329844167E-1,-6.690249592E-2,-1.038296074E-1,-4.171787575E-2
4.429394167E-1,-6.771262735E-2,-1.118675619E-1,-4.887032881E-2
4.528944166E-1,-3.809848428E-2,-8.889847994E-2,-4.290146753E-2
4.628494167E-1,-4.030997306E-2,-6.629889458E-2,-4.012698680E-2
4.728044167E-1,-3.812111914E-2,-6.449806690E-2,-3.905559704E-2
4.827594167E-1,-2.262924798E-2,-5.783856660E-2,-4.157281667E-2
4.927144166E-1,-1.632235013E-2,-4.955640063E-2,-3.467895836E-2
5.026694167E-1,-1.326450799E-2,-4.866584018E-2,-1.339497603E-2
5.126244167E-1,-1.848127693E-2,-2.056238614E-2,-2.966049127E-3
5.225794166E-1,-2.532613277E-2,1.847662404E-2,-2.349527087E-3
5.325344166E-1,-3.109522536E-2,3.735654056E-2,-1.268329471E-2
5.424894167E-1,-3.280204535E-2,7.905707695E-3,-2.263819054E-2
