"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.532662500E-2,9.076625824E0,-5.769836307E-1,1.367027044E0
1.772959400E-2,8.964102745E0,-5.123429298E-1,1.434061766E0
2.013256300E-2,8.827639580E0,-4.572786987E-1,1.534614086E0
2.253553100E-2,8.827639580E0,-4.572786987E-1,1.534614086E0
2.493850000E-2,8.628929138E0,-4.668551087E-1,1.651924849E0
2.742042700E-2,8.458948135E0,-4.812196791E-1,1.809935331E0
2.992042700E-2,8.324878693E0,-4.979783893E-1,1.924852133E0
3.242037500E-2,8.243479729E0,-4.836137891E-1,2.030192375E0
3.496042700E-2,8.209961891E0,-4.860078692E-1,2.171444178E0
3.743954200E-2,8.224327087E0,-4.500963986E-1,2.286360979E0
3.987813600E-2,8.243479729E0,-3.950321376E-1,2.370154381E0
4.231672900E-2,8.351213455E0,-3.399678767E-1,2.487465143E0
4.475610400E-2,8.432612419E0,-3.136327863E-1,2.609564304E0
4.719547900E-2,8.557106972E0,-2.753272057E-1,2.741239786E0
4.963407300E-2,8.667234421E0,-2.442039102E-1,2.846580029E0
5.207266700E-2,8.815669060E0,-2.226570398E-1,2.971073151E0
5.451204200E-2,8.916220665E0,-1.771691442E-1,3.062048912E0
5.695146900E-2,9.043108940E0,-1.484399736E-1,3.181753874E0
5.939006300E-2,9.134083748E0,-1.508340687E-1,3.246394396E0
6.182865600E-2,9.215483665E0,-1.197107807E-1,3.318217516E0
6.426803100E-2,9.287306786E0,-1.029520929E-1,3.327793837E0
6.670740600E-2,9.392646790E0,-9.576979280E-2,3.337370157E0
6.914600000E-2,9.421376228E0,-1.005579904E-1,3.337370157E0
7.158459400E-2,9.447710991E0,-1.053461879E-1,3.356523037E0
7.402396900E-2,9.462076187E0,-1.077402830E-1,3.344552755E0
7.646339600E-2,9.488410950E0,-9.576979280E-2,3.332582235E0
7.890199000E-2,9.493198395E0,-1.197107807E-1,3.327793837E0
8.134058400E-2,9.474045753E0,-1.340753734E-1,3.323005676E0
