"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.613995900E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
2.870089600E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
3.113990600E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
3.370084400E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
3.622001100E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
3.865902100E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
4.109719800E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
4.353620900E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
4.597600000E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
4.841495900E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
5.085318800E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
5.329214600E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
5.573193800E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
5.817094800E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
6.060912500E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
6.304813600E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
6.548787500E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
6.792688600E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
7.036511500E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
7.280407300E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
7.524386500E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
7.768287500E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
8.012105200E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
8.256006300E-2,3.243763149E-1,4.472299814E-1,-7.664970309E-2
8.499980200E-2,2.138741687E-2,-4.809902981E-3,1.498000231E-2
8.743881300E-2,2.138741687E-2,1.107257977E-2,1.620173268E-2
8.987699000E-2,1.894395798E-2,9.850850329E-3,1.253654342E-2
9.231600000E-2,1.772222854E-2,1.473776624E-2,1.131481398E-2
9.475579200E-2,1.650049910E-2,1.473776624E-2,1.131481398E-2
9.719475000E-2,1.283531077E-2,9.850850329E-3,1.131481398E-2
9.963297900E-2,1.161358133E-2,3.742203116E-3,8.871355094E-3
1.020719380E-1,6.726663560E-3,-4.809902981E-3,7.649626117E-3
1.045117290E-1,6.726663560E-3,-1.091855019E-2,7.649626117E-3
1.069507400E-1,7.948393002E-3,-2.191411518E-2,5.206167232E-3
1.093889170E-1,5.504934117E-3,-2.680103295E-2,2.762708347E-3
1.118279270E-1,5.504934117E-3,-3.901832551E-2,-9.024800966E-4
1.142677190E-1,5.504934117E-3,-4.268351570E-2,-9.024800966E-4
1.167066770E-1,5.504934117E-3,-4.879216105E-2,-4.567668308E-3
1.191449060E-1,7.948393002E-3,-5.123562366E-2,-4.567668308E-3
1.215838650E-1,6.726663560E-3,-5.490081012E-2,-5.789397750E-3
1.240236560E-1,9.170122445E-3,-5.245735124E-2,-7.011127193E-3
1.264626670E-1,1.527876966E-2,-4.146178812E-2,-5.789397750E-3
1.289008440E-1,1.039185189E-2,-4.512697458E-2,-8.232857101E-3
1.313398540E-1,1.839745790E-3,-4.634870589E-2,-1.067631599E-2
1.337795940E-1,9.170122445E-3,-3.290968016E-2,-9.454586543E-3
1.362186040E-1,1.161358133E-2,-1.947065629E-2,-9.454586543E-3
1.386567810E-1,1.161358133E-2,-1.580546796E-2,-1.189804543E-2
1.410957920E-1,1.161358133E-2,-4.809902981E-3,-1.067631599E-2
