"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,9.478835106E0,-7.661700249E-2,3.691696882E0
0.000000000E0,9.478835106E0,-7.661700249E-2,3.691696882E0
0.000000000E0,9.478835106E0,-7.661700249E-2,3.691696882E0
0.000000000E0,9.478835106E0,-7.661700249E-2,3.691696882E0
1.775471000E-3,8.468524933E0,3.926263452E-1,3.624662161E0
4.178440000E-3,8.463736534E0,3.495325744E-1,3.567203760E0
6.581408000E-3,8.573864937E0,3.255915940E-1,3.531292200E0
8.984377000E-3,8.698357582E0,3.088329136E-1,3.581568480E0
1.138734600E-2,8.832427979E0,3.040446937E-1,3.650997162E0
1.379031500E-2,8.959314346E0,2.896800935E-1,3.727608442E0
1.619328300E-2,9.043108940E0,2.729214132E-1,3.830554724E0
1.859625200E-2,9.155631065E0,2.609509230E-1,3.904771805E0
2.099922100E-2,9.210694313E0,2.633450329E-1,4.060388565E0
2.340219000E-2,9.239424706E0,2.513745427E-1,4.115452766E0
2.580515800E-2,9.282517433E0,2.537686229E-1,4.117846489E0
2.820812700E-2,9.296882629E0,2.178571522E-1,4.177699089E0
3.061109600E-2,9.335188866E0,1.795515716E-1,4.141787529E0
3.301406500E-2,9.313641548E0,1.627928764E-1,4.084329605E0
3.541703300E-2,9.313641548E0,1.627928764E-1,4.084329605E0
3.782000200E-2,9.313641548E0,1.627928764E-1,4.084329605E0
4.022297100E-2,9.313641548E0,1.627928764E-1,4.084329605E0
4.262594000E-2,9.313641548E0,1.627928764E-1,4.084329605E0
4.502890800E-2,9.313641548E0,1.627928764E-1,4.084329605E0
4.829672100E-2,9.217877388E0,1.484282762E-1,4.002930164E0
5.242942900E-2,9.217877388E0,1.484282762E-1,4.002930164E0
5.569729400E-2,9.167601585E0,1.388518810E-1,3.993353605E0
5.810026300E-2,9.167601585E0,1.388518810E-1,3.993353605E0
6.050323100E-2,9.117325783E0,1.580046713E-1,4.041235447E0
6.290620000E-2,9.117325783E0,1.580046713E-1,4.041235447E0
6.530916900E-2,9.114932060E0,1.101226956E-1,4.005324364E0
6.771213800E-2,9.114932060E0,1.101226956E-1,4.005324364E0
7.019396100E-2,9.129295349E0,1.220932007E-1,3.990959406E0
7.274969000E-2,9.129295349E0,1.220932007E-1,3.990959406E0
7.524411700E-2,9.102960587E0,1.268813908E-1,3.933501005E0
7.768255400E-2,9.074232101E0,9.815220535E-2,3.940683126E0
8.012208600E-2,9.021561623E0,9.815220535E-2,3.938288927E0
8.256172100E-2,9.014378548E0,8.618171513E-2,3.914348125E0
8.500047100E-2,9.007196426E0,9.336401522E-2,3.868860245E0
8.743927300E-2,8.980861664E0,8.139351010E-2,3.849707365E0
8.987896100E-2,8.985650063E0,4.787612706E-2,3.835342646E0
9.231870000E-2,8.966496468E0,4.548203945E-2,3.837736845E0
9.475771100E-2,8.980861664E0,5.745252967E-2,3.864071846E0
9.719677300E-2,8.947344780E0,7.899941504E-2,3.825766325E0
9.963656500E-2,8.935373306E0,7.660530508E-2,3.844919205E0
1.020764080E-1,8.949738503E0,6.224073470E-2,3.856889725E0
1.045154190E-1,8.916220665E0,9.815220535E-2,3.842525244E0
1.069544810E-1,8.873127937E0,1.268813908E-1,3.837736845E0
1.093943250E-1,8.837215424E0,1.627928764E-1,3.804219484E0
1.118341690E-1,8.839610100E0,1.939161420E-1,3.780278444E0
1.142731790E-1,8.822851181E0,2.202512622E-1,3.758731604E0
1.167122420E-1,8.837215424E0,2.274335325E-1,3.763520002E0
1.191520330E-1,8.830033302E0,2.370099425E-1,3.763520002E0
1.215918770E-1,8.834821701E0,2.106748521E-1,3.749155283E0
1.240309400E-1,8.870732307E0,2.226453424E-1,3.761125803E0
1.264700020E-1,8.880310059E0,2.513745427E-1,3.770702124E0
1.289097940E-1,8.880310059E0,2.489804327E-1,3.780278444E0
1.313496380E-1,8.906644821E0,2.513745427E-1,3.804219484E0
1.337886480E-1,8.928192139E0,2.609509230E-1,3.811401844E0
1.362277110E-1,8.911433220E0,2.657391131E-1,3.813796043E0
1.386675540E-1,8.968891144E0,2.777096331E-1,3.794643164E0
1.411073980E-1,8.976074219E0,2.848919034E-1,3.825766325E0
1.435464080E-1,8.983255386E0,3.136211038E-1,3.866466284E0
1.459854710E-1,9.019167900E0,2.944683135E-1,3.871254206E0
1.484252630E-1,9.016773224E0,3.255915940E-1,3.873648405E0
1.508651060E-1,9.035925865E0,3.351680040E-1,3.878436804E0
1.533041690E-1,9.045502663E0,3.327738643E-1,3.916742086E0
1.557432310E-1,9.031137466E0,3.351680040E-1,3.897589445E0
1.581830230E-1,9.057473183E0,3.327738643E-1,3.883224726E0
1.606228670E-1,9.038319588E0,3.279856741E-1,3.890407085E0
1.630618770E-1,9.047896385E0,3.303797841E-1,3.899983406E0
1.655009400E-1,9.035925865E0,3.136211038E-1,3.873648405E0
1.679407830E-1,9.007196426E0,3.423502743E-1,3.852101326E0
1.703806270E-1,9.002408981E0,3.279856741E-1,3.830554724E0
1.728196380E-1,9.023955345E0,3.303797841E-1,3.842525244E0
