"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.203721380E-1,9.653364867E-2,6.183717772E-2,6.545315683E-2
1.228116170E-1,9.409019351E-2,5.328506976E-2,6.423142552E-2
1.252502630E-1,9.042500705E-2,5.206334218E-2,6.545315683E-2
1.276896900E-1,8.920327574E-2,4.351123795E-2,6.178796291E-2
1.301298980E-1,8.553808182E-2,4.228950664E-2,6.178796291E-2
1.325693250E-1,8.675981313E-2,3.984604776E-2,6.178796291E-2
1.350079710E-1,8.309462667E-2,3.129393980E-2,6.056623906E-2
1.374473980E-1,7.820770890E-2,3.373740241E-2,6.056623906E-2
1.398876580E-1,7.576425374E-2,2.762875333E-2,5.812277645E-2
1.423270860E-1,7.576425374E-2,2.885048278E-2,5.934450775E-2
1.447657310E-1,7.209905982E-2,2.885048278E-2,5.812277645E-2
1.472051580E-1,7.087732852E-2,2.885048278E-2,5.690104514E-2
1.496453670E-1,6.476868689E-2,3.129393980E-2,5.323585868E-2
1.520848460E-1,6.476868689E-2,3.740258887E-2,5.323585868E-2
1.545234920E-1,6.232522428E-2,4.106777534E-2,5.201412737E-2
1.569629190E-1,6.232522428E-2,4.473296553E-2,5.323585868E-2
1.594031270E-1,5.499485135E-2,3.984604776E-2,5.079240352E-2
1.618425540E-1,5.499485135E-2,4.473296553E-2,4.957067221E-2
1.642812000E-1,5.255138874E-2,4.228950664E-2,4.712720960E-2
1.667206790E-1,4.888620228E-2,4.351123795E-2,4.712720960E-2
1.691608880E-1,4.277755320E-2,3.984604776E-2,4.346202314E-2
1.716003150E-1,4.399928451E-2,3.862432018E-2,4.590548575E-2
1.740389610E-1,4.277755320E-2,3.984604776E-2,4.346202314E-2
1.764783880E-1,3.911236674E-2,3.862432018E-2,3.857510537E-2
1.789185960E-1,3.911236674E-2,3.618085757E-2,3.368818387E-2
1.813580750E-1,3.911236674E-2,3.862432018E-2,3.490991518E-2
1.837967210E-1,3.911236674E-2,4.228950664E-2,3.246645629E-2
1.862361480E-1,3.666890785E-2,4.228950664E-2,2.880126610E-2
