"Time (s)","Pressure (hPa)"
7.535130400E-2,1.000815674E3
1.259072420E-1,1.000794556E3
1.753321900E-1,1.000825684E3
2.258914610E-1,1.000832336E3
2.753251060E-1,1.000854675E3
3.258969810E-1,1.000902832E3
3.753258360E-1,1.000889771E3
4.258957310E-1,1.000809448E3
4.753239080E-1,1.000768127E3
5.258719290E-1,1.000849792E3
5.753383880E-1,1.000901245E3
6.258820330E-1,1.000868103E3
6.753377630E-1,1.000929626E3
7.259017730E-1,1.000976501E3
7.753399500E-1,1.001042786E3
8.258807830E-1,1.001047974E3
8.753213560E-1,1.001027283E3
9.258727110E-1,1.001004211E3
9.753296900E-1,1.001011475E3
1.025838961E0,1.000991150E3
1.075356669E0,1.001044922E3
1.125887398E0,1.001037170E3
1.175340471E0,1.000993591E3
1.225886877E0,1.000996033E3
1.275350731E0,1.001008545E3
1.325851721E0,1.001024048E3
1.375315940E0,1.001011414E3
1.425883388E0,1.001024292E3
1.475342138E0,1.001064819E3
1.525843804E0,1.001052246E3
1.575345158E0,1.001072876E3
1.625856929E0,1.001049988E3
1.675377346E0,1.001070618E3
1.725836721E0,1.001065186E3
1.775355836E0,1.001036865E3
1.825844846E0,1.001111511E3
1.875385523E0,1.001087891E3
1.925833961E0,1.001085449E3
1.975400627E0,1.001162415E3
2.025840940E0,1.001131592E3
2.075430679E0,1.001129211E3
2.125828961E0,1.001136719E3
2.175452971E0,1.001231628E3
2.225911356E0,1.001229370E3
2.275454221E0,1.001211426E3
2.325860575E0,1.001252502E3
2.375487658E0,1.001296143E3
2.425837398E0,1.001283020E3
2.475463752E0,1.001349976E3
2.525888700E0,1.001286011E3
2.575494586E0,1.000932861E3
2.625830940E0,1.000863342E3
2.675525940E0,1.000994873E3
2.725811721E0,1.000940247E3
2.775368179E0,1.000917480E3
2.825842658E0,1.000932495E3
2.875382346E0,1.001014587E3
2.925812815E0,1.001027832E3
2.975380002E0,1.001138428E3
3.025860158E0,1.001215332E3
3.075394117E0,1.001222900E3
3.125799950E0,1.001249146E3
3.175407398E0,1.001071228E3
3.225865523E0,1.000885925E3
3.275457346E0,1.000999451E3
3.325848700E0,1.001081482E3
3.375436408E0,1.001040649E3
3.425810523E0,1.001042908E3
3.475461877E0,1.001156189E3
3.525796981E0,1.001238525E3
3.575470106E0,1.001251221E3
3.625814846E0,1.001256226E3
3.675463023E0,1.001372192E3
3.725860523E0,1.001474854E3
3.775471461E0,1.001253723E3
3.825790888E0,1.001183960E3
3.875349898E0,1.000864990E3
3.925794065E0,1.001013916E3
3.975466096E0,1.000967590E3
4.025794481E0,1.000900452E3
4.075490211E0,1.000947021E3
4.125861461E0,1.001049927E3
4.175490367E0,1.001070251E3
4.225829117E0,1.001090942E3
4.275520523E0,1.001207031E3
4.325868856E0,1.001211487E3
4.375374481E0,1.001299316E3
4.425907763E0,1.001178284E3
4.475360836E0,1.000794556E3
4.525883179E0,1.001005493E3
4.575361148E0,1.001025940E3
4.625877711E0,1.001036072E3
4.675350367E0,1.000954041E3
4.725896773E0,1.001067200E3
4.775358231E0,1.001198181E3
4.825934429E0,1.001198181E3
4.875357398E0,1.001175049E3
4.925898336E0,1.001347900E3
4.975354013E0,1.001432556E3
5.025880679E0,1.001499207E3
5.075360315E0,1.001177795E3
5.125285627E0,1.000776184E3
5.175382346E0,1.000963501E3
5.225288388E0,1.000878540E3
5.275909794E0,1.000863342E3
5.325290679E0,1.000914551E3
5.375915002E0,1.000932434E3
5.425299533E0,1.000891724E3
5.475941461E0,1.000926819E3
5.525302450E0,1.001066406E3
5.576048336E0,1.001142944E3
5.625318856E0,1.001099670E3
5.675883388E0,1.001143066E3
5.725317971E0,1.000857788E3
5.775877606E0,1.000892944E3
5.825337033E0,1.001029785E3
5.875898492E0,1.000949280E3
5.925354690E0,1.001003662E3
5.975849481E0,1.001006226E3
6.025342919E0,1.001031494E3
6.075888908E0,1.001149902E3
6.125336513E0,1.001157654E3
6.175886200E0,1.001215759E3
6.225657190E0,1.001290649E3
6.276349169E0,1.001287415E3
6.325347502E0,1.000831726E3
6.375876617E0,1.000965576E3
6.425379586E0,1.001060486E3
6.475935315E0,1.000880005E3
6.525344638E0,1.000872253E3
6.575927346E0,1.000910156E3
6.625352086E0,1.000992554E3
6.676044950E0,1.000999939E3
6.725335783E0,1.001070068E3
6.775930002E0,1.001162109E3
6.825325627E0,1.001105286E3
6.876022606E0,1.001179871E3
6.925322763E0,1.000832275E3
6.975938804E0,1.000881165E3
7.025318804E0,1.001086975E3
7.075869846E0,1.000934692E3
7.125315731E0,1.000919739E3
7.175868648E0,1.001037659E3
7.225309690E0,1.001056030E3
7.275901461E0,1.001102417E3
7.325321617E0,1.001246826E3
7.375870211E0,1.001241089E3
7.425314533E0,1.001177002E3
7.475864377E0,1.001264771E3
7.525339013E0,1.000850220E3
7.575924794E0,1.000847595E3
7.625336825E0,1.000994629E3
7.675948492E0,1.000886108E3
7.725377815E0,1.000821960E3
7.775869690E0,1.000886169E3
7.825340054E0,1.000886475E3
7.875873961E0,1.000906860E3
7.925324325E0,1.001069275E3
7.975861773E0,1.001102600E3
8.025328596E0,1.000966431E3
8.075885211E0,1.000971863E3
8.125339481E0,1.000850464E3
8.175863179E0,1.000839783E3
8.225343804E0,1.000969055E3
8.275867242E0,1.000896790E3
8.325347450E0,1.000943298E3
8.375879377E0,1.000914795E3
8.425336044E0,1.001002319E3
8.475849325E0,1.001030884E3
8.525412711E0,1.001111084E3
8.575875263E0,1.001144165E3
8.625346096E0,1.001134277E3
8.675886773E0,1.001170166E3
8.725352398E0,1.000953918E3
8.775897138E0,1.000838135E3
8.825426721E0,1.000979675E3
8.875843492E0,1.000883911E3
8.925381721E0,1.000773193E3
8.976240263E0,1.000840149E3
9.025429013E0,1.000862976E3
9.075922502E0,1.000886169E3
9.125406044E0,1.000937683E3
9.175934533E0,1.001074036E3
9.225683492E0,1.001035461E3
9.275877867E0,1.001047974E3
9.325448023E0,1.001050537E3
9.375843961E0,1.000811462E3
9.425468388E0,1.000823608E3
9.475839273E0,1.000934387E3
9.525467971E0,1.000924744E3
9.575887294E0,1.000854614E3
9.625513231E0,1.000921875E3
9.675888440E0,1.001029358E3
9.725530054E0,1.001024536E3
9.775852711E0,1.000982971E3
9.825374950E0,1.001083679E3
9.875981513E0,1.001102112E3
9.925395211E0,1.001091431E3
9.975966825E0,1.001204529E3
1.002539891E1,1.001078491E3
1.007590334E1,1.000908264E3
1.012537573E1,1.000846497E3
1.017585360E1,1.000826233E3
1.022537417E1,1.000880249E3
