"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.546683700E-2,8.883952141E0,-2.691925503E-2,2.739183664E0
1.784881600E-2,8.893523216E0,-7.178467698E-3,2.782254457E0
2.023079600E-2,8.916853905E0,7.776673418E-3,2.897708178E0
2.261277500E-2,8.926424980E0,2.751746029E-2,3.065205812E0
2.499470200E-2,8.984451294E0,5.982056609E-4,3.232703447E0
2.737668100E-2,9.008378983E0,-3.230310604E-2,3.371487141E0
2.975866000E-2,9.013164520E0,-1.674975827E-2,3.500699520E0
3.214058700E-2,9.028120041E0,-2.572284266E-2,3.591626883E0
3.452256600E-2,9.022735596E0,-6.580262445E-3,3.677768469E0
3.690454600E-2,9.037691116E0,-2.512463741E-2,3.725624800E0
3.928647300E-2,9.032905579E0,-2.991028316E-2,3.739981890E0
4.166845200E-2,9.047262192E0,-5.862415582E-2,3.759722471E0
4.405043100E-2,9.056833267E0,-4.905286431E-2,3.745365620E0
4.643241000E-2,9.066405296E0,-3.948157281E-2,3.711267948E0
4.881433700E-2,9.056833267E0,-4.905286431E-2,3.668795347E0
5.119631600E-2,9.061619759E0,-5.922235921E-2,3.630510092E0
5.357829600E-2,9.085547447E0,-6.340979785E-2,3.601796389E0
5.596022300E-2,9.119047165E0,-8.255238086E-2,3.582653761E0
5.834220200E-2,9.124430656E0,-1.016949639E-1,3.558725595E0
6.072418100E-2,9.143573761E0,-1.351944804E-1,3.530011654E0
6.310616000E-2,9.139386177E0,-1.734796464E-1,3.496512175E0
6.548808700E-2,9.144171715E0,-1.686939895E-1,3.501297712E0
6.787006600E-2,9.153742790E0,-1.728814393E-1,3.510869026E0
7.025204600E-2,9.177671432E0,-1.776670814E-1,3.553939819E0
7.263397300E-2,9.187242508E0,-1.962114573E-1,3.635295868E0
7.501595200E-2,9.215956688E0,-2.099701911E-1,3.717249870E0
7.739793100E-2,9.249456406E0,-2.183450609E-1,3.784249067E0
7.977991000E-2,9.287740707E0,-2.225325108E-1,3.832105398E0
8.216183700E-2,9.297910690E0,-2.273181528E-1,3.860819340E0
8.454381600E-2,9.278767586E0,-2.327020019E-1,3.822534084E0
8.692579600E-2,9.293125153E0,-2.518445849E-1,3.774677753E0
8.930772300E-2,9.269196510E0,-2.572284341E-1,3.674179077E0
9.168970200E-2,9.211769104E0,-2.775674164E-1,3.568894863E0
9.407168100E-2,9.168698311E0,-2.781656384E-1,3.468396425E0
9.645360800E-2,9.130413055E0,-2.745763958E-1,3.391826153E0
9.883558700E-2,9.125627518E0,-2.745763958E-1,3.353540897E0
1.012175660E-1,9.116056442E0,-2.650051117E-1,3.329612732E0
1.035995460E-1,9.101698875E0,-2.745763958E-1,3.339184046E0
1.059814730E-1,9.096913338E0,-2.608176768E-1,3.339184046E0
