"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.304829600E-2,-2.137965336E-2,5.803049076E-3,-4.581354558E-3
5.543022300E-2,-1.893626526E-2,4.581354558E-3,-5.803049076E-3
5.781220200E-2,-1.527118124E-2,7.024743594E-3,-4.581354558E-3
6.019418100E-2,-1.267508045E-2,4.581354558E-3,-9.162708884E-4
6.257616000E-2,-9.009997360E-3,2.290677279E-3,1.527118147E-3
6.495808700E-2,-2.748812549E-3,-2.596100792E-3,1.679830020E-3
6.734006600E-2,5.955760833E-3,-9.773556143E-3,4.123218823E-3
6.972204600E-2,1.221694518E-2,-1.466033421E-2,5.344913341E-3
7.210397300E-2,1.969982497E-2,-1.588202827E-2,1.679830020E-3
7.448595200E-2,2.702999115E-2,-1.099525020E-2,-7.635590737E-4
7.686793100E-2,3.313846514E-2,-3.665083554E-3,-3.206948051E-3
7.924991000E-2,3.924693540E-2,9.773556143E-3,-6.872031838E-3
8.163183700E-2,4.046862945E-2,2.305948362E-2,-6.872031838E-3
8.401381600E-2,3.909422457E-2,3.756710514E-2,-9.468132630E-3
8.639579600E-2,3.787253052E-2,4.856235534E-2,-1.191152167E-2
8.877772300E-2,3.527642787E-2,5.940489471E-2,-1.068982668E-2
9.115970200E-2,3.283303976E-2,6.429167092E-2,-8.246437646E-3
9.354168100E-2,3.283303976E-2,5.696150661E-2,-5.803049076E-3
9.592360800E-2,3.420744836E-2,4.978405312E-2,-4.581354558E-3
9.830558700E-2,3.542914242E-2,4.001049697E-2,-3.206948051E-3
1.006875660E-1,3.924693540E-2,2.916795574E-2,-1.985253533E-3
1.030695460E-1,4.062134400E-2,1.466033421E-2,4.581354442E-4
1.054514730E-1,4.306473210E-2,4.886778072E-3,4.581354442E-4
1.078334520E-1,4.443913698E-2,-4.734066315E-3,6.108472589E-4
1.102154310E-1,4.443913698E-2,-1.328592747E-2,6.108472589E-4
1.125973580E-1,4.321744293E-2,-1.817270555E-2,5.497625098E-3
1.149793370E-1,3.955236077E-2,-2.290677279E-2,7.941014133E-3
1.173613160E-1,3.588727489E-2,-2.412846684E-2,9.162709117E-3
1.197432960E-1,3.222219273E-2,-2.779355086E-2,1.038440317E-2
1.221252230E-1,2.718270384E-2,-3.268032894E-2,9.162709117E-3
1.245072020E-1,2.351761982E-2,-3.756710514E-2,1.282779220E-2
1.268891810E-1,1.740914769E-2,-4.367557913E-2,1.404948719E-2
1.292711080E-1,1.252236869E-2,-4.978405312E-2,1.282779220E-2
1.316530870E-1,8.857285604E-3,-5.940489471E-2,1.282779220E-2
1.340350660E-1,6.413896102E-3,-6.917845458E-2,1.404948719E-2
1.364169930E-1,3.970507067E-3,-8.017370105E-2,1.282779220E-2
1.387989730E-1,3.970507067E-3,-8.735115826E-2,1.038440317E-2
1.411809520E-1,3.054236295E-4,-9.223793447E-2,6.719320081E-3
1.435629310E-1,-2.290677279E-3,-9.239064902E-2,5.497625098E-3
1.459448580E-1,-5.955760833E-3,-8.750387281E-2,1.832541777E-3
1.483268370E-1,-1.221694518E-2,-7.788302749E-2,-6.108472589E-4
1.507088160E-1,-1.481304597E-2,-6.810946763E-2,-7.635590737E-4
1.530907430E-1,-1.985253580E-2,-5.360184610E-2,-3.206948051E-3
1.554727230E-1,-2.107422985E-2,-4.275930673E-2,-4.428642802E-3
1.578547020E-1,-2.244863659E-2,-3.176405653E-2,-4.428642802E-3
1.602366810E-1,-2.122694254E-2,-2.214321308E-2,-5.803049076E-3
1.626186080E-1,-1.511846948E-2,-1.114796288E-2,-4.581354558E-3
1.650005870E-1,-1.023169141E-2,-3.817795310E-3,-3.359660041E-3
1.673825660E-1,-3.054236295E-4,1.068982761E-3,-5.803049076E-3
1.697644930E-1,7.177455351E-3,4.734066315E-3,-1.985253533E-3
1.721464730E-1,1.450762246E-2,1.206423342E-2,4.581354442E-4
1.745284520E-1,2.199050039E-2,1.939439960E-2,1.679830020E-3
1.769103790E-1,2.809897438E-2,2.428117767E-2,4.123218823E-3
1.792923580E-1,3.313846514E-2,2.550287358E-2,7.788302377E-3
1.816743370E-1,3.680354729E-2,2.794626169E-2,1.145338640E-2
1.840563160E-1,4.306473210E-2,2.687728032E-2,1.389677543E-2
1.864382430E-1,4.672981426E-2,2.687728032E-2,1.511846948E-2
1.888202230E-1,4.810422286E-2,2.199050039E-2,1.756185852E-2
1.912022020E-1,4.688252881E-2,1.236965694E-2,1.649287529E-2
1.935841290E-1,4.810422286E-2,3.817795310E-3,1.771457121E-2
1.959661080E-1,4.581354558E-2,-4.734066315E-3,2.015795931E-2
1.983480870E-1,4.703523964E-2,-9.468132630E-3,2.015795931E-2
2.007300660E-1,4.703523964E-2,-1.801999472E-2,2.137965336E-2
2.031119930E-1,4.840964451E-2,-2.641914412E-2,2.382304333E-2
2.054939730E-1,4.718795046E-2,-3.130592033E-2,2.641914412E-2
2.078759520E-1,4.718795046E-2,-3.619270027E-2,2.764083818E-2
2.102578790E-1,4.718795046E-2,-3.863608837E-2,2.886253223E-2
2.126398580E-1,4.963133857E-2,-4.214845970E-2,2.764083818E-2
2.150218370E-1,5.344913527E-2,-4.214845970E-2,2.886253223E-2
2.174037640E-1,5.589252338E-2,-4.337015375E-2,2.886253223E-2
2.197857430E-1,5.833591148E-2,-4.337015375E-2,2.886253223E-2
2.221677230E-1,6.093201414E-2,-4.581354558E-2,2.886253223E-2
2.245497020E-1,6.337540597E-2,-4.459185153E-2,2.886253223E-2
2.269316290E-1,6.581879407E-2,-4.581354558E-2,2.886253223E-2
2.293136080E-1,6.581879407E-2,-5.054761097E-2,2.764083818E-2
2.316955870E-1,6.581879407E-2,-5.176930502E-2,2.764083818E-2
2.340775140E-1,6.581879407E-2,-5.299099907E-2,2.519745007E-2
2.364594930E-1,6.459710002E-2,-5.421269313E-2,2.397575416E-2
2.388414730E-1,6.093201414E-2,-5.192201585E-2,2.031067200E-2
2.412234520E-1,5.589252338E-2,-4.337015375E-2,1.908897609E-2
2.436053790E-1,4.474456236E-2,-3.741439432E-2,2.275406010E-2
2.459873580E-1,3.466558084E-2,-2.901524492E-2,2.137965336E-2
2.483693370E-1,2.596100792E-2,-2.061609551E-2,1.771457121E-2
2.507512640E-1,1.725643501E-2,-1.084253844E-2,1.634016447E-2
2.531332430E-1,7.330167107E-3,-1.221694518E-3,1.511846948E-2
2.555152230E-1,-1.527118147E-4,4.734066315E-3,1.267508045E-2
2.578972020E-1,-5.192201585E-3,9.620844387E-3,1.145338640E-2
2.602791290E-1,-1.023169141E-2,1.435491070E-2,1.130067464E-2
2.626611080E-1,-1.389677543E-2,1.801999472E-2,1.130067464E-2
2.650430870E-1,-1.771457121E-2,2.168507688E-2,8.857285604E-3
2.674250140E-1,-2.260134928E-2,2.641914412E-2,1.130067464E-2
2.698069930E-1,-2.397575416E-2,3.130592033E-2,1.007897966E-2
2.721889730E-1,-2.764083818E-2,3.130592033E-2,8.857285604E-3
2.745709000E-1,-2.764083818E-2,3.252761811E-2,8.857285604E-3
2.769528790E-1,-2.764083818E-2,3.497100621E-2,8.857285604E-3
2.793348580E-1,-2.519745007E-2,3.741439432E-2,6.413896102E-3
2.817168370E-1,-2.519745007E-2,3.497100621E-2,5.192201585E-3
2.840987640E-1,-2.519745007E-2,3.497100621E-2,5.192201585E-3
2.864807430E-1,-2.519745007E-2,3.252761811E-2,3.970507067E-3
2.888627230E-1,-2.153236605E-2,3.130592033E-2,-9.162708884E-4
2.912446500E-1,-2.275406010E-2,3.130592033E-2,-4.734066315E-3
2.936266290E-1,-1.786728203E-2,3.130592033E-2,-7.024743594E-3
2.960086080E-1,-1.420219894E-2,3.008422814E-2,-1.313321572E-2
2.983905350E-1,-1.298050396E-2,2.886253223E-2,-1.572931744E-2
3.007725140E-1,-1.175880991E-2,2.886253223E-2,-1.939439960E-2
3.031544930E-1,-5.497625098E-3,2.764083818E-2,-2.428117767E-2
