"Time (s)","Pressure (hPa)"
8.634892100E-2,9.950471802E2
1.263322540E-1,9.950321045E2
1.663381390E-1,9.951013794E2
2.063542330E-1,9.950576172E2
2.463298060E-1,9.950890503E2
2.863456910E-1,9.950941772E2
3.263457430E-1,9.950999146E2
3.663379310E-1,9.950894775E2
4.063559000E-1,9.950765381E2
4.463290770E-1,9.951198730E2
4.863424100E-1,9.951281738E2
5.263398060E-1,9.951434937E2
5.663568890E-1,9.951557617E2
6.063487640E-1,9.951596069E2
6.463304830E-1,9.951392212E2
6.863408480E-1,9.951392212E2
7.263431390E-1,9.951602783E2
7.663378790E-1,9.952006226E2
8.063437640E-1,9.951674805E2
8.463322020E-1,9.951700439E2
8.863600140E-1,9.951799927E2
9.263396500E-1,9.952006226E2
9.663437120E-1,9.951753540E2
1.006342410E0,9.951823730E2
1.046333296E0,9.951700439E2
1.086338764E0,9.951825562E2
1.126336837E0,9.951757812E2
1.166339389E0,9.951757812E2
1.206337358E0,9.951653442E2
1.246329650E0,9.951751099E2
1.286344441E0,9.951757812E2
1.326348035E0,9.951878662E2
1.366335900E0,9.951961670E2
1.406346577E0,9.951779175E2
1.446332983E0,9.951961670E2
1.486344233E0,9.952050781E2
1.526341889E0,9.952046509E2
1.566339806E0,9.952301636E2
1.606344129E0,9.952072144E2
1.646329337E0,9.952020874E2
1.686343608E0,9.952258911E2
1.726341056E0,9.952276001E2
1.766341525E0,9.951970215E2
1.806345327E0,9.952025146E2
1.846333504E0,9.951972046E2
1.886349389E0,9.952155151E2
1.926346421E0,9.952156982E2
1.966345691E0,9.952307739E2
2.006380639E0,9.952129517E2
2.046333035E0,9.952386475E2
2.086341785E0,9.952229614E2
2.126345379E0,9.952031860E2
2.166353035E0,9.952110596E2
2.206329650E0,9.951978760E2
2.246331941E0,9.952205811E2
2.286338243E0,9.952156982E2
2.326329754E0,9.952520752E2
2.366333400E0,9.952443848E2
2.406327983E0,9.952059326E2
2.446330639E0,9.952053223E2
2.486336681E0,9.952135620E2
2.526334025E0,9.952163696E2
2.566353921E0,9.952242432E2
2.606345223E0,9.952242432E2
2.646329389E0,9.952242432E2
2.686334858E0,9.952267456E2
2.726341160E0,9.952188721E2
2.766336316E0,9.952037964E2
2.806334546E0,9.951961670E2
2.846333191E0,9.952114868E2
2.886329754E0,9.952324829E2
2.926329910E0,9.951727905E2
2.966349650E0,9.952139893E2
3.006340066E0,9.952165527E2
3.046333296E0,9.952225342E2
3.086345952E0,9.952142334E2
3.126330327E0,9.952089233E2
3.166358243E0,9.952067871E2
3.206347566E0,9.951961670E2
3.246331421E0,9.952246094E2
3.286333296E0,9.952218628E2
3.326337514E0,9.952225342E2
3.366338348E0,9.952303467E2
3.406332410E0,9.952146606E2
3.446335431E0,9.951963501E2
3.486328348E0,9.952407837E2
3.526336577E0,9.952205811E2
3.566333191E0,9.952102051E2
3.606332358E0,9.952099609E2
3.646333035E0,9.952167969E2
3.686336993E0,9.952014771E2
3.726345952E0,9.952250366E2
3.766357462E0,9.952172241E2
3.806340587E0,9.952329102E2
3.846325327E0,9.952231445E2
3.886331473E0,9.952271729E2
3.926338504E0,9.952131348E2
3.966357098E0,9.952310181E2
4.006338243E0,9.952360840E2
4.046330431E0,9.952418213E2
4.086338973E0,9.952395020E2
4.126369441E0,9.952258911E2
4.166339910E0,9.952314453E2
4.206329441E0,9.952263184E2
4.246324493E0,9.952624512E2
4.286332983E0,9.952212524E2
4.326334806E0,9.952335815E2
4.366357931E0,9.952112427E2
4.406335796E0,9.952295532E2
4.446329025E0,9.952261353E2
4.486335327E0,9.952316284E2
4.526331160E0,9.952320557E2
4.566337723E0,9.952442017E2
4.606333816E0,9.952291260E2
4.646335743E0,9.952395020E2
4.686333973E0,9.952373657E2
