"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.747265400E-2,9.684949875E0,1.006780148E0,1.366899967E0
2.985494500E-2,9.627521515E0,9.966106415E-1,1.400997639E0
3.223723700E-2,9.580264091E0,9.481559992E-1,1.405783296E0
3.461958100E-2,9.542576790E0,9.146564603E-1,1.448854089E0
3.700187300E-2,9.499505997E0,8.470591903E-1,1.444666624E0
3.938416400E-2,9.461818695E0,7.992027402E-1,1.435095429E0
4.176645600E-2,9.452845573E0,7.704889178E-1,1.430907965E0
4.414874800E-2,9.428917885E0,7.411768436E-1,1.406979680E0
4.653103900E-2,9.429515839E0,6.981059909E-1,1.406979680E0
4.891333100E-2,9.415757179E0,6.550351977E-1,1.417149186E0
5.129562300E-2,9.425328255E0,6.406782866E-1,1.421934843E0
5.367791400E-2,9.416355133E0,5.832505226E-1,1.421934843E0
5.606020600E-2,9.426525116E0,5.449653864E-1,1.412363529E0
5.844249800E-2,9.431310654E0,5.162515044E-1,1.403390527E0
6.082478900E-2,9.441479683E0,4.875376225E-1,1.379462242E0
6.320713300E-2,9.455837250E0,4.492524564E-1,1.360319614E0
6.558942500E-2,9.470791817E0,4.061816335E-1,1.350748420E0
6.797171600E-2,9.485149384E0,4.019941986E-1,1.345962763E0
7.035400800E-2,9.494720459E0,4.115654826E-1,1.365105271E0
7.273630000E-2,9.518648148E0,4.259224236E-1,1.374676585E0
7.511859100E-2,9.547362328E0,4.313062727E-1,1.389033556E0
7.750088300E-2,9.566504478E0,4.600201547E-1,1.393819213E0
7.988317500E-2,9.576076508E0,4.791627228E-1,1.393819213E0
8.226546600E-2,9.599406242E0,4.941178858E-1,1.417747378E0
8.464775800E-2,9.604191780E0,5.036891699E-1,1.436291814E0
8.703005000E-2,9.623334885E0,5.042873621E-1,1.441077471E0
8.941234100E-2,9.613762856E0,5.132604837E-1,1.455434322E0
9.179463300E-2,9.618548393E0,5.180460811E-1,1.441077471E0
9.417697700E-2,9.632905960E0,5.234299302E-1,1.460219979E0
9.655926800E-2,9.632308006E0,5.569294691E-1,1.460219979E0
9.894156000E-2,9.656235695E0,5.766702294E-1,1.484148264E0
1.013238520E-1,9.665208817E0,6.197410822E-1,1.473978758E0
1.037061430E-1,9.679565430E0,6.394818425E-1,1.488335729E0
1.060884350E-1,9.688538551E0,6.586244106E-1,1.488335729E0
1.084707270E-1,9.678967476E0,6.825526357E-1,1.493121386E0
1.108530180E-1,9.692726135E0,7.016952634E-1,1.478764415E0
1.132353100E-1,9.697511673E0,7.256234884E-1,1.478764415E0
1.156176020E-1,9.701699257E0,7.543373108E-1,1.478166223E0
1.179999450E-1,9.725627899E0,7.782655358E-1,1.478166223E0
1.203822370E-1,9.739386559E0,8.021938205E-1,1.473380566E0
1.227645290E-1,9.739386559E0,8.309076428E-1,1.478166223E0
1.251468200E-1,9.753743172E0,8.500502706E-1,1.482951880E0
1.275291120E-1,9.772287369E0,8.602197170E-1,1.477568030E0
1.299114040E-1,9.743574142E0,8.787640929E-1,1.467996716E0
1.322936950E-1,9.743574142E0,9.074779749E-1,1.434497118E0
1.346759870E-1,9.729216576E0,8.829515576E-1,1.420140266E0
1.370582790E-1,9.714859962E0,8.829515576E-1,1.396211982E0
1.394405700E-1,9.700503349E0,8.685946465E-1,1.391426325E0
1.418228620E-1,9.724431038E0,8.685946465E-1,1.386640668E0
1.442052060E-1,9.729216576E0,8.877372146E-1,1.386640668E0
1.465874980E-1,9.747760773E0,9.068797827E-1,1.386640668E0
1.489697890E-1,9.762716293E0,8.931210637E-1,1.405783296E0
1.513520810E-1,9.796216011E0,8.554341197E-1,1.420140266E0
1.537343730E-1,9.820143700E0,8.362914920E-1,1.420738459E0
1.561166640E-1,9.820742607E0,7.932206988E-1,1.439880967E0
1.584989560E-1,9.830911636E0,7.651050687E-1,1.439880967E0
1.608812480E-1,9.854840279E0,7.603194118E-1,1.435095429E0
1.632635390E-1,9.850054741E0,7.268198729E-1,1.435095429E0
1.656458830E-1,9.869196892E0,7.363911867E-1,1.415952802E0
1.680281230E-1,9.873982430E0,7.268198729E-1,1.396810174E0
1.704104660E-1,9.864411354E0,7.363911867E-1,1.392024517E0
