"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.170723700E-2,1.679830020E-3,9.575030953E-2,-9.773556143E-3
3.408958100E-2,1.404948719E-2,9.575030953E-2,-8.551862091E-3
3.647187300E-2,2.397575416E-2,9.712471068E-2,-8.399149403E-3
3.885416400E-2,3.390202299E-2,9.712471068E-2,-8.399149403E-3
4.123645600E-2,4.260659590E-2,9.834641218E-2,-7.177455351E-3
4.361874800E-2,4.886778072E-2,9.727742523E-2,-4.734066315E-3
4.600103900E-2,5.375456065E-2,9.483403713E-2,-3.512371797E-3
4.838333100E-2,6.245913357E-2,9.361234307E-2,-9.162708884E-4
5.076562300E-2,6.627693027E-2,9.132166207E-2,1.527118147E-3
5.314791400E-2,7.238540053E-2,8.765657991E-2,2.748812549E-3
5.553020600E-2,7.742489129E-2,8.521319181E-2,1.527118147E-3
5.791249800E-2,8.246438205E-2,8.414421231E-2,2.748812549E-3
6.029478900E-2,8.246438205E-2,7.803573459E-2,2.748812549E-3
6.267713300E-2,8.124268800E-2,7.192726433E-2,3.970507067E-3
6.505942500E-2,8.002099395E-2,6.230641901E-2,5.344913341E-3
6.744171600E-2,7.879929990E-2,5.253286287E-2,5.344913341E-3
6.982400800E-2,7.146912813E-2,4.153761268E-2,5.344913341E-3
7.220630000E-2,6.536065787E-2,3.191677108E-2,4.123218823E-3
7.458859100E-2,5.665608495E-2,2.336490713E-2,4.123218823E-3
7.697088300E-2,5.176930502E-2,1.481304597E-2,5.344913341E-3
7.935317500E-2,4.566083103E-2,9.926267900E-3,6.566607859E-3
8.173546600E-2,3.817795217E-2,2.596100792E-3,6.566607859E-3
8.411775800E-2,3.206948191E-2,-4.734066315E-3,6.566607859E-3
8.650005000E-2,2.580829710E-2,-8.399149403E-3,6.566607859E-3
8.888234100E-2,2.336490713E-2,-1.084253844E-2,6.566607859E-3
9.126463300E-2,1.847812906E-2,-1.328592747E-2,1.023169141E-2
9.364697700E-2,1.359135192E-2,-1.328592747E-2,1.023169141E-2
9.602926800E-2,7.330167107E-3,-1.450762246E-2,7.788302377E-3
9.841156000E-2,2.290677279E-3,-1.572931744E-2,7.635590620E-3
1.007938520E-1,-1.374406274E-3,-1.939439960E-2,5.192201585E-3
1.031761430E-1,-1.374406274E-3,-1.817270555E-2,3.970507067E-3
1.055584350E-1,-3.817795310E-3,-1.588202827E-2,3.970507067E-3
1.079407270E-1,-3.817795310E-3,-1.466033421E-2,1.527118147E-3
1.103230180E-1,-3.970507067E-3,-1.099525020E-2,3.054236295E-4
1.127053100E-1,-3.970507067E-3,-8.551862091E-3,-9.162708884E-4
1.150876020E-1,-1.527118147E-3,-8.551862091E-3,-3.359660041E-3
1.174699450E-1,9.162708884E-4,-6.108472589E-3,-5.803049076E-3
1.198522370E-1,4.734066315E-3,-3.665083554E-3,-8.246437646E-3
1.222345290E-1,8.399149403E-3,-4.886778072E-3,-9.468132630E-3
1.246168200E-1,1.084253844E-2,-1.221694518E-3,-1.191152167E-2
1.269991120E-1,1.206423342E-2,1.221694518E-3,-1.313321572E-2
1.293814040E-1,1.450762246E-2,2.443389036E-3,-1.068982668E-2
1.317636950E-1,1.450762246E-2,6.108472589E-3,-8.246437646E-3
1.341459870E-1,1.572931744E-2,7.330167107E-3,-4.581354558E-3
1.365282790E-1,1.450762246E-2,6.108472589E-3,-3.359660041E-3
1.389105700E-1,1.572931744E-2,8.551862091E-3,-3.359660041E-3
1.412928620E-1,1.832541823E-2,9.773556143E-3,-4.581354558E-3
1.436752060E-1,2.199050039E-2,1.221694518E-2,-2.137965523E-3
1.460574980E-1,2.947338112E-2,1.221694518E-2,-3.359660041E-3
1.484397890E-1,3.680354729E-2,1.588202827E-2,-5.803049076E-3
1.508220810E-1,4.169032723E-2,2.199050039E-2,-8.246437646E-3
1.532043730E-1,4.428642616E-2,2.443389036E-2,-4.581354558E-3
1.555866640E-1,4.169032723E-2,2.809897438E-2,-4.581354558E-3
1.579689560E-1,4.046862945E-2,3.527642787E-2,-2.137965523E-3
1.603512480E-1,3.787253052E-2,4.260659590E-2,-3.359660041E-3
1.627335390E-1,3.787253052E-2,4.993676394E-2,-3.359660041E-3
1.651158830E-1,3.665083647E-2,5.344913527E-2,-2.137965523E-3
1.674981230E-1,3.542914242E-2,6.077930331E-2,3.054236295E-4
1.698804660E-1,3.787253052E-2,6.933116168E-2,3.054236295E-4
1.722627580E-1,3.649812192E-2,7.177454978E-2,3.054236295E-4
1.746450500E-1,3.909422457E-2,7.421794534E-2,3.054236295E-4
1.770273410E-1,3.649812192E-2,7.650861889E-2,1.527118147E-4
1.794096330E-1,3.771981969E-2,7.895200700E-2,1.374406274E-3
1.817919250E-1,3.649812192E-2,8.139539510E-2,2.596100792E-3
1.841742160E-1,3.405473381E-2,8.261708915E-2,2.596100792E-3
1.865565080E-1,3.161134571E-2,8.383878320E-2,3.817795310E-3
1.889388000E-1,2.779355086E-2,8.628217876E-2,5.039489828E-3
1.913210910E-1,2.779355086E-2,8.628217876E-2,7.482878864E-3
1.937034350E-1,2.412846684E-2,8.628217876E-2,9.926267900E-3
1.960857270E-1,2.168507688E-2,8.994726092E-2,8.704573847E-3
1.984680180E-1,1.924168877E-2,9.101624042E-2,1.114796288E-2
2.008503100E-1,1.924168877E-2,8.750387281E-2,9.926267900E-3
2.032326020E-1,1.786728203E-2,8.979454637E-2,9.926267900E-3
2.056148930E-1,1.664558798E-2,8.979454637E-2,8.704573847E-3
2.079971850E-1,1.420219894E-2,8.612946421E-2,9.926267900E-3
2.103794770E-1,1.298050396E-2,8.612946421E-2,8.704573847E-3
2.127617680E-1,1.298050396E-2,8.735115826E-2,6.261184346E-3
2.151440600E-1,1.053711493E-2,8.368607610E-2,3.817795310E-3
