"Time (s)","Pressure (hPa)"
8.297505000E-2,1.008035645E3
1.229662480E-1,1.008044312E3
1.629659350E-1,1.008013977E3
2.029683310E-1,1.008014404E3
2.429627580E-1,1.008010132E3
2.829641640E-1,1.008056213E3
3.229655700E-1,1.008036499E3
3.629680180E-1,1.008019714E3
4.029655180E-1,1.008035645E3
4.429627060E-1,1.008037109E3
4.829734870E-1,1.008033691E3
5.229675500E-1,1.008064941E3
5.629667160E-1,1.008024597E3
6.029661430E-1,1.008018433E3
6.429679140E-1,1.008037781E3
6.829675500E-1,1.008038147E3
7.229658310E-1,1.008016907E3
7.629672890E-1,1.008042236E3
8.029628620E-1,1.008055603E3
8.429656230E-1,1.008047119E3
8.829655180E-1,1.008065369E3
9.229716120E-1,1.008079834E3
9.629657270E-1,1.008063904E3
1.002962081E0,1.008079834E3
1.042965675E0,1.008062805E3
1.082968227E0,1.008039856E3
1.122966143E0,1.008065369E3
1.162974060E0,1.008088562E3
1.202965935E0,1.008073242E3
1.242967966E0,1.008107056E3
1.282965362E0,1.008127197E3
1.322965935E0,1.008098755E3
1.362971925E0,1.008121460E3
1.402965883E0,1.008124023E3
1.442966768E0,1.008129578E3
1.482966768E0,1.008134216E3
1.522966195E0,1.008185852E3
1.562958227E0,1.008201355E3
1.602958956E0,1.008225586E3
1.642959685E0,1.008170349E3
1.682958956E0,1.008191589E3
1.722960675E0,1.008220093E3
1.762958435E0,1.008195190E3
1.802965258E0,1.008252563E3
1.842961612E0,1.008226257E3
1.882958643E0,1.008213684E3
1.922961195E0,1.008226868E3
1.962960258E0,1.008223450E3
2.002964320E0,1.008262146E3
2.042959373E0,1.008243469E3
2.082961404E0,1.008230286E3
2.122964529E0,1.008244080E3
2.162962966E0,1.008279785E3
2.202966664E0,1.008259155E3
2.242960050E0,1.008279175E3
2.282960206E0,1.008273865E3
2.322961508E0,1.008265564E3
2.362959841E0,1.008297852E3
2.402961039E0,1.008299744E3
2.442962758E0,1.008321655E3
