"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.661135500E-2,9.195018768E0,-1.424925923E0,2.090130568E0
1.899323000E-2,9.189635277E0,-1.372283816E0,2.152343988E0
2.137515700E-2,9.189635277E0,-1.323829174E0,2.233700037E0
2.375708400E-2,9.227322578E0,-1.280160069E0,2.343171597E0
2.613895900E-2,9.260822296E0,-1.269990563E0,2.458027124E0
2.852088600E-2,9.299106598E0,-1.287936807E0,2.558525562E0
3.090276100E-2,9.308678627E0,-1.263410330E0,2.711666346E0
3.328468800E-2,9.342177391E0,-1.277169108E0,2.788236618E0
3.566656300E-2,9.399605751E0,-1.261615753E0,2.827120066E0
3.804849000E-2,9.446864128E0,-1.251446247E0,2.874976397E0
4.043036500E-2,9.446864128E0,-1.241874933E0,2.913261652E0
4.281229200E-2,9.451649666E0,-1.236491084E0,2.951546669E0
4.519416700E-2,9.418747902E0,-1.256231904E0,2.908475876E0
4.757609400E-2,9.409176826E0,-1.271187067E0,2.870190859E0
4.995796900E-2,9.356534958E0,-1.281356573E0,2.817548752E0
5.233989600E-2,9.342177391E0,-1.281954765E0,2.783450842E0
5.472182300E-2,9.318847656E0,-1.301097274E0,2.759522676E0
5.710369800E-2,9.280562401E0,-1.292124271E0,2.730808735E0
5.948562500E-2,9.260822296E0,-1.278365493E0,2.716451883E0
6.186750000E-2,9.246464729E0,-1.283151150E0,2.726023197E0
6.424942700E-2,9.203393936E0,-1.274178028E0,2.711666346E0
6.663130200E-2,9.189037323E0,-1.245464206E0,2.697309256E0
6.901323000E-2,9.164510727E0,-1.212562919E0,2.697309256E0
7.139510500E-2,9.145966530E0,-1.212562919E0,2.682952404E0
7.377703200E-2,9.150154114E0,-1.188634634E0,2.687737942E0
7.615890700E-2,9.140582085E0,-1.198205948E0,2.678166628E0
7.854083400E-2,9.140582085E0,-1.169492126E0,2.668595552E0
8.092270900E-2,9.150154114E0,-1.159920812E0,2.653640270E0
8.330463600E-2,9.159127235E0,-1.135992527E0,2.658426046E0
8.568656300E-2,9.173483849E0,-1.155135155E0,2.653640270E0
8.806843800E-2,9.192625999E0,-1.149751306E0,2.677568436E0
9.045036500E-2,9.211769104E0,-1.144965649E0,2.682354212E0
9.283224000E-2,9.212367058E0,-1.173679471E0,2.720639229E0
9.521416700E-2,9.226723671E0,-1.168295622E0,2.725425005E0
9.759604200E-2,9.226723671E0,-1.173081279E0,2.744567633E0
9.997796900E-2,9.221938133E0,-1.192223907E0,2.764308453E0
1.023598440E-1,9.236295700E0,-1.206580877E0,2.769093990E0
1.047417710E-1,9.231510162E0,-1.206580877E0,2.749951363E0
1.071236460E-1,9.227322578E0,-1.225723386E0,2.759522676E0
1.095055730E-1,9.232108116E0,-1.235294700E0,2.764308453E0
1.118874480E-1,9.203393936E0,-1.259222865E0,2.778665304E0
1.142693750E-1,9.198608398E0,-1.259222865E0,2.783450842E0
1.166512500E-1,9.193822861E0,-1.264008522E0,2.793022156E0
1.190331770E-1,9.198608398E0,-1.259222865E0,2.793022156E0
1.214151050E-1,9.189037323E0,-1.249651670E0,2.788236618E0
1.237969800E-1,9.194420815E0,-1.273579836E0,2.764308453E0
1.261789070E-1,9.193822861E0,-1.249651670E0,2.778665304E0
1.285607820E-1,9.203393936E0,-1.254437327E0,2.788236618E0
1.309427090E-1,9.189037323E0,-1.259821177E0,2.759522676E0
1.333245840E-1,9.193822861E0,-1.249651670E0,2.764308453E0
1.357065110E-1,9.212965012E0,-1.230509043E0,2.773879766E0
1.380883860E-1,9.217751503E0,-1.225723386E0,2.793022156E0
1.404703130E-1,9.231510162E0,-1.197009563E0,2.812762976E0
1.428521880E-1,9.241081238E0,-1.186840057E0,2.860619545E0
1.452341150E-1,9.260223389E0,-1.182054400E0,2.879761934E0
1.476159900E-1,9.279366493E0,-1.186241865E0,2.927618504E0
1.499979170E-1,9.293723106E0,-1.161715388E0,2.974876642E0
1.523797920E-1,9.307481766E0,-1.156929731E0,3.013161898E0
1.547617190E-1,9.326624870E0,-1.132403374E0,3.051447153E0
1.571435940E-1,9.350552559E0,-1.118046403E0,3.075375319E0
1.595255210E-1,9.364909172E0,-1.112662554E0,3.099303484E0
1.619074480E-1,9.378668785E0,-1.098305583E0,3.108874798E0
1.642893230E-1,9.373882294E0,-1.069591761E0,3.104089260E0
1.666712500E-1,9.378668785E0,-1.079162955E0,3.123231649E0
1.690531250E-1,9.378668785E0,-1.055234790E0,3.117847919E0
1.714350520E-1,9.392427444E0,-1.049850941E0,3.141776085E0
1.738169270E-1,9.368498802E0,-1.036092162E0,3.136990547E0
1.761988550E-1,9.358927727E0,-1.012163997E0,3.165704250E0
1.785807300E-1,9.411569595E0,-1.011565804E0,3.117847919E0
1.809626570E-1,9.425328255E0,-9.972088337E-1,3.117847919E0
1.833445320E-1,9.420542717E0,-9.876375198E-1,3.122633457E0
1.857264590E-1,9.410971642E0,-9.589236975E-1,3.160918713E0
1.881083340E-1,9.410971642E0,-9.445667267E-1,3.165704250E0
1.904902610E-1,9.376873970E0,-9.212366939E-1,3.169891834E0
1.928721880E-1,9.386445045E0,-9.164510965E-1,3.179463148E0
1.952540630E-1,9.376873970E0,-8.973084688E-1,3.165106058E0
1.976359380E-1,9.376873970E0,-8.877372146E-1,3.145963669E0
2.000178650E-1,9.372088432E0,-8.781659007E-1,3.136392355E0
2.023997920E-1,9.372088432E0,-8.925228715E-1,3.117249727E0
2.047816670E-1,9.362516403E0,-8.787640929E-1,3.102892876E0
2.071635940E-1,9.366703987E0,-8.691928387E-1,3.074178934E0
2.095454690E-1,9.347561836E0,-8.739784956E-1,3.069393158E0
2.119273960E-1,9.352347374E0,-8.548358679E-1,3.059821844E0
2.143092710E-1,9.366703987E0,-8.500502706E-1,3.035893679E0
2.166911980E-1,9.361918449E0,-8.596215248E-1,3.026322365E0
2.190730730E-1,9.347561836E0,-8.650053740E-1,3.016751051E0
2.214550000E-1,9.352347374E0,-8.745766878E-1,3.011965513E0
2.238368750E-1,9.347561836E0,-8.931210637E-1,2.988037348E0
2.262188020E-1,9.338588715E0,-9.026923180E-1,2.988037348E0
2.286007300E-1,9.343374252E0,-9.170492887E-1,2.992822886E0
2.309826050E-1,9.348159790E0,-9.409775138E-1,2.997608662E0
2.333645320E-1,9.363115311E0,-9.601200819E-1,3.017349243E0
2.357464070E-1,9.377471924E0,-9.690931439E-1,3.065205812E0
2.381283340E-1,9.396614075E0,-1.001994491E0,3.065205812E0
2.405102090E-1,9.382257462E0,-1.012163997E0,3.065205812E0
2.428921360E-1,9.378069878E0,-1.064806104E0,3.022135019E0
2.452740110E-1,9.387641907E0,-1.064806104E0,2.993421078E0
2.476559380E-1,9.373882294E0,-1.094118118E0,2.955734253E0
2.500378130E-1,9.344570160E0,-1.070189953E0,2.926422119E0
2.524197400E-1,9.344570160E0,-1.061216831E0,2.902493954E0
2.548016150E-1,9.315856934E0,-1.037288666E0,2.897708178E0
2.571835420E-1,9.320642471E0,-1.027717352E0,2.873780012E0
2.595654690E-1,9.296713829E0,-1.018744230E0,2.892922640E0
2.619473440E-1,9.301499367E0,-1.008574724E0,2.912065268E0
2.643292710E-1,9.315258980E0,-9.894321561E-1,2.950350285E0
2.667111460E-1,9.334401131E0,-9.888339639E-1,2.988635540E0
2.690930730E-1,9.348757744E0,-9.696913958E-1,3.050848961E0
2.714749480E-1,9.381659508E0,-9.445667267E-1,3.126821041E0
2.738568750E-1,9.382257462E0,-9.637092948E-1,3.156133175E0
2.762387500E-1,9.372686386E0,-9.828519225E-1,3.165704250E0
2.786206770E-1,9.358927727E0,-1.006780148E0,3.175275564E0
2.810025520E-1,9.325428009E0,-1.016949654E0,3.180061340E0
2.833844800E-1,9.306285858E0,-1.021735311E0,3.208775282E0
2.857663550E-1,9.291928291E0,-1.021735311E0,3.242274761E0
2.881482820E-1,9.326025963E0,-1.045065284E0,3.247060299E0
2.905301570E-1,9.306883812E0,-1.093519926E0,3.218944550E0
2.929120840E-1,9.269196510E0,-1.098903775E0,3.190230846E0
2.952939590E-1,9.254839897E0,-1.118046403E0,3.147160053E0
2.976758860E-1,9.254839897E0,-1.122832060E0,3.118446112E0
3.000578130E-1,9.235696793E0,-1.147358418E0,3.075375319E0
3.024396880E-1,9.206983566E0,-1.147956610E0,3.041875839E0
3.048216150E-1,9.211769104E0,-1.152742267E0,3.008376360E0
3.072034900E-1,9.211769104E0,-1.157527924E0,2.970091105E0
3.095854170E-1,9.183652878E0,-1.158126116E0,2.931805849E0
3.119672920E-1,9.183652878E0,-1.167697430E0,2.912663460E0
3.143492190E-1,9.198010445E0,-1.177268744E0,2.893520832E0
3.167310940E-1,9.188439369E0,-1.182054400E0,2.889333248E0
3.191130210E-1,9.178867340E0,-1.186840057E0,2.894119024E0
3.214948960E-1,9.183652878E0,-1.210768223E0,2.918047190E0
3.238768230E-1,9.184251785E0,-1.220339537E0,2.913261652E0
3.262586980E-1,9.184251785E0,-1.220339537E0,2.898904562E0
3.286406250E-1,9.193822861E0,-1.244267821E0,2.903690338E0
3.310225000E-1,9.208179474E0,-1.244267821E0,2.908475876E0
3.334044270E-1,9.227322578E0,-1.272383451E0,2.927618504E0
3.357863020E-1,9.227920532E0,-1.334596872E0,2.937788010E0
3.381682300E-1,9.224330902E0,-1.392024517E0,2.947359324E0
3.405501570E-1,9.189635277E0,-1.320239902E0,2.976073265E0
3.429320320E-1,9.189037323E0,-1.229312658E0,2.999403238E0
3.453139590E-1,9.202795982E0,-1.171884894E0,3.032304525E0
3.476958340E-1,9.197412491E0,-1.147956610E0,3.065804005E0
3.500777610E-1,9.230911255E0,-1.128215909E0,3.084946632E0
3.524596360E-1,9.240483284E0,-1.109073281E0,3.123231649E0
3.548415630E-1,9.240483284E0,-1.132403374E0,3.132802963E0
3.572234380E-1,9.254839897E0,-1.118046403E0,3.137588739E0
3.596053650E-1,9.273982048E0,-1.108475089E0,3.151945591E0
3.619872400E-1,9.273384094E0,-1.089332461E0,3.151945591E0
3.643691670E-1,9.282955170E0,-1.074975610E0,3.142374277E0
3.667510420E-1,9.292527199E0,-1.060618639E0,3.147160053E0
3.691329690E-1,9.282357216E0,-1.041476011E0,3.160918713E0
3.715148440E-1,9.273384094E0,-1.051047325E0,3.151347399E0
3.738967710E-1,9.306883812E0,-1.065404296E0,3.108874798E0
3.762786980E-1,9.330811501E0,-1.060020447E0,3.108276606E0
3.786605730E-1,9.315856934E0,-1.045663476E0,3.117847919E0
3.810425000E-1,9.297312737E0,-1.060618639E0,3.113660574E0
3.834243750E-1,9.297312737E0,-1.055832982E0,3.113062143E0
3.858063020E-1,9.311669350E0,-1.079761267E0,3.104089260E0
3.881881770E-1,9.321240425E0,-1.093519926E0,3.094517946E0
3.905701050E-1,9.316454887E0,-1.103689432E0,3.070589542E0
3.929519800E-1,9.321838379E0,-1.127617717E0,3.056232691E0
3.953339070E-1,9.345767021E0,-1.136590719E0,3.046661377E0
3.977157820E-1,9.336195946E0,-1.146162033E0,3.056232691E0
4.000977090E-1,9.336195946E0,-1.165304661E0,3.061018467E0
4.024795840E-1,9.336793900E0,-1.179661512E0,3.041875839E0
4.048615110E-1,9.351150513E0,-1.203589797E0,3.042474031E0
4.072434380E-1,9.355937004E0,-1.194018483E0,3.027518749E0
4.096253130E-1,9.351150513E0,-1.217946768E0,3.028116941E0
4.120072400E-1,9.360722542E0,-1.222732425E0,3.013760090E0
4.143891150E-1,9.365508080E0,-1.232303619E0,3.018545866E0
4.167710420E-1,9.341579437E0,-1.213161111E0,3.008974552E0
4.191529170E-1,9.322437286E0,-1.199402332E0,3.042474031E0
4.215348440E-1,9.312865257E0,-1.204187989E0,3.018545866E0
4.239167190E-1,9.303294182E0,-1.213759303E0,3.013760090E0
4.262986460E-1,9.298508644E0,-1.218544960E0,3.004188776E0
4.286805210E-1,9.303294182E0,-1.208973646E0,2.989831924E0
4.310624480E-1,9.317651749E0,-1.208973646E0,2.989831924E0
4.334443230E-1,9.308079720E0,-1.199402332E0,3.018545866E0
4.358262500E-1,9.274580956E0,-1.185045362E0,3.051447153E0
4.382081770E-1,9.274580956E0,-1.175474167E0,3.056232691E0
4.405900520E-1,9.284152031E0,-1.175474167E0,3.041875839E0
4.429719800E-1,9.273982048E0,-1.161117196E0,3.056232691E0
4.453538550E-1,9.259625435E0,-1.146760225E0,3.070589542E0
4.477357820E-1,9.269196510E0,-1.156331539E0,3.089732170E0
4.501176570E-1,9.250054359E0,-1.152144074E0,3.037090063E0
4.524995840E-1,9.254839897E0,-1.161715388E0,3.032304525E0
4.548814590E-1,9.245268822E0,-1.152144074E0,3.027518749E0
4.572633860E-1,9.145368576E0,-1.147956610E0,3.089732170E0
4.596452610E-1,9.111868858E0,-1.143769264E0,3.041875839E0
4.620271880E-1,9.125627518E0,-1.124626637E0,3.075375319E0
4.644090630E-1,9.206983566E0,-1.099501967E0,3.180659533E0
4.667909900E-1,9.306883812E0,-1.054636598E0,3.280559778E0
4.691728650E-1,9.363713264E0,-9.966106415E-1,3.342773199E0
4.715547920E-1,9.401400566E0,-9.481559992E-1,3.376272678E0
4.739366670E-1,9.410373688E0,-9.290133715E-1,3.399602890E0
4.763185940E-1,9.419944763E0,-8.859425783E-1,3.370888948E0
4.787004690E-1,9.424132347E0,-8.715856671E-1,3.337389469E0
4.810823960E-1,9.419346809E0,-8.715856671E-1,3.303889751E0
4.834643230E-1,9.433703423E0,-8.859425783E-1,3.265604734E0
4.858461980E-1,9.409774780E0,-8.769695163E-1,3.241676569E0
4.882281250E-1,9.381061554E0,-8.775677085E-1,3.203391314E0
4.906100000E-1,9.347561836E0,-8.781659007E-1,3.184248686E0
4.929919270E-1,9.342776299E0,-8.590233326E-1,3.179463148E0
4.953738020E-1,9.328418732E0,-8.685946465E-1,3.165106058E0
4.977557300E-1,9.319445610E0,-8.925228715E-1,3.155534744E0
5.001376050E-1,9.314660072E0,-8.835497499E-1,3.150749207E0
5.025195320E-1,9.290732384E0,-8.787640929E-1,3.165106058E0
5.049014590E-1,9.319445610E0,-9.020941257E-1,3.169891834E0
5.072833340E-1,9.319445610E0,-8.877372146E-1,3.203391314E0
5.096652090E-1,9.285946846E0,-8.835497499E-1,3.203391314E0
5.120471360E-1,9.275776863E0,-8.548358679E-1,3.222533941E0
5.144290630E-1,9.262018204E0,-8.739784956E-1,3.241676569E0
5.168109380E-1,9.247062683E0,-8.356932998E-1,3.241676569E0
5.191928650E-1,9.213563919E0,-8.123632669E-1,3.241676569E0
5.215747400E-1,9.203991890E0,-8.219345808E-1,3.241676569E0
5.239566670E-1,9.175278664E0,-8.177471161E-1,3.222533941E0
5.263385420E-1,9.160921097E0,-8.225327730E-1,3.212962627E0
5.287204690E-1,9.146564484E0,-8.177471161E-1,3.203391314E0
5.311023440E-1,9.136993408E0,-8.039883971E-1,3.212962627E0
5.334842710E-1,9.146564484E0,-8.225327730E-1,3.208176851E0
5.358661460E-1,9.151947975E0,-8.464609981E-1,3.212962627E0
5.382480730E-1,9.136993408E0,-8.231309652E-1,3.203391314E0
5.406299480E-1,9.113663673E0,-8.614161611E-1,3.193820000E0
5.430118750E-1,9.118449211E0,-8.757730722E-1,3.189034462E0
5.453937500E-1,9.104091644E0,-8.901300430E-1,3.189034462E0
5.477756770E-1,9.089735031E0,-8.853443861E-1,3.179463148E0
5.501576050E-1,9.075976372E0,-9.098708034E-1,3.165704250E0
5.525394800E-1,9.104690552E0,-9.379864931E-1,3.151347399E0
5.549214070E-1,9.095118523E0,-9.337990284E-1,3.136990547E0
5.573032820E-1,9.109476089E0,-9.523434043E-1,3.117847919E0
5.596852090E-1,9.100502968E0,-9.960124493E-1,3.103491068E0
5.620670840E-1,9.124430656E0,-1.004985452E0,3.108276606E0
5.644490110E-1,9.143573761E0,-1.004985452E0,3.089133978E0
5.668308860E-1,9.157930374E0,-1.009771109E0,3.089133978E0
5.692128130E-1,9.177073479E0,-1.028315544E0,3.093919754E0
5.715946880E-1,9.172286987E0,-1.023529887E0,3.113062143E0
5.739766150E-1,9.196813583E0,-1.032503009E0,3.136990547E0
5.763584900E-1,9.215357780E0,-1.027717352E0,3.151347399E0
5.787404170E-1,9.229715347E0,-1.032503009E0,3.175275564E0
5.811223440E-1,9.258428574E0,-1.036690354E0,3.199203968E0
5.835042190E-1,9.258428574E0,-1.007976532E0,3.227917671E0
5.858860940E-1,9.263215065E0,-9.984052777E-1,3.232703447E0
5.882680210E-1,9.268000603E0,-9.930213690E-1,3.247060299E0
5.906499480E-1,9.268000603E0,-9.882357717E-1,3.237488985E0
5.930318230E-1,9.281759262E0,-9.595218897E-1,3.227917671E0
5.954137500E-1,9.291330338E0,-9.547362328E-1,3.223132133E0
5.977956250E-1,9.286544800E0,-9.547362328E-1,3.213560820E0
6.001775520E-1,9.296115875E0,-9.499505758E-1,3.199203968E0
6.025594270E-1,9.296115875E0,-9.595218897E-1,3.184846878E0
6.049413550E-1,9.291330338E0,-9.601200819E-1,3.151347399E0
6.073232300E-1,9.281759262E0,-9.649057388E-1,3.127419233E0
6.097051570E-1,9.286544800E0,-9.696913958E-1,3.108276606E0
6.120870320E-1,9.276973724E0,-9.750752449E-1,3.084348440E0
6.144689590E-1,9.276973724E0,-9.750752449E-1,3.055634499E0
6.168508340E-1,9.253045082E0,-9.894321561E-1,3.046063185E0
6.192327610E-1,9.248857498E0,-9.942178130E-1,3.017349243E0
6.216146880E-1,9.244071960E0,-1.013958573E0,3.007778168E0
6.239965630E-1,9.229715347E0,-1.033101201E0,2.974278450E0
6.263784900E-1,9.206384659E0,-1.057029366E0,2.970091105E0
6.287603650E-1,9.211171150E0,-1.071386337E0,2.960519791E0
6.311422920E-1,9.220742226E0,-1.076171994E0,2.955734253E0
6.335241670E-1,9.197412491E0,-1.110269666E0,2.936591625E0
6.359060940E-1,9.197412491E0,-1.110269666E0,2.917448997E0
6.382879690E-1,9.197412491E0,-1.129412293E0,2.927020311E0
6.406698960E-1,9.197412491E0,-1.148554921E0,2.927020311E0
6.430517710E-1,9.193224907E0,-1.162911773E0,2.922234535E0
6.454336980E-1,9.193224907E0,-1.177268744E0,2.931805849E0
6.478155730E-1,9.178867340E0,-1.186840057E0,2.941975355E0
6.501975000E-1,9.169296265E0,-1.182054400E0,2.951546669E0
6.525793750E-1,9.169296265E0,-1.182054400E0,2.970689297E0
6.549613020E-1,9.174081802E0,-1.191625714E0,2.970689297E0
6.573431770E-1,9.160323143E0,-1.210768223E0,2.999403238E0
6.597251050E-1,9.179466248E0,-1.210170031E0,3.013760090E0
6.621069800E-1,9.188439369E0,-1.200598717E0,3.013760090E0
6.644889070E-1,9.184251785E0,-1.210170031E0,3.013760090E0
6.668708340E-1,9.188439369E0,-1.205384374E0,3.028116941E0
6.692527090E-1,9.188439369E0,-1.200598717E0,3.052045345E0
6.716346360E-1,9.178867340E0,-1.195813060E0,3.047259569E0
6.740165110E-1,9.179466248E0,-1.210170031E0,3.061616659E0
6.763984380E-1,9.183652878E0,-1.195813060E0,3.056830883E0
6.787803130E-1,9.188439369E0,-1.200598717E0,3.066402197E0
6.811622400E-1,9.193224907E0,-1.205384374E0,3.056830883E0
6.835441150E-1,9.217751503E0,-1.223928809E0,3.032902718E0
6.859260420E-1,9.217152596E0,-1.190429211E0,3.028116941E0
6.883079170E-1,9.217152596E0,-1.185643673E0,3.042474031E0
6.906898440E-1,9.236295700E0,-1.185643673E0,3.023331404E0
6.930717190E-1,9.255437851E0,-1.190429211E0,3.028116941E0
6.954536460E-1,9.274580956E0,-1.180259824E0,3.032304525E0
6.978355210E-1,9.288937569E0,-1.180259824E0,3.022733212E0
7.002174480E-1,9.279366493E0,-1.189831018E0,3.013161898E0
7.025993230E-1,9.303294182E0,-1.208973646E0,3.004188776E0
