"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.037276100E-2,1.568350345E-1,4.077405483E-2,-2.260134928E-2
3.275468800E-2,1.542389393E-1,4.917320609E-2,-2.382304333E-2
3.513656300E-2,1.517955512E-1,5.650337040E-2,-2.275406010E-2
3.751849000E-2,1.430909634E-1,6.734590977E-2,-2.275406010E-2
3.990036500E-2,1.317902952E-1,7.696675509E-2,-2.031067200E-2
4.228229200E-2,1.218640283E-1,8.536590636E-2,-2.046338283E-2
4.466416700E-2,1.119377613E-1,9.513945878E-2,-2.168507688E-2
4.704609400E-2,1.032331884E-1,9.987352788E-2,-2.168507688E-2
4.942796900E-2,9.330692142E-2,1.035386100E-1,-1.924168877E-2
5.180989600E-2,8.704573661E-2,1.046075895E-1,-1.817270555E-2
5.419182300E-2,8.093725890E-2,1.046075895E-1,-1.572931744E-2
5.657369800E-2,7.971556485E-2,9.987352788E-2,-1.191152167E-2
5.895562500E-2,7.727217674E-2,9.743013978E-2,-1.191152167E-2
6.133750000E-2,7.849387079E-2,9.254335612E-2,-8.246437646E-3
6.371942700E-2,7.849387079E-2,8.765657991E-2,-7.024743594E-3
6.610130200E-2,7.727217674E-2,8.154810965E-2,-7.024743594E-3
6.848323000E-2,7.742489129E-2,7.925742865E-2,-4.581354558E-3
7.086510500E-2,7.742489129E-2,7.559234649E-2,-4.581354558E-3
7.324703200E-2,7.620319724E-2,7.070557028E-2,-3.359660041E-3
7.562890700E-2,7.375980914E-2,6.459710002E-2,-9.162708884E-4
7.801083400E-2,7.253811508E-2,5.986303091E-2,1.527118147E-3
8.039270900E-2,7.131642103E-2,5.131116882E-2,2.748812549E-3
8.277463600E-2,7.009471953E-2,4.398100078E-2,4.581354442E-4
8.515656300E-2,6.765133142E-2,3.680354729E-2,1.679830020E-3
8.753843800E-2,6.658235192E-2,2.702999115E-2,1.679830020E-3
8.992036500E-2,6.398624927E-2,2.214321308E-2,1.679830020E-3
9.230224000E-2,6.276455522E-2,1.481304597E-2,-7.635590737E-4
9.468416700E-2,6.032116711E-2,9.926267900E-3,-1.985253533E-3
9.706604200E-2,5.925218388E-2,3.970507067E-3,4.581354442E-4
9.944796900E-2,5.665608495E-2,-2.137965523E-3,-7.635590737E-4
1.018298440E-1,5.176930502E-2,-3.359660041E-3,4.581354442E-4
1.042117710E-1,5.054761097E-2,-7.024743594E-3,1.679830020E-3
1.065936460E-1,4.810422286E-2,-9.468132630E-3,1.679830020E-3
1.089755730E-1,4.810422286E-2,-1.191152167E-2,1.679830020E-3
1.113574480E-1,4.688252881E-2,-1.435491070E-2,2.901524538E-3
1.137393750E-1,4.810422286E-2,-1.557660475E-2,4.123218823E-3
1.161212500E-1,4.810422286E-2,-1.786728203E-2,6.566607859E-3
1.185031770E-1,4.825693369E-2,-1.786728203E-2,9.009997360E-3
1.208851050E-1,4.566083103E-2,-1.786728203E-2,1.023169141E-2
1.232669800E-1,4.581354558E-2,-2.031067200E-2,1.145338640E-2
1.256489070E-1,4.443913698E-2,-1.908897609E-2,1.267508045E-2
1.280307820E-1,4.443913698E-2,-1.908897609E-2,1.389677543E-2
1.304127090E-1,4.321744293E-2,-1.542389300E-2,1.267508045E-2
1.327945840E-1,4.581354558E-2,-2.153236605E-2,1.389677543E-2
1.351765110E-1,4.581354558E-2,-2.275406010E-2,1.389677543E-2
1.375583860E-1,4.703523964E-2,-2.397575416E-2,1.023169141E-2
1.399403130E-1,5.070032179E-2,-2.519745007E-2,9.162709117E-3
1.423221880E-1,4.947862774E-2,-2.764083818E-2,7.941014133E-3
1.447041150E-1,5.314370990E-2,-2.641914412E-2,7.941014133E-3
1.470859900E-1,5.558710173E-2,-2.275406010E-2,7.941014133E-3
1.494679170E-1,6.062658876E-2,-2.153236605E-2,6.719320081E-3
1.518497920E-1,6.062658876E-2,-1.664558798E-2,6.719320081E-3
1.542317190E-1,6.795676053E-2,-1.420219894E-2,6.719320081E-3
1.566135940E-1,7.299624383E-2,-9.315420873E-3,6.719320081E-3
1.589955210E-1,7.543963939E-2,-5.650337320E-3,6.719320081E-3
1.613774480E-1,7.910472155E-2,-1.985253533E-3,7.941014133E-3
1.637593230E-1,8.276980370E-2,4.581354442E-4,9.162709117E-3
1.661412500E-1,8.399149776E-2,2.901524538E-3,1.038440317E-2
1.685231250E-1,8.536590636E-2,1.679830020E-3,1.282779220E-2
1.709050520E-1,8.903098851E-2,5.344913341E-3,1.404948719E-2
1.732869270E-1,8.780929446E-2,7.788302377E-3,1.649287529E-2
1.756688550E-1,8.903098851E-2,9.009997360E-3,1.649287529E-2
1.780507300E-1,9.025268257E-2,1.145338640E-2,1.649287529E-2
1.804326570E-1,8.903098851E-2,9.009997360E-3,1.649287529E-2
1.828145320E-1,8.780929446E-2,1.145338640E-2,1.649287529E-2
1.851964590E-1,8.780929446E-2,1.145338640E-2,2.015795931E-2
1.875783340E-1,8.399149776E-2,1.511846948E-2,1.527118124E-2
1.899602610E-1,7.895200700E-2,2.229592577E-2,1.267508045E-2
1.923421880E-1,7.895200700E-2,2.840439789E-2,1.267508045E-2
1.947240630E-1,7.146912813E-2,3.680354729E-2,1.145338640E-2
1.971059380E-1,6.520794332E-2,4.275930673E-2,7.788302377E-3
1.994878650E-1,5.894676223E-2,5.131116882E-2,5.192201585E-3
2.018697920E-1,5.268557742E-2,5.848862603E-2,5.192201585E-3
2.042516670E-1,4.642439261E-2,6.688777357E-2,1.527118147E-3
2.066335940E-1,3.894151375E-2,7.543963939E-2,-1.068982761E-3
2.090154690E-1,3.527642787E-2,8.017370105E-2,-3.512371797E-3
2.113973960E-1,3.023693897E-2,8.628217876E-2,-3.512371797E-3
2.137792710E-1,2.397575416E-2,9.223793447E-2,-4.734066315E-3
2.161611980E-1,2.015795931E-2,9.712471068E-2,-5.955760833E-3
2.185430730E-1,1.771457121E-2,1.018587798E-1,-9.773556143E-3
2.209250000E-1,1.389677543E-2,1.067455560E-1,-1.466033421E-2
2.233068750E-1,1.389677543E-2,1.079672500E-1,-1.832541823E-2
2.256888020E-1,1.389677543E-2,1.102579311E-1,-1.954711229E-2
2.280707300E-1,1.267508045E-2,1.151447073E-1,-2.199050039E-2
2.304526050E-1,1.130067464E-2,1.163664013E-1,-2.321219631E-2
2.328345320E-1,1.007897966E-2,1.188097894E-1,-2.825168520E-2
2.352164070E-1,7.482878864E-3,1.235438585E-1,-3.191677108E-2
2.375983340E-1,5.039489828E-3,1.308740228E-1,-3.191677108E-2
2.399802090E-1,-2.443389036E-3,1.343863904E-1,-3.558185324E-2
