"Time (s)","Pressure (hPa)"
5.307786500E-2,9.949492188E2
9.307864600E-2,9.949396973E2
1.330660940E-1,9.949711304E2
1.730841670E-1,9.950200195E2
2.130851050E-1,9.950155640E2
2.530536460E-1,9.950643921E2
2.930685940E-1,9.950827026E2
3.330657300E-1,9.950676270E2
3.730667190E-1,9.950733643E2
4.130618230E-1,9.951094360E2
4.530595320E-1,9.950941772E2
4.930646880E-1,9.951173096E2
5.330641150E-1,9.951203003E2
5.730716670E-1,9.951638794E2
6.130699480E-1,9.951485596E2
6.530629690E-1,9.951300659E2
6.930688550E-1,9.951614990E2
7.330732820E-1,9.951432495E2
7.730836980E-1,9.951536865E2
8.130658340E-1,9.951668091E2
8.530717710E-1,9.951406860E2
8.930602090E-1,9.951406860E2
9.330652090E-1,9.951508789E2
9.730671880E-1,9.951250000E2
1.013063334E0,9.951124268E2
1.053062969E0,9.951643066E2
1.093061459E0,9.951564331E2
1.133068021E0,9.951568604E2
1.173077396E0,9.951770630E2
1.213058177E0,9.951647339E2
1.253057344E0,9.952116699E2
1.293061563E0,9.952006226E2
1.333065105E0,9.952059326E2
1.373063802E0,9.952006226E2
1.413084584E0,9.951742554E2
1.453071198E0,9.951881104E2
1.493062917E0,9.951881104E2
1.533060000E0,9.951834106E2
1.573057605E0,9.951693726E2
1.613069792E0,9.951643066E2
1.653059271E0,9.951855469E2
1.693071198E0,9.951693726E2
1.733066198E0,9.951415405E2
1.773068490E0,9.951643066E2
1.813065052E0,9.951725464E2
1.853066407E0,9.951798096E2
1.893066875E0,9.951598511E2
1.933064167E0,9.952084961E2
1.973059636E0,9.951876831E2
2.013069688E0,9.951929932E2
2.053056771E0,9.951825562E2
2.093066094E0,9.952037964E2
2.133072969E0,9.951980591E2
2.173059948E0,9.951901855E2
2.213067917E0,9.951959229E2
2.253054167E0,9.952006226E2
2.293064480E0,9.952091064E2
2.333066407E0,9.951876831E2
2.373058490E0,9.951855469E2
2.413062084E0,9.951798096E2
2.453055938E0,9.951861572E2
2.493069844E0,9.952167969E2
2.533071094E0,9.952532959E2
2.573066198E0,9.952532959E2
2.613068021E0,9.952299805E2
2.653055157E0,9.952324829E2
2.693062605E0,9.952012329E2
2.733071146E0,9.952399292E2
2.773078594E0,9.952188721E2
2.813063855E0,9.952554321E2
2.853059011E0,9.952743530E2
2.893086355E0,9.952586670E2
2.933070417E0,9.952877808E2
2.973068855E0,9.952794800E2
3.013058594E0,9.952926636E2
3.053055469E0,9.953395996E2
3.093061875E0,9.952561035E2
3.133060990E0,9.952188721E2
3.173058698E0,9.950629272E2
3.213069063E0,9.950858765E2
3.253065469E0,9.951459961E2
3.293063594E0,9.951381226E2
3.333061511E0,9.951145630E2
3.373062500E0,9.951256104E2
3.413065365E0,9.951798096E2
3.453055834E0,9.951256104E2
3.493062709E0,9.951332397E2
3.533084584E0,9.951392212E2
3.573061980E0,9.952424927E2
3.613092344E0,9.953387451E2
3.653056302E0,9.952144165E2
3.693063021E0,9.950841675E2
3.733061615E0,9.949641113E2
3.773059740E0,9.949586182E2
3.813065313E0,9.949645386E2
3.853059115E0,9.949926147E2
3.893060573E0,9.950682373E2
3.933063282E0,9.952048950E2
3.973061459E0,9.952611694E2
4.013075834E0,9.952507935E2
4.053062865E0,9.952299805E2
4.093073490E0,9.951145630E2
4.133067396E0,9.950824585E2
4.173065886E0,9.949772949E2
4.213063334E0,9.949298706E2
4.253060209E0,9.949790039E2
4.293064636E0,9.951828003E2
4.333063125E0,9.951574707E2
4.373061875E0,9.952246094E2
4.413060261E0,9.952800903E2
4.453060730E0,9.953291626E2
4.493060365E0,9.952459106E2
4.533062969E0,9.951489868E2
4.573069219E0,9.950844116E2
4.613066771E0,9.950508423E2
4.653066927E0,9.949926147E2
4.693060052E0,9.951441040E2
4.733066771E0,9.953030396E2
4.773062396E0,9.952586670E2
4.813067032E0,9.952951660E2
4.853057865E0,9.952532959E2
4.893058542E0,9.951908569E2
4.933061355E0,9.950085449E2
4.973075730E0,9.950106812E2
5.013067240E0,9.949689941E2
5.053058594E0,9.949273682E2
5.093058125E0,9.949475098E2
5.133076667E0,9.951381226E2
5.173065521E0,9.951587524E2
5.213105573E0,9.952607422E2
5.253069271E0,9.952938843E2
5.293072969E0,9.952573853E2
5.333073177E0,9.950778198E2
5.373075261E0,9.949934082E2
5.413090677E0,9.949883423E2
5.453059219E0,9.949934082E2
5.493077917E0,9.949955444E2
5.533085052E0,9.949252319E2
5.573080313E0,9.951054077E2
5.613082136E0,9.950590820E2
5.653063230E0,9.951574707E2
5.693071094E0,9.951447144E2
5.733065313E0,9.952435303E2
5.773071771E0,9.951073608E2
5.813081250E0,9.949454346E2
5.853064792E0,9.949553833E2
5.893086459E0,9.949553833E2
5.933082813E0,9.949057007E2
