"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.410417000E-2,1.959292591E-1,-5.329642445E-2,2.550287358E-2
3.648599300E-2,1.835595965E-1,-5.222744122E-2,2.672456764E-2
3.886786800E-2,1.760767251E-1,-4.856235534E-2,2.794626169E-2
4.124974300E-2,1.673721522E-1,-4.734066129E-2,2.550287358E-2
4.363161800E-2,1.612636745E-1,-4.749337584E-2,2.305948362E-2
4.601344100E-2,1.550024897E-1,-4.504998401E-2,2.412846684E-2
4.839531600E-2,1.488940120E-1,-4.871506989E-2,2.535016090E-2
5.077719100E-2,1.462979168E-1,-5.115845799E-2,2.412846684E-2
5.315901400E-2,1.464506239E-1,-5.115845799E-2,2.535016090E-2
5.554088900E-2,1.464506239E-1,-5.482354015E-2,2.412846684E-2
5.792276400E-2,1.476723254E-1,-5.726693198E-2,2.550287358E-2
6.030463900E-2,1.476723254E-1,-5.848862603E-2,2.428117767E-2
6.268646200E-2,1.476723254E-1,-5.848862603E-2,2.550287358E-2
6.506833700E-2,1.488940120E-1,-5.955760926E-2,2.672456764E-2
6.745021200E-2,1.501157135E-1,-5.955760926E-2,3.038965166E-2
6.983203500E-2,1.501157135E-1,-5.833591148E-2,3.038965166E-2
7.221391000E-2,1.488940120E-1,-5.589252338E-2,3.405473381E-2
7.459578500E-2,1.464506239E-1,-5.360184610E-2,3.283303976E-2
7.697766000E-2,1.426328421E-1,-4.993676394E-2,3.145863488E-2
7.935948300E-2,1.401894391E-1,-4.871506989E-2,3.145863488E-2
8.174135800E-2,1.339282542E-1,-4.993676394E-2,3.023693897E-2
8.412323300E-2,1.302631795E-1,-4.764608666E-2,3.023693897E-2
8.650505500E-2,1.265980899E-1,-4.764608666E-2,3.023693897E-2
8.888693000E-2,1.227803007E-1,-4.764608666E-2,2.901524492E-2
9.126880500E-2,1.191152185E-1,-4.886778072E-2,2.779355086E-2
9.365068000E-2,1.152974218E-1,-4.642439261E-2,2.657185495E-2
9.603250300E-2,1.116323397E-1,-4.642439261E-2,2.412846684E-2
9.841437800E-2,1.079672500E-1,-4.535540938E-2,2.290677279E-2
1.007962530E-1,1.029277667E-1,-4.535540938E-2,1.908897609E-2
1.031780760E-1,1.017060652E-1,-4.535540938E-2,1.908897609E-2
1.055599510E-1,9.788827598E-2,-4.535540938E-2,1.664558798E-2
1.079418260E-1,9.300149232E-2,-4.413371533E-2,1.664558798E-2
1.103237010E-1,9.055810422E-2,-4.428642616E-2,1.542389300E-2
1.127055240E-1,8.796200156E-2,-4.428642616E-2,1.542389300E-2
1.150873990E-1,8.551861346E-2,-4.062134400E-2,1.420219894E-2
1.174692740E-1,8.307522535E-2,-3.695625812E-2,1.298050396E-2
1.198510970E-1,7.681404054E-2,-3.695625812E-2,1.298050396E-2
1.222329720E-1,7.299624383E-2,-3.466558084E-2,1.282779220E-2
1.246148470E-1,7.055285573E-2,-3.100049868E-2,1.160609815E-2
1.269966700E-1,6.429167092E-2,-2.855710872E-2,7.941014133E-3
1.293785450E-1,6.062658876E-2,-2.382304333E-2,1.160609815E-2
1.317604200E-1,5.680879578E-2,-2.015795931E-2,9.162709117E-3
1.341422950E-1,5.314370990E-2,-1.649287529E-2,7.941014133E-3
1.365241180E-1,5.054761097E-2,-1.420219894E-2,5.497625098E-3
1.389059930E-1,4.688252881E-2,-8.093725890E-3,6.566607859E-3
1.412878680E-1,4.428642616E-2,-5.650337320E-3,4.123218823E-3
1.436697430E-1,4.306473210E-2,-9.162708884E-4,1.679830020E-3
1.460515660E-1,3.939964995E-2,1.527118147E-3,4.123218823E-3
1.484334410E-1,3.436015919E-2,3.054236295E-4,1.679830020E-3
1.508152640E-1,3.069507517E-2,5.039489828E-3,-7.635590737E-4
1.531971390E-1,2.809897438E-2,7.482878864E-3,-3.206948051E-3
1.555790140E-1,2.443389036E-2,8.704573847E-3,-3.359660041E-3
1.579608890E-1,2.061609551E-2,6.261184346E-3,-4.581354558E-3
1.603427120E-1,1.695101149E-2,7.482878864E-3,-8.246437646E-3
1.627245870E-1,1.191152167E-2,7.330167107E-3,-9.468132630E-3
1.651064620E-1,7.024743594E-3,4.886778072E-3,-1.191152167E-2
1.674883370E-1,7.635590737E-4,3.665083554E-3,-1.191152167E-2
1.698701600E-1,-4.123218823E-3,2.443389036E-3,-1.191152167E-2
1.722520350E-1,-6.566607859E-3,3.665083554E-3,-1.313321572E-2
1.746339100E-1,-1.160609815E-2,3.665083554E-3,-1.435491070E-2
1.770157850E-1,-1.527118124E-2,2.443389036E-3,-1.435491070E-2
1.793976080E-1,-2.031067200E-2,-1.374406274E-3,-1.695101149E-2
1.817794830E-1,-2.397575416E-2,-1.527118147E-4,-1.450762246E-2
1.841613580E-1,-2.641914412E-2,-1.374406274E-3,-1.695101149E-2
1.865431800E-1,-3.145863488E-2,2.290677279E-3,-1.572931744E-2
1.889250550E-1,-3.390202299E-2,5.955760833E-3,-1.572931744E-2
1.913069300E-1,-3.756710514E-2,3.512371797E-3,-1.572931744E-2
1.936887530E-1,-3.894151375E-2,5.803049076E-3,-1.695101149E-2
1.960706280E-1,-4.016320780E-2,8.246437646E-3,-1.695101149E-2
1.984525030E-1,-4.504998401E-2,9.468132630E-3,-1.817270555E-2
2.008343780E-1,-4.764608666E-2,9.468132630E-3,-1.695101149E-2
2.032162010E-1,-5.253286287E-2,1.313321572E-2,-1.939439960E-2
2.055980760E-1,-5.268557742E-2,1.542389300E-2,-2.076880634E-2
2.079799510E-1,-5.757235363E-2,1.786728203E-2,-2.199050039E-2
2.103617740E-1,-6.016845629E-2,2.153236605E-2,-2.565558441E-2
2.127436490E-1,-6.261184067E-2,2.504473738E-2,-2.565558441E-2
2.151255240E-1,-6.505523622E-2,3.115320951E-2,-2.687728032E-2
2.175073990E-1,-6.887302548E-2,3.603998944E-2,-3.054236248E-2
2.198892220E-1,-6.887302548E-2,3.955236077E-2,-2.932066843E-2
2.222710970E-1,-7.513421029E-2,4.321744293E-2,-3.313846514E-2
2.246529720E-1,-7.513421029E-2,4.672981426E-2,-3.313846514E-2
2.270347950E-1,-7.895200700E-2,4.917320609E-2,-3.313846514E-2
2.294166700E-1,-8.139539510E-2,5.528167635E-2,-3.313846514E-2
2.317985450E-1,-8.383878320E-2,5.650337040E-2,-3.313846514E-2
2.341803680E-1,-8.521319181E-2,5.879404768E-2,-3.680354729E-2
2.365622430E-1,-8.765657991E-2,5.879404768E-2,-3.802524135E-2
2.389441180E-1,-8.887827396E-2,6.123743951E-2,-3.802524135E-2
2.413259930E-1,-9.269607067E-2,6.245913357E-2,-3.939964995E-2
2.437078160E-1,-9.513945878E-2,6.245913357E-2,-4.062134400E-2
2.460896910E-1,-9.513945878E-2,6.245913357E-2,-4.184303805E-2
2.484715660E-1,-9.636115283E-2,6.123743951E-2,-4.306473210E-2
2.508534410E-1,-9.880454093E-2,6.108472496E-2,-4.550812021E-2
2.532352640E-1,-1.000262350E-1,5.986303091E-2,-4.672981426E-2
2.556171390E-1,-1.014006436E-1,5.864133686E-2,-4.795150831E-2
2.579990140E-1,-1.000262350E-1,5.619794875E-2,-5.039490014E-2
2.603808370E-1,-1.000262350E-1,5.375456065E-2,-5.283828825E-2
2.627627120E-1,-9.880454093E-2,5.024218559E-2,-5.283828825E-2
2.651445870E-1,-9.880454093E-2,4.902049154E-2,-5.283828825E-2
2.675264100E-1,-9.880454093E-2,4.779879749E-2,-5.650337040E-2
2.699082850E-1,-9.636115283E-2,4.291202128E-2,-5.772506446E-2
2.722901600E-1,-9.636115283E-2,3.924693540E-2,-5.894676223E-2
2.746720350E-1,-9.513945878E-2,3.802524135E-2,-5.894676223E-2
2.770538580E-1,-9.513945878E-2,3.191677108E-2,-6.139015034E-2
