"Time (s)","Pressure (hPa)"
5.065432600E-2,9.949107666E2
9.064276400E-2,9.949373169E2
1.306423990E-1,9.950074463E2
1.706438050E-1,9.949995728E2
2.106497950E-1,9.950440063E2
2.506359410E-1,9.950541992E2
2.906363050E-1,9.951036987E2
3.306395870E-1,9.951065063E2
3.706813580E-1,9.950960693E2
4.106296390E-1,9.950983887E2
4.506546910E-1,9.951018066E2
4.906432330E-1,9.951270752E2
5.306491180E-1,9.951247559E2
5.706449510E-1,9.951687622E2
6.106526600E-1,9.951530151E2
6.506304200E-1,9.951710815E2
6.906310970E-1,9.951762085E2
7.306357850E-1,9.951766357E2
7.706570350E-1,9.951657715E2
8.106442740E-1,9.951710815E2
8.506344300E-1,9.951632080E2
8.906433370E-1,9.951947021E2
9.306429720E-1,9.951638794E2
9.706419830E-1,9.951844482E2
1.010633910E0,9.951974487E2
1.050637191E0,9.952025146E2
1.090636045E0,9.951925659E2
1.130644847E0,9.952102051E2
1.170634014E0,9.952127686E2
1.210663337E0,9.951904297E2
1.250636253E0,9.951819458E2
1.290645055E0,9.951893921E2
1.330650108E0,9.951976318E2
1.370654014E0,9.951954956E2
1.410636826E0,9.952102051E2
1.450631514E0,9.952388916E2
1.490634326E0,9.951897583E2
1.530640160E0,9.952078247E2
1.570636253E0,9.952282715E2
1.610636826E0,9.952203979E2
1.650640420E0,9.952102051E2
1.690636566E0,9.952340088E2
1.730641774E0,9.952490845E2
1.770635055E0,9.952340088E2
1.810637868E0,9.952159424E2
1.850647868E0,9.952073975E2
1.890644066E0,9.952286987E2
1.930634951E0,9.952127686E2
1.970647451E0,9.952282715E2
2.010638649E0,9.952257080E2
2.050641983E0,9.952127686E2
2.090640420E0,9.952431030E2
2.130638493E0,9.952439575E2
2.170635524E0,9.952433472E2
2.210646878E0,9.952205811E2
2.250647920E0,9.952590332E2
2.290637451E0,9.952669067E2
2.330644847E0,9.952543945E2
2.370636305E0,9.952644043E2
2.410652608E0,9.952877808E2
2.450642868E0,9.952720337E2
2.490643858E0,9.952439575E2
2.530636774E0,9.952826538E2
2.570638337E0,9.952766724E2
2.610640368E0,9.952622681E2
2.650635941E0,9.953034668E2
2.690640941E0,9.952902832E2
2.730635212E0,9.952777710E2
2.770659691E0,9.952905273E2
2.810641878E0,9.952905273E2
2.850633441E0,9.953007202E2
2.890649743E0,9.952951660E2
2.930634691E0,9.952770996E2
2.970636201E0,9.953634033E2
3.010635785E0,9.953189697E2
3.050653024E0,9.952257080E2
3.090635055E0,9.952123413E2
3.130671618E0,9.951574707E2
3.170644535E0,9.950975342E2
3.210639170E0,9.951336670E2
3.250643441E0,9.951319580E2
3.290657087E0,9.951757812E2
3.330631878E0,9.951782837E2
3.370638545E0,9.951808472E2
3.410645576E0,9.951757812E2
3.450635003E0,9.952112427E2
3.490633337E0,9.952093506E2
3.530639170E0,9.952246094E2
3.570638128E0,9.952410278E2
3.610638337E0,9.952532959E2
3.650651983E0,9.952590332E2
3.690634430E0,9.952873535E2
3.730647555E0,9.953074951E2
3.770670628E0,9.952539673E2
3.810640420E0,9.952794800E2
3.850637972E0,9.952741699E2
3.890645785E0,9.951721802E2
3.930639222E0,9.951441040E2
3.970639691E0,9.951885376E2
4.010632295E0,9.952299805E2
4.050650420E0,9.951934204E2
4.090638233E0,9.951836548E2
4.130636045E0,9.951959229E2
4.170653910E0,9.952271729E2
4.210645264E0,9.952276001E2
4.250631722E0,9.952350464E2
4.290645368E0,9.952763062E2
4.330644014E0,9.953202515E2
4.370637816E0,9.952894287E2
4.410655316E0,9.952915649E2
4.450637087E0,9.954012451E2
4.490633337E0,9.952235718E2
4.530648389E0,9.951226196E2
4.570636983E0,9.951413574E2
4.610643858E0,9.951846924E2
4.650640524E0,9.951247559E2
4.690639587E0,9.951173096E2
4.730634639E0,9.951069336E2
4.770638233E0,9.951126709E2
4.810640837E0,9.951693726E2
4.850633910E0,9.952004395E2
4.890634483E0,9.952006226E2
4.930631566E0,9.952416382E2
4.970641930E0,9.952012329E2
5.010635680E0,9.952076416E2
5.050641045E0,9.952554321E2
5.090635212E0,9.951617432E2
5.130628389E0,9.950884399E2
5.170626983E0,9.951098633E2
5.210639066E0,9.951951294E2
