"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.617494700E-2,8.973683357E0,-2.111666054E-1,4.311866283E0
1.855687400E-2,9.002995491E0,-2.590230405E-1,4.316651821E0
2.093880100E-2,9.017950058E0,-3.158525825E-1,4.335794449E0
2.332072800E-2,9.028120041E0,-3.774677813E-1,4.369892120E0
2.570265500E-2,9.013762474E0,-4.109672904E-1,4.408177376E0
2.808458200E-2,9.000003815E0,-4.540380836E-1,4.436891556E0
3.046650900E-2,8.991030693E0,-5.162515044E-1,4.470989227E0
3.284843600E-2,8.986844063E0,-5.497509837E-1,4.499702930E0
3.523036300E-2,8.987442017E0,-6.071787477E-1,4.514657974E0
3.761229100E-2,8.987442017E0,-6.173482537E-1,4.490729809E0
3.999416600E-2,8.983254433E0,-6.789634228E-1,4.505086899E0
4.237609300E-2,9.012566566E0,-7.124629617E-1,4.485944271E0
4.475802000E-2,8.998807907E0,-7.603194118E-1,4.486542225E0
4.713994700E-2,8.994022369E0,-7.794619799E-1,4.472185612E0
4.952187400E-2,8.975478172E0,-8.033902049E-1,4.476971149E0
5.190380100E-2,8.970093727E0,-7.848458290E-1,4.448257446E0
5.428572800E-2,8.974879265E0,-7.752745152E-1,4.419543266E0
5.666765500E-2,8.974879265E0,-7.513462901E-1,4.390829563E0
5.904958200E-2,8.955139160E0,-7.280163169E-1,4.347758770E0
6.143150900E-2,8.955139160E0,-7.184450030E-1,4.323830605E0
6.381338400E-2,8.949754715E0,-6.951149702E-1,4.284946918E0
6.619531100E-2,8.945567131E0,-7.094719410E-1,4.270590305E0
6.857723800E-2,8.940781593E0,-7.094719410E-1,4.275375843E0
7.095916600E-2,8.931210518E0,-7.094719410E-1,4.275375843E0
7.334109300E-2,8.892925262E0,-7.196413875E-1,4.285545349E0
7.572302000E-2,8.873783112E0,-6.957131624E-1,4.280161381E0
7.810494700E-2,8.830712318E0,-6.915257573E-1,4.304089546E0
8.048687400E-2,8.821140289E0,-6.963114142E-1,4.299902439E0
8.286880100E-2,8.801998138E0,-6.867401004E-1,4.318446636E0
8.525072800E-2,8.768498421E0,-6.921239495E-1,4.323830605E0
8.763260300E-2,8.754141808E0,-6.825526357E-1,4.328616142E0
9.001453000E-2,8.734998703E0,-6.969096065E-1,4.323830605E0
9.239645700E-2,8.739784241E0,-6.873382926E-1,4.314259052E0
9.477838400E-2,8.730213165E0,-6.873382926E-1,4.323830605E0
9.716031100E-2,8.734998703E0,-6.879364848E-1,4.290330887E0
9.954223800E-2,8.720642090E0,-7.022934556E-1,4.314259052E0
1.019241660E-1,8.720642090E0,-6.927221417E-1,4.299902439E0
1.043060930E-1,8.726025581E0,-7.304090858E-1,4.323830605E0
1.066880200E-1,8.711668968E0,-7.166503668E-1,4.319045067E0
1.090699470E-1,8.702097893E0,-7.118647099E-1,4.319045067E0
1.114518220E-1,8.687741280E0,-7.070791125E-1,4.319045067E0
1.138337490E-1,8.672785759E0,-6.879364848E-1,4.323830605E0
1.162156760E-1,8.677571297E0,-6.831508875E-1,4.328616142E0
1.185976030E-1,8.672785759E0,-6.831508875E-1,4.338187218E0
1.209795300E-1,8.677571297E0,-6.783652306E-1,4.347758770E0
1.233614570E-1,8.706285477E0,-6.640082598E-1,4.342374802E0
1.257433840E-1,8.696713448E0,-6.496513486E-1,4.380660057E0
1.281253110E-1,8.705686569E0,-6.346961856E-1,4.399802685E0
1.305072380E-1,8.715258598E0,-6.155536175E-1,4.418945312E0
1.328891660E-1,8.710473061E0,-5.916253924E-1,4.433301926E0
1.352710930E-1,8.719446182E0,-5.772684813E-1,4.423730850E0
1.376530200E-1,8.729017258E0,-5.820540786E-1,4.409373760E0
1.400349470E-1,8.748159409E0,-5.772684813E-1,4.428516388E0
1.424168220E-1,8.752944946E0,-5.527420044E-1,4.395017147E0
1.447987490E-1,8.757730484E0,-5.772684813E-1,4.395017147E0
1.471806760E-1,8.762516975E0,-5.629115105E-1,4.375874519E0
1.495626030E-1,8.781659126E0,-5.676971674E-1,4.356731892E0
1.519445300E-1,8.781659126E0,-5.676971674E-1,4.318446636E0
1.543264570E-1,8.781659126E0,-5.724828243E-1,4.299304008E0
1.567083840E-1,8.781659126E0,-5.575276613E-1,4.289732933E0
1.590903110E-1,8.786444664E0,-5.676971674E-1,4.284946918E0
1.614722380E-1,8.786444664E0,-5.676971674E-1,4.270590305E0
1.638541130E-1,8.791230202E0,-5.820540786E-1,4.280161381E0
1.662360410E-1,8.791230202E0,-5.820540786E-1,4.280161381E0
1.686179680E-1,8.796015739E0,-5.964110494E-1,4.289732933E0
1.709998950E-1,8.800801277E0,-5.862415433E-1,4.318446636E0
1.733818220E-1,8.805587769E0,-5.958128572E-1,4.313661098E0
1.757637490E-1,8.815158844E0,-6.005984545E-1,4.342374802E0
1.781456760E-1,8.839086533E0,-6.047859192E-1,4.351946354E0
1.805276030E-1,8.843872070E0,-6.095715761E-1,4.351946354E0
1.829095300E-1,8.815756798E0,-6.197410822E-1,4.361517429E0
1.852914570E-1,8.820542336E0,-6.101697683E-1,4.371088982E0
1.876733320E-1,8.800801277E0,-6.005984545E-1,4.390231133E0
1.900552590E-1,8.796614647E0,-6.101697683E-1,4.390231133E0
1.924371860E-1,8.796614647E0,-6.053841114E-1,4.404588223E0
1.948191130E-1,8.781659126E0,-5.958128572E-1,4.399802685E0
1.972010410E-1,8.752944946E0,-5.916253924E-1,4.380660057E0
1.995829680E-1,8.743373871E0,-5.916253924E-1,4.385445595E0
2.019648950E-1,8.748159409E0,-5.916253924E-1,4.371088982E0
2.043468220E-1,8.709874153E0,-5.730810165E-1,4.361517429E0
2.067287490E-1,8.709874153E0,-5.730810165E-1,4.375874519E0
2.091106760E-1,8.714659691E0,-5.533402562E-1,4.371088982E0
2.114926030E-1,8.714659691E0,-5.389832854E-1,4.370490551E0
2.138744780E-1,8.709874153E0,-5.341976285E-1,4.370490551E0
2.162564050E-1,8.709276199E0,-5.102694035E-1,4.375276089E0
2.186383320E-1,8.718847275E0,-4.959124923E-1,4.384847641E0
2.210202590E-1,8.723632812E0,-5.048855543E-1,4.389633179E0
2.234021860E-1,8.723632812E0,-5.000999570E-1,4.380061626E0
2.257841130E-1,8.723632812E0,-5.096712112E-1,4.384847641E0
2.281660410E-1,8.733204842E0,-5.096712112E-1,4.375276089E0
2.305479680E-1,8.728418350E0,-5.144568682E-1,4.389633179E0
2.329298950E-1,8.719446182E0,-5.383850932E-1,4.384847641E0
2.353117700E-1,8.738588333E0,-5.575276613E-1,4.380660057E0
2.376936970E-1,8.738588333E0,-5.629115105E-1,4.366302967E0
2.400756240E-1,8.729017258E0,-5.868397355E-1,4.371088982E0
2.424575510E-1,8.734400749E0,-6.011967063E-1,4.375874519E0
2.448394780E-1,8.743373871E0,-5.916253924E-1,4.375874519E0
2.472214050E-1,8.757730484E0,-5.868397355E-1,4.361517429E0
2.496033320E-1,8.753543854E0,-6.203392744E-1,4.371088982E0
2.519852590E-1,8.758329391E0,-6.107679605E-1,4.371088982E0
2.543671860E-1,8.772686005E0,-6.293123364E-1,4.366302967E0
2.567491130E-1,8.796614647E0,-6.532405615E-1,4.351946354E0
2.591310410E-1,8.806185722E0,-6.675975323E-1,4.313661098E0
2.615129160E-1,8.820542336E0,-6.675975323E-1,4.284946918E0
2.638948430E-1,8.825327873E0,-6.628118753E-1,4.261018753E0
2.662767700E-1,8.839685440E0,-6.771687865E-1,4.232305050E0
2.686586970E-1,8.830113411E0,-6.675975323E-1,4.222733974E0
2.710406240E-1,8.810971260E0,-6.681957245E-1,4.194019794E0
2.734225510E-1,8.815756798E0,-6.586244106E-1,4.179663181E0
2.758044780E-1,8.830113411E0,-6.538388133E-1,4.170091629E0
2.781864050E-1,8.806185722E0,-6.538388133E-1,4.189234257E0
2.805683320E-1,8.820542336E0,-6.634100676E-1,4.179663181E0
2.829502590E-1,8.815756798E0,-6.251249313E-1,4.194019794E0
2.853321340E-1,8.806185722E0,-6.346961856E-1,4.194019794E0
