"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.993650900E-2,-7.605048269E-2,2.611372061E-2,-8.399149403E-3
3.231843600E-2,-7.116370648E-2,3.710897267E-2,-1.084253844E-2
3.470036300E-2,-6.627693027E-2,4.443913698E-2,-1.343864016E-2
3.708229100E-2,-6.505523622E-2,5.039490014E-2,-1.466033421E-2
3.946416600E-2,-6.016845629E-2,5.650337040E-2,-1.710372418E-2
4.184609300E-2,-5.772506446E-2,5.772506446E-2,-1.954711229E-2
4.422802000E-2,-5.650337040E-2,5.650337040E-2,-2.076880634E-2
4.660994700E-2,-5.146388337E-2,5.528167635E-2,-2.076880634E-2
4.899187400E-2,-4.902049154E-2,5.421269313E-2,-1.939439960E-2
5.137380100E-2,-4.535540938E-2,5.299099907E-2,-1.817270555E-2
5.375572800E-2,-3.909422457E-2,5.176930502E-2,-1.695101149E-2
5.613765500E-2,-3.405473381E-2,4.337015375E-2,-1.450762246E-2
5.851958200E-2,-2.779355086E-2,3.726168349E-2,-1.206423342E-2
6.090150900E-2,-2.153236605E-2,3.008422814E-2,-9.468132630E-3
6.328338400E-2,-1.404948719E-2,2.290677279E-2,-1.068982668E-2
6.566531100E-2,-4.123218823E-3,1.435491070E-2,-1.068982668E-2
6.804723800E-2,5.803049076E-3,8.399149403E-3,-9.315420873E-3
7.042916600E-2,1.450762246E-2,2.443389036E-3,-5.650337320E-3
7.281109300E-2,2.321219631E-2,-2.443389036E-3,-4.428642802E-3
7.519302000E-2,3.069507517E-2,-4.734066315E-3,-3.206948051E-3
7.757494700E-2,4.062134400E-2,-7.177455351E-3,6.108472589E-4
7.995687400E-2,4.566083103E-2,-8.246437646E-3,3.054236295E-3
8.233880100E-2,4.932591692E-2,-8.246437646E-3,6.719320081E-3
8.472072800E-2,5.192201585E-2,-5.803049076E-3,9.162709117E-3
8.710260300E-2,5.314370990E-2,-5.803049076E-3,1.160609815E-2
8.948453000E-2,5.680879578E-2,-4.581354558E-3,1.527118124E-2
9.186645700E-2,5.558710173E-2,-3.359660041E-3,1.771457121E-2
9.424838400E-2,5.680879578E-2,-4.581354558E-3,1.893626526E-2
9.663031100E-2,5.436540768E-2,-5.803049076E-3,2.015795931E-2
9.901223800E-2,5.436540768E-2,-7.024743594E-3,1.893626526E-2
1.013941660E-1,5.070032179E-2,-8.246437646E-3,1.893626526E-2
1.037760930E-1,5.070032179E-2,-9.468132630E-3,1.893626526E-2
1.061580200E-1,4.825693369E-2,-1.068982668E-2,1.771457121E-2
1.085399470E-1,4.459185153E-2,-1.435491070E-2,1.771457121E-2
1.109218220E-1,4.199574888E-2,-1.679829881E-2,1.649287529E-2
1.133037490E-1,3.833066672E-2,-1.924168877E-2,1.649287529E-2
1.156856760E-1,3.466558084E-2,-2.412846684E-2,1.649287529E-2
1.180676030E-1,3.100049868E-2,-2.779355086E-2,1.649287529E-2
1.204495300E-1,2.596100792E-2,-2.901524492E-2,1.527118124E-2
1.228314570E-1,2.107422985E-2,-3.268032894E-2,1.160609815E-2
1.252133840E-1,1.863084175E-2,-3.512371704E-2,1.160609815E-2
1.275953110E-1,1.725643501E-2,-3.512371704E-2,1.282779220E-2
1.299772380E-1,1.725643501E-2,-3.634541109E-2,1.160609815E-2
1.323591660E-1,1.481304597E-2,-3.390202299E-2,1.527118124E-2
1.347410930E-1,1.603474095E-2,-3.145863488E-2,1.649287529E-2
1.371230200E-1,1.603474095E-2,-2.779355086E-2,1.527118124E-2
1.395049470E-1,1.481304597E-2,-2.412846684E-2,1.649287529E-2
1.418868220E-1,1.359135192E-2,-2.168507688E-2,1.649287529E-2
1.442687490E-1,1.359135192E-2,-2.046338283E-2,1.649287529E-2
1.466506760E-1,1.099525020E-2,-1.939439960E-2,1.771457121E-2
1.490326030E-1,1.359135192E-2,-1.572931744E-2,1.649287529E-2
1.514145300E-1,1.481304597E-2,-1.695101149E-2,1.527118124E-2
1.537964570E-1,1.359135192E-2,-1.939439960E-2,1.527118124E-2
1.561783840E-1,1.359135192E-2,-1.939439960E-2,1.649287529E-2
1.585603110E-1,1.359135192E-2,-2.061609551E-2,1.282779220E-2
1.609422380E-1,1.481304597E-2,-2.412846684E-2,1.038440317E-2
1.633241130E-1,1.359135192E-2,-2.779355086E-2,9.162709117E-3
1.657060410E-1,1.359135192E-2,-3.390202299E-2,9.162709117E-3
1.680879680E-1,1.481304597E-2,-3.878879920E-2,9.162709117E-3
1.704698950E-1,1.481304597E-2,-4.001049697E-2,7.941014133E-3
1.728518220E-1,1.481304597E-2,-4.123219103E-2,6.719320081E-3
