"Time (s)","Pressure (hPa)"
5.075145700E-2,9.949579468E2
9.076999900E-2,9.949611206E2
1.307506240E-1,9.949611206E2
1.707513010E-1,9.949847412E2
2.107506240E-1,9.950004272E2
2.507448430E-1,9.950208740E2
2.907521860E-1,9.950093994E2
3.307506240E-1,9.950134277E2
3.707499470E-1,9.950457153E2
4.107521860E-1,9.950319214E2
4.507504680E-1,9.950431519E2
4.907611450E-1,9.950412598E2
5.307607280E-1,9.950663452E2
5.707545300E-1,9.951079712E2
6.107555720E-1,9.951268921E2
6.507538530E-1,9.951362305E2
6.907514050E-1,9.951524048E2
7.307480200E-1,9.951918945E2
7.707475510E-1,9.951483765E2
8.107454160E-1,9.951680908E2
8.507390090E-1,9.951561890E2
8.907446860E-1,9.951874390E2
9.307409880E-1,9.951742554E2
9.707483320E-1,9.951978760E2
1.010752134E0,9.951774902E2
1.050743280E0,9.951666260E2
1.090746666E0,9.951953125E2
1.130747447E0,9.952182617E2
1.170751718E0,9.951774902E2
1.210748593E0,9.952443848E2
1.250745572E0,9.951623535E2
1.290748697E0,9.952031860E2
1.330743072E0,9.952267456E2
1.370747030E0,9.951938477E2
1.410745468E0,9.951774902E2
1.450745780E0,9.951953125E2
1.490744374E0,9.952120972E2
1.530744738E0,9.951859741E2
1.570746718E0,9.952167969E2
1.610743905E0,9.952036133E2
1.650753176E0,9.952093506E2
1.690742916E0,9.952095337E2
1.730740259E0,9.952454834E2
1.770742863E0,9.952299805E2
1.810750311E0,9.952172241E2
1.850746041E0,9.952095337E2
1.890747499E0,9.952192993E2
1.930743280E0,9.952020874E2
1.970747291E0,9.952093506E2
2.010747759E0,9.951997681E2
2.050748541E0,9.952350464E2
2.090742916E0,9.952029419E2
2.130742655E0,9.952282715E2
2.170746718E0,9.952565308E2
2.210740780E0,9.951872559E2
2.250747916E0,9.951553345E2
2.290748541E0,9.951942749E2
2.330740207E0,9.952675781E2
2.370745363E0,9.952726440E2
2.410744843E0,9.952152710E2
2.450743645E0,9.951993408E2
2.490744843E0,9.951976318E2
2.530742238E0,9.951944580E2
2.570744374E0,9.952357178E2
2.610741561E0,9.952310181E2
2.650740520E0,9.952437744E2
2.690747082E0,9.952446289E2
2.730744947E0,9.952728882E2
2.770743332E0,9.952055054E2
2.810748541E0,9.952335815E2
2.850743749E0,9.951270752E2
2.890750155E0,9.950253296E2
2.930743332E0,9.950465698E2
2.970750363E0,9.951145630E2
3.010741718E0,9.951275024E2
3.050745728E0,9.951740723E2
3.090745155E0,9.951664429E2
3.130755259E0,9.951798096E2
3.170771197E0,9.951793823E2
3.210753749E0,9.951644897E2
3.250746197E0,9.951923218E2
3.290743905E0,9.951715088E2
3.330753645E0,9.952471924E2
3.370754895E0,9.952556763E2
3.410759895E0,9.952684326E2
3.450752238E0,9.951568604E2
3.490748749E0,9.952898560E2
3.530753384E0,9.951016235E2
3.570772447E0,9.951250000E2
3.610754530E0,9.951768188E2
3.650747968E0,9.951277466E2
3.690749791E0,9.951353760E2
3.730742811E0,9.951258545E2
3.770749166E0,9.951389771E2
3.810749843E0,9.951774902E2
3.850750572E0,9.951904297E2
3.890751353E0,9.951987305E2
3.930750155E0,9.952036133E2
3.970766874E0,9.952116699E2
4.010750155E0,9.951207275E2
4.050779791E0,9.952299805E2
4.090750676E0,9.951668091E2
4.130745468E0,9.950971680E2
4.170748488E0,9.951808472E2
4.210751561E0,9.952195435E2
4.250748332E0,9.952195435E2
4.290747811E0,9.951755371E2
4.330747551E0,9.951676636E2
4.370746041E0,9.951725464E2
4.410752291E0,9.952010498E2
4.450752499E0,9.952089233E2
4.490752707E0,9.952331543E2
4.530746301E0,9.952843628E2
4.570753593E0,9.952532959E2
4.610750259E0,9.951987305E2
4.650751353E0,9.951963501E2
4.690748332E0,9.951885376E2
4.730757134E0,9.950963135E2
4.770749895E0,9.951700439E2
4.810752603E0,9.951521606E2
4.850754009E0,9.951442871E2
4.890756041E0,9.950816040E2
4.930748020E0,9.951130981E2
4.970761301E0,9.950999146E2
5.010749374E0,9.951383667E2
5.050742499E0,9.951160278E2
5.090763957E0,9.951625977E2
5.130760728E0,9.951755371E2
5.170750676E0,9.951521606E2
5.210750832E0,9.951258545E2
5.250772551E0,9.951525879E2
5.290743176E0,9.950606079E2
5.330760624E0,9.951156006E2
5.370758905E0,9.951417847E2
5.410760468E0,9.951185913E2
5.450755624E0,9.951130981E2
5.490746561E0,9.951077881E2
5.530750363E0,9.950716553E2
5.570751093E0,9.951339111E2
5.610745155E0,9.951736450E2
5.650759686E0,9.952571411E2
5.690753541E0,9.952852173E2
5.730772968E0,9.952331543E2
5.770760884E0,9.951625977E2
5.810747499E0,9.952120972E2
5.850761041E0,9.950451050E2
5.890759322E0,9.950737915E2
5.930753176E0,9.951339111E2
5.970755936E0,9.950899048E2
6.010764895E0,9.950533447E2
6.050756301E0,9.950401611E2
6.090758593E0,9.950652466E2
6.130763332E0,9.950554810E2
6.170752759E0,9.951181641E2
6.210755051E0,9.950767212E2
6.250751822E0,9.950977783E2
6.290755572E0,9.951417847E2
6.330753124E0,9.951029053E2
6.370772186E0,9.951317749E2
6.410743645E0,9.950195923E2
6.450754791E0,9.950508423E2
