"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.863478000E-2,5.264209956E-2,-9.212367237E-2,9.727422714E0
2.101644600E-2,4.307080805E-2,-8.733802289E-2,9.736993790E0
2.339811300E-2,5.264209956E-2,-7.776673883E-2,9.722636223E0
2.577983200E-2,4.307080805E-2,-8.733802289E-2,9.722636223E0
2.816149800E-2,4.366901144E-2,-9.690931439E-2,9.722636223E0
3.054316500E-2,3.828516230E-2,-8.733802289E-2,9.736993790E0
3.292483200E-2,3.828516230E-2,-8.255238086E-2,9.732208252E0
3.530649800E-2,5.742774159E-2,-7.776673883E-2,9.727422714E0
3.768816500E-2,4.785645381E-2,-8.733802289E-2,9.713065147E0
4.006988400E-2,5.264209956E-2,-7.776673883E-2,9.727422714E0
4.245155000E-2,5.264209956E-2,-6.340979785E-2,9.717850685E0
4.483321700E-2,5.742774159E-2,-8.255238086E-2,9.713065147E0
4.721488400E-2,6.699903309E-2,-6.340979785E-2,9.722636223E0
4.959655000E-2,5.742774159E-2,-8.255238086E-2,9.722636223E0
5.197821700E-2,4.785645381E-2,-7.776673883E-2,9.736993790E0
5.435993600E-2,4.307080805E-2,-8.255238086E-2,9.727422714E0
5.674160300E-2,4.307080805E-2,-6.819544733E-2,9.736993790E0
5.912326900E-2,5.264209956E-2,-6.819544733E-2,9.732208252E0
6.150493600E-2,5.264209956E-2,-7.776673883E-2,9.713065147E0
6.388660300E-2,3.828516230E-2,-6.819544733E-2,9.722636223E0
6.626826900E-2,6.221338734E-2,-7.298108935E-2,9.732208252E0
6.864998800E-2,5.264209956E-2,-6.819544733E-2,9.722636223E0
7.103165500E-2,5.742774159E-2,-7.776673883E-2,9.732208252E0
7.341332100E-2,4.307080805E-2,-7.776673883E-2,9.727422714E0
7.579498800E-2,4.785645381E-2,-9.212367237E-2,9.717850685E0
7.817665500E-2,3.828516230E-2,-7.776673883E-2,9.732208252E0
8.055832100E-2,4.785645381E-2,-7.776673883E-2,9.708279610E0
8.294004000E-2,4.307080805E-2,-8.255238086E-2,9.732208252E0
8.532170700E-2,2.871387079E-2,-8.255238086E-2,9.717850685E0
8.770337300E-2,4.307080805E-2,-6.819544733E-2,9.732208252E0
9.008504000E-2,4.845465720E-2,-9.690931439E-2,9.713065147E0
9.246670700E-2,3.828516230E-2,-8.733802289E-2,9.732208252E0
9.484842500E-2,3.828516230E-2,-7.776673883E-2,9.722636223E0
9.723009200E-2,4.307080805E-2,-8.733802289E-2,9.713065147E0
9.961175900E-2,3.828516230E-2,-9.212367237E-2,9.713065147E0
1.019934250E-1,5.264209956E-2,-8.733802289E-2,9.727422714E0
1.043750920E-1,4.785645381E-2,-7.776673883E-2,9.727422714E0
1.067567590E-1,3.828516230E-2,-8.255238086E-2,9.736993790E0
1.091384250E-1,2.452643216E-2,-8.733802289E-2,9.741779327E0
1.115201440E-1,4.366901144E-2,-1.112662554E-1,9.732208252E0
1.139018110E-1,4.366901144E-2,-9.690931439E-2,9.741779327E0
1.162834780E-1,4.845465720E-2,-9.690931439E-2,9.732208252E0
1.186651440E-1,4.366901144E-2,-9.690931439E-2,9.732208252E0
1.210468110E-1,3.349951655E-2,-7.776673883E-2,9.727422714E0
1.234285300E-1,5.324030295E-2,-1.064806059E-1,9.732208252E0
1.258101960E-1,3.888336942E-2,-1.112662554E-1,9.722636223E0
1.281918630E-1,3.888336942E-2,-9.212367237E-2,9.722636223E0
1.305735300E-1,5.264209956E-2,-8.255238086E-2,9.708279610E0
1.329551960E-1,4.366901144E-2,-9.690931439E-2,9.722636223E0
1.353368630E-1,3.409772366E-2,-9.212367237E-2,9.741779327E0
1.377185820E-1,5.802594870E-2,-9.690931439E-2,9.732208252E0
1.401002480E-1,5.264209956E-2,-9.212367237E-2,9.722636223E0
1.424819150E-1,4.307080805E-2,-8.733802289E-2,9.722636223E0
1.448635820E-1,4.785645381E-2,-7.298108935E-2,9.732208252E0
1.472452480E-1,5.264209956E-2,-7.298108935E-2,9.746564865E0
1.496269150E-1,5.264209956E-2,-7.298108935E-2,9.736993790E0
1.520086340E-1,6.221338734E-2,-7.776673883E-2,9.717850685E0
1.543903000E-1,5.264209956E-2,-6.340979785E-2,9.741779327E0
1.567719670E-1,4.785645381E-2,-7.298108935E-2,9.722636223E0
1.591536340E-1,3.349951655E-2,-8.255238086E-2,9.736993790E0
1.615353000E-1,5.264209956E-2,-8.733802289E-2,9.727422714E0
1.639169670E-1,5.264209956E-2,-7.298108935E-2,9.727422714E0
1.662986860E-1,4.307080805E-2,-7.776673883E-2,9.713065147E0
1.686803530E-1,4.785645381E-2,-6.819544733E-2,9.717850685E0
1.710620190E-1,4.307080805E-2,-7.776673883E-2,9.727422714E0
1.734436860E-1,4.785645381E-2,-6.819544733E-2,9.727422714E0
1.758253530E-1,5.264209956E-2,-9.212367237E-2,9.717850685E0
1.782070710E-1,5.264209956E-2,-6.340979785E-2,9.732208252E0
1.805887380E-1,4.785645381E-2,-7.776673883E-2,9.732208252E0
1.829704050E-1,4.785645381E-2,-6.819544733E-2,9.732208252E0
1.853520710E-1,5.264209956E-2,-7.298108935E-2,9.732208252E0
1.877337380E-1,6.221338734E-2,-7.298108935E-2,9.717850685E0
1.901154050E-1,4.307080805E-2,-6.819544733E-2,9.722636223E0
1.924971230E-1,5.742774159E-2,-8.255238086E-2,9.708279610E0
1.948787900E-1,6.221338734E-2,-7.298108935E-2,9.713065147E0
1.972604570E-1,5.264209956E-2,-7.298108935E-2,9.717850685E0
1.996421230E-1,4.307080805E-2,-6.819544733E-2,9.717850685E0
2.020237900E-1,5.742774159E-2,-6.819544733E-2,9.727422714E0
2.044054570E-1,4.307080805E-2,-8.255238086E-2,9.717850685E0
2.067871750E-1,5.264209956E-2,-7.776673883E-2,9.717850685E0
2.091688420E-1,4.785645381E-2,-7.298108935E-2,9.717850685E0
2.115505090E-1,3.828516230E-2,-8.255238086E-2,9.727422714E0
2.139321750E-1,4.785645381E-2,-8.255238086E-2,9.727422714E0
2.163138420E-1,4.785645381E-2,-8.733802289E-2,9.722636223E0
