"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.001316500E-2,-1.679830020E-3,-1.527118147E-3,-3.054236295E-4
3.239483200E-2,-1.679830020E-3,-3.054236295E-4,-3.054236295E-4
3.477649800E-2,7.635590737E-4,-1.527118147E-3,-1.527118147E-3
3.715816500E-2,7.635590737E-4,-1.527118147E-3,-3.054236295E-4
3.953988400E-2,-4.581354442E-4,-3.054236295E-4,-3.054236295E-4
4.192155000E-2,-4.581354442E-4,2.137965523E-3,-3.054236295E-4
4.430321700E-2,7.635590737E-4,9.162708884E-4,-1.527118147E-3
4.668488400E-2,-4.581354442E-4,2.137965523E-3,9.162708884E-4
4.906655000E-2,-1.679830020E-3,-3.054236295E-4,9.162708884E-4
5.144821700E-2,-4.581354442E-4,-2.748812549E-3,-3.054236295E-4
5.382993600E-2,-1.679830020E-3,-3.054236295E-4,-3.054236295E-4
5.621160300E-2,-4.581354442E-4,2.137965523E-3,-3.054236295E-4
5.859326900E-2,7.635590737E-4,2.137965523E-3,-1.527118147E-3
6.097493600E-2,-4.581354442E-4,-3.054236295E-4,-3.054236295E-4
6.335660300E-2,7.635590737E-4,9.162708884E-4,9.162708884E-4
6.573826900E-2,-1.679830020E-3,-3.054236295E-4,-3.054236295E-4
6.811998800E-2,-4.581354442E-4,-1.527118147E-3,-3.054236295E-4
7.050165500E-2,7.635590737E-4,-1.527118147E-3,-1.527118147E-3
7.288332100E-2,-1.679830020E-3,9.162708884E-4,-3.054236295E-4
7.526498800E-2,-1.679830020E-3,9.162708884E-4,-3.054236295E-4
7.764665500E-2,-4.581354442E-4,-3.054236295E-4,-3.054236295E-4
8.002832100E-2,7.635590737E-4,-3.054236295E-4,-3.054236295E-4
8.241004000E-2,-1.679830020E-3,-3.054236295E-4,-1.527118147E-3
8.479170700E-2,-4.581354442E-4,9.162708884E-4,9.162708884E-4
8.717337300E-2,7.635590737E-4,-1.527118147E-3,-3.054236295E-4
8.955504000E-2,7.635590737E-4,-3.054236295E-4,-3.054236295E-4
9.193670700E-2,-4.581354442E-4,-3.054236295E-4,-3.054236295E-4
9.431842500E-2,-4.581354442E-4,-1.527118147E-3,-1.527118147E-3
9.670009200E-2,-1.679830020E-3,-3.054236295E-4,9.162708884E-4
9.908175900E-2,7.635590737E-4,9.162708884E-4,9.162708884E-4
1.014634250E-1,7.635590737E-4,-3.054236295E-4,-3.054236295E-4
1.038450920E-1,-4.581354442E-4,-3.054236295E-4,-1.527118147E-3
1.062267590E-1,7.635590737E-4,9.162708884E-4,-2.748812549E-3
1.086084250E-1,1.985253533E-3,9.162708884E-4,-3.054236295E-4
1.109901440E-1,7.635590737E-4,-3.054236295E-4,-1.527118147E-3
1.133718110E-1,-4.581354442E-4,9.162708884E-4,-3.054236295E-4
1.157534780E-1,-4.581354442E-4,-3.054236295E-4,-1.527118147E-3
1.181351440E-1,7.635590737E-4,-1.527118147E-3,-1.527118147E-3
1.205168110E-1,7.635590737E-4,-1.527118147E-3,-3.054236295E-4
1.228985300E-1,-4.581354442E-4,2.137965523E-3,9.162708884E-4
1.252801960E-1,-4.581354442E-4,-3.054236295E-4,-3.054236295E-4
1.276618630E-1,-4.581354442E-4,2.137965523E-3,-2.748812549E-3
