"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.173708355E-3,8.244405670E0,6.411167908E-1,3.660338287E0
1.874129166E-2,7.477101288E0,4.592449951E-1,5.203928375E0
2.869929167E-2,7.339986420E0,2.260299683E-1,6.070925446E0
3.865729165E-2,7.116351471E0,2.478845215E-1,6.679709473E0
4.861529166E-2,7.082521820E0,3.399430847E-1,6.949298859E0
5.857329167E-2,7.289092255E0,3.987707520E-1,7.170239410E0
6.853029167E-2,7.530689850E0,5.700146484E-1,6.963968353E0
7.848829165E-2,7.728129272E0,7.758366394E-1,6.354884949E0
8.844629166E-2,7.628885651E0,8.345146179E-1,5.817502441E0
9.840429167E-2,7.427105255E0,7.212002563E-1,5.406157837E0
1.083622916E-1,7.388934631E0,6.542893982E-1,5.175637207E0
1.183202917E-1,7.317233734E0,5.559439087E-1,5.118306427E0
1.282772917E-1,7.340435486E0,5.222639465E-1,5.148244171E0
1.382352917E-1,7.555089111E0,5.478607178E-1,5.227878571E0
1.481932917E-1,7.752528534E0,6.150709534E-1,5.175188141E0
1.581512917E-1,8.015681305E0,8.788224792E-1,5.337600403E0
1.681092917E-1,8.234825592E0,1.075214081E0,5.382806396E0
1.780662916E-1,8.178542633E0,1.055305481E0,4.939428406E0
1.880242917E-1,7.995173950E0,8.445437622E-1,4.519701233E0
1.979822917E-1,7.743696899E0,6.801855469E-1,4.121229858E0
2.079402916E-1,7.538922729E0,6.393205261E-1,5.377417603E0
2.178982917E-1,7.195836182E0,5.402265930E-1,5.862558746E0
2.278562917E-1,7.672744446E0,7.322772217E-1,5.541626129E0
2.378132917E-1,9.069190521E0,4.707710266E-1,4.900958405E0
2.477712916E-1,8.369695129E0,1.793270874E-1,4.893773346E0
2.577292917E-1,8.303383026E0,5.870791626E-1,5.719156952E0
2.676872917E-1,1.145507904E1,1.379980316E0,6.370602264E0
2.776452916E-1,9.756710815E0,1.295555878E0,3.450325012E0
2.876032917E-1,7.534731445E0,1.031504974E0,1.250499573E0
2.975602917E-1,6.758296051E0,9.258247375E-1,3.419788513E0
3.075182917E-1,6.004613342E0,5.406756592E-1,4.047583008E0
3.174762916E-1,7.678582306E0,1.509610748E0,4.051175537E0
3.274342917E-1,8.991202698E0,1.957778778E0,3.936364288E0
3.373922917E-1,1.039513321E1,1.523831177E0,3.262914734E0
3.473502916E-1,1.086021606E1,-1.811383209E0,3.900888062E0
3.573072916E-1,1.170251450E1,-5.531896362E0,7.011269989E0
3.672652917E-1,1.159189453E1,-4.799918518E0,7.006779327E0
3.772232917E-1,8.255482635E0,-4.013603668E0,5.617218933E0
3.871812916E-1,8.687334595E0,-3.012784882E0,6.456822968E0
3.971392917E-1,9.817185059E0,-1.902693329E0,4.442162476E0
4.070962917E-1,7.281308441E0,-9.819580078E-1,4.194128265E0
4.170542917E-1,6.249055023E0,4.454736328E-1,3.898043976E0
4.270122916E-1,4.782554626E0,3.440894623E0,5.012925568E0
4.369702917E-1,6.368656311E0,5.930068359E0,6.252048798E0
4.469282917E-1,6.847211151E0,6.239774323E0,2.813249817E0
4.568862916E-1,-7.460336151E0,1.335792206E1,1.772314453E-1
4.668432917E-1,-2.679278412E0,1.656036255E1,3.437152405E0
4.768012917E-1,9.026978302E0,7.242688751E0,9.918374634E-1
4.867592916E-1,9.310039673E0,2.260898438E0,2.601140900E0
4.967172917E-1,1.056293427E1,7.676037598E-1,4.327949982E0
5.066752917E-1,9.014254761E0,-1.435514832E-1,2.592458954E0
5.166332916E-1,7.762557678E0,-5.284011841E-1,2.681823120E0
5.265902916E-1,8.091723175E0,-6.313870239E-1,2.436183929E0
5.365482917E-1,8.260122986E0,-3.152444458E-1,1.611399078E0
5.465062917E-1,7.786657562E0,2.704875183E-1,8.873547363E-1
5.564642916E-1,7.684869232E0,4.607418823E-1,1.046623535E0
5.664222917E-1,8.078849945E0,2.665956116E-1,2.231858826E0
5.763802917E-1,7.733518066E0,2.335144043E-2,1.633253632E0
5.863372917E-1,6.885531464E0,-8.048762512E-1,1.232985992E0
5.962952916E-1,6.827452240E0,-1.887125702E0,1.226699066E0
6.062532917E-1,5.665718079E0,-4.547842712E0,2.656825104E0
6.162112917E-1,7.570656738E0,-4.061953125E0,1.885628815E0
6.261692916E-1,8.491990814E0,-1.895059204E0,1.312321014E0
6.361272917E-1,7.040758667E0,-1.477277985E0,1.452130280E0
6.460842917E-1,6.576424255E0,-1.895807648E0,1.150208130E0
6.560422917E-1,6.990762634E0,-2.260149994E0,8.858578491E-1
6.660002916E-1,6.712191925E0,-2.716550903E0,8.683442688E-1
6.759582917E-1,6.450835419E0,-3.404669952E0,8.325686646E-1
6.859162917E-1,7.089257813E0,-4.007915497E0,1.238674164E0
6.958742916E-1,8.279283142E0,-4.290378113E0,2.023791504E0
7.058312916E-1,9.180409241E0,-4.431833954E0,2.812201996E0
7.157892917E-1,9.563462677E0,-4.796176300E0,3.305725708E0
7.257472917E-1,9.408385162E0,-5.247936859E0,3.243455200E0
7.357052916E-1,9.171278229E0,-5.220394135E0,2.361788635E0
7.456632917E-1,9.132957916E0,-4.902305603E0,1.818418579E0
7.556212917E-1,9.315727844E0,-5.320535889E0,2.357148285E0
7.655782917E-1,8.896749115E0,-5.798941040E0,3.113675079E0
7.755362917E-1,7.959098969E0,-5.691763916E0,3.346590729E0
7.854942917E-1,7.298372955E0,-5.275928650E0,3.481609955E0
7.954522917E-1,6.700665894E0,-4.964276733E0,3.188220062E0
8.054102917E-1,6.663243713E0,-4.796775055E0,3.072810059E0
8.153682917E-1,7.035669250E0,-5.068310394E0,3.083138580E0
8.253252917E-1,7.219936066E0,-5.644911346E0,3.229983215E0
8.352832916E-1,7.292535095E0,-6.125861206E0,3.454366608E0
8.452412917E-1,6.858737183E0,-6.759792938E0,3.906875610E0
8.551992917E-1,6.358926544E0,-7.683222656E0,4.599485321E0
8.651572916E-1,6.660998383E0,-9.357640686E0,5.285359039E0
8.751144166E-1,7.433541870E0,-1.122770187E1,5.755531311E0
8.850724167E-1,8.901988220E0,-1.191567123E1,6.352040863E0
8.950304167E-1,1.001133133E1,-1.235605545E1,6.869514771E0
9.049884166E-1,1.064631088E1,-1.282113831E1,7.104975128E0
9.149464167E-1,1.091560089E1,-1.290182053E1,7.484735413E0
9.249044167E-1,1.069960007E1,-1.227163101E1,7.281458130E0
9.348614167E-1,1.041608963E1,-1.096395035E1,6.384373627E0
9.448194166E-1,1.018676651E1,-1.006521927E1,5.216951294E0
9.547774167E-1,1.020772293E1,-9.744436340E0,3.724554749E0
9.647354167E-1,1.064421524E1,-9.566755829E0,1.771266632E0
9.746934166E-1,1.044243484E1,-9.232650604E0,7.961943054E-1
9.846514167E-1,9.671837311E0,-8.688382416E0,-1.227447510E-2
9.946084167E-1,9.493558044E0,-8.059240723E0,-3.965254211E-1
1.004566417E0,9.615704041E0,-7.408094788E0,-3.074606323E-1
1.014524417E0,8.898844757E0,-7.346722412E0,4.429289246E-1
1.024482417E0,7.356452179E0,-8.205336914E0,1.710493011E0
1.034440417E0,6.602769470E0,-9.061855774E0,2.979853363E0
1.044398417E0,7.499105530E0,-8.622968445E0,3.144361267E0
1.054355417E0,7.235054626E0,-8.024363251E0,2.264490967E0
1.064313417E0,6.379733276E0,-8.506211243E0,1.454076233E0
1.074271417E0,6.345454559E0,-8.724158020E0,1.261576538E0
1.084229417E0,6.374943237E0,-8.796008606E0,1.037941589E0
1.094187417E0,5.615722046E0,-8.719667358E0,9.169931030E-1
1.104145417E0,5.086123352E0,-8.493487701E0,6.493496704E-1
1.114102417E0,4.894821167E0,-8.330925751E0,5.887257385E-1
1.124060417E0,4.583019562E0,-8.305328979E0,5.981561279E-1
1.134018417E0,4.173171844E0,-8.785680084E0,5.248086548E-1
1.143976417E0,3.819158020E0,-9.535470886E0,6.262976074E-1
1.153934417E0,3.391946411E0,-1.008916946E1,5.511538696E-1
1.163892417E0,2.598745880E0,-1.095451996E1,1.681004333E-1
1.173849417E0,2.172133026E0,-1.120000946E1,-3.293151855E-3
1.183807417E0,2.104623413E0,-1.062849792E1,1.592687988E-1
1.193765417E0,2.547552338E0,-9.792785797E0,2.721340942E-1
1.203723417E0,3.209625549E0,-9.678273926E0,6.194119263E-1
1.213681417E0,3.446882172E0,-1.000130219E1,1.031205597E0
1.223639417E0,4.068838806E0,-1.097622482E1,1.581611023E0
1.233596417E0,4.161945190E0,-1.219738541E1,1.727258148E0
1.243554417E0,3.255430298E0,-1.216325638E1,1.830094299E0
1.253512417E0,2.954555969E0,-1.040591080E1,2.058668976E0
1.263470417E0,2.988385620E0,-8.568032684E0,2.929258575E0
1.273428417E0,3.640579376E0,-7.759713593E0,4.111200714E0
1.283386417E0,4.857848053E0,-7.772886200E0,2.082619171E0
1.293343417E0,4.839286652E0,-7.951315155E0,6.210585022E-1
1.303301417E0,4.165088654E0,-8.148754578E0,6.822811890E-1
1.313259417E0,4.058210907E0,-7.812404022E0,1.277593231E0
1.323217417E0,4.120930481E0,-7.767946472E0,3.060086517E0
1.333175417E0,4.378095703E0,-7.711813202E0,4.556524658E0
1.343133417E0,4.520150299E0,-7.054829407E0,4.403991852E0
1.353090417E0,4.631818085E0,-6.812333679E0,3.380570068E0
1.363048417E0,4.490511932E0,-6.494095459E0,1.842219086E0
1.373006417E0,4.385580139E0,-5.196893005E0,8.346643066E-1
1.382964417E0,3.792812805E0,-4.476291504E0,5.096900940E-1
1.392922417E0,2.887495422E0,-5.527256012E0,-3.293151855E-2
1.402880417E0,2.134710846E0,-7.273524628E0,3.712280273E-2
1.412837417E0,1.630409546E0,-8.622369690E0,5.450166321E-1
1.422795417E0,1.925895081E0,-9.649084625E0,2.010918274E0
1.432753417E0,3.025059357E0,-9.982591095E0,4.327051849E0
1.442711417E0,4.552632751E0,-9.347012787E0,5.284909973E0
1.452669417E0,5.857619019E0,-8.163274384E0,5.134023743E0
1.462627417E0,7.036717072E0,-6.874005432E0,4.672683105E0
1.472584417E0,6.425538025E0,-5.874084778E0,1.967957611E0
1.482542417E0,6.194418640E0,-4.659809875E0,-8.746311951E-1
1.492500417E0,8.272247772E0,-1.997595978E0,3.137475586E-1
1.502458417E0,5.537584534E0,-6.015989685E-1,4.763095093E-1
1.512416417E0,2.833607483E0,-2.604134674E0,8.382568359E-3
1.522374417E0,5.166955261E0,-7.253616028E0,1.063238983E0
1.532331417E0,4.916226654E0,-1.106139771E1,2.988235931E0
1.542289417E0,4.194727020E0,-1.245095810E1,4.156706085E0
1.552247417E0,4.477189636E0,-1.146585663E1,2.970422974E0
1.562205417E0,5.101241913E0,-9.641899567E0,1.724863129E0
1.572163417E0,6.092480621E0,-8.222251740E0,4.459226990E-1
1.582121417E0,6.175857239E0,-7.423812103E0,-1.253343658E0
1.592078417E0,6.410419464E0,-6.559659119E0,-2.801424408E0
1.602036417E0,6.208040314E0,-5.743705902E0,-3.671415253E0
1.611994417E0,5.283712463E0,-5.486989746E0,-3.805087280E0
1.621952417E0,4.080813904E0,-5.669460297E0,-3.663930817E0
1.631910417E0,4.019441528E0,-5.794899445E0,-2.291135559E0
1.641868417E0,3.736080780E0,-7.318131866E0,-1.381626892E-1
1.651826417E0,3.072959747E0,-8.108488312E0,1.140328674E0
1.661783417E0,3.674558716E0,-7.376809845E0,2.586172028E0
1.671741417E0,6.010750580E0,-7.062912598E0,4.199217682E0
1.681699417E0,7.398664398E0,-7.273075562E0,4.449946289E0
1.691657417E0,7.832911377E0,-7.427853699E0,5.668861542E0
