"Time (s)","X (hPa)"
-5.349438334E-1,1.008176804E3
4.730151666E-1,1.008177795E3
1.480944167E0,1.008178787E3
2.488898167E0,1.008186035E3
3.496788167E0,1.008187866E3
3.845242167E0,1.008189697E3
4.920413167E0,1.008191528E3
5.995534167E0,1.008197632E3
7.070642167E0,1.008203049E3
8.145711167E0,1.008205185E3
9.220777167E0,1.008207016E3
1.029581517E1,1.008209152E3
1.137088317E1,1.008210144E3
1.244593917E1,1.008215408E3
1.352097717E1,1.008222809E3
1.459610017E1,1.008223267E3
1.567122717E1,1.008223267E3
1.674635517E1,1.008209534E3
1.782142617E1,1.008191833E3
1.889651817E1,1.008175735E3
1.997156617E1,1.008168335E3
2.104662617E1,1.008168335E3
2.212170417E1,1.008174438E3
2.319678717E1,1.008181839E3
2.427188317E1,1.008187256E3
2.534697217E1,1.008187256E3
2.642210417E1,1.008187485E3
2.749724917E1,1.008187637E3
2.857232517E1,1.008187637E3
2.964741717E1,1.008188324E3
3.072248217E1,1.008189545E3
3.179755917E1,1.008194351E3
3.287264717E1,1.008199463E3
3.394775617E1,1.008205948E3
3.502284217E1,1.008213730E3
3.609801217E1,1.008224335E3
3.717312317E1,1.008229218E3
3.824826917E1,1.008229218E3
3.932337817E1,1.008226624E3
4.039847717E1,1.008221817E3
4.147358317E1,1.008212891E3
4.254866817E1,1.008203278E3
4.362375817E1,1.008197784E3
4.469892517E1,1.008195877E3
4.577407617E1,1.008191528E3
4.684920017E1,1.008187256E3
4.792431217E1,1.008182602E3
4.899940517E1,1.008177948E3
5.007449317E1,1.008172989E3
5.114951017E1,1.008172989E3
5.222452717E1,1.008179321E3
5.329961817E1,1.008182220E3
5.437471717E1,1.008195496E3
5.544977517E1,1.008198013E3
5.652485717E1,1.008198013E3
5.759989717E1,1.008199463E3
5.867500017E1,1.008195648E3
5.975007717E1,1.008195648E3
6.082519517E1,1.008195648E3
6.190028617E1,1.008207626E3
6.297535117E1,1.008207626E3
6.405037417E1,1.008204498E3
6.512546317E1,1.008200912E3
6.620058217E1,1.008195419E3
6.727562417E1,1.008185120E3
6.835068217E1,1.008176880E3
6.942573517E1,1.008176575E3
7.050075617E1,1.008176575E3
7.157578817E1,1.008181381E3
7.265082217E1,1.008188553E3
7.372581417E1,1.008196564E3
7.480085717E1,1.008202896E3
7.587589617E1,1.008206635E3
7.695095817E1,1.008210144E3
7.802604517E1,1.008211212E3
7.910109917E1,1.008211212E3
8.017607917E1,1.008212891E3
8.125114117E1,1.008212891E3
8.232622817E1,1.008211746E3
8.340132817E1,1.008209000E3
8.447644417E1,1.008206482E3
8.555155217E1,1.008205719E3
8.662661417E1,1.008205719E3
8.770165617E1,1.008206024E3
8.877673817E1,1.008206024E3
8.985185117E1,1.008205719E3
9.092691117E1,1.008203278E3
9.200196117E1,1.008200684E3
9.307706317E1,1.008196106E3
9.415220117E1,1.008195038E3
9.522732717E1,1.008195038E3
9.630241917E1,1.008197098E3
9.737754117E1,1.008197784E3
9.845266717E1,1.008199615E3
9.952773717E1,1.008204269E3
1.006028492E2,1.008207855E3
1.016779472E2,1.008212128E3
1.027530532E2,1.008214874E3
1.038281462E2,1.008216934E3
1.049032642E2,1.008218384E3
1.059783672E2,1.008218384E3
1.070534202E2,1.008213959E3
1.081285502E2,1.008208923E3
1.092036982E2,1.008208771E3
1.102787532E2,1.008205414E3
1.113538802E2,1.008203506E3
1.124290132E2,1.008203506E3
1.135041282E2,1.008202438E3
1.145793362E2,1.008200912E3
1.156545062E2,1.008196793E3
1.167297382E2,1.008192902E3
1.178049082E2,1.008192902E3
1.188801552E2,1.008194580E3
1.199553512E2,1.008203049E3
1.210305282E2,1.008211517E3
1.221056762E2,1.008214798E3
1.231808072E2,1.008214798E3
1.242560072E2,1.008212585E3
1.253311402E2,1.008200378E3
1.264063612E2,1.008194046E3
1.274816732E2,1.008189392E3
1.285568612E2,1.008185959E3
1.296320692E2,1.008185959E3
1.307072182E2,1.008202896E3
1.317824102E2,1.008203049E3
1.328575552E2,1.008203201E3
1.339327522E2,1.008209839E3
1.350079892E2,1.008209839E3
1.360831772E2,1.008213806E3
1.371584002E2,1.008221588E3
1.382335972E2,1.008235626E3
1.393087732E2,1.008236923E3
1.403839572E2,1.008240509E3
1.414591482E2,1.008241806E3
1.425343362E2,1.008241806E3
1.436095112E2,1.008228760E3
1.446847752E2,1.008225632E3
1.457600432E2,1.008222809E3
1.468352302E2,1.008215256E3
1.479104672E2,1.008215256E3
1.489856272E2,1.008220978E3
1.500609272E2,1.008233414E3
1.511361512E2,1.008233719E3
1.522114052E2,1.008240051E3
1.532865972E2,1.008240051E3
1.543617812E2,1.008230362E3
1.554369822E2,1.008217850E3
1.565122102E2,1.008209305E3
1.575873992E2,1.008207474E3
1.586625752E2,1.008207474E3
1.597378072E2,1.008216553E3
1.608130222E2,1.008225098E3
1.618882522E2,1.008227921E3
1.629634612E2,1.008227921E3
1.640386462E2,1.008223877E3
1.651138452E2,1.008216324E3
1.661890662E2,1.008212738E3
1.672642092E2,1.008212738E3
1.683393612E2,1.008212891E3
1.694145352E2,1.008217392E3
1.704896982E2,1.008224792E3
1.715649002E2,1.008233719E3
1.726400872E2,1.008234482E3
1.737152512E2,1.008234482E3
1.747904062E2,1.008226852E3
1.758655982E2,1.008222046E3
1.769408002E2,1.008215942E3
1.780159702E2,1.008215942E3
1.790911292E2,1.008216248E3
1.801663432E2,1.008221741E3
1.812415372E2,1.008225555E3
1.823167292E2,1.008230057E3
1.833919152E2,1.008231888E3
1.844671042E2,1.008231888E3
1.855422662E2,1.008230057E3
1.866174522E2,1.008228760E3
1.876926552E2,1.008221359E3
1.887678672E2,1.008219910E3
1.898430352E2,1.008216095E3
1.909181902E2,1.008215256E3
1.919933052E2,1.008212891E3
1.930684472E2,1.008212891E3
1.941436292E2,1.008214645E3
1.952188442E2,1.008224487E3
1.962939922E2,1.008228531E3
1.973691592E2,1.008228683E3
1.984443552E2,1.008239288E3
1.995196282E2,1.008243408E3
2.005947842E2,1.008245087E3
2.016699082E2,1.008245392E3
2.027450992E2,1.008245087E3
2.038202722E2,1.008240509E3
2.048955022E2,1.008239899E3
2.059706092E2,1.008229523E3
2.070458102E2,1.008228683E3
2.081210242E2,1.008228683E3
2.091962282E2,1.008228683E3
2.102713782E2,1.008228531E3
2.113465522E2,1.008228531E3
2.124216392E2,1.008231277E3
2.134968022E2,1.008235626E3
2.145719282E2,1.008236542E3
2.156470802E2,1.008241959E3
2.167221602E2,1.008248367E3
2.177972572E2,1.008254166E3
2.188724042E2,1.008254166E3
2.199475952E2,1.008248062E3
2.210227112E2,1.008244476E3
2.220978612E2,1.008244476E3
2.231729952E2,1.008248749E3
2.242480902E2,1.008252258E3
2.253231822E2,1.008256912E3
2.263982712E2,1.008264160E3
2.274733712E2,1.008264160E3
2.285484402E2,1.008259735E3
2.296235592E2,1.008258209E3
2.306986492E2,1.008257599E3
2.317737932E2,1.008253937E3
2.328488842E2,1.008248901E3
2.339240182E2,1.008237381E3
2.349991142E2,1.008219452E3
2.360742382E2,1.008204575E3
2.371493752E2,1.008193207E3
