"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.118729166E-2,-1.740859002E-1,1.491492093E-1,-1.962064952E-1
4.114529165E-2,-2.380761318E-2,5.094144493E-3,-1.911178976E-1
5.110329165E-2,1.551557481E-1,-1.768000275E-1,-2.089253962E-1
6.106129166E-2,3.116928041E-1,-3.737505078E-1,-2.541643679E-1
7.101829167E-2,3.988679349E-1,-5.351710916E-1,-3.128154278E-1
8.097629165E-2,4.101606309E-1,-5.726729035E-1,-3.189835548E-1
9.093429166E-2,3.727826476E-1,-5.161478519E-1,-2.542168200E-1
1.008922917E-1,3.120186627E-1,-4.013172686E-1,-1.705942750E-1
1.108502916E-1,2.261312008E-1,-2.550476789E-1,-7.177527994E-2
1.208082917E-1,1.495597810E-1,-1.543684751E-1,2.436057664E-2
1.307652917E-1,1.014806628E-1,-1.015579998E-1,8.505481482E-2
1.407232917E-1,6.073320657E-2,-1.171813309E-1,1.064382568E-1
1.506812916E-1,5.592567101E-2,-1.694309562E-1,9.241831303E-2
1.606392917E-1,9.497189522E-2,-2.380916029E-1,4.372521862E-2
1.705972917E-1,9.507016838E-2,-3.652045727E-1,-1.683213376E-2
1.805542917E-1,4.718330130E-2,-5.791946054E-1,-6.766490638E-2
1.905122917E-1,-1.865217276E-2,-1.028066039E0,-1.161639988E-1
2.004702917E-1,1.103224531E-1,-1.341263413E0,-2.158067375E-1
2.104282917E-1,3.645224869E-1,-1.565159082E0,-2.895411253E-1
2.203862917E-1,5.912999511E-1,-1.616594315E0,-3.958348036E-1
2.303442917E-1,6.674839258E-1,-1.681915045E0,-5.317415595E-1
2.403012917E-1,6.055492163E-1,-1.827744007E0,-5.736519098E-1
2.502592916E-1,5.664827824E-1,-2.034024000E0,-5.271493793E-1
2.602172917E-1,7.097966671E-1,-1.705397129E0,-7.840642333E-1
2.701752917E-1,5.819375515E-1,-1.142798781E0,-1.076229334E0
2.801332916E-1,-1.021290421E-1,-3.774632812E-1,-9.019282460E-1
2.900912917E-1,-5.851380229E-1,5.987812877E-1,-5.830778480E-1
3.000482917E-1,-9.360073805E-1,1.417364359E0,-2.926040627E-2
3.100062917E-1,-1.285165310E0,1.788780570E0,2.836437225E-1
3.199642916E-1,-1.551565289E0,1.500067115E0,2.503519356E-1
3.299222917E-1,-1.718144059E0,9.984245300E-1,-1.463941038E-1
