"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.118729166E-2,-5.809822708E-1,-1.983909839E-1,4.827051938E-1
4.114529165E-2,-7.773083836E-1,-1.239595466E-1,9.097776389E-1
5.110329165E-2,-6.973009318E-1,-7.183161903E-2,1.173679438E0
6.106129166E-2,-4.805165809E-1,-1.899405878E-2,1.309475759E0
7.101829167E-2,-2.609127027E-1,1.462122952E-1,9.474360466E-1
8.097629165E-2,-1.836838478E-1,2.727811617E-1,3.561755401E-1
9.093429166E-2,-4.103418070E-1,1.958231791E-1,-6.331365108E-2
1.008922917E-1,-5.669518769E-1,5.583272338E-2,-3.947373426E-1
1.108502916E-1,-6.198294175E-1,-4.199360646E-2,-5.101379907E-1
1.208082917E-1,-7.007402641E-1,-1.455282075E-1,-5.238643295E-1
1.307652917E-1,-5.978707838E-1,-1.411681581E-1,-4.408227575E-1
1.407232917E-1,-3.784698039E-1,-1.208860673E-1,-4.057195830E-1
1.506812916E-1,-1.870594454E-1,2.973462649E-2,-4.013353407E-1
1.606392917E-1,9.570781052E-2,3.080958592E-1,-1.814081115E-1
1.705972917E-1,1.791604418E-1,4.235331986E-1,-3.036488324E-1
1.805542917E-1,5.251092017E-2,2.977893376E-1,-7.790783358E-1
1.905122917E-1,-2.368484867E-1,5.996926300E-2,-1.156228423E0
2.004702917E-1,-4.656114435E-1,5.067328647E-2,-9.358147055E-1
2.104282917E-1,-8.977312052E-1,-2.511368159E-1,5.494675326E-1
2.203862917E-1,-1.127610396E0,-1.063486467E-1,6.222601050E-1
2.303442917E-1,-1.293257922E-1,-2.226718392E-1,3.740493089E-1
2.403012917E-1,5.434261894E-1,-5.869622183E-1,-4.730280519E-2
2.502592916E-1,-5.588353568E-1,-7.990527899E-1,5.280386567E-1
2.602172917E-1,3.644318086E-1,-1.932073541E-1,1.533058960E0
2.701752917E-1,3.512237086E0,3.264613789E-1,1.548826854E0
2.801332916E-1,-7.714798790E-1,-2.965130366E-1,-2.305329967E0
2.900912917E-1,-1.003472838E0,-1.237218207E-1,-2.355690574E0
3.000482917E-1,-2.619786501E0,-7.923760736E-1,-4.863787070E-1
3.100062917E-1,-2.048362674E0,-4.170297061E-1,-5.067261404E-1
3.199642916E-1,-2.864165032E-1,5.677250250E-1,-6.353046584E-1
3.299222917E-1,1.001042735E0,8.207529035E-1,-1.076959182E0
3.398802917E-1,2.409746329E0,-1.846302196E-1,-1.773492667E0
3.498382916E-1,2.468195681E0,-4.940376239E0,4.861141205E-2
3.597952916E-1,3.682060109E0,-6.644030932E0,2.589424834E0
3.697532917E-1,2.178702373E0,-5.747879645E0,1.466517938E0
3.797112917E-1,-8.449951673E-1,-5.097739431E0,1.114118238E0
3.896692916E-1,1.225775206E0,-4.292767870E0,1.062853067E0
3.996272917E-1,4.438334888E-1,-3.305111750E0,-2.733327734E-1
4.095842917E-1,-1.667574449E0,-2.690592774E0,-6.275331241E-1
4.195422917E-1,-2.772183067E0,-8.688421592E-1,-3.700837272E-1
4.295002916E-1,-3.307907304E0,2.099366766E0,1.260376689E0
4.394582917E-1,-1.133567539E0,3.298149471E0,7.041728720E-1
4.494162917E-1,-4.101670922E0,4.300053793E0,-3.003470267E0
4.593742916E-1,-1.895570251E1,1.373701459E1,-3.620111783E0
4.693312916E-1,-3.878475684E0,1.008579094E1,-1.543323162E0
4.792892917E-1,1.097027704E0,1.551280054E0,-4.115248157E0
4.892472917E-1,2.010427693E0,-1.604001766E0,-6.773180723E-1
4.992052916E-1,2.356054856E0,-2.630663784E0,-1.611797274E0
5.091632917E-1,4.479189384E-1,-3.306480291E0,-2.395873225E0
5.191212917E-1,-3.379047453E-2,-3.338001169E0,-2.682610155E0
5.290782916E-1,3.481859046E-1,-3.119887161E0,-2.963350766E0
5.390362917E-1,1.136973542E-1,-2.394408059E0,-3.979337230E0
5.489942917E-1,-4.438533694E-1,-1.593323581E0,-4.315363265E0
5.589522916E-1,-5.045995080E-1,-1.383993991E0,-3.393906983E0
5.689102917E-1,-3.736511135E-1,-1.264275759E0,-2.501116382E0
5.788682917E-1,-1.339671366E0,-1.485716540E0,-3.028491380E0
5.888252917E-1,-1.982911865E0,-2.121787184E0,-2.935253141E0
5.987832916E-1,-2.592104028E0,-3.440157874E0,-2.176203858E0
6.087412917E-1,-3.152438611E0,-5.343803129E0,-8.196235138E-1
6.186992917E-1,-8.996637100E-1,-3.172350134E0,-1.827580874E0
6.286572916E-1,-1.328721285E0,-1.280399310E0,-1.555386553E0
6.386152917E-1,-2.754713926E0,-1.033280043E0,-1.355261212E0
6.485722917E-1,-2.683918762E0,-1.139949921E0,-1.489472061E0
6.585302917E-1,-2.486223232E0,-1.173586029E0,-1.455673838E0
6.684882916E-1,-2.886926488E0,-1.395046106E0,-1.316757443E0
6.784462917E-1,-2.849632947E0,-1.735987603E0,-1.061308817E0
