"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.723299503E-2,3.466932468E1,1.353947010E2,1.471916199E1,NaN,NaN,1.414000000E3,1.218733902E2
7.844805717E-2,3.466932349E1,1.353946997E2,1.471916199E1,NaN,NaN,1.414000000E3,1.218733902E2
2.122204065E0,3.466811533E1,1.353933987E2,1.559837341E1,7.699999809E-1,3.360937500E2,1.217838262E1,2.400000000E1
2.752434015E0,3.466811780E1,1.353933973E2,1.542625427E1,7.699999809E-1,3.360937500E2,1.288366284E1,2.400000000E1
3.007627964E0,3.466812417E1,1.353933939E2,1.498942566E1,7.699999809E-1,3.360937500E2,1.499941985E1,2.400000000E1
4.010895014E0,3.466801303E1,1.353932607E2,1.456993103E1,0.000000000E0,3.761718750E1,6.073421395E0,3.000000000E0
5.008835077E0,3.466801311E1,1.353932523E2,1.477922058E1,0.000000000E0,3.761718750E1,4.034343533E0,3.000000000E0
6.008542061E0,3.466800225E1,1.353932590E2,1.488407898E1,0.000000000E0,3.761718750E1,3.690544504E0,3.000000000E0
6.987557054E0,3.466799115E1,1.353932667E2,1.492881775E1,0.000000000E0,3.761718750E1,3.535533906E0,3.000000000E0
7.987562895E0,3.466800435E1,1.353932688E2,1.504252625E1,0.000000000E0,3.761718750E1,3.535533906E0,3.000000000E0
8.987563729E0,3.466800150E1,1.353932570E2,1.484770203E1,0.000000000E0,3.761718750E1,3.535533906E0,3.000000000E0
9.987561345E0,3.466800167E1,1.353932478E2,1.480729675E1,0.000000000E0,3.761718750E1,3.535533906E0,3.000000000E0
1.098756552E1,3.466799743E1,1.353932355E2,1.483238220E1,0.000000000E0,3.761718750E1,3.535533906E0,3.000000000E0
1.198756707E1,3.466800347E1,1.353932377E2,1.477903748E1,0.000000000E0,3.761718750E1,3.535533906E0,3.000000000E0
1.298756576E1,3.466800267E1,1.353932310E2,1.482048035E1,0.000000000E0,3.761718750E1,3.535533906E0,3.000000000E0
1.398756385E1,3.466800565E1,1.353932289E2,1.473234558E1,0.000000000E0,3.761718750E1,3.535533906E0,3.000000000E0
