"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.118729166E-2,-4.351797867E1,1.910719299E1,-8.050613403E0
4.114529165E-2,-4.342401505E1,1.908098602E1,-7.970855713E0
5.110329165E-2,-4.347240829E1,1.907043457E1,-7.956161499E0
6.106129166E-2,-4.340828323E1,1.903359222E1,-7.999633789E0
7.101829167E-2,-4.344935989E1,1.905384827E1,-8.103500366E0
8.097629165E-2,-4.382370377E1,1.875019836E1,-8.002975464E0
9.093429166E-2,-4.379256821E1,1.841598511E1,-7.458465576E0
1.008922917E-1,-4.367940903E1,1.836059570E1,-7.471374512E0
1.108502916E-1,-4.394323349E1,1.804560089E1,-7.303436279E0
1.208082917E-1,-4.399329758E1,1.792134857E1,-6.987335205E0
1.307652917E-1,-4.370085526E1,1.814366150E1,-6.847061157E0
1.407232917E-1,-4.352418900E1,1.784320831E1,-7.128631592E0
1.506812916E-1,-4.375133896E1,1.821538544E1,-6.804321289E0
1.606392917E-1,-4.371542740E1,1.810148621E1,-6.496948242E0
1.705972917E-1,-4.372088242E1,1.791942596E1,-6.733703613E0
1.805542917E-1,-4.379815292E1,1.811772919E1,-6.692535400E0
1.905122917E-1,-4.369863510E1,1.837960815E1,-6.515396118E0
2.004702917E-1,-4.381750107E1,1.827243805E1,-6.512725830E0
2.104282917E-1,-4.414916611E1,1.809851074E1,-6.151718140E0
2.203862917E-1,-4.419527054E1,1.762318420E1,-5.500366211E0
2.303442917E-1,-4.423952103E1,1.756006622E1,-4.644439697E0
2.403012917E-1,-4.459443283E1,1.735852814E1,-3.934783936E0
2.502592916E-1,-4.454863358E1,1.728128052E1,-3.604888916E0
2.602172917E-1,-4.473110580E1,1.690898132E1,-2.391799927E0
2.701752917E-1,-4.504816818E1,1.668917847E1,-1.660217285E0
2.801332916E-1,-4.498205185E1,1.610717773E1,-1.725128174E0
2.900912917E-1,-4.512328720E1,1.568087769E1,-1.244186401E0
3.000482917E-1,-4.528377914E1,1.518129730E1,-1.091552734E0
3.100062917E-1,-4.518253708E1,1.527745819E1,-1.270935059E0
3.199642916E-1,-4.547320175E1,1.535688019E1,-1.862609863E0
3.299222917E-1,-4.529327774E1,1.555393219E1,-2.202743530E0
3.398802917E-1,-4.543473434E1,1.534238434E1,-2.409301758E0
3.498382916E-1,-4.553100967E1,1.523437500E1,-2.682983398E0
3.597952916E-1,-4.577394485E1,1.491508484E1,-2.763732910E0
3.697532917E-1,-4.595996475E1,1.418894196E1,-2.216247559E0
3.797112917E-1,-4.637665939E1,1.341856384E1,-1.865432739E0
3.896692916E-1,-4.656436539E1,1.244256592E1,-1.118026733E0
3.996272917E-1,-4.681599045E1,1.154228210E1,-5.585784912E-1
4.095842917E-1,-4.701332474E1,9.936637878E0,1.768035889E-1
4.195422917E-1,-4.714944839E1,8.773696899E0,5.894012451E-1
4.295002916E-1,-4.731000900E1,7.108985901E0,4.391479492E-1
4.394582917E-1,-4.780754471E1,5.563125610E0,7.017517090E-1
4.494162917E-1,-4.779720688E1,3.858291626E0,3.634796143E-1
4.593742916E-1,-4.811126328E1,2.667839050E0,6.288146973E-2
4.693312916E-1,-4.785657883E1,2.310157776E0,5.026245117E-2
4.792892917E-1,-4.796480179E1,2.155448914E0,4.130554199E-2
4.892472917E-1,-4.783572769E1,2.542015076E0,-5.079040527E-1
4.992052916E-1,-4.772375870E1,2.527946472E0,-1.283905029E0
5.091632917E-1,-4.787728500E1,2.975227356E0,-1.732330322E0
5.191212917E-1,-4.773539352E1,3.579948425E0,-2.382369995E0
5.290782916E-1,-4.778894424E1,4.262992859E0,-2.586242676E0
5.390362917E-1,-4.793665695E1,5.148887634E0,-1.968688965E0
5.489942917E-1,-4.780208969E1,5.932891846E0,-1.052658081E0
5.589522916E-1,-4.751620865E1,6.512207031E0,-7.972717285E-2
5.689102917E-1,-4.745658493E1,7.374145508E0,1.434875488E0
5.788682917E-1,-4.718882370E1,8.056533813E0,3.620971680E0
5.888252917E-1,-4.657268906E1,8.785736084E0,5.547409058E0
5.987832916E-1,-4.635031509E1,9.838989258E0,7.320770264E0
6.087412917E-1,-4.580910873E1,1.089832306E1,9.096252441E0
6.186992917E-1,-4.512748337E1,1.231829071E1,1.028756714E1
6.286572916E-1,-4.410530472E1,1.404032898E1,1.162368774E1
6.386152917E-1,-4.341045761E1,1.536789703E1,1.267240906E1
6.485722917E-1,-4.267390823E1,1.690447998E1,1.361769104E1
6.585302917E-1,-4.152206039E1,1.867532349E1,1.439353943E1
6.684882916E-1,-4.047233963E1,2.033463287E1,1.487925720E1
6.784462917E-1,-3.952344894E1,2.223789978E1,1.559153748E1
6.884042917E-1,-3.839872360E1,2.392420197E1,1.583227539E1
6.983622916E-1,-3.685932541E1,2.578424072E1,1.625201416E1
7.083192916E-1,-3.547372055E1,2.739350891E1,1.641281128E1
7.182772917E-1,-3.417966080E1,2.881246948E1,1.632205200E1
7.282352917E-1,-3.291615677E1,3.049506378E1,1.605413818E1
7.381932916E-1,-3.170232773E1,3.195014191E1,1.609915161E1
7.481512917E-1,-3.035937881E1,3.302066803E1,1.556312561E1
7.581092917E-1,-2.895098495E1,3.405654907E1,1.548149109E1
7.680662917E-1,-2.797728348E1,3.498080444E1,1.546607971E1
7.780242916E-1,-2.672909164E1,3.596237946E1,1.544157410E1
7.879822917E-1,-2.576630783E1,3.695508575E1,1.541984558E1
7.979402917E-1,-2.463496780E1,3.757608795E1,1.512657166E1
8.078982916E-1,-2.370975876E1,3.839250183E1,1.525769043E1
8.178562917E-1,-2.297562027E1,3.876805878E1,1.512327576E1
8.278132917E-1,-2.188779831E1,3.923321533E1,1.536189270E1
8.377712917E-1,-2.108971024E1,3.958093262E1,1.537834167E1
8.477292917E-1,-2.037162399E1,4.014869690E1,1.587019348E1
8.576872917E-1,-1.932657242E1,4.031624603E1,1.595301819E1
8.676452917E-1,-1.853824234E1,4.052959442E1,1.661450195E1
8.776024166E-1,-1.757594681E1,4.051714325E1,1.711035156E1
8.875604167E-1,-1.666104507E1,4.080834198E1,1.754873657E1
8.975184167E-1,-1.567856979E1,4.086392975E1,1.760775757E1
9.074764166E-1,-1.430617142E1,4.144561768E1,1.837382507E1
9.174344167E-1,-1.300271225E1,4.180957794E1,1.840077209E1
9.273924167E-1,-1.147896194E1,4.222166443E1,1.779684448E1
9.373494167E-1,-1.018027878E1,4.288831329E1,1.769309998E1
9.473074166E-1,-8.990505219E0,4.356264496E1,1.637127686E1
9.572654167E-1,-8.021213531E0,4.381960297E1,1.603988647E1
9.672234167E-1,-6.905284882E0,4.437297058E1,1.535078430E1
9.771814166E-1,-6.128520966E0,4.462241364E1,1.502658081E1
9.871394167E-1,-5.767330170E0,4.476914978E1,1.485021973E1
9.970964167E-1,-4.887378693E0,4.463059235E1,1.467066956E1
1.007054417E0,-4.736965179E0,4.432760620E1,1.484118652E1
1.017012417E0,-4.866901398E0,4.435742950E1,1.534394836E1
1.026970417E0,-4.973331451E0,4.427909088E1,1.615040588E1
1.036928417E0,-5.219303131E0,4.414125824E1,1.671849060E1
1.046886417E0,-5.533283234E0,4.380419922E1,1.671946716E1
1.056843417E0,-5.837261200E0,4.373659515E1,1.770484924E1
1.066801417E0,-6.075214386E0,4.344030762E1,1.816619873E1
1.076759417E0,-6.341609955E0,4.304969788E1,1.869125366E1
1.086717417E0,-7.038219452E0,4.289962769E1,1.922412109E1
1.096675417E0,-7.431133270E0,4.254440308E1,1.958522034E1
1.106633417E0,-7.869647980E0,4.220312500E1,1.995327759E1
1.116590417E0,-8.349201202E0,4.195230865E1,2.031660461E1
1.126548417E0,-8.506671906E0,4.171381378E1,2.067073059E1
1.136506417E0,-8.905750275E0,4.156388855E1,2.050910950E1
1.146464417E0,-8.879695892E0,4.166996002E1,2.106515503E1
1.156422417E0,-8.873744965E0,4.140892029E1,2.112974548E1
1.166380417E0,-8.491245270E0,4.144705963E1,2.136108398E1
1.176337417E0,-8.261531830E0,4.137103271E1,2.185781860E1
1.186295417E0,-8.074657440E0,4.142901611E1,2.182186890E1
1.196253417E0,-7.577770233E0,4.110755920E1,2.232287598E1
1.206211417E0,-7.377140045E0,4.125242615E1,2.233305359E1
1.216169417E0,-6.760723114E0,4.137141418E1,2.269128418E1
1.226127417E0,-6.459110260E0,4.157165527E1,2.258448792E1
1.236084417E0,-5.955623627E0,4.140428162E1,2.220176697E1
1.246042417E0,-5.280452728E0,4.148973083E1,2.257604980E1
1.256000417E0,-4.939434052E0,4.148658752E1,2.246224976E1
1.265958417E0,-4.393413544E0,4.177733612E1,2.198736572E1
