"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.165883600E-2,-6.431907177E0,-1.286142170E-1,1.173858929E1
1.389566300E-2,-4.920241356E0,1.448854089E0,1.007139015E1
1.613249000E-2,-2.462214470E0,3.994817495E0,7.996214867E0
1.836931700E-2,-9.954141974E-1,5.821737289E0,6.399604321E0
2.060614400E-2,-7.992027402E-1,6.547959328E0,5.942574978E0
2.284297100E-2,-1.386042476E0,6.327221394E0,6.986443996E0
2.507979800E-2,-3.092723370E0,4.555335999E0,8.781061172E0
2.731662500E-2,-4.929812908E0,1.788634896E0,1.007557774E1
2.955345200E-2,-5.806184292E0,-7.238288522E-1,1.024786091E1
3.181680600E-2,-5.440082073E0,-1.998006940E0,9.471389771E0
3.405223900E-2,-4.028914928E0,-1.439880967E0,8.353343964E0
3.629248500E-2,-2.732005358E0,1.026520967E0,7.593622684E0
3.853730800E-2,-2.338385820E0,4.057030678E0,7.587042332E0
4.076576300E-2,-2.876770973E0,6.314060688E0,8.336593628E0
4.301417600E-2,-3.302693367E0,7.414160728E0,9.670592308E0
4.524855100E-2,-3.535395384E0,6.659823418E0,1.104766178E1
4.748555000E-2,-3.996013880E0,4.099503517E0,1.186840057E1
4.970784100E-2,-4.210171223E0,1.232901812E0,1.194257736E1
5.194612200E-2,-3.411566973E0,-5.120640397E-1,1.135214901E1
5.418495200E-2,-2.760719061E0,-8.177471161E-1,1.027119160E1
5.643397500E-2,-2.618346214E0,6.592226624E-1,8.897112846E0
5.867402700E-2,-3.153740168E0,3.111865759E0,7.771887779E0
6.091059900E-2,-4.040280819E0,5.070391178E0,7.173682213E0
6.314460800E-2,-4.587639332E0,5.662016392E0,7.201199532E0
6.538063100E-2,-4.613960266E0,4.813162804E0,7.770093441E0
6.761879000E-2,-3.954139471E0,3.187239647E0,8.565707207E0
6.985670500E-2,-3.316452265E0,1.638485312E0,9.360722542E0
7.209285000E-2,-2.903092146E0,6.927221417E-1,9.862018585E0
7.432972700E-2,-2.299502611E0,1.136590719E0,1.007677460E1
7.656648300E-2,-2.328814745E0,2.471187592E0,1.014078236E1
7.880378800E-2,-3.392424345E0,3.363112211E0,9.981659889E0
8.104090900E-2,-3.922434568E0,4.018147469E0,9.708877563E0
8.327894600E-2,-3.911068678E0,4.320839405E0,9.417551994E0
8.551521300E-2,-3.667000771E0,4.288536549E0,9.415159225E0
8.775282300E-2,-3.243471146E0,3.865006685E0,9.591629982E0
8.998860200E-2,-3.574877024E0,2.760719061E0,9.523433685E0
9.222297700E-2,-3.676572084E0,1.874178290E0,9.271589279E0
9.445106500E-2,-3.002992392E0,2.050648928E0,9.224929810E0
9.670008900E-2,-3.013760090E0,2.394617319E0,9.376873970E0
9.893733200E-2,-3.722035646E0,2.702095032E0,9.269196510E0
1.011778110E-1,-3.766302824E0,3.040081263E0,8.767900467E0
1.034068760E-1,-3.089732170E0,3.061616659E0,8.082356453E0
1.056286770E-1,-2.598605394E0,2.706880569E0,7.715656757E0
1.078728790E-1,-2.868396044E0,2.050050735E0,7.943572998E0
1.101219640E-1,-3.501297712E0,1.377667665E0,8.563314438E0
1.123632970E-1,-3.974478483E0,1.194616675E0,9.317651749E0
1.145989540E-1,-3.713660717E0,2.137987137E0,1.014796066E1
1.168331450E-1,-3.456432343E0,3.756731510E0,1.091545868E1
1.190710600E-1,-4.049253941E0,4.644468784E0,1.114217854E1
1.213072050E-1,-3.925425529E0,5.093721390E0,1.084187984E1
1.235449980E-1,-2.785245657E0,5.428118229E0,1.028435135E1
1.257805330E-1,-1.932204247E0,5.173880577E0,9.796813965E0
1.280205240E-1,-1.923829436E0,3.803391695E0,9.260223389E0
1.302652740E-1,-2.446063042E0,1.886740685E0,8.763114929E0
1.324923860E-1,-3.375674486E0,3.337987661E-1,8.351549149E0
1.347267010E-1,-3.727419376E0,-1.818545163E-1,8.287541389E0
1.369527750E-1,-4.091128349E0,1.728814393E-1,8.307282448E0
1.392032010E-1,-4.906482697E0,1.027717352E0,8.112266541E0
1.414412390E-1,-4.948955536E0,2.296511650E0,7.962117195E0
1.436800090E-1,-3.916452408E0,3.632902861E0,8.255238533E0
1.459142000E-1,-2.706282377E0,4.520041943E0,8.903693199E0
1.481479650E-1,-2.369492531E0,4.740779877E0,9.707681656E0
1.503762970E-1,-2.335394859E0,4.262215137E0,1.060499001E1
1.526255650E-1,-2.160718918E0,3.901497364E0,1.147537899E1
1.548631140E-1,-2.177468538E0,3.938585997E0,1.183729362E1
1.570995640E-1,-3.125624657E0,3.611367464E0,1.121396351E1
1.593228300E-1,-3.934398651E0,2.794218540E0,9.629914284E0
1.615614780E-1,-3.804588079E0,2.188834429E0,7.834101200E0
1.638106840E-1,-3.092723370E0,1.706082582E0,6.563512325E0
1.660500650E-1,-3.049054146E0,7.758727670E-1,6.046064377E0
1.682871860E-1,-4.177269936E0,-6.101697683E-2,6.594619274E0
1.705215610E-1,-4.691128731E0,7.561319470E-1,8.257631302E0
1.727595980E-1,-4.503890514E0,3.028116941E0,1.054457092E1
1.749957430E-1,-4.582255363E0,5.097310543E0,1.210887909E1
1.772335360E-1,-3.954139471E0,6.526423931E0,1.226979637E1
1.794692540E-1,-2.251646042E0,7.079763889E0,1.122592735E1
1.817063750E-1,-7.178468108E-1,6.327221394E0,9.729815483E0
1.839431310E-1,-4.271188378E-1,4.210171223E0,8.548358917E0
1.861802520E-1,-1.945364833E0,1.394417405E0,8.133802414E0
1.884178620E-1,-3.951148272E0,-5.904290080E-1,8.543573380E0
1.906556550E-1,-5.436492920E0,-1.203589797E0,9.317651749E0
1.928919830E-1,-6.011368752E0,-3.828516304E-1,9.611370087E0
1.951294710E-1,-5.968297958E0,1.259821177E0,8.979664803E0
1.973652500E-1,-4.763511658E0,3.178864956E0,7.899903774E0
1.996023100E-1,-2.764906645E0,5.094319344E0,7.085746288E0
2.018391880E-1,-1.116251707E0,6.078966141E0,7.008577347E0
2.040764930E-1,-1.028913736E0,5.303092957E0,7.868797302E0
2.063139190E-1,-2.188236237E0,3.562314749E0,9.534799576E0
2.085518950E-1,-3.932005882E0,2.255235434E0,1.135693455E1
2.107880400E-1,-5.475974560E0,1.804188251E0,1.251625729E1
2.130234530E-1,-5.893522263E0,2.346760750E0,1.237328625E1
2.152511750E-1,-4.388436794E0,3.494119167E0,1.075454140E1
2.174983680E-1,-2.185843468E0,4.008575916E0,8.208578110E0
2.197352450E-1,-7.316055298E-1,3.667598963E0,6.019145489E0
2.219748090E-1,-4.295116663E-1,2.737389088E0,5.508875847E0
2.242100980E-1,-2.109273195E0,1.444666624E0,7.131209850E0
2.264476470E-1,-5.313262463E0,8.279166222E-1,1.013539886E1
2.286842800E-1,-7.546364307E0,1.336391449E0,1.292243862E1
2.309217070E-1,-7.596613884E0,2.681157827E0,1.386880016E1
2.331575470E-1,-5.704489231E0,4.567300320E0,1.248096275E1
2.353945470E-1,-2.665006161E0,6.189035892E0,9.778867722E0
2.376314240E-1,-2.141576260E-1,6.657430649E0,7.225726128E0
2.398687290E-1,6.532405615E-1,6.032305717E0,6.104688644E0
2.421060940E-1,-2.027917206E-1,4.182055950E0,6.757929325E0
