"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.507979800E-2,-7.101308554E-2,1.638645977E-1,2.474004179E-1
2.731662500E-2,-8.872817457E-2,1.992947906E-1,2.547308207E-1
2.955345200E-2,-9.407325089E-2,1.872301996E-1,2.643519342E-1
3.181680600E-2,-8.933904022E-2,1.131627858E-1,2.690861523E-1
3.405223900E-2,-7.299839705E-2,8.552113548E-3,2.614503205E-1
3.629248500E-2,-4.520402849E-2,-8.307767659E-2,2.380847335E-1
3.853730800E-2,-4.886921961E-3,-1.105666086E-1,2.162462920E-1
4.076576300E-2,4.062253982E-2,-4.825835302E-2,2.168571651E-1
4.301417600E-2,7.406741381E-2,8.811730891E-2,2.336559594E-1
4.524855100E-2,8.567385375E-2,2.396118939E-1,2.391537428E-1
4.748555000E-2,6.582073122E-2,3.455969989E-1,2.357939780E-1
4.970784100E-2,2.779436857E-2,3.547599912E-1,2.379320115E-1
5.194612200E-2,-1.740965992E-2,2.574796975E-1,2.432770878E-1
5.418495200E-2,-5.390885845E-2,9.422596544E-2,2.460259795E-1
5.643397500E-2,-7.040221989E-2,-5.467243865E-2,2.440406680E-1
5.867402700E-2,-6.078109145E-2,-1.227839142E-1,2.438879460E-1
6.091059900E-2,-3.527746722E-2,-8.200865984E-2,2.417499274E-1
6.314460800E-2,-8.246680722E-3,4.001167417E-2,2.474004179E-1
6.538063100E-2,1.298088674E-2,1.766927689E-1,2.493857294E-1
6.761879000E-2,2.596177347E-2,2.674062550E-1,2.461786866E-1
6.985670500E-2,3.588833287E-2,2.696970105E-1,2.351831198E-1
7.209285000E-2,3.802636266E-2,1.907426715E-1,2.312124968E-1
7.432972700E-2,2.977968007E-2,9.025534242E-2,2.380847335E-1
7.656648300E-2,1.603521220E-2,2.260201424E-2,2.390010208E-1
7.880378800E-2,-0.000000000E0,1.679879427E-2,2.364048511E-1
8.104090900E-2,-1.038470957E-2,5.696318299E-2,2.437352389E-1
8.327894600E-2,-5.803219974E-3,9.941831976E-2,2.501493096E-1
8.551521300E-2,-3.054326226E-4,1.272126883E-1,2.454151064E-1
8.775282300E-2,1.588249579E-2,1.281289905E-1,2.295326144E-1
8.998860200E-2,2.809980139E-2,1.206458881E-1,2.235766798E-1
9.222297700E-2,1.572977938E-2,1.269072592E-1,2.406809032E-1
9.445106500E-2,-1.007927675E-2,1.322523206E-1,2.477058619E-1
9.670008900E-2,-2.000583708E-2,1.227839142E-1,2.304489166E-1
9.893733200E-2,-1.191187184E-2,9.346238524E-2,2.182316035E-1
1.011778110E-1,8.399397135E-3,6.520986557E-2,2.316706479E-1
1.034068760E-1,1.298088674E-2,5.543602258E-2,2.464841306E-1
1.056286770E-1,9.162978968E-4,6.780604273E-2,2.451096773E-1
1.078728790E-1,-1.970040426E-2,7.910704613E-2,2.388483137E-1
1.101219640E-1,-3.207042441E-2,7.681630552E-2,2.350303978E-1
1.123632970E-1,-2.855795063E-2,6.704246253E-2,2.486221492E-1
1.145989540E-1,-9.010262787E-3,6.673702598E-2,2.561052442E-1
1.168331450E-1,2.932153270E-2,6.475171447E-2,2.380847335E-1
1.190710600E-1,7.162395120E-2,8.216137439E-2,2.225076705E-1
1.213072050E-1,1.006400511E-1,1.191187203E-1,2.266310006E-1
1.235449980E-1,9.789115191E-2,1.653917581E-1,2.304489166E-1
1.257805330E-1,5.772676691E-2,1.892155111E-1,2.179261744E-1
1.280205240E-1,5.955935922E-3,1.805106848E-1,2.150245607E-1
1.302652740E-1,-5.543602258E-2,1.392772794E-1,2.315179259E-1
1.324923860E-1,-1.082758680E-1,8.933904022E-2,2.577851415E-1
1.347267010E-1,-1.227839142E-1,4.230241850E-2,2.635883391E-1
1.369527750E-1,-9.651670605E-2,-7.635815418E-4,2.513710558E-1
1.392032010E-1,-3.634648025E-2,-9.162978269E-3,2.408336252E-1
1.414412390E-1,3.329215571E-2,2.336559631E-2,2.477058619E-1
1.436800090E-1,8.750644326E-2,8.674286306E-2,2.484694421E-1
1.459142000E-1,1.197295859E-1,1.516472995E-1,2.293798923E-1
1.481479650E-1,1.269072592E-1,1.976149082E-1,2.136501223E-1
1.503762970E-1,1.076650023E-1,2.197587788E-1,2.185370475E-1
1.526255650E-1,6.551529467E-2,2.133446932E-1,2.341141105E-1
1.548631140E-1,3.039054573E-2,1.824959964E-1,2.373211533E-1
1.570995640E-1,3.817907767E-3,1.404990107E-1,2.307543457E-1
1.593228300E-1,-1.908953860E-2,1.117883399E-1,2.402227521E-1
1.615614780E-1,-3.802636266E-2,9.514226019E-2,2.571742535E-1
1.638106840E-1,-5.940664560E-2,7.376197726E-2,2.617557645E-1
1.660500650E-1,-6.826419383E-2,6.062837690E-2,2.530509233E-1
1.682871860E-1,-6.322455406E-2,6.291911751E-2,2.532036304E-1
1.705215610E-1,-2.825251780E-2,8.765916526E-2,2.608394623E-1
1.727595980E-1,4.642575979E-2,1.238529310E-1,2.444988191E-1
1.749957430E-1,1.424843222E-1,1.730275750E-1,2.089159191E-1
1.772335360E-1,2.150245607E-1,2.249511331E-1,1.937969923E-1
1.794692540E-1,2.269364446E-1,2.660318017E-1,2.038762718E-1
1.817063750E-1,1.618792862E-1,2.817615867E-1,2.180788964E-1
1.839431310E-1,3.940080851E-2,2.587014437E-1,2.302961946E-1
1.861802520E-1,-8.979719132E-2,2.029599845E-1,2.461786866E-1
1.884178620E-1,-1.765400618E-1,1.295034289E-1,2.695443034E-1
1.906556550E-1,-1.902845204E-1,5.925392732E-2,2.777909636E-1
1.928919830E-1,-1.172861308E-1,9.315694682E-3,2.646573782E-1
1.951294710E-1,-2.748893574E-3,2.290744567E-3,2.435825169E-1
1.973652500E-1,1.136209369E-1,3.512475267E-2,2.287690341E-1
1.996023100E-1,1.875356287E-1,9.437867999E-2,2.223549485E-1
2.018391880E-1,1.942551434E-1,1.805106848E-1,2.215913683E-1
2.040764930E-1,1.420261711E-1,2.797762752E-1,2.313652188E-1
2.063139190E-1,5.940664560E-2,3.408628106E-1,2.443460971E-1
2.085518950E-1,2.596177394E-3,3.323107064E-1,2.522873580E-1
2.107880400E-1,-1.985312067E-2,2.550362349E-1,2.469422817E-1
2.130234530E-1,-1.221730490E-3,1.429424733E-1,2.380847335E-1
2.152511750E-1,3.115412779E-2,3.558290005E-2,2.306016237E-1
2.174983680E-1,4.184427112E-2,-4.352414981E-2,2.266310006E-1
2.197352450E-1,1.175915636E-2,-6.597344577E-2,2.446515262E-1
2.219748090E-1,-5.268712714E-2,-1.740965992E-2,2.651155293E-1
2.242100980E-1,-1.084285825E-1,8.200865984E-2,2.663372457E-1
2.264476470E-1,-1.122464910E-1,1.913535446E-1,2.507601976E-1
2.286842800E-1,-3.573561832E-2,2.614503205E-1,2.406809032E-1
2.309217070E-1,8.903361112E-2,2.796235681E-1,2.260201424E-1
2.331575470E-1,2.018909603E-1,2.495384514E-1,2.145664245E-1
2.353945470E-1,2.417499274E-1,2.098322064E-1,2.073887438E-1
2.376314240E-1,1.930334121E-1,1.744020283E-1,2.006692290E-1
2.398687290E-1,7.192938030E-2,1.597412676E-1,2.142609805E-1
2.421060940E-1,-7.956519723E-2,1.627955884E-1,2.411390543E-1
2.443438270E-1,-1.930334121E-1,1.565342247E-1,2.597704530E-1
2.465799100E-1,-2.295326144E-1,1.244637966E-1,2.654209435E-1
2.488177040E-1,-1.719585657E-1,4.810563847E-2,2.667953968E-1
2.510535440E-1,-5.513058975E-2,-1.847867295E-2,2.602286041E-1
2.532909090E-1,7.406741381E-2,-2.962696366E-2,2.380847335E-1
2.555276650E-1,1.689042449E-1,1.832595654E-2,2.047925740E-1
2.577647250E-1,1.908953935E-1,1.270599663E-1,1.944078654E-1
2.600020300E-1,1.357648075E-1,2.713768780E-1,2.251038402E-1
2.622398230E-1,2.443460934E-2,3.828597963E-1,2.612976134E-1
2.644762120E-1,-6.261368841E-2,3.941608071E-1,2.580905557E-1
2.667140050E-1,-7.544185966E-2,3.010038435E-1,2.283108830E-1
2.689497840E-1,-2.153299935E-2,1.579086632E-1,2.012801021E-1
2.711869050E-1,5.711590126E-2,2.779436857E-2,2.050980031E-1
2.734239050E-1,9.376781434E-2,-4.092797264E-2,2.197587788E-1
2.756609650E-1,5.329799280E-2,-2.916881628E-2,2.353358418E-1
2.778983310E-1,-5.604688451E-2,4.825835302E-2,2.432770878E-1
2.801360630E-1,-1.747074574E-1,1.501201391E-1,2.538145185E-1
2.823723910E-1,-2.290744632E-1,2.057088763E-1,2.571742535E-1
2.846099400E-1,-1.776090711E-1,1.876883507E-1,2.464841306E-1
2.868457190E-1,-4.963280261E-2,1.233947799E-1,2.425135076E-1
2.890827790E-1,8.979719132E-2,7.574728876E-2,2.348776907E-1
2.913196570E-1,1.766927689E-1,4.978551716E-2,2.293798923E-1
2.935570220E-1,1.886046380E-1,7.987063378E-2,2.052507252E-1
2.957945710E-1,1.272126883E-1,1.490511149E-1,1.988366395E-1
2.980315100E-1,2.031126991E-2,2.275473028E-1,2.202169150E-1
3.002638710E-1,-7.269296050E-2,2.597704530E-1,2.354885489E-1
3.024945830E-1,-1.339322031E-1,2.171625942E-1,2.434297949E-1
3.047298740E-1,-1.531744599E-1,1.168279797E-1,2.562579811E-1
3.069799960E-1,-1.397354305E-1,-2.290744567E-3,2.620611787E-1
3.092140660E-1,-1.070541367E-1,-9.392052889E-2,2.521346211E-1
3.114394080E-1,-6.078109145E-2,-1.301143020E-1,2.278527319E-1
3.136904450E-1,-7.024950348E-3,-9.346238524E-2,2.162462920E-1
3.159279940E-1,3.054326214E-2,2.901609987E-3,2.267837226E-1
3.181656650E-1,3.436116874E-2,1.362229437E-1,2.481640130E-1
3.203904570E-1,4.734205548E-3,2.629774809E-1,2.667953968E-1
3.226380770E-1,-3.573561832E-2,3.330742717E-1,2.764165103E-1
3.248753210E-1,-4.245513305E-2,2.991712391E-1,2.603813112E-1
3.271148230E-1,-2.901609987E-3,1.745547503E-1,2.284636050E-1
3.293462680E-1,5.558873713E-2,1.450804994E-2,2.049452960E-1
3.315747220E-1,9.636399150E-2,-9.789115191E-2,2.122756690E-1
3.338241120E-1,7.376197726E-2,-1.108720452E-1,2.302961946E-1
3.360606230E-1,3.054326226E-4,-2.809980139E-2,2.374738604E-1
3.383004310E-1,-8.811730891E-2,1.033889428E-1,2.383901626E-1
3.405313270E-1,-1.452332139E-1,2.028072625E-1,2.444988191E-1
3.427710730E-1,-1.401935667E-1,2.148718536E-1,2.554943860E-1
3.450081330E-1,-9.590584040E-2,1.533271819E-1,2.629774809E-1
3.472458650E-1,-3.222314268E-2,7.437284291E-2,2.632829249E-1
3.494825590E-1,2.092213556E-2,1.634064503E-2,2.438879460E-1
3.517202910E-1,5.009094998E-2,-3.665191587E-3,2.232712507E-1
3.539566800E-1,6.673702598E-2,2.764165215E-2,2.211332172E-1
3.561944740E-1,4.978551716E-2,1.020144969E-1,2.359467000E-1
3.584302520E-1,6.872233935E-3,1.829541475E-1,2.530509233E-1
3.606673740E-1,-3.268129006E-2,2.370157093E-1,2.602286041E-1
3.629043740E-1,-5.864306539E-2,2.278527319E-1,2.538145185E-1
3.651414340E-1,-5.513058975E-2,1.550070494E-1,2.400700450E-1
3.673787390E-1,-2.764165215E-2,5.253441259E-2,2.338086665E-1
3.696162880E-1,-3.359758761E-3,-2.565634064E-2,2.336559594E-1
3.718528600E-1,7.330383174E-3,-4.520402849E-2,2.275473028E-1
3.740904090E-1,-5.039638374E-3,1.328631863E-2,2.313652188E-1
3.763262490E-1,-4.138612002E-2,1.073595658E-1,2.486221492E-1
3.785633700E-1,-7.635815442E-2,2.050980031E-1,2.585487068E-1
3.808005530E-1,-8.674286306E-2,2.405281961E-1,2.499966025E-1
3.830371860E-1,-5.543602258E-2,2.011273801E-1,2.377792895E-1
3.852747960E-1,7.635815418E-4,1.211040318E-1,2.417499274E-1
3.875124670E-1,5.115996301E-2,4.734205827E-2,2.356412709E-1
3.897490390E-1,7.238753140E-2,1.985311974E-3,2.160935849E-1
