"Time (s)","Illuminance (lx)"
0.000000000E0,1.983224945E2
7.817691810E-1,1.611012421E2
8.607911540E-1,1.397424927E2
1.027132218E0,1.186824951E2
7.947819718E0,5.195375061E1
8.430231339E0,5.639500046E1
9.499020402E0,6.222624969E1
1.432341689E1,2.264875031E1
1.473505141E1,2.593750000E1
1.490136928E1,2.959249878E1
1.498868568E1,3.331999969E1
1.506768593E1,3.633124924E1
1.523400429E1,3.962624741E1
1.540028163E1,4.337249756E1
1.899281435E1,7.266749573E1
2.017816444E1,6.652999878E1
2.034450795E1,6.082874680E1
2.051085732E1,5.472999954E1
2.331774013E1,1.497249985E1
2.530156313E1,1.642499924E1
2.538057802E1,1.830624962E1
2.546792665E1,2.131875038E1
2.554695155E1,2.362749863E1
2.561764955E1,2.544750023E1
2.580066737E1,2.846624947E1
2.814666200E1,2.602499962E1
3.070420033E1,6.156624985E1
3.130726015E1,5.654124832E1
3.454687343E1,5.119249725E1
3.471321840E1,4.686874771E1
