"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.436800090E-1,-7.114017010E-1,-5.112600327E-1,-4.551429749E-1
1.615614780E-1,7.954883575E-2,4.148714542E-1,8.569698334E-1
1.794692540E-1,-2.022922039E-1,2.015947580E0,1.781888008E0
1.973652500E-1,-1.293469191E0,-1.046357632E0,4.650020599E-2
2.152511750E-1,-8.970301151E-1,2.598788738E-1,1.993616104E0
2.331575470E-1,-1.955990314E0,7.166361809E-2,2.544332504E0
2.510535440E-1,-1.500412941E0,-1.923862934E0,1.441674232E0
2.689497840E-1,-1.066934109E0,1.103770733E-1,2.842490196E0
2.868457190E-1,-1.516601324E0,-2.140922070E0,9.109220505E-1
3.047298740E-1,1.535136700E-1,4.552736282E-1,1.025362968E0
3.226380770E-1,-4.288594723E-1,-4.216086864E-1,-5.789051056E-1
3.405313270E-1,1.231228590E0,1.892473936E0,6.274461746E-1
3.584302520E-1,2.929110527E-1,1.366202831E0,-5.522565842E-1
3.763262490E-1,5.907313824E-1,8.494005203E-1,-1.505641937E-1
3.942224890E-1,9.429225922E-1,9.999873638E-1,-5.565786362E-1
4.121095730E-1,9.398574829E-1,1.542997837E0,7.117052078E-1
4.300147860E-1,3.791091442E-1,-2.996053696E-1,-4.379024506E-1
4.479106600E-1,3.204002380E-1,-3.319566250E-1,-6.336593628E-2
4.658067170E-1,3.328108788E-2,2.189910412E-1,1.240793228E0
4.837029580E-1,-4.963881969E-1,-1.031201601E0,-9.400272369E-2
5.015991980E-1,-2.310705185E-2,-1.618013382E-1,6.113672256E-1
5.194950720E-1,-3.644592762E-1,-6.067378521E-1,-4.371643066E-3
5.373911900E-1,7.708840370E-1,5.751304626E-1,4.077968597E-1
5.552899940E-1,-3.986120224E-2,5.633783340E-1,-8.965082169E-1
5.731834260E-1,-1.128118038E-1,-1.777067184E-1,-6.142845154E-1
5.910767370E-1,2.071685791E-1,1.065328121E-1,4.811306000E-1
6.089756630E-1,-1.718261242E-1,-6.771328449E-1,-1.618185043E-1
6.268716590E-1,1.338646412E-1,-7.907559872E-1,-2.085638046E-1
6.447676550E-1,-7.010436058E-2,-1.200859547E-1,-5.723342896E-1
6.626640780E-1,2.762334347E-1,6.501035690E-1,4.421548843E-1
6.805605630E-1,3.141741753E-1,2.524352074E-2,-7.280387878E-1
6.984558260E-1,8.821635246E-1,1.132204771E0,1.910018921E-2
7.163518830E-1,3.581423759E-1,2.118139267E-1,1.920585632E-1
7.342481240E-1,7.710146904E-2,-7.894098759E-1,2.540664673E-1
7.521441200E-1,3.826181889E-1,-9.666161537E-1,6.015529633E-1
7.700403600E-1,4.962604046E-1,-6.206977367E-1,9.327745438E-1
7.879243930E-1,5.480153561E-1,5.889463425E-2,6.299333572E-1
8.058325350E-1,1.663784981E-1,-5.986685753E-1,3.665924072E-1
8.237166290E-1,7.290222645E-1,-5.823392868E-1,9.354648590E-1
8.416248330E-1,1.079318523E0,8.658881187E-1,6.148376465E-1
8.595207680E-1,1.276470423E0,1.217667103E0,6.228704453E-1
8.774170690E-1,1.062550068E0,8.478677273E-1,3.232316971E-1
8.953132480E-1,1.503238559E0,8.596942425E-1,1.209720612E0
9.132121740E-1,1.386798263E0,-4.479908943E-1,8.481273651E-1
9.311051180E-1,1.380660892E0,-1.848893166E-1,9.793443680E-1
9.489970250E-1,1.325027466E0,-2.287480831E-1,8.229045868E-1
9.668972940E-1,1.038869619E0,-8.372657299E-1,1.010447502E0
9.847905430E-1,1.362079144E0,3.702981472E-1,8.211021423E-1
1.002689469E0,1.767970443E0,-1.704759598E-1,1.174100876E0
1.020582535E0,1.691167235E0,2.354004383E-1,3.526096344E-1
1.038484940E0,1.448745489E0,-5.871772766E-2,2.897891998E-1
1.056377945E0,1.873230696E0,1.056034088E0,4.037485123E-1
1.074259110E0,1.985679150E0,1.252301216E0,1.054847717E0
1.092170182E0,1.395055294E0,3.631877899E-2,6.180057526E-1
1.110066300E0,1.223910809E0,-8.274252415E-1,7.456922531E-1
1.127962174E0,1.341149569E0,-1.281022429E0,6.660346985E-1
1.145858231E0,1.090955257E0,-1.251370549E0,5.957794189E-1
1.163757340E0,1.412243009E0,-3.470559120E-1,1.871809959E0
1.181638993E0,1.057380199E0,-3.176326752E-1,7.207517624E-1
1.199540665E0,1.013376236E0,-5.740413666E-1,9.473495483E-1
1.217434403E0,1.738549471E0,4.309501648E-1,1.232853889E0
1.235338639E0,1.255904913E0,-3.400814533E-1,2.787294388E-1
1.253234696E0,1.888085246E0,1.340365410E-2,-3.306198120E-2
1.271130936E0,1.925200462E0,-7.296183109E-1,7.307434082E-2
1.289026871E0,1.922841072E0,5.742900372E-1,3.198108673E-1
1.306923172E0,1.606040597E0,-6.558046341E-1,-4.099941254E-2
1.324811234E0,1.817110777E0,-2.809767723E-1,1.552963257E-2
1.342715348E0,1.471436024E0,4.158542156E-1,8.187217712E-1
1.360611100E0,1.483155370E0,-2.101588249E-1,-1.243839264E-1
1.378507584E0,1.824328065E0,2.775533199E-1,6.007547379E-1
1.396403824E0,1.535157442E0,-4.179511070E-1,-3.125362396E-1
1.414299576E0,1.773343086E0,-2.570002079E-1,5.634479523E-1
1.432192703E0,1.560108185E0,6.175394058E-1,5.798435211E-1
1.450091874E0,1.850780010E0,3.552632332E-1,6.153907776E-1
1.467987870E0,1.610942960E0,-3.716981411E-1,1.489133835E-1
1.485883866E0,1.560460329E0,-5.077629089E-1,8.899631500E-1
1.503780106E0,1.818838000E0,2.955412865E-2,1.641570091E0
1.521676285E0,1.838020802E0,-1.552767754E-1,-6.651878357E-3
1.539572281E0,2.197269201E0,-2.820425034E-1,1.121332169E0
1.557468094E0,1.985913873E0,-3.718781471E-2,6.293277740E-1
