"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.798866400E-2,-3.744179916E1,-1.894659996E1,-1.085799932E0
5.800038200E-2,-3.674639893E1,-1.753139877E1,-1.390799999E0
6.798475700E-2,-3.701480103E1,-1.566479969E1,-2.256999969E0
7.800062600E-2,-3.639260101E1,-1.503039932E1,7.320000231E-2
8.798841900E-2,-3.624620056E1,-1.482299995E1,1.268800020E0
9.800038200E-2,-3.640480042E1,-1.512799931E1,1.708000004E-1
1.079869550E-1,-3.608760071E1,-1.579899979E1,-5.001999736E-1
1.180006260E-1,-3.608760071E1,-1.579899979E1,-5.001999736E-1
1.280006260E-1,-3.562400055E1,-1.473759937E1,1.951999962E-1
1.380003820E-1,-3.503839874E1,-1.424959946E1,6.100000143E-1
1.480003820E-1,-3.507500076E1,-1.499380016E1,1.427399993E0
1.579886640E-1,-3.568499756E1,-1.611619949E1,2.134999990E0
1.680003820E-1,-3.616080093E1,-1.783639908E1,1.561599970E0
1.780001380E-1,-3.736859894E1,-1.837319946E1,-5.978000164E-1
1.880003820E-1,-3.645359802E1,-1.819019890E1,-1.463999987E0
1.979886640E-1,-3.613639832E1,-1.659199905E1,-2.195999861E0
2.080006260E-1,-3.624620056E1,-1.488399982E1,-1.439599991E0
2.179886640E-1,-3.540439987E1,-1.446920013E1,-5.001999736E-1
2.280003820E-1,-3.525799942E1,-1.434719944E1,1.000399947E0
2.379884190E-1,-3.563619995E1,-1.492059994E1,8.051999807E-1
2.480006260E-1,-3.573379898E1,-1.492059994E1,5.978000164E-1
2.579884190E-1,-3.578260040E1,-1.523779964E1,-9.027999640E-1
2.680003820E-1,-3.502619934E1,-1.417640018E1,-9.759999812E-2
2.779884190E-1,-3.464799881E1,-1.406659985E1,4.269999862E-1
2.880003820E-1,-3.434299850E1,-1.368839931E1,1.219999939E-1
2.980008710E-1,-3.448939896E1,-1.442039967E1,1.439599991E0
3.080001380E-1,-3.497739792E1,-1.573799992E1,1.659199953E0
3.180003820E-1,-3.592900085E1,-1.662859917E1,6.344000101E-1
3.280006260E-1,-3.675859833E1,-1.770219994E1,-8.783999681E-1
3.380006260E-1,-3.659999847E1,-1.689699936E1,-2.903599977E0
3.479976970E-1,-3.613639832E1,-1.527439976E1,-2.122799873E0
3.580003820E-1,-3.588019943E1,-1.334679985E1,-7.563999891E-1
3.679884190E-1,-3.579479980E1,-1.343219948E1,-2.439999878E-1
3.780006260E-1,-3.492860031E1,-1.388359928E1,2.073999941E-1
3.879886640E-1,-3.568499756E1,-1.485960007E1,-8.051999807E-1
3.980008710E-1,-3.577040100E1,-1.439599991E1,-1.232200027E0
4.079825600E-1,-3.498960114E1,-1.382259941E1,-1.110199928E0
4.180006260E-1,-3.462360001E1,-1.284659958E1,-1.097999960E-1
4.279933020E-1,-3.414780045E1,-1.331019974E1,3.294000030E-1
4.380003820E-1,-3.496519852E1,-1.357859993E1,1.195600033E0
4.479972080E-1,-3.524580002E1,-1.472539997E1,6.100000143E-1
4.580006260E-1,-3.609980011E1,-1.570139980E1,-9.759999812E-2
4.679886640E-1,-3.568499756E1,-1.693359947E1,-8.539999723E-1
4.780001380E-1,-3.633160019E1,-1.555499935E1,-2.122799873E0
4.880006260E-1,-3.572159958E1,-1.423740005E1,-2.440000057E0
