"Time (s)","Pressure (hPa)"
4.938148600E-2,9.637998047E2
6.927235500E-2,9.638065796E2
8.923793100E-2,9.638157959E2
1.094803630E-1,9.637878418E2
1.292113200E-1,9.638023682E2
1.492672280E-1,9.637928467E2
1.693236240E-1,9.638276978E2
1.896969150E-1,9.638168335E2
2.099122470E-1,9.637988892E2
2.300272380E-1,9.638160400E2
2.498658610E-1,9.637917480E2
2.701102460E-1,9.637945557E2
2.901642010E-1,9.638091431E2
3.092362220E-1,9.638193359E2
3.292369550E-1,9.637842407E2
3.492364660E-1,9.638132324E2
3.692371990E-1,9.637861938E2
3.892364660E-1,9.637956543E2
4.092010660E-1,9.638040161E2
4.292953040E-1,9.637993774E2
4.492457440E-1,9.638120728E2
4.692525800E-1,9.637933960E2
4.893575600E-1,9.637998047E2
5.093800210E-1,9.638001709E2
5.297743080E-1,9.637992554E2
5.496764080E-1,9.637759399E2
5.698980870E-1,9.637954102E2
5.902767490E-1,9.637868652E2
6.101490640E-1,9.637796021E2
6.302423260E-1,9.637727661E2
6.492603920E-1,9.637761230E2
6.692371990E-1,9.637817383E2
6.892374430E-1,9.637706299E2
7.092367100E-1,9.637901611E2
7.292376870E-1,9.637647705E2
7.492369550E-1,9.637849121E2
7.692496500E-1,9.637817993E2
7.893446210E-1,9.637616577E2
8.092215740E-1,9.637968750E2
8.292811440E-1,9.637764893E2
8.493878330E-1,9.637762451E2
8.697498940E-1,9.637951660E2
8.897818760E-1,9.637884521E2
9.100841220E-1,9.638069458E2
9.299261640E-1,9.637888184E2
9.502899330E-1,9.638195190E2
9.702127850E-1,9.637993774E2
9.892765050E-1,9.638207397E2
1.009236466E0,9.638168945E2
1.029580949E0,9.638298340E2
1.049332902E0,9.638126831E2
1.069237687E0,9.638342896E2
1.089273087E0,9.638326416E2
1.109236955E0,9.638504028E2
1.129316300E0,9.638475952E2
1.149283097E0,9.638306274E2
1.169362443E0,9.638342285E2
1.189762443E0,9.637981567E2
1.209755997E0,9.638041382E2
1.229722062E0,9.638219604E2
1.249995255E0,9.638228760E2
1.270301652E0,9.638177490E2
1.290283830E0,9.637998047E2
1.309268693E0,9.638146973E2
1.329259660E0,9.637918701E2
1.349237687E0,9.637895508E2
1.369274552E0,9.637827759E2
1.389237687E0,9.637675781E2
1.409237687E0,9.637774048E2
1.429224747E0,9.637827759E2
1.449224992E0,9.637597046E2
1.469448380E0,9.637551880E2
1.489337296E0,9.637479858E2
1.509376115E0,9.637555542E2
1.529571915E0,9.637373657E2
1.549902970E0,9.637597656E2
1.569755997E0,9.637614136E2
1.590145890E0,9.637625122E2
1.610041398E0,9.637393188E2
1.630339982E0,9.637388306E2
1.649251115E0,9.637440186E2
1.669254289E0,9.637395630E2
1.689237199E0,9.637496338E2
1.709236710E0,9.637546387E2
1.729236466E0,9.637193604E2
1.749319962E0,9.637300415E2
1.769285539E0,9.637303467E2
1.789227921E0,9.637304077E2
1.809455705E0,9.636898804E2
1.829322404E0,9.637105713E2
1.849428849E0,9.637250977E2
1.869467179E0,9.637191772E2
1.889867179E0,9.637173462E2
1.909799943E0,9.636860352E2
1.930059708E0,9.637061768E2
1.950066544E0,9.636906128E2
1.970342912E0,9.636483765E2
1.989243546E0,9.636974487E2
2.009237443E0,9.637161865E2
2.029272355E0,9.636957397E2
2.049236466E0,9.636663208E2
2.069263566E0,9.636954956E2
2.089237443E0,9.636378174E2
2.109298722E0,9.636783447E2
2.129587785E0,9.636590576E2
2.149554581E0,9.636938477E2
2.169642960E0,9.636955566E2
2.189460831E0,9.636665649E2
2.209652970E0,9.636732788E2
2.230052970E0,9.636812744E2
2.249834611E0,9.636740112E2
2.270217667E0,9.636957397E2
2.290132462E0,9.637419434E2
2.310375138E0,9.637137451E2
2.329256974E0,9.637570190E2
2.349237687E0,9.637923584E2
2.369237199E0,9.637772217E2
2.389236710E0,9.638261108E2
2.409261369E0,9.637722168E2
2.429249406E0,9.637929688E2
2.449400773E0,9.637861328E2
2.469288712E0,9.637988892E2
2.489499162E0,9.638146973E2
2.509410783E0,9.637567139E2
2.529551896E0,9.637784424E2
2.549569230E0,9.637354126E2
2.569969230E0,9.637238159E2
2.589899308E0,9.637518311E2
2.610299308E0,9.637924194E2
2.630324113E0,9.637861328E2
2.650724113E0,9.637321167E2
2.669285050E0,9.638390503E2
2.689236955E0,9.637853394E2
2.709236955E0,9.638294067E2
2.729236955E0,9.638390503E2
2.749225724E0,9.639060059E2
2.769237199E0,9.638056641E2
2.789347794E0,9.639453735E2
2.809454728E0,9.638408203E2
2.829503068E0,9.638333740E2
2.849390519E0,9.638473511E2
2.869542374E0,9.638784790E2
2.889724503E0,9.639065552E2
2.909971085E0,9.638536987E2
2.929882706E0,9.639238281E2
2.950282706E0,9.637849121E2
2.970228165E0,9.638723755E2
2.989269181E0,9.638228149E2
3.009260636E0,9.638517456E2
3.029237199E0,9.638852539E2
3.049237199E0,9.637500610E2
3.069272355E0,9.637896729E2
3.089462540E0,9.637213135E2
3.109237443E0,9.637517090E2
3.129494035E0,9.636715698E2
3.149771867E0,9.637417603E2
3.169943253E0,9.636553345E2
3.189846330E0,9.637954102E2
3.209607072E0,9.637627563E2
3.229618790E0,9.637537842E2
3.250018790E0,9.637015991E2
3.269950822E0,9.637739258E2
3.290286271E0,9.637836304E2
3.310199845E0,9.636919556E2
3.329269181E0,9.636656494E2
3.349261369E0,9.637465820E2
3.369237687E0,9.638062744E2
3.389236955E0,9.637271118E2
3.409237443E0,9.637102661E2
3.429319718E0,9.638013306E2
3.449226212E0,9.637928467E2
3.469483781E0,9.636908569E2
3.489405412E0,9.636264038E2
3.509610246E0,9.636891479E2
3.529464005E0,9.638543701E2
3.549664445E0,9.637120361E2
3.569850968E0,9.638195190E2
3.590103410E0,9.636334229E2
3.609982316E0,9.638456421E2
3.630356828E0,9.637528076E2
3.650756828E0,9.637767944E2
3.669281388E0,9.637038574E2
3.689224259E0,9.637480469E2
3.709236955E0,9.637285767E2
3.729237199E0,9.636427612E2
3.749235001E0,9.636620483E2
3.769635001E0,9.635962524E2
3.789225480E0,9.636248779E2
3.809591203E0,9.635704956E2
3.829474747E0,9.636084595E2
3.849581925E0,9.635658569E2
3.869480363E0,9.635524902E2
3.889695206E0,9.635651855E2
3.909731095E0,9.636299438E2
3.930131095E0,9.636264038E2
3.950061417E0,9.636130371E2
3.970335343E0,9.636654053E2
3.990332414E0,9.636209717E2
4.009261124E0,9.635652466E2
4.029238419E0,9.637088623E2
4.049254777E0,9.635941772E2
4.069237199E0,9.636647949E2
4.089236955E0,9.636055298E2
4.109400773E0,9.637021484E2
4.129271378E0,9.637014771E2
4.149671378E0,9.637125244E2
4.169462540E0,9.636558838E2
4.189612199E0,9.636574097E2
4.209581925E0,9.636261597E2
4.229725724E0,9.636810913E2
4.250125724E0,9.636049805E2
4.270195695E0,9.635643921E2
4.290074845E0,9.635867920E2
