"Time (s)","Temperature (°C)"
6.314460800E-2,3.480468750E1
8.104090900E-2,3.480468750E1
9.893733200E-2,3.479296875E1
1.168331450E-1,3.480078125E1
1.347267010E-1,3.478515625E1
1.526255650E-1,3.481640625E1
1.705215610E-1,3.480078125E1
1.884178620E-1,3.479687500E1
2.063139190E-1,3.477343750E1
2.242100980E-1,3.480859375E1
2.421060940E-1,3.481250000E1
2.600020300E-1,3.478515625E1
2.778983310E-1,3.478906250E1
2.957945710E-1,3.480078125E1
3.136904450E-1,3.480078125E1
3.315747220E-1,3.479687500E1
3.494825590E-1,3.477343750E1
3.673787390E-1,3.478906250E1
3.852747960E-1,3.480078125E1
4.031682290E-1,3.480078125E1
4.210669710E-1,3.475781250E1
4.389632110E-1,3.479687500E1
4.568592680E-1,3.479687500E1
4.747552030E-1,3.477343750E1
4.926515050E-1,3.478125000E1
5.105475010E-1,3.480078125E1
5.284437410E-1,3.479296875E1
5.463369300E-1,3.478125000E1
5.642359160E-1,3.478125000E1
5.821322180E-1,3.478125000E1
6.000310830E-1,3.480078125E1
6.179239050E-1,3.480078125E1
6.358079990E-1,3.478125000E1
6.537162020E-1,3.477343750E1
6.715998080E-1,3.480859375E1
6.895089260E-1,3.475390625E1
7.074049230E-1,3.478125000E1
7.253006140E-1,3.475781250E1
7.431968540E-1,3.481640625E1
7.610929110E-1,3.476953125E1
7.789891510E-1,3.479687500E1
7.968850860E-1,3.478125000E1
8.147813870E-1,3.475781250E1
8.326770780E-1,3.474218750E1
8.505731350E-1,3.478906250E1
8.684696200E-1,3.475000000E1
8.863658600E-1,3.480078125E1
9.042589270E-1,3.477734375E1
9.221578520E-1,3.478906250E1
9.400537260E-1,3.478906250E1
9.579543620E-1,3.479687500E1
9.758461460E-1,3.478906250E1
9.937420200E-1,3.479687500E1
1.011626419E0,3.477343750E1
1.029531632E0,3.479687500E1
1.047430496E0,3.477343750E1
1.065326309E0,3.480078125E1
1.083222550E0,3.478515625E1
1.101118546E0,3.476562500E1
1.119014481E0,3.480859375E1
1.136910782E0,3.477734375E1
1.154804093E0,3.478125000E1
1.172702713E0,3.477343750E1
1.190587296E0,3.475781250E1
1.208481766E0,3.472265625E1
1.226391190E0,3.480078125E1
1.244287491E0,3.478515625E1
1.262183487E0,3.474218750E1
1.280079727E0,3.478125000E1
1.297975662E0,3.476562500E1
1.315872025E0,3.475000000E1
1.333767716E0,3.478125000E1
1.351663773E0,3.479687500E1
1.369559952E0,3.472265625E1
1.387456009E0,3.475781250E1
1.405352188E0,3.479687500E1
1.423248184E0,3.478125000E1
1.441147049E0,3.475781250E1
1.459040604E0,3.478125000E1
1.476936661E0,3.475000000E1
1.494832352E0,3.477343750E1
1.512724503E0,3.475000000E1
1.530624649E0,3.480078125E1
1.548520950E0,3.476953125E1
1.566416824E0,3.478125000E1
1.584312882E0,3.475781250E1
1.602209183E0,3.476562500E1
1.620105057E0,3.475781250E1
1.638000260E0,3.475000000E1
1.655882767E0,3.476562500E1
1.673777116E0,3.474218750E1
1.691689285E0,3.476562500E1
1.709585465E0,3.475781250E1
1.727481522E0,3.476562500E1
1.745377640E0,3.475781250E1
1.763274979E0,3.475781250E1
1.781166703E0,3.475781250E1
1.799065750E0,3.478906250E1
1.816965592E0,3.479687500E1
1.834858048E0,3.475781250E1
1.852754044E0,3.473437500E1
1.870650040E0,3.474218750E1
1.888546524E0,3.476562500E1
1.906439346E0,3.475781250E1
1.924338516E0,3.472265625E1
1.942234573E0,3.475781250E1
1.960130509E0,3.475000000E1
1.978026871E0,3.479687500E1
1.995926163E0,3.477343750E1
2.013818741E0,3.478125000E1
2.031714920E0,3.475781250E1
2.049610977E0,3.478125000E1
2.067506973E0,3.473437500E1
2.085402908E0,3.480859375E1
2.103299210E0,3.479296875E1
2.121195145E0,3.474218750E1
2.139076675E0,3.476562500E1
2.156978959E0,3.479687500E1
2.174871658E0,3.474218750E1
2.192776383E0,3.477343750E1
2.210675614E0,3.476562500E1
2.228571976E0,3.479687500E1
2.246467667E0,3.477343750E1
2.264351700E0,3.473437500E1
2.282262711E0,3.478125000E1
2.300156082E0,3.475781250E1
2.318047806E0,3.475000000E1
2.335948074E0,3.478125000E1
2.353844254E0,3.475000000E1
2.371740311E0,3.477343750E1
2.389636551E0,3.478125000E1
2.407532303E0,3.473437500E1
2.425428604E0,3.475000000E1
2.443324783E0,3.478125000E1
2.461220657E0,3.475781250E1
2.479116776E0,3.477343750E1
2.497017350E0,3.476562500E1
2.514909195E0,3.478906250E1
2.532805069E0,3.477343750E1
2.550701309E0,3.475781250E1
2.568597305E0,3.475000000E1
2.586493057E0,3.475781250E1
2.604389481E0,3.477343750E1
2.622288407E0,3.478906250E1
2.640181778E0,3.475781250E1
2.658062332E0,3.475000000E1
2.675970596E0,3.476562500E1
2.693857803E0,3.477343750E1
2.711766068E0,3.476562500E1
2.729662064E0,3.477343750E1
2.747558243E0,3.476562500E1
2.765453934E0,3.478125000E1
2.783349991E0,3.478906250E1
2.801246231E0,3.480859375E1
2.819133439E0,3.480078125E1
2.837039750E0,3.478125000E1
2.854934708E0,3.478906250E1
2.872830643E0,3.479687500E1
2.890726700E0,3.479687500E1
2.908622635E0,3.478125000E1
2.926518815E0,3.476562500E1
2.944414871E0,3.478906250E1
2.962310989E0,3.476562500E1
2.980207108E0,3.478125000E1
2.998103226E0,3.476562500E1
3.015999100E0,3.480078125E1
3.033896195E0,3.477734375E1
3.051791336E0,3.480078125E1
3.069675369E0,3.479296875E1
3.087583634E0,3.476562500E1
3.105479569E0,3.475781250E1
3.123375931E0,3.478125000E1
3.141271927E0,3.477343750E1
3.159170975E0,3.478125000E1
3.177067093E0,3.477343750E1
3.194947891E0,3.477343750E1
3.212856094E0,3.481640625E1
3.230752335E0,3.476171875E1
3.248648636E0,3.478125000E1
3.266544266E0,3.480078125E1
3.284440628E0,3.475390625E1
3.302336807E0,3.477343750E1
3.320225723E0,3.478906250E1
3.338126664E0,3.478125000E1
3.356022843E0,3.480078125E1
3.373921036E0,3.476953125E1
3.391817032E0,3.480078125E1
3.409713028E0,3.476171875E1
3.427604691E0,3.476562500E1
3.445505264E0,3.480859375E1
3.463401505E0,3.480078125E1
3.481297562E0,3.474218750E1
3.499193680E0,3.479687500E1
3.517092667E0,3.474218750E1
3.534986038E0,3.478906250E1
3.552881729E0,3.480078125E1
3.570777969E0,3.479296875E1
3.588677079E0,3.476562500E1
3.606570206E0,3.480859375E1
3.624466202E0,3.477734375E1
3.642363297E0,3.480859375E1
3.660268631E0,3.477734375E1
3.678153214E0,3.477343750E1
