"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.403629900E-2,2.596212626E-1,4.707878530E-1,9.671789169E0
1.627339500E-2,2.500499785E-1,4.420739710E-1,9.633503914E0
1.851021200E-2,2.644068897E-1,4.468596280E-1,9.628718376E0
2.074281900E-2,2.596212626E-1,4.325026870E-1,9.623932838E0
2.298568200E-2,2.685943544E-1,4.127618968E-1,9.667003632E0
2.522384500E-2,2.775674164E-1,4.127618968E-1,9.724431038E0
2.745956300E-2,2.775674164E-1,4.360919297E-1,9.753145218E0
2.969680600E-2,2.961117923E-1,4.360919297E-1,9.810572624E0
3.193374500E-2,2.961117923E-1,4.211367965E-1,9.820143700E0
3.416732600E-2,3.098705411E-1,4.211367965E-1,9.853643417E0
3.640420400E-2,2.811566591E-1,4.073780477E-1,9.838688850E0
3.864419400E-2,3.146561682E-1,4.019941986E-1,9.820143700E0
4.089303500E-2,2.961117923E-1,4.217349887E-1,9.791430473E0
4.312637200E-2,3.206382394E-1,4.307080805E-1,9.791430473E0
4.535421600E-2,3.158525825E-1,4.307080805E-1,9.781859398E0
4.760275200E-2,3.158525825E-1,4.402793646E-1,9.757930756E0
4.982894700E-2,3.062812984E-1,4.265206456E-1,9.781859398E0
5.207656700E-2,3.062812984E-1,4.313062727E-1,9.777072906E0
5.431606900E-2,3.014956415E-1,4.456632137E-1,9.767501831E0
5.654989400E-2,2.961117923E-1,4.073780477E-1,9.777072906E0
5.878384200E-2,2.913261652E-1,4.217349887E-1,9.777072906E0
6.102096400E-2,2.871387303E-1,4.265206456E-1,9.777072906E0
6.325778000E-2,2.775674164E-1,4.456632137E-1,9.762716293E0
6.549490200E-2,2.871387303E-1,4.456632137E-1,9.748359680E0
6.773239000E-2,2.727817893E-1,4.271188378E-1,9.757930756E0
6.996816900E-2,3.014956415E-1,4.169493318E-1,9.748359680E0
7.220474100E-2,2.823530734E-1,4.313062727E-1,9.743574142E0
7.444161800E-2,2.871387303E-1,4.360919297E-1,9.748359680E0
7.667660300E-2,2.871387303E-1,4.360919297E-1,9.743574142E0
7.890328800E-2,2.829512656E-1,4.414757788E-1,9.729216576E0
8.115206700E-2,3.062812984E-1,4.265206456E-1,9.767501831E0
8.338888400E-2,2.967100143E-1,4.217349887E-1,9.753145218E0
8.562991200E-2,3.014956415E-1,4.169493318E-1,9.753145218E0
8.786245600E-2,3.152543902E-1,4.163511395E-1,9.781859398E0
9.009908900E-2,3.104687333E-1,4.115654826E-1,9.805787086E0
9.233602800E-2,3.008974493E-1,4.217349887E-1,9.781859398E0
9.457357600E-2,3.056831062E-1,4.354937077E-1,9.815358162E0
9.680935500E-2,3.152543902E-1,4.163511395E-1,9.801001549E0
9.904647700E-2,3.014956415E-1,4.504488707E-1,9.791430473E0
1.012829270E-1,2.967100143E-1,4.360919297E-1,9.786644936E0
1.035210250E-1,2.967100143E-1,4.169493318E-1,9.757930756E0
1.057568040E-1,2.919243574E-1,4.456632137E-1,9.757930756E0
1.079939250E-1,2.967100143E-1,4.360919297E-1,9.738788605E0
1.102304980E-1,2.871387303E-1,4.265206456E-1,9.748359680E0
1.124684740E-1,2.919243574E-1,4.456632137E-1,9.757930756E0
1.147039470E-1,3.014956415E-1,4.169493318E-1,9.757930756E0
1.169406420E-1,2.919243574E-1,4.360919297E-1,9.743574142E0
1.191775800E-1,2.913261652E-1,3.978067636E-1,9.743574142E0
1.214151900E-1,3.158525825E-1,4.259224236E-1,9.772287369E0
1.236510300E-1,2.817548811E-1,4.265206456E-1,9.786644936E0
1.258854050E-1,2.919243574E-1,4.456632137E-1,9.772287369E0
1.281159350E-1,3.014956415E-1,4.360919297E-1,9.777072906E0
1.303624560E-1,2.865405083E-1,4.360919297E-1,9.801001549E0
1.325981120E-1,3.062812984E-1,4.354937077E-1,9.786644936E0
1.348370650E-1,3.008974493E-1,4.121637046E-1,9.767501831E0
1.370716840E-1,3.014956415E-1,4.313062727E-1,9.791430473E0
1.393095380E-1,3.014956415E-1,4.456632137E-1,9.777072906E0
1.415453780E-1,2.823530734E-1,4.313062727E-1,9.777072906E0
1.437791420E-1,2.961117923E-1,4.169493318E-1,9.772287369E0
1.460067430E-1,3.008974493E-1,4.169493318E-1,9.777072906E0
1.482535080E-1,3.056831062E-1,4.169493318E-1,9.772287369E0
1.504803760E-1,2.967100143E-1,4.313062727E-1,9.767501831E0
1.527322680E-1,2.865405083E-1,4.169493318E-1,9.781859398E0
1.549663370E-1,2.769692242E-1,4.025924206E-1,9.772287369E0
1.572070600E-1,2.823530734E-1,4.265206456E-1,9.772287369E0
1.594396040E-1,2.865405083E-1,4.121637046E-1,9.767501831E0
1.616762370E-1,2.919243574E-1,4.313062727E-1,9.772287369E0
1.639134810E-1,2.871387303E-1,4.265206456E-1,9.767501831E0
1.661510300E-1,2.823530734E-1,4.313062727E-1,9.762716293E0
1.683866870E-1,3.062812984E-1,4.360919297E-1,9.748359680E0
1.706234420E-1,3.110669553E-1,4.450650215E-1,9.781859398E0
1.728605640E-1,2.919243574E-1,4.217349887E-1,9.772287369E0
1.750983570E-1,3.152543902E-1,4.163511395E-1,9.772287369E0
1.773338910E-1,2.961117923E-1,4.169493318E-1,9.767501831E0
1.795704640E-1,2.961117923E-1,4.169493318E-1,9.791430473E0
1.818075240E-1,2.961117923E-1,4.121637046E-1,9.777072906E0
1.840453780E-1,2.913261652E-1,4.121637046E-1,9.781859398E0
1.862797530E-1,3.104687333E-1,3.978067636E-1,9.762716293E0
1.885118700E-1,3.104687333E-1,4.259224236E-1,9.791430473E0
1.907546070E-1,3.008974493E-1,4.169493318E-1,9.772287369E0
1.929926440E-1,2.967100143E-1,4.217349887E-1,9.767501831E0
1.952299490E-1,3.056831062E-1,4.307080805E-1,9.796216011E0
1.974651170E-1,3.158525825E-1,4.259224236E-1,9.781859398E0
1.997020550E-1,3.110669553E-1,4.313062727E-1,9.767501831E0
2.019396650E-1,2.919243574E-1,4.265206456E-1,9.767501831E0
2.041756880E-1,2.967100143E-1,4.265206456E-1,9.767501831E0
2.064120160E-1,2.913261652E-1,4.121637046E-1,9.772287369E0
2.086491380E-1,3.014956415E-1,4.265206456E-1,9.767501831E0
2.108868700E-1,2.871387303E-1,4.360919297E-1,9.772287369E0
2.131227710E-1,3.014956415E-1,4.217349887E-1,9.767501831E0
2.153592820E-1,2.871387303E-1,4.456632137E-1,9.762716293E0
2.175960980E-1,2.961117923E-1,4.121637046E-1,9.757930756E0
2.198338300E-1,2.817548811E-1,4.265206456E-1,9.786644936E0
2.220694870E-1,2.919243574E-1,4.360919297E-1,9.767501831E0
2.243063030E-1,3.158525825E-1,4.307080805E-1,9.786644936E0
2.265387260E-1,3.110669553E-1,4.217349887E-1,9.767501831E0
2.287604660E-1,2.919243574E-1,4.313062727E-1,9.781859398E0
2.310050950E-1,3.008974493E-1,4.217349887E-1,9.781859398E0
2.332536300E-1,3.110669553E-1,4.402793646E-1,9.786644936E0
2.354948400E-1,3.062812984E-1,4.265206456E-1,9.767501831E0
2.377312300E-1,3.062812984E-1,4.265206456E-1,9.772287369E0
2.399642620E-1,2.823530734E-1,4.313062727E-1,9.781859398E0
2.422006510E-1,2.919243574E-1,4.121637046E-1,9.753145218E0
2.444377120E-1,2.919243574E-1,4.313062727E-1,9.772287369E0
2.466753830E-1,2.769692242E-1,4.121637046E-1,9.781859398E0
2.489111010E-1,2.967100143E-1,4.265206456E-1,9.762716293E0
2.511478560E-1,3.008974493E-1,4.217349887E-1,9.781859398E0
2.533846730E-1,3.056831062E-1,4.169493318E-1,9.767501831E0
2.556225260E-1,3.062812984E-1,4.265206456E-1,9.772287369E0
2.578567790E-1,2.871387303E-1,4.313062727E-1,9.781859398E0
2.600888350E-1,3.104687333E-1,4.073780477E-1,9.757930756E0
2.623320600E-1,2.919243574E-1,4.265206456E-1,9.762716293E0
2.645675340E-1,2.919243574E-1,4.313062727E-1,9.757930756E0
2.667971480E-1,2.967100143E-1,4.313062727E-1,9.767501831E0
2.690391520E-1,2.961117923E-1,4.121637046E-1,9.781859398E0
2.712669970E-1,2.967100143E-1,4.408775866E-1,9.796216011E0
2.735195610E-1,2.871387303E-1,4.360919297E-1,9.762716293E0
2.757528980E-1,2.967100143E-1,4.456632137E-1,9.772287369E0
2.779927660E-1,2.727817893E-1,4.456632137E-1,9.781859398E0
2.802274460E-1,2.967100143E-1,4.169493318E-1,9.767501831E0
2.824640790E-1,3.056831062E-1,4.163511395E-1,9.796216011E0
2.846971720E-1,3.056831062E-1,4.163511395E-1,9.791430473E0
2.869244680E-1,2.919243574E-1,4.408775866E-1,9.791430473E0
2.891735520E-1,3.062812984E-1,4.354937077E-1,9.781859398E0
2.914112840E-1,2.919243574E-1,4.265206456E-1,9.772287369E0
2.936501150E-1,3.056831062E-1,4.163511395E-1,9.786644936E0
2.958836350E-1,3.056831062E-1,4.211367965E-1,9.786644936E0
2.981178270E-1,3.062812984E-1,4.360919297E-1,9.772287369E0
3.003484790E-1,3.014956415E-1,4.360919297E-1,9.781859398E0
3.025940230E-1,2.871387303E-1,4.217349887E-1,9.753145218E0
3.048313280E-1,2.871387303E-1,4.265206456E-1,9.757930756E0
3.070702800E-1,3.056831062E-1,4.169493318E-1,9.772287369E0
3.093056930E-1,2.913261652E-1,4.169493318E-1,9.777072906E0
3.115384810E-1,3.158525825E-1,4.259224236E-1,9.772287369E0
3.137635780E-1,3.110669553E-1,4.313062727E-1,9.767501831E0
3.160031420E-1,2.967100143E-1,4.265206456E-1,9.772287369E0
3.182527760E-1,2.967100143E-1,4.265206456E-1,9.772287369E0
3.204911180E-1,3.110669553E-1,4.307080805E-1,9.781859398E0
3.227282400E-1,3.014956415E-1,4.265206456E-1,9.777072906E0
3.249620650E-1,3.158525825E-1,4.307080805E-1,9.763314247E0
3.271999800E-1,2.961117923E-1,4.169493318E-1,9.772287369E0
3.294357590E-1,2.967100143E-1,4.169493318E-1,9.767501831E0
3.316725750E-1,2.967100143E-1,4.169493318E-1,9.762716293E0
3.339093920E-1,2.967100143E-1,4.313062727E-1,9.753145218E0
3.361473070E-1,2.967100143E-1,4.313062727E-1,9.791430473E0
3.383834520E-1,2.919243574E-1,4.265206456E-1,9.781859398E0
3.406195360E-1,2.967100143E-1,4.313062727E-1,9.767501831E0
3.428563520E-1,3.008974493E-1,4.121637046E-1,9.767501831E0
3.450940230E-1,3.008974493E-1,4.025924206E-1,9.767501831E0
3.473300460E-1,3.062812984E-1,4.265206456E-1,9.753145218E0
3.495668620E-1,2.919243574E-1,4.265206456E-1,9.772287369E0
3.518036790E-1,2.967100143E-1,4.217349887E-1,9.772287369E0
3.540384810E-1,3.014956415E-1,4.265206456E-1,9.781859398E0
3.562653490E-1,3.158525825E-1,4.354937077E-1,9.781859398E0
3.585140670E-1,3.008974493E-1,4.217349887E-1,9.786644936E0
3.607506390E-1,3.158525825E-1,4.259224236E-1,9.781859398E0
3.629914230E-1,3.014956415E-1,4.313062727E-1,9.786644936E0
3.652242720E-1,2.967100143E-1,4.265206456E-1,9.777072906E0
3.674611500E-1,2.967100143E-1,4.169493318E-1,9.743574142E0
3.696979660E-1,3.008974493E-1,4.169493318E-1,9.777072906E0
3.719357590E-1,3.014956415E-1,4.217349887E-1,9.767501831E0
3.741715380E-1,2.919243574E-1,4.408775866E-1,9.753145218E0
3.764051800E-1,3.014956415E-1,4.313062727E-1,9.753145218E0
3.786332080E-1,3.062812984E-1,4.408775866E-1,9.767501831E0
3.808827190E-1,3.110669553E-1,4.354937077E-1,9.781859398E0
3.831186200E-1,2.919243574E-1,4.360919297E-1,9.772287369E0
3.853583060E-1,2.919243574E-1,4.217349887E-1,9.772287369E0
3.875920090E-1,2.967100143E-1,4.408775866E-1,9.781859398E0
3.898300460E-1,2.967100143E-1,4.265206456E-1,9.767501831E0
3.920658250E-1,3.014956415E-1,4.360919297E-1,9.762716293E0
3.943024580E-1,2.967100143E-1,4.360919297E-1,9.762716293E0
3.965392750E-1,3.014956415E-1,4.265206456E-1,9.762716293E0
3.987773120E-1,2.961117923E-1,4.217349887E-1,9.772287369E0
4.010130900E-1,2.871387303E-1,4.265206456E-1,9.757930756E0
4.032494800E-1,2.823530734E-1,4.408775866E-1,9.772287369E0
4.054864790E-1,2.967100143E-1,4.408775866E-1,9.753145218E0
4.077242720E-1,3.158525825E-1,4.259224236E-1,9.777072906E0
4.099601730E-1,3.062812984E-1,4.313062727E-1,9.762716293E0
4.121966840E-1,3.014956415E-1,4.360919297E-1,9.781859398E0
4.144335010E-1,2.967100143E-1,4.313062727E-1,9.777072906E0
4.166712940E-1,3.062812984E-1,4.360919297E-1,9.777072906E0
4.189041420E-1,3.062812984E-1,4.307080805E-1,9.786644936E0
4.211318040E-1,2.967100143E-1,4.313062727E-1,9.767501831E0
4.233808270E-1,2.919243574E-1,4.456632137E-1,9.762716293E0
4.256169110E-1,2.967100143E-1,4.360919297E-1,9.748359680E0
4.278506150E-1,2.919243574E-1,4.313062727E-1,9.786644936E0
4.300909710E-1,3.014956415E-1,4.265206456E-1,9.772287369E0
4.323278490E-1,2.961117923E-1,4.073780477E-1,9.767501831E0
4.345675340E-1,2.919243574E-1,4.217349887E-1,9.757930756E0
4.368014820E-1,2.817548811E-1,4.073780477E-1,9.753145218E0
4.390382980E-1,2.775674164E-1,4.265206456E-1,9.757930756E0
4.412751140E-1,3.110669553E-1,4.354937077E-1,9.781859398E0
4.435131510E-1,3.014956415E-1,4.360919297E-1,9.762716293E0
4.457486860E-1,3.014956415E-1,4.169493318E-1,9.753145218E0
4.479822670E-1,2.913261652E-1,4.265206456E-1,9.796216011E0
4.502101120E-1,2.823530734E-1,4.313062727E-1,9.781859398E0
4.524601730E-1,3.008974493E-1,4.169493318E-1,9.772287369E0
4.546960740E-1,3.062812984E-1,4.121637046E-1,9.753145218E0
4.569358810E-1,3.110669553E-1,4.265206456E-1,9.757930756E0
4.591695850E-1,3.014956415E-1,4.360919297E-1,9.781859398E0
4.614071330E-1,3.014956415E-1,4.408775866E-1,9.772287369E0
