"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.527322680E-1,-5.326569080E-4,-8.021116257E-3,-2.045631409E-2
1.706234420E-1,1.728415489E-3,1.923650503E-3,-2.804279327E-2
1.885118700E-1,7.256716490E-3,-1.541864872E-2,-1.775836945E-2
2.064120160E-1,2.735048532E-3,-9.379118681E-3,-2.389431000E-2
2.243063030E-1,2.652257681E-3,-1.811444759E-3,-2.143287659E-2
2.422006510E-1,8.583664894E-4,-6.773293018E-3,-2.594947815E-2
2.600888350E-1,4.767984152E-3,-1.103159785E-2,-2.617740631E-2
2.779927660E-1,-7.197558880E-3,6.329804659E-3,-2.070617676E-2
2.958836350E-1,5.787372589E-3,-6.765782833E-3,-1.255798340E-2
3.137635780E-1,8.852958679E-3,-5.691438913E-3,-2.558231354E-2
3.316725750E-1,4.517942667E-3,-1.021754742E-2,-2.783393860E-2
3.495668620E-1,2.648711205E-3,-9.403973818E-3,-2.897453308E-2
3.674611500E-1,5.263596773E-3,-7.023453712E-3,-2.643013000E-2
3.853583060E-1,2.406179905E-3,-9.662210941E-4,-2.578544617E-2
4.032494800E-1,-4.309445620E-3,4.085004330E-4,-2.917385101E-2
4.211318040E-1,5.557715893E-3,1.134663820E-3,-2.175617218E-2
4.390382980E-1,-8.005917072E-3,-9.902179241E-3,-3.475570679E-2
4.569358810E-1,5.612343550E-3,-9.096115828E-3,-3.100109100E-2
4.748268110E-1,3.242433071E-3,-7.383316755E-3,-2.829170227E-2
4.927247000E-1,9.516954422E-3,-5.723893642E-3,-2.651596069E-2
5.106153850E-1,2.049744129E-3,-4.366844893E-3,-2.617740631E-2
5.285044230E-1,4.578143358E-3,-3.863394260E-3,-2.799129486E-2
5.464039600E-1,-5.313485861E-3,-4.729628563E-4,-2.757930756E-2
5.642984300E-1,-3.556370735E-3,-6.452560425E-3,-2.403831482E-2
5.821925950E-1,-4.000961781E-4,-1.249596477E-2,-2.152824402E-2
6.000882860E-1,-2.909094095E-3,-4.200816154E-3,-2.965927124E-2
6.179784220E-1,5.326181650E-3,-8.234024048E-3,-1.921272278E-2
6.358726480E-1,5.668133497E-3,2.721935511E-3,-2.120876312E-2
6.537692550E-1,2.915173769E-3,-6.109714508E-3,-3.419780731E-2
6.716645190E-1,5.195468664E-3,-5.312383175E-3,-2.398967743E-2
6.895590500E-1,-7.786065340E-3,-6.379067898E-3,-2.808666229E-2
7.074530930E-1,-1.833617687E-3,-5.956768990E-3,-2.396297455E-2
7.253473800E-1,-4.631280899E-5,-1.000881195E-2,-2.814006805E-2
7.432416670E-1,4.168093204E-3,-7.724493742E-3,-2.604198456E-2
7.611329020E-1,3.458797932E-3,-6.762832403E-3,-1.542472839E-2
7.790304850E-1,-3.657281399E-3,-6.621986628E-3,-1.982593536E-2
7.969244670E-1,-5.419671535E-3,-5.172044039E-3,-2.986431122E-2
8.148074020E-1,-2.448171377E-3,-7.163196802E-3,-2.060699463E-2
8.327145680E-1,1.270174980E-3,-3.503948450E-3,-2.223205566E-2
8.506103810E-1,3.748297691E-3,-6.783902645E-3,-1.981639862E-2
8.685019210E-1,2.541899681E-3,-2.564579248E-3,-1.844787598E-2
8.863929120E-1,-1.036912203E-3,-6.888031960E-3,-1.669788361E-2
9.042901900E-1,1.971006393E-3,-1.934140921E-3,-2.750301361E-2
9.221847820E-1,1.974254847E-3,-7.340729237E-3,-3.136253357E-2
9.400888350E-1,6.893098354E-3,-2.436131239E-3,-2.040290833E-2
9.579723200E-1,-2.237558365E-4,2.287745476E-3,-2.127552032E-2
9.758676440E-1,-3.788143396E-3,-6.433486938E-3,-2.907371521E-2
9.937630910E-1,-4.715412855E-3,-9.405881166E-3,-2.213859558E-2
1.011656157E0,6.866455078E-4,-3.488451242E-3,-2.833843231E-2
1.029550749E0,-7.529556751E-4,-2.604633570E-3,-2.557086945E-2
1.047445097E0,1.213461161E-3,-3.802180290E-3,-2.538871765E-2
1.065339201E0,-5.800396204E-3,-9.357601404E-3,-1.995754242E-2
1.083233366E0,7.168263197E-3,-4.365801811E-3,-2.042388916E-2
1.101127837E0,-2.050697803E-4,3.101468086E-3,-2.842330933E-2
1.119010344E0,1.606881618E-3,-6.710916758E-3,-2.083587646E-2
1.136918730E0,-4.550665617E-3,-5.618393421E-3,-1.947975159E-2
1.154810698E0,8.333742619E-3,-1.091647148E-2,-2.084922791E-2
1.172705900E0,4.601061344E-3,-3.400772810E-3,-2.234077454E-2
1.190599577E0,-2.058833838E-3,-3.206491470E-3,-1.744174957E-2
1.208493559E0,6.075859070E-3,-5.464166403E-3,-2.848720551E-2
1.226388090E0,3.583967686E-3,-5.358219147E-3,-1.344108582E-2
1.244282378E0,4.722476006E-4,-1.174360514E-3,-2.721309662E-2
1.262176970E0,-1.669585705E-3,-1.688241959E-3,-3.053474426E-2
1.280059782E0,3.431856632E-3,1.334011555E-3,-1.773452759E-2
1.297965300E0,-2.122640610E-3,-2.054750919E-3,-2.194213867E-2
1.315864470E0,4.164874554E-4,-2.105414867E-3,-1.912689209E-2
1.333756926E0,-4.315435886E-3,-7.626771927E-3,-2.324485779E-2
1.351648039E0,2.420365810E-3,-6.569266319E-3,-2.119922638E-2
1.369542387E0,-2.829462290E-3,4.558235407E-3,-2.602291107E-2
1.387428191E0,5.441576242E-3,-8.175909519E-3,-2.222251892E-2
1.405330901E0,6.680637598E-3,-8.020639420E-3,-2.196979523E-2
1.423225554E0,6.371945143E-3,-2.817988396E-3,-1.967430115E-2
1.441117155E0,9.436398745E-3,-6.456404924E-3,-1.919364929E-2
1.458997831E0,-9.444057941E-4,-1.546108723E-2,-1.664829254E-2
1.476908415E0,3.645867109E-3,-7.314860821E-3,-2.492904663E-2
1.494802702E0,7.001131773E-3,4.817396402E-3,-2.028560638E-2
1.512700956E0,7.847905159E-3,-5.224406719E-3,-3.250312805E-2
1.530579741E0,-7.486343384E-4,-7.982224226E-3,-1.654529572E-2
1.548485625E0,-6.017088890E-4,-7.537692785E-3,-1.462841034E-2
1.566379973E0,4.137456417E-3,-2.645909786E-3,-2.868366241E-2
1.584274382E0,5.782753229E-3,-3.634989262E-4,-1.943588257E-2
1.602168608E0,2.850860357E-3,3.280699253E-3,-2.451515198E-2
1.620059782E0,7.247179747E-3,-2.703577280E-3,-2.715015411E-2
1.637957182E0,2.076923847E-4,1.074701548E-3,-1.795387268E-2
1.655851469E0,1.314163208E-3,1.377224922E-3,-2.368259430E-2
1.673745817E0,-2.255022526E-3,3.409087658E-4,-1.840591431E-2
1.691640105E0,3.991633654E-3,-5.889922380E-3,-2.686977386E-2
1.709534575E0,3.636986017E-3,-2.268522978E-3,-2.428150177E-2
1.727428679E0,1.397907734E-3,-1.141196489E-2,-2.267932892E-2
1.745323088E0,4.159808159E-3,2.262294292E-4,-2.822208405E-2
1.763217253E0,1.032039523E-2,2.495557070E-3,-2.159404755E-2
1.781114408E0,4.143089056E-3,-1.506060362E-3,-1.523780823E-2
1.799006010E0,2.162754536E-3,4.718929529E-3,-1.943683624E-2
1.816902983E0,4.482388496E-3,8.437782526E-3,-2.181434631E-2
1.834794585E0,-5.830168724E-3,-7.962286472E-4,-1.875972748E-2
1.852688811E0,-4.425346851E-4,-3.434419632E-4,-1.489257812E-2
1.870583220E0,2.565622330E-3,-8.607834578E-3,-2.087116241E-2
1.888477690E0,4.503339529E-3,-7.138878107E-3,-2.120208740E-2
1.906371977E0,6.436377764E-3,-2.555817366E-3,-2.116394043E-2
1.924264311E0,1.236465573E-2,7.756352425E-4,-2.925109863E-2
1.942160307E0,1.863628626E-3,1.119831204E-2,-2.701568604E-2
1.960054839E0,-1.190006733E-3,-2.422541380E-3,-1.852512360E-2
1.977949126E0,4.170060158E-3,-3.011643887E-3,-1.492595673E-2
1.995831450E0,-2.654075623E-3,-2.047002316E-3,-2.952194214E-2
2.013739836E0,4.189997911E-3,-2.515882254E-3,-1.601028442E-2
2.031632536E0,3.520369530E-3,2.235174179E-6,-2.465438843E-2
2.049526335E0,-1.074045897E-3,-7.382720709E-3,-2.101898193E-2
2.067420622E0,6.720006466E-3,3.713130951E-3,-1.193618774E-2
2.085314909E0,4.470795393E-3,-1.126706600E-3,-1.956462860E-2
2.103206572E0,-9.833872318E-4,2.798318863E-3,-2.165508270E-2
2.121103728E0,3.385066986E-3,-1.754820347E-3,-2.875709534E-2
2.138997954E0,5.298286676E-3,6.380289793E-3,-2.079296112E-2
2.156892546E0,6.085187197E-3,-2.991110086E-3,-2.826309204E-2
2.174786528E0,7.083803415E-3,2.045512199E-3,-1.923561096E-2
2.192683928E0,6.981790066E-4,3.253191710E-3,-2.024269104E-2
2.210575407E0,1.425802708E-3,2.330571413E-3,-2.793121338E-2
2.228469694E0,5.105972290E-3,-3.987967968E-3,-2.080821991E-2
2.246364165E0,8.788496256E-3,-4.067033529E-3,-2.258777618E-2
2.264258269E0,6.773352623E-3,-9.252458811E-3,-2.013683319E-2
2.282152556E0,5.144178867E-3,-7.039308548E-4,-2.275466919E-2
2.300046782E0,-4.424154758E-4,-6.074309349E-3,-2.088928223E-2
2.317944060E0,5.090326071E-3,1.015365124E-3,-2.566146851E-2
2.335835417E0,5.306780338E-3,-5.424648523E-3,-2.547073364E-2
2.353729887E0,-1.345962286E-3,-6.397336721E-3,-3.174591064E-2
2.371621305E0,5.871087313E-3,-9.104520082E-3,-2.680587769E-2
2.389518462E0,7.039278746E-3,1.456201077E-3,-2.768325806E-2
2.407412810E0,-3.794699907E-3,5.139678717E-3,-1.884269714E-2
2.425307097E0,7.161825895E-3,2.449095249E-3,-3.742980957E-2
2.443198393E0,2.594590187E-3,-3.217905760E-3,-1.926612854E-2
2.461095671E0,3.338515759E-3,-1.314401627E-3,-2.083015442E-2
2.478989897E0,3.742605448E-3,6.670296192E-3,-2.233791351E-2
2.496884245E0,1.210838556E-3,-4.409730434E-3,-2.649688721E-2
2.514778715E0,3.951191902E-4,-6.687045097E-3,-1.698780060E-2
2.532675933E0,3.534197807E-3,1.682311296E-3,-3.156566620E-2
2.550567534E0,4.048407078E-3,-4.637598991E-3,-3.149032593E-2
2.568461699E0,3.178119659E-3,5.245625973E-3,-1.968669891E-2
2.586356108E0,-4.637241364E-5,3.687322140E-3,-1.866722107E-2
2.604235746E0,6.795883179E-3,-5.344688892E-3,-2.767944336E-2
2.622144438E0,2.451092005E-3,-3.941327333E-3,-2.641105652E-2
2.640039030E0,3.504961729E-3,-2.732574940E-3,-2.787399292E-2
2.657933073E0,3.597944975E-3,-1.090762019E-2,-2.063369751E-2
2.675827605E0,2.728104591E-3,-5.636274815E-3,-3.083324432E-2
2.693721892E0,1.433551311E-3,-1.058101654E-3,-2.922630310E-2
2.711616057E0,4.649519920E-3,-5.612015724E-3,-3.173637390E-2
2.729510405E0,9.824037552E-4,-1.429885626E-3,-2.888488770E-2
2.747404753E0,5.672454834E-3,-6.910324097E-3,-2.813911438E-2
2.765298979E0,1.179069281E-3,-7.502347231E-3,-1.763725281E-2
2.783193571E0,4.698812962E-3,-3.557682037E-3,-1.808834076E-2
2.801087798E0,1.019269228E-3,4.862010479E-3,-2.637100220E-2
2.818982268E0,5.139201880E-3,-1.640826464E-3,-1.885128021E-2
2.836875273E0,-6.636977196E-5,-1.038819551E-3,-2.356719971E-2
2.854770659E0,-2.418398857E-3,-6.085485220E-3,-3.196811676E-2
2.872667632E0,1.617342234E-3,-5.409181118E-3,-3.182220459E-2
2.890559660E0,1.260185242E-2,-1.047438383E-2,-1.656913757E-2
2.908452543E0,5.558192730E-3,-2.478212118E-3,-1.798534393E-2
2.926348051E0,6.812185049E-3,-1.653015614E-3,-1.880836487E-2
2.944242094E0,2.145826817E-3,-8.132129908E-3,-3.119087219E-2
2.962136687E0,-4.740357399E-3,4.694163799E-4,-1.841831207E-2
2.980030913E0,-6.734430790E-4,-8.336156607E-3,-1.410770416E-2
2.997928923E0,4.304230213E-3,-7.044434547E-3,-2.122879028E-2
3.015822661E0,1.006484032E-3,2.123206854E-3,-2.062702179E-2
3.033713774E0,2.822577953E-3,3.227591515E-5,-2.012443542E-2
3.051608122E0,7.680773735E-3,-4.775851965E-3,-2.257442474E-2
3.069502653E0,8.109241724E-3,-8.262693882E-4,-3.186798096E-2
3.087397002E0,-7.436573505E-4,-6.547987461E-3,-2.819347382E-2
3.105279448E0,1.646429300E-3,-2.234101295E-3,-1.872539520E-2
3.123185576E0,-2.521961927E-3,-6.403595209E-3,-1.811122894E-2
3.141079497E0,2.092003822E-3,-3.694355488E-3,-2.848815918E-2
3.158974028E0,8.060634136E-4,-1.601576805E-4,-2.197837830E-2
3.176868620E0,-4.314213991E-3,3.609865904E-3,-1.983070374E-2
3.194762602E0,1.099944115E-3,-3.624409437E-3,-2.168846130E-2
3.212652800E0,-1.067668200E-3,-5.749672651E-3,-2.255821228E-2
3.230551421E0,1.678794622E-3,-4.391103983E-3,-2.186393738E-2
3.248447050E0,1.061856747E-3,-7.229924202E-3,-2.320384979E-2
3.266340300E0,1.299202442E-3,-5.389183760E-3,-2.273845673E-2
3.284234526E0,-4.662036896E-3,3.043591976E-3,-1.911449432E-2
3.302128569E0,8.254736662E-3,-3.199875355E-3,-2.142333984E-2
