"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.280219660E-1,3.507579040E1,1.373724288E2,6.345060480E2,NaN,NaN,1.224000015E2,3.056510162E1
1.994240561E0,3.507500029E1,1.373719446E2,6.468841284E2,NaN,NaN,6.688275337E0,3.444538498E1
3.091059409E0,3.507502103E1,1.373718222E2,6.671850895E2,0.000000000E0,NaN,5.065537930E0,3.296356201E1
4.091624473E0,3.507503098E1,1.373718820E2,6.643952024E2,0.000000000E0,NaN,4.283093452E0,2.900239754E1
5.099981976E0,3.507502423E1,1.373718978E2,6.585145976E2,0.000000000E0,NaN,4.440821171E0,2.681203461E1
6.108488772E0,3.507501579E1,1.373718844E2,6.584375471E2,0.000000000E0,NaN,5.300839901E0,3.541215515E1
7.136977908E0,3.507501093E1,1.373718727E2,6.596738689E2,0.000000000E0,NaN,5.222676754E0,4.380128479E1
8.125725468E0,3.507502778E1,1.373718834E2,6.490675526E2,0.000000000E0,NaN,6.202439308E0,1.505403519E1
9.112328211E0,3.507503333E1,1.373718911E2,6.483967418E2,0.000000000E0,NaN,6.425600529E0,1.108914566E1
1.042421302E1,3.507503488E1,1.373718943E2,6.485043463E2,0.000000000E0,NaN,6.425372124E0,7.939935684E0
1.142127991E1,3.507503494E1,1.373718944E2,6.479265840E2,0.000000000E0,NaN,6.201592445E0,7.166717529E0
1.236838697E1,3.507503498E1,1.373718945E2,6.475121354E2,0.000000000E0,NaN,6.201337814E0,6.580306053E0
1.336841597E1,3.507503502E1,1.373718946E2,6.473627686E2,0.000000000E0,NaN,6.107073784E0,6.136925220E0
1.436841297E1,3.507503503E1,1.373718947E2,6.473256785E2,0.000000000E0,NaN,6.106706619E0,5.615056038E0
1.536841997E1,3.507503505E1,1.373718948E2,6.472470020E2,0.000000000E0,NaN,6.106341362E0,5.226506233E0
1.636844797E1,3.507503503E1,1.373718949E2,6.472666715E2,0.000000000E0,NaN,6.101508141E0,4.877791405E0
1.736845297E1,3.507503503E1,1.373718951E2,6.474325497E2,0.000000000E0,NaN,6.105610847E0,4.615781784E0
1.836848197E1,3.507503500E1,1.373718952E2,6.476639346E2,0.000000000E0,NaN,7.531805992E0,4.392473221E0
1.936850397E1,3.507503500E1,1.373718953E2,6.475838941E2,0.000000000E0,NaN,7.530797958E0,4.258841515E0
2.036851097E1,3.507503500E1,1.373718955E2,6.475112368E2,0.000000000E0,NaN,7.529788017E0,4.076349258E0
2.136852297E1,3.507503506E1,1.373718957E2,6.473110966E2,0.000000000E0,NaN,5.965304852E0,3.920970678E0
2.236854697E1,3.507503508E1,1.373718959E2,6.470827978E2,0.000000000E0,NaN,5.329142094E0,3.784568071E0
2.336855997E1,3.507503494E1,1.373718958E2,6.474768397E2,0.000000000E0,NaN,5.595630646E0,3.637672663E0
2.436856497E1,3.507503482E1,1.373718959E2,6.477165924E2,0.000000000E0,NaN,6.422959328E0,3.506528139E0
2.536858997E1,3.507503469E1,1.373718959E2,6.479192863E2,0.000000000E0,NaN,6.422789097E0,3.389611244E0
2.636859597E1,3.507503456E1,1.373718959E2,6.481731682E2,0.000000000E0,NaN,5.594969749E0,3.282858133E0
2.736864097E1,3.507503443E1,1.373718959E2,6.483502942E2,0.000000000E0,NaN,6.422447681E0,3.189910412E0
2.836864497E1,3.507503430E1,1.373718959E2,6.485663980E2,0.000000000E0,NaN,6.422277451E0,3.100630045E0
2.936866397E1,3.507503417E1,1.373718959E2,6.487420406E2,0.000000000E0,NaN,5.594311237E0,3.019598007E0
3.036865597E1,3.507503402E1,1.373718959E2,6.489201434E2,0.000000000E0,NaN,5.594091415E0,3.000000000E0
3.136867797E1,3.507503397E1,1.373718959E2,6.489415435E2,0.000000000E0,NaN,5.593872070E0,3.000000000E0
3.236869497E1,3.507503383E1,1.373718959E2,6.491120800E2,0.000000000E0,NaN,4.742815971E0,3.000000000E0
3.336870397E1,3.507503372E1,1.373718959E2,6.492865944E2,0.000000000E0,NaN,4.585718632E0,3.000000000E0
3.436872497E1,3.507503367E1,1.373718960E2,6.492984054E2,0.000000000E0,NaN,4.742652416E0,3.000000000E0
3.536873997E1,3.507503361E1,1.373718960E2,6.493191576E2,0.000000000E0,NaN,4.742570877E0,3.000000000E0
3.636876697E1,3.507503358E1,1.373718961E2,6.492034405E2,0.000000000E0,NaN,4.742489815E0,3.000000000E0
3.736878197E1,3.507503352E1,1.373718960E2,6.490445985E2,0.000000000E0,NaN,6.420760632E0,3.000000000E0
3.836879097E1,3.507503347E1,1.373718960E2,6.489112672E2,0.000000000E0,NaN,6.420592785E0,3.000000000E0
3.936879297E1,3.507503343E1,1.373718960E2,6.487781667E2,0.000000000E0,NaN,6.420425892E0,3.000000000E0
4.036880897E1,3.507503341E1,1.373718960E2,6.486765327E2,0.000000000E0,NaN,6.420258522E0,3.000000000E0
4.136882397E1,3.507503337E1,1.373718960E2,6.485644028E2,0.000000000E0,NaN,6.420092106E0,3.000000000E0
4.236885497E1,3.507503333E1,1.373718960E2,6.484455564E2,0.000000000E0,NaN,6.419926167E0,3.000000000E0
4.336886597E1,3.507503327E1,1.373718959E2,6.483259833E2,0.000000000E0,NaN,6.419759274E0,3.000000000E0
4.436887097E1,3.507503322E1,1.373718959E2,6.482347030E2,0.000000000E0,NaN,6.419592857E0,3.000000000E0
4.536890497E1,3.507503318E1,1.373718959E2,6.481530282E2,0.000000000E0,NaN,6.419427395E0,3.000000000E0
4.636891397E1,3.507503317E1,1.373718959E2,6.480771897E2,0.000000000E0,NaN,6.419261932E0,3.000000000E0
4.736891897E1,3.507503315E1,1.373718958E2,6.480132726E2,0.000000000E0,NaN,6.419096470E0,3.000000000E0
4.836896097E1,3.507503310E1,1.373718958E2,6.479421793E2,0.000000000E0,NaN,6.418931484E0,3.000000000E0
4.936896797E1,3.507503246E1,1.373718956E2,6.478738536E2,0.000000000E0,NaN,6.418766975E0,3.000000000E0
5.036896997E1,3.507503226E1,1.373718955E2,6.479643576E2,0.000000000E0,NaN,6.422237396E0,3.000000000E0
5.136898497E1,3.507503177E1,1.373718957E2,6.479446332E2,0.000000000E0,NaN,6.418437958E0,3.000000000E0
5.236901197E1,3.507503145E1,1.373718970E2,6.477485183E2,0.000000000E0,NaN,6.418274879E0,3.000000000E0
5.336901697E1,3.507503148E1,1.373718971E2,6.476247135E2,0.000000000E0,NaN,6.418110847E0,3.000000000E0
5.436903797E1,3.507503142E1,1.373718971E2,6.476339024E2,0.000000000E0,NaN,6.421545982E0,3.000000000E0
5.536903897E1,3.507503128E1,1.373718970E2,6.477540309E2,0.000000000E0,NaN,6.421373367E0,3.000000000E0
5.636905597E1,3.507503121E1,1.373718970E2,6.477986055E2,0.000000000E0,NaN,6.421201229E0,3.000000000E0
5.736908997E1,3.507503112E1,1.373718970E2,6.478681008E2,0.000000000E0,NaN,6.421029568E0,3.000000000E0
5.836910697E1,3.507503107E1,1.373718970E2,6.478867724E2,0.000000000E0,NaN,6.420858383E0,3.000000000E0
