"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.365817100E-2,7.795799732E0,2.680340004E1,-3.600220108E1
5.367013400E-2,7.588399887E0,2.691320038E1,-3.541659927E1
6.365841600E-2,8.100799561E0,2.699860001E1,-3.619739914E1
7.367037800E-2,7.771399975E0,2.701079941E1,-3.511159897E1
8.365328900E-2,7.881199837E0,2.671800041E1,-3.569720078E1
9.367037800E-2,7.600599766E0,2.698639870E1,-3.611199951E1
1.036603690E-1,7.112599850E0,2.642519951E1,-3.602659988E1
1.136698900E-1,7.112599850E0,2.642519951E1,-3.602659988E1
1.236608570E-1,6.892999649E0,2.727919960E1,-3.535559845E1
1.336703780E-1,7.783599854E0,2.699860001E1,-3.570940018E1
1.436703780E-1,7.795799732E0,2.690099907E1,-3.580699921E1
1.536701340E-1,7.685999870E0,2.691320038E1,-3.551419830E1
1.636701340E-1,7.502999783E0,2.680340004E1,-3.601440048E1
1.736628100E-1,7.502999783E0,2.727919960E1,-3.602659988E1
1.836701340E-1,7.588399887E0,2.738899994E1,-3.542879868E1
1.936581710E-1,8.100799561E0,2.699860001E1,-3.609980011E1
2.036703780E-1,7.612799644E0,2.641300011E1,-3.640480042E1
2.136581710E-1,7.600599766E0,2.662039948E1,-3.600220108E1
2.236701340E-1,7.795799732E0,2.633979988E1,-3.598999786E1
2.336589040E-1,7.881199837E0,2.681559944E1,-3.539220047E1
2.436701340E-1,7.893399715E0,2.652279854E1,-3.589239883E1
2.536581710E-1,7.405399799E0,2.660820007E1,-3.601440048E1
2.636703780E-1,7.393199921E0,2.633979988E1,-3.550199890E1
2.736564620E-1,8.271599770E0,2.709619904E1,-3.568499756E1
2.836703780E-1,7.185800076E0,2.633979988E1,-3.531900024E1
2.936757500E-1,7.576200008E0,2.663259888E1,-3.520919800E1
3.036701340E-1,8.076399803E0,2.596159935E1,-3.567279816E1
3.136586600E-1,7.685999870E0,2.691320038E1,-3.561180115E1
3.236701340E-1,7.698199749E0,2.624219894E1,-3.589239883E1
3.336703780E-1,7.698199749E0,2.662039948E1,-3.600220108E1
3.436586600E-1,8.088600159E0,2.709619904E1,-3.579479980E1
3.536701340E-1,7.588399887E0,2.643739891E1,-3.569720078E1
3.636591480E-1,7.978799820E0,2.615679932E1,-3.557519913E1
3.736701340E-1,8.271599770E0,2.673019981E1,-3.557519913E1
3.836584160E-1,7.673799992E0,2.633979988E1,-3.539220047E1
3.936706230E-1,7.685999870E0,2.643739891E1,-3.559959793E1
4.036581710E-1,7.600599766E0,2.699860001E1,-3.601440048E1
4.136701340E-1,7.710399628E0,2.604699898E1,-3.618519974E1
4.236632980E-1,7.588399887E0,2.671800041E1,-3.551419830E1
4.336701340E-1,7.490799904E0,2.699860001E1,-3.572159958E1
4.436518240E-1,7.490799904E0,2.643739891E1,-3.561180115E1
4.536701340E-1,7.673799992E0,2.605920029E1,-3.539220047E1
4.636715990E-1,8.088600159E0,2.671800041E1,-3.589239883E1
4.736701340E-1,7.978799820E0,2.710840034E1,-3.540439987E1
4.836703780E-1,7.881199837E0,2.663259888E1,-3.548979950E1
4.936584160E-1,7.490799904E0,2.691320038E1,-3.551419830E1
5.036701340E-1,7.698199749E0,2.662039948E1,-3.580699921E1
5.136586600E-1,7.795799732E0,2.624219894E1,-3.589239883E1
5.236703780E-1,7.661599636E0,2.664480019E1,-3.490419769E1
5.336542650E-1,7.990999699E0,2.653499985E1,-3.578260040E1
5.436701340E-1,7.783599854E0,2.681559944E1,-3.540439987E1
5.536584160E-1,7.795799732E0,2.671800041E1,-3.590459824E1
5.636701340E-1,7.295599937E0,2.624219894E1,-3.580699921E1
5.736584160E-1,7.673799992E0,2.625440025E1,-3.529459763E1
5.836701340E-1,7.490799904E0,2.605920029E1,-3.569720078E1
5.936608570E-1,7.576200008E0,2.644960022E1,-3.509939957E1
6.036703780E-1,7.881199837E0,2.691320038E1,-3.550199890E1
6.136691580E-1,8.259399414E0,2.692539978E1,-3.518479919E1
6.236701340E-1,7.673799992E0,2.701079941E1,-3.520919800E1
6.336676930E-1,8.369199753E0,2.681559944E1,-3.567279816E1
6.436703780E-1,7.966599941E0,2.710840034E1,-3.519699860E1
6.536703780E-1,7.771399975E0,2.643739891E1,-3.529459763E1
6.636703780E-1,7.868999958E0,2.673019981E1,-3.519699860E1
6.736701340E-1,7.576200008E0,2.653499985E1,-3.520919800E1
6.836584160E-1,7.112599850E0,2.698639870E1,-3.603879929E1
6.936703780E-1,8.088600159E0,2.633979988E1,-3.578260040E1
7.036584160E-1,7.893399715E0,2.643739891E1,-3.589239883E1
7.136701340E-1,8.088600159E0,2.671800041E1,-3.578260040E1
7.236586600E-1,7.490799904E0,2.615679932E1,-3.550199890E1
7.336703780E-1,8.064199448E0,2.692539978E1,-3.508720016E1
7.436584160E-1,7.881199837E0,2.671800041E1,-3.559959793E1
7.536703780E-1,7.978799820E0,2.663259888E1,-3.558739853E1
7.636664720E-1,7.685999870E0,2.653499985E1,-3.550199890E1
7.736703780E-1,8.356999397E0,2.674239922E1,-3.497739792E1
7.836654960E-1,7.868999958E0,2.673019981E1,-3.509939957E1
7.936701340E-1,7.893399715E0,2.690099907E1,-3.590459824E1
8.036632980E-1,7.490799904E0,2.699860001E1,-3.562400055E1
8.136584160E-1,7.490799904E0,2.681559944E1,-3.551419830E1
8.236584160E-1,7.978799820E0,2.663259888E1,-3.539220047E1
8.336762380E-1,7.783599854E0,2.653499985E1,-3.559959793E1
8.436696460E-1,7.783599854E0,2.614459991E1,-3.578260040E1
8.536662280E-1,8.186200142E0,2.643739891E1,-3.588019943E1
8.636701340E-1,7.478600025E0,2.633979988E1,-3.530680084E1
8.736586600E-1,8.356999397E0,2.635199928E1,-3.516040039E1
8.836703780E-1,8.161799431E0,2.673019981E1,-3.528239822E1
8.936586600E-1,7.783599854E0,2.691320038E1,-3.540439987E1
9.036703780E-1,8.259399414E0,2.664480019E1,-3.517259979E1
9.136584160E-1,7.978799820E0,2.691320038E1,-3.569720078E1
9.236584160E-1,7.649399757E0,2.618120003E1,-3.448939896E1
9.336581710E-1,8.052000046E0,2.654719925E1,-3.497739792E1
9.436703780E-1,7.856800079E0,2.644960022E1,-3.498960114E1
9.536611010E-1,7.954400063E0,2.636419868E1,-3.478219986E1
9.636701340E-1,7.137000084E0,2.612019920E1,-3.672200012E1
9.736596360E-1,7.490799904E0,2.605920029E1,-3.559959793E1
9.836703780E-1,7.319999695E0,2.641300011E1,-3.622179794E1
9.936703780E-1,7.222399712E0,2.641300011E1,-3.631940079E1
1.003670134E0,6.941799641E0,2.668140030E1,-3.694160080E1
1.013658660E0,7.417599678E0,2.651059914E1,-3.641699982E1
1.023658660E0,7.210199833E0,2.651059914E1,-3.612419891E1
1.033670378E0,7.027199745E0,2.565659904E1,-3.651459885E1
1.043652800E0,7.625000000E0,2.565659904E1,-3.668539810E1
1.053670134E0,7.515199661E0,2.641300011E1,-3.640480042E1
1.063658416E0,7.112599850E0,2.670579910E1,-3.613639832E1
1.073670623E0,7.319999695E0,2.585179901E1,-3.640480042E1
1.083658416E0,7.319999695E0,2.631539917E1,-3.651459885E1
1.093670134E0,7.807999611E0,2.614459991E1,-3.618519974E1
1.103658904E0,7.393199921E0,2.642519951E1,-3.580699921E1
1.113658660E0,7.795799732E0,2.624219894E1,-3.608760071E1
1.123658416E0,7.515199661E0,2.622999954E1,-3.619739914E1
1.133670134E0,7.417599678E0,2.594939995E1,-3.629499817E1
1.143658171E0,7.393199921E0,2.604699898E1,-3.580699921E1
1.153670378E0,7.515199661E0,2.631539917E1,-3.650239944E1
1.163670378E0,7.319999695E0,2.632759857E1,-3.631940079E1
1.173670378E0,7.137000084E0,2.602260017E1,-3.672200012E1
1.183670378E0,7.685999870E0,2.615679932E1,-3.558739853E1
1.193658171E0,7.698199749E0,2.632759857E1,-3.600220108E1
1.203670378E0,8.393599510E0,2.624219894E1,-3.636819839E1
1.213658416E0,8.845000267E0,2.608359909E1,-3.513599777E1
1.223670134E0,8.552199364E0,2.646179962E1,-3.505059814E1
1.233658416E0,9.308599472E0,2.648620033E1,-3.431859970E1
1.243670134E0,8.747400284E0,2.579080009E1,-3.513599777E1
1.253658416E0,9.015799522E0,2.601039886E1,-3.431859970E1
1.263670134E0,9.198800087E0,2.658379936E1,-3.402579880E1
1.273663787E0,8.735199928E0,2.646179962E1,-3.464799881E1
1.283670378E0,8.930399895E0,2.590060043E1,-3.472119904E1
1.293658171E0,9.210999489E0,2.648620033E1,-3.422100067E1
1.303669890E0,9.308599472E0,2.563220024E1,-3.439179993E1
1.313657927E0,8.527799606E0,2.627879906E1,-3.435519791E1
1.323670378E0,9.101200104E0,2.610799980E1,-3.401359940E1
1.333670378E0,8.625399590E0,2.647399902E1,-3.435519791E1
1.343670134E0,8.930399895E0,2.618120003E1,-3.483099747E1
1.353670378E0,8.430199623E0,2.609580040E1,-3.434299850E1
1.363658660E0,9.113399506E0,2.599819946E1,-3.441619873E1
1.373670378E0,8.625399590E0,2.629100037E1,-3.424539948E1
1.383658171E0,8.918199539E0,2.647399902E1,-3.433079910E1
1.393670378E0,9.772199631E0,2.669359970E1,-3.340359879E1
1.403659148E0,8.722999573E0,2.627879906E1,-3.434299850E1
1.413670378E0,8.918199539E0,2.647399902E1,-3.433079910E1
1.423658416E0,8.137399673E0,2.599819946E1,-3.435519791E1
1.433670134E0,8.149600029E0,2.684000015E1,-3.487979889E1
1.443653777E0,8.454599380E0,2.626659966E1,-3.516040039E1
1.453670378E0,8.722999573E0,2.637639999E1,-3.444059753E1
