"Time (s)","Pressure (hPa)"
6.465573000E-2,9.415849609E2
8.469576900E-2,9.415786743E2
1.050531910E-1,9.415685425E2
1.249233080E-1,9.415597534E2
1.449198900E-1,9.416060181E2
1.652001640E-1,9.415781860E2
1.851049490E-1,9.415816650E2
2.055049490E-1,9.415668945E2
2.254169600E-1,9.415735474E2
2.455944510E-1,9.415680542E2
2.646838060E-1,9.415845947E2
2.846762380E-1,9.415683594E2
3.046405930E-1,9.415655518E2
3.246523120E-1,9.415655518E2
3.446474290E-1,9.415749512E2
3.646882010E-1,9.415725708E2
3.846696460E-1,9.415925903E2
4.046503590E-1,9.415760498E2
4.247516770E-1,9.415855713E2
4.447419120E-1,9.415593262E2
4.649577320E-1,9.415783691E2
4.849550460E-1,9.415605469E2
5.052060230E-1,9.415590210E2
5.252072440E-1,9.415585327E2
5.452799980E-1,9.415808716E2
5.654008470E-1,9.415824585E2
5.858008470E-1,9.415671997E2
6.047240890E-1,9.415624390E2
6.246591480E-1,9.415535278E2
6.446523120E-1,9.415780640E2
6.646525560E-1,9.415552368E2
6.846918630E-1,9.415713501E2
7.046523120E-1,9.415258789E2
7.246879570E-1,9.415580444E2
7.446408370E-1,9.415563354E2
7.647348320E-1,9.415432129E2
7.847748710E-1,9.415444946E2
8.049711600E-1,9.415427246E2
8.249435720E-1,9.415735474E2
8.451938160E-1,9.415507202E2
8.650922530E-1,9.415343018E2
8.853251640E-1,9.415297852E2
9.053720390E-1,9.415610352E2
9.255793140E-1,9.415512085E2
9.446884450E-1,9.415749512E2
9.646584160E-1,9.415597534E2
9.846523120E-1,9.415280762E2
1.004653044E0,9.415432129E2
1.024652556E0,9.415332031E2
1.044652068E0,9.415432129E2
1.064686980E0,9.415291748E2
1.084794890E0,9.415513306E2
1.104705779E0,9.415593262E2
1.124822234E0,9.415708618E2
1.144978240E0,9.415635376E2
1.165084197E0,9.415469360E2
1.185265837E0,9.415321045E2
1.205202849E0,9.415397949E2
1.225368376E0,9.415502319E2
1.245409636E0,9.415463257E2
1.265613738E0,9.415508423E2
1.285653044E0,9.415440063E2
1.304654509E0,9.415482178E2
1.324652312E0,9.415175781E2
1.344653044E0,9.415479126E2
1.364652068E0,9.415339966E2
1.385052068E0,9.415419922E2
1.404658904E0,9.415188599E2
1.424696501E0,9.415408936E2
1.444738250E0,9.415512085E2
1.464788054E0,9.415344849E2
1.485033904E0,9.415563354E2
1.505056121E0,9.415316772E2
1.525283660E0,9.415433960E2
1.545134734E0,9.415375977E2
1.565344207E0,9.415172729E2
1.585731658E0,9.415225830E2
1.606007537E0,9.415230713E2
1.625626921E0,9.415533447E2
1.644646453E0,9.415327759E2
1.664652312E0,9.415169678E2
1.684651824E0,9.415088501E2
1.704652800E0,9.415322876E2
1.724652556E0,9.415510254E2
1.744654509E0,9.415404053E2
1.764670134E0,9.415554199E2
1.784797576E0,9.415091553E2
1.804814177E0,9.415341797E2
1.824941375E0,9.415391235E2
1.845099578E0,9.415402222E2
1.865221404E0,9.415132446E2
1.885206267E0,9.415369873E2
1.905349822E0,9.415296021E2
1.925417205E0,9.415308838E2
1.945595916E0,9.415347900E2
1.965665496E0,9.415429077E2
1.984679168E0,9.415233765E2
2.004652556E0,9.415210571E2
2.024652068E0,9.415341797E2
2.044652556E0,9.415300903E2
2.064652312E0,9.415328979E2
2.084653777E0,9.415311890E2
2.104916472E0,9.415477295E2
2.125315154E0,9.415452271E2
2.144800505E0,9.415361938E2
2.164992156E0,9.415299072E2
2.185102263E0,9.415530396E2
2.205339080E0,9.415368042E2
2.225108123E0,9.415474243E2
2.245363005E0,9.415278931E2
2.265682097E0,9.415308838E2
2.285617888E0,9.415317993E2
2.306017888E0,9.415549316E2
2.324669890E0,9.415368042E2
2.344652312E0,9.415454102E2
2.364652800E0,9.415349121E2
2.384652556E0,9.415341797E2
