"Time (s)","Temperature (°C)"
7.444161800E-2,3.146875000E1
9.233602800E-2,3.151953125E1
1.102304980E-1,3.146875000E1
1.281159350E-1,3.149218750E1
1.460067430E-1,3.150000000E1
1.639134810E-1,3.151171875E1
1.818075240E-1,3.146875000E1
1.997020550E-1,3.149218750E1
2.175960980E-1,3.149218750E1
2.354948400E-1,3.152734375E1
2.533846730E-1,3.150000000E1
2.712669970E-1,3.146875000E1
2.891735520E-1,3.150000000E1
3.070702800E-1,3.149218750E1
3.249620650E-1,3.144531250E1
3.428563520E-1,3.146875000E1
3.607506390E-1,3.146875000E1
3.786332080E-1,3.150000000E1
3.965392750E-1,3.154296875E1
4.144335010E-1,3.151953125E1
4.323278490E-1,3.151953125E1
4.502101120E-1,3.149218750E1
4.681166670E-1,3.151953125E1
4.859979530E-1,3.147656250E1
5.039057900E-1,3.148437500E1
5.217994670E-1,3.148437500E1
5.396936940E-1,3.146093750E1
5.575882860E-1,3.151171875E1
5.754823290E-1,3.153515625E1
5.933769210E-1,3.147656250E1
6.112711470E-1,3.150000000E1
6.291651900E-1,3.151171875E1
6.470502000E-1,3.150000000E1
6.649540080E-1,3.146093750E1
6.828513480E-1,3.152734375E1
7.007425830E-1,3.147656250E1
7.186341850E-1,3.149218750E1
7.365311570E-1,3.150000000E1
7.544257490E-1,3.148437500E1
7.723229660E-1,3.145312500E1
7.902143230E-1,3.149218750E1
8.081083660E-1,3.153515625E1
8.259967330E-1,3.147656250E1
8.438819870E-1,3.146093750E1
8.617914110E-1,3.147656250E1
8.796858200E-1,3.145312500E1
8.975799850E-1,3.151171875E1
9.154742720E-1,3.148437500E1
9.333714890E-1,3.147656250E1
9.512630290E-1,3.146875000E1
9.691574390E-1,3.146875000E1
9.870400070E-1,3.146875000E1
1.004945952E0,3.150000000E1
1.022843230E0,3.144531250E1
1.040734282E0,3.148437500E1
1.058629118E0,3.146093750E1
1.076523039E0,3.153515625E1
1.094417692E0,3.147656250E1
1.112301054E0,3.149218750E1
1.130194548E0,3.148437500E1
1.148100493E0,3.149218750E1
1.165994902E0,3.149218750E1
1.183886137E0,3.149218750E1
1.201779448E0,3.151171875E1
1.219677702E0,3.146093750E1
1.237575164E0,3.146875000E1
1.255466215E0,3.149218750E1
1.273360503E0,3.150000000E1
1.291255034E0,3.151953125E1
1.309127897E0,3.146093750E1
1.327032378E0,3.149218750E1
1.344937956E0,3.151953125E1
1.362835417E0,3.151953125E1
1.380714506E0,3.148437500E1
1.398621001E0,3.150000000E1
1.416514983E0,3.148437500E1
1.434409331E0,3.146093750E1
1.452303984E0,3.147656250E1
1.470198149E0,3.147656250E1
1.488092192E0,3.146875000E1
1.505970854E0,3.150000000E1
1.523878080E0,3.150000000E1
1.541775114E0,3.149218750E1
1.559669829E0,3.146093750E1
1.577563933E0,3.149218750E1
1.595458342E0,3.146875000E1
1.613355376E0,3.148437500E1
1.631246916E0,3.149218750E1
1.649139433E0,3.151171875E1
1.667023344E0,3.149218750E1
1.684929900E0,3.145312500E1
1.702827178E0,3.149218750E1
1.720718352E0,3.150000000E1
1.738612944E0,3.152734375E1
1.756506987E0,3.150000000E1
