"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.450165900E-2,-1.083948612E0,3.852444589E-1,9.744770050E0
1.669288400E-2,-1.244267821E0,3.290131092E-1,9.939187050E0
1.889046800E-2,-1.317847013E0,2.721835673E-1,1.006241703E1
2.108610700E-2,-1.334596872E0,1.716850251E-1,1.017188931E1
2.331230300E-2,-1.384247899E0,9.092725813E-2,1.022453117E1
2.555278200E-2,-1.420140266E0,-2.392822690E-2,1.028136063E1
2.779985200E-2,-1.454237938E0,-7.597211748E-2,1.032383347E1
3.003685100E-2,-1.478764415E0,-1.136590764E-1,1.031904793E1
3.226341400E-2,-1.507478237E0,-1.226321608E-1,1.028554821E1
3.449699600E-2,-1.545165181E0,-1.076770201E-1,1.021376324E1
3.673497100E-2,-1.563111424E0,-9.750752151E-2,1.011805058E1
3.897184900E-2,-1.542174220E0,-2.512463741E-2,9.994221687E0
4.120866600E-2,-1.478166223E0,2.691925503E-2,9.870991707E0
4.344511600E-2,-1.356730461E0,8.315058798E-2,9.738189697E0
4.568156600E-2,-1.220937729E0,1.244267747E-1,9.667601585E0
4.793095600E-2,-1.077368379E0,1.226321608E-1,9.631111145E0
5.016710100E-2,-9.816554785E-1,1.112662554E-1,9.646066666E0
5.240477100E-2,-9.056833982E-1,9.092725813E-2,9.680164337E0
5.464238100E-2,-8.488538265E-1,7.058826834E-2,9.704689980E0
5.687852600E-2,-8.440681696E-1,8.015955985E-2,9.728618622E0
5.911528200E-2,-8.338986635E-1,8.494520187E-2,9.714262009E0
6.135161000E-2,-8.482556343E-1,9.032905847E-2,9.680762291E0
6.358867000E-2,-8.428717852E-1,9.032905847E-2,9.628718376E0
6.582597500E-2,-8.512466550E-1,1.244267747E-1,9.566504478E0
6.806352400E-2,-8.793623447E-1,1.345962733E-1,9.489934921E0
7.029649500E-2,-9.032905698E-1,1.208375469E-1,9.466006279E0
7.252537700E-2,-9.613165259E-1,1.022931710E-1,9.498908043E0
7.477244700E-2,-9.906286001E-1,1.028913707E-1,9.512666702E0
7.700651700E-2,-1.029511929E0,8.853443712E-2,9.626923561E0
7.923680200E-2,-1.054038405E0,9.332008660E-2,9.702896118E0
8.148326200E-2,-1.094118118E0,5.982056633E-2,9.812367439E0
8.372056700E-2,-1.142572761E0,6.460621208E-2,9.873384476E0
8.596116800E-2,-1.152742267E0,5.024927482E-2,9.930811882E0
8.819413900E-2,-1.176670551E0,3.649054468E-2,9.930811882E0
9.043138300E-2,-1.181456208E0,4.606183618E-2,9.935597420E0
9.266697900E-2,-1.181456208E0,5.084748194E-2,9.921240807E0
9.490410000E-2,-1.161715388E0,6.041877344E-2,9.873384476E0
9.713792500E-2,-1.098903775E0,6.939185411E-2,9.811769485E0
9.936577000E-2,-1.035493970E0,9.272187948E-2,9.726823807E0
1.016147930E-1,-9.870393276E-1,8.255238086E-2,9.674779892E0
1.038523420E-1,-9.535398483E-1,8.733802289E-2,9.641879082E0
1.060916610E-1,-9.242277741E-1,8.673982322E-2,9.603593826E0
1.083259750E-1,-9.337990284E-1,9.152546525E-2,9.594022751E0
1.105615710E-1,-9.427721500E-1,1.160518974E-1,9.594022751E0
1.127985700E-1,-9.625129104E-1,9.690931439E-2,9.627521515E0
1.150352040E-1,-9.870393276E-1,8.255238086E-2,9.646066666E0
1.172722640E-1,-1.010967612E0,7.836493850E-2,9.689137459E0
1.195093850E-1,-1.035493970E0,6.400800496E-2,9.717252731E0
1.217471180E-1,-1.031306505E0,7.357929647E-2,9.765109062E0
1.239829570E-1,-1.055832982E0,5.443671346E-2,9.793225288E0
1.262205060E-1,-1.074377418E0,7.836493850E-2,9.817152977E0
1.284560410E-1,-1.083948612E0,8.315058798E-2,9.826724052E0
1.306931620E-1,-1.083948612E0,7.896314561E-2,9.793225288E0
1.329296740E-1,-1.098305583E0,6.460621208E-2,9.769296646E0
1.351665510E-1,-1.083948612E0,6.939185411E-2,9.750154495E0
1.374038560E-1,-1.059422255E0,7.417750359E-2,9.731609344E0
1.396414050E-1,-1.064207911E0,7.896314561E-2,9.712467194E0
1.418775490E-1,-1.035493970E0,8.793623000E-2,9.726823807E0
1.441150370E-1,-1.001994491E0,6.819544733E-2,9.717850685E0
1.463506330E-1,-9.924231768E-1,6.819544733E-2,9.693922997E0
1.485886100E-1,-9.637092948E-1,6.759724021E-2,9.698708534E0
1.508278670E-1,-9.966106415E-1,9.212367237E-2,9.717850685E0
1.530610210E-1,-9.822536707E-1,9.212367237E-2,9.689137459E0
1.552981430E-1,-1.006181955E0,1.016949639E-1,9.703494072E0
1.575349600E-1,-1.030708313E0,7.357929647E-2,9.693324089E0
1.597718370E-1,-1.035493970E0,6.400800496E-2,9.722038269E0
1.620096300E-1,-1.045065284E0,6.879365444E-2,9.736394882E0
1.642451650E-1,-1.059422255E0,7.357929647E-2,9.741181374E0
1.664822860E-1,-1.059422255E0,7.836493850E-2,9.741181374E0
1.687187970E-1,-1.040877819E0,6.879365444E-2,9.750752449E0
1.709563460E-1,-1.049850941E0,7.836493850E-2,9.750752449E0
1.731948710E-1,-1.054636598E0,8.315058798E-2,9.765109062E0
1.754304060E-1,-1.045065284E0,7.836493850E-2,9.755537987E0
1.776663070E-1,-1.040877819E0,5.922235921E-2,9.745966911E0
1.799036120E-1,-1.035493970E0,6.879365444E-2,9.707681656E0
1.821396350E-1,-1.006780148E0,7.298108935E-2,9.717850685E0
1.843765730E-1,-1.006780148E0,7.776673883E-2,9.708279610E0
1.866132680E-1,-1.006780148E0,6.819544733E-2,9.722636223E0
1.888501450E-1,-1.006780148E0,7.836493850E-2,9.698708534E0
1.910875100E-1,-1.021137118E0,6.400800496E-2,9.698708534E0
1.933249980E-1,-1.021137118E0,6.400800496E-2,9.707681656E0
1.955611430E-1,-1.016351461E0,7.836493850E-2,9.693922997E0
1.977985700E-1,-1.021137118E0,7.836493850E-2,9.707681656E0
2.000339830E-1,-1.045065284E0,7.357929647E-2,9.717252731E0
2.022712870E-1,-1.054636598E0,6.879365444E-2,9.736394882E0
2.045078600E-1,-1.036092162E0,6.879365444E-2,9.760323524E0
2.067449810E-1,-1.049850941E0,8.315058798E-2,9.736394882E0
2.089819810E-1,-1.055234790E0,6.400800496E-2,9.745966911E0
2.112183700E-1,-1.030708313E0,7.836493850E-2,9.760323524E0
2.134509750E-1,-1.030708313E0,7.357929647E-2,9.726823807E0
2.156944440E-1,-1.025922656E0,8.315058798E-2,9.745966911E0
2.179338240E-1,-1.011565804E0,8.733802289E-2,9.726823807E0
2.201667350E-1,-1.021137118E0,6.879365444E-2,9.712467194E0
2.224023910E-1,-1.025922656E0,7.357929647E-2,9.717252731E0
2.246381690E-1,-1.021137118E0,8.315058798E-2,9.702896118E0
2.268765730E-1,-1.016351461E0,6.400800496E-2,9.707681656E0
2.291140610E-1,-1.035493970E0,7.357929647E-2,9.717252731E0
2.313501450E-1,-1.035493970E0,8.315058798E-2,9.731609344E0
2.335876330E-1,-1.049850941E0,8.793623000E-2,9.741181374E0
2.358230450E-1,-1.025922656E0,7.357929647E-2,9.736394882E0
2.380573590E-1,-1.021137118E0,7.357929647E-2,9.722038269E0
2.402819680E-1,-1.030708313E0,7.357929647E-2,9.736394882E0
2.425220810E-1,-1.035493970E0,7.836493850E-2,9.741181374E0
2.447710430E-1,-1.021137118E0,7.357929647E-2,9.726823807E0
2.470085310E-1,-1.035493970E0,7.357929647E-2,9.741181374E0
2.492353990E-1,-1.045065284E0,7.357929647E-2,9.726823807E0
2.514819200E-1,-1.040279627E0,7.357929647E-2,9.712467194E0
2.537175160E-1,-1.045065284E0,7.357929647E-2,9.731609344E0
2.559576280E-1,-1.021137118E0,8.315058798E-2,9.726823807E0
2.581882180E-1,-1.025922656E0,6.400800496E-2,9.717252731E0
2.604163680E-1,-1.015753269E0,9.750752151E-2,9.717252731E0
2.626655740E-1,-1.021137118E0,8.733802289E-2,9.745966911E0
2.649029400E-1,-1.030708313E0,6.879365444E-2,9.731609344E0
2.671393900E-1,-1.011565804E0,7.298108935E-2,9.736394882E0
2.693652820E-1,-1.025922656E0,7.836493850E-2,9.741181374E0
