"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.463506330E-1,7.876622677E-2,-1.124203652E-1,-2.311992645E-2
1.642451650E-1,7.336771488E-2,-1.106985807E-1,-2.223682404E-2
1.821396350E-1,7.517933846E-2,-1.141107380E-1,-1.427745819E-2
2.000339830E-1,8.103740215E-2,-1.123290658E-1,-3.622913361E-2
2.179338240E-1,7.935750484E-2,-1.067037731E-1,-9.259223938E-3
2.358230450E-1,7.446753979E-2,-1.084359884E-1,-1.647281647E-2
2.537175160E-1,6.785190105E-2,-1.123169959E-1,-1.785278320E-2
2.716123520E-1,8.349609375E-2,-1.090077162E-1,-1.761817932E-2
2.895065780E-1,7.646739483E-2,-1.053064018E-1,-2.481174469E-2
3.073967750E-1,8.300852776E-2,-1.089126319E-1,-1.847839355E-2
3.252959460E-1,8.037352562E-2,-1.061171144E-1,-8.774757385E-3
3.431902330E-1,7.854008675E-2,-1.119697243E-1,-2.336215973E-2
3.610847640E-1,7.855093479E-2,-1.084927395E-1,-1.281070709E-2
3.789795400E-1,7.119977474E-2,-9.795457125E-2,-2.250099182E-2
3.968737660E-1,7.700550556E-2,-1.016221866E-1,-3.023242950E-2
4.147682970E-1,7.818973064E-2,-1.082372516E-1,-1.810646057E-2
4.326628280E-1,6.985926628E-2,-1.128665283E-1,-1.415824890E-2
4.505572980E-1,7.760965824E-2,-1.063851416E-1,-1.081275940E-2
4.684518300E-1,7.872128487E-2,-1.098149046E-1,-1.401901245E-2
4.863462390E-1,7.580649853E-2,-1.128051803E-1,-1.828098297E-2
5.042384500E-1,7.678294182E-2,-1.154681817E-1,-2.470779419E-2
5.221354230E-1,6.863403320E-2,-1.085984558E-1,-1.601886749E-2
5.400298320E-1,7.471382618E-2,-1.165081188E-1,-2.479934692E-2
5.579243030E-1,7.768559456E-2,-1.143334806E-1,-2.241420746E-2
5.758069320E-1,7.636165619E-2,-1.079817265E-1,-1.480674744E-2
5.937104960E-1,8.223533630E-2,-1.153043956E-1,-1.224327087E-2
6.116078960E-1,7.268297672E-2,-1.110971197E-1,-8.132934570E-3
6.295021840E-1,7.820928097E-2,-1.051993743E-1,-2.358341217E-2
6.474001940E-1,7.045137882E-2,-1.061479524E-1,-2.250003815E-2
6.652915510E-1,8.236491680E-2,-1.086532846E-1,-1.618480682E-2
6.831857770E-1,7.743799686E-2,-1.002721861E-1,-8.809089661E-3
7.010803700E-1,8.155572414E-2,-9.840591997E-2,-9.567260742E-3
7.189749010E-1,7.580733299E-2,-1.081535295E-1,-1.943969727E-2
7.368694320E-1,7.242310047E-2,-1.134362891E-1,-2.481651306E-2
7.547639630E-1,7.528984547E-2,-1.064118743E-1,-7.904052734E-3
7.726569070E-1,7.282078266E-2,-1.106636077E-1,-1.062297821E-2
7.905529650E-1,7.389128208E-2,-1.003012061E-1,-2.033805847E-2
8.084475570E-1,7.639038563E-2,-9.860110283E-2,-5.215644836E-3
8.263420880E-1,8.194077015E-2,-1.086108610E-1,-1.388168335E-2
8.442363750E-1,7.935762405E-2,-1.073572859E-1,-9.792327881E-3
8.621309070E-1,8.362782001E-2,-1.088939533E-1,-2.307224274E-2
8.800254990E-1,7.938086987E-2,-1.053318679E-1,-1.565647125E-2
8.979201520E-1,7.764971256E-2,-1.084781811E-1,-1.487255096E-2
9.158147450E-1,7.606780529E-2,-1.039253697E-1,-2.129268646E-2
9.337090320E-1,7.190763950E-2,-1.127987504E-1,-1.766109467E-2
9.516033190E-1,8.053255081E-2,-1.048747748E-1,-2.907752991E-2
9.694977890E-1,7.433938980E-2,-1.094044819E-1,-9.050369263E-3
9.873926250E-1,7.400834560E-2,-1.079671234E-1,-2.447032928E-2
1.005287096E0,7.656586170E-2,-1.101927310E-1,-1.485252380E-2
1.023185960E0,8.128821850E-2,-1.031783894E-1,-8.689880371E-3
1.041068163E0,8.078920841E-2,-1.033241451E-1,-1.716136932E-2
1.058970506E0,7.620072365E-2,-1.003657132E-1,-2.714252472E-2
1.076865221E0,7.722437382E-2,-1.111734509E-1,-2.297782898E-2
1.094744920E0,7.875037193E-2,-1.061792299E-1,-2.534675598E-2
1.112656968E0,7.364034653E-2,-1.099429429E-1,-2.185535431E-2
1.130548631E0,7.755684853E-2,-1.114440113E-1,-1.340293884E-2
1.148431627E0,7.694089413E-2,-1.132618338E-1,-1.694107056E-2
1.166336473E0,7.424581051E-2,-1.168062389E-1,-1.712894440E-2
1.184231920E0,7.927680016E-2,-1.094204411E-1,-1.431465149E-2
1.202126512E0,7.213497162E-2,-1.119282916E-1,-1.838111877E-2
1.220020982E0,7.890605927E-2,-1.142675802E-1,-3.422832489E-2
1.237900499E0,7.972443104E-2,-1.105551720E-1,-2.672863007E-2
1.255810289E0,7.447361946E-2,-1.101518199E-1,-2.645683289E-2
1.273704393E0,8.306550980E-2,-1.014614105E-1,-1.671981812E-2
1.291599107E0,7.638680935E-2,-1.065069735E-1,-1.902008057E-2
1.309493395E0,7.536375523E-2,-1.022464484E-1,-1.945304871E-2
1.327388109E0,7.741510868E-2,-1.169247404E-1,-2.827548981E-2
1.345282518E0,7.865250111E-2,-1.047580093E-1,-2.399444580E-2
1.363176988E0,7.313549519E-2,-1.068504155E-1,-1.693820953E-2
1.381071336E0,7.233357430E-2,-1.059905440E-1,-2.544879913E-2
1.398966112E0,6.980264187E-2,-1.081556231E-1,-1.325988770E-2
1.416860399E0,7.736599445E-2,-1.041399613E-1,-1.657295227E-2
1.434754808E0,7.839310169E-2,-9.967898577E-2,-2.499580383E-2
1.452649706E0,8.251142502E-2,-1.013375148E-1,-2.340126038E-2
1.470543932E0,6.945979595E-2,-1.066865996E-1,-1.871204376E-2
1.488441515E0,8.188045025E-2,-1.087342054E-1,-2.285671234E-2
1.506332750E0,7.686114311E-2,-1.003720611E-1,-1.525974274E-2
1.524227892E0,7.853734493E-2,-1.068187878E-1,-1.304626465E-2
1.542121813E0,7.472741604E-2,-1.057161912E-1,-1.925086975E-2
1.560016649E0,7.299065590E-2,-9.922089428E-2,-2.449893951E-2
1.577910570E0,7.900774479E-2,-1.103932336E-1,-2.210330963E-2
1.595793810E0,8.038902283E-2,-1.059454083E-1,-2.020645142E-2
1.613699938E0,7.616794109E-2,-1.116526574E-1,-1.850986481E-2
1.631594469E0,7.626378536E-2,-9.503340721E-2,-2.236175537E-2
1.649479722E0,7.491683960E-2,-1.093958467E-1,-1.543331146E-2
1.667383531E0,7.610380650E-2,-1.070364714E-1,-1.524257660E-2
1.685278063E0,7.971966267E-2,-1.026286110E-1,-1.670265198E-2
1.703170091E0,7.752525806E-2,-1.040181518E-1,-2.154159546E-2
1.721066820E0,7.457888126E-2,-1.053577885E-1,-1.802825928E-2
1.738961473E0,7.893025875E-2,-1.135346591E-1,-1.736450195E-2
1.756856004E0,7.774436474E-2,-1.086849719E-1,-1.848602295E-2
1.774750291E0,7.529377937E-2,-1.091006473E-1,-1.742267609E-2
1.792645067E0,8.003604412E-2,-1.078196317E-1,-1.270580292E-2
1.810539842E0,7.148313522E-2,-1.066369712E-1,-1.971435547E-2
1.828434007E0,7.412588596E-2,-1.067410409E-1,-2.070903778E-2
1.846328355E0,7.981574535E-2,-1.007300168E-1,-1.872062683E-2
1.864223131E0,8.119976521E-2,-1.070210934E-1,-1.383781433E-2
1.882117235E0,7.316422462E-2,-1.115322709E-1,-2.009296417E-2
1.900011949E0,7.928860188E-2,-9.691475332E-2,-1.578903198E-2
1.917906480E0,8.175265789E-2,-1.072246879E-1,-2.084541321E-2
1.935801012E0,7.667267323E-2,-1.045195833E-1,-1.252460480E-2
1.953695360E0,7.555699348E-2,-1.071829945E-1,-7.366180420E-3
1.971577806E0,7.677304745E-2,-1.029222757E-1,-2.518463135E-2
1.989484178E0,7.596898079E-2,-1.008642614E-1,-2.064132690E-2
2.007378893E0,7.050645351E-2,-1.081437543E-1,-1.336002350E-2
2.025273485E0,7.484602928E-2,-1.036471426E-1,-2.120780945E-2
2.043170152E0,7.648181915E-2,-9.986791015E-2,-1.883792877E-2
2.061062364E0,7.295107841E-2,-1.103093177E-1,-2.109050751E-2
2.078953478E0,7.229268551E-2,-1.073410586E-1,-2.236652374E-2
