"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.527497500E-2,3.506802380E1,1.373463374E2,NaN,NaN,NaN,5.000000000E3,0.000000000E0
1.981029013E0,3.507503627E1,1.373719552E2,6.435811583E2,NaN,NaN,6.888029099E0,9.146962738E1
3.068504477E0,3.507503351E1,1.373718857E2,6.481969658E2,0.000000000E0,NaN,1.600806117E0,5.497344589E1
4.006748781E0,3.507502123E1,1.373718706E2,6.464072586E2,0.000000000E0,NaN,1.670334697E0,4.324073410E1
5.081259809E0,3.507501810E1,1.373718692E2,6.850183804E2,0.000000000E0,NaN,1.301332664E1,1.466160107E1
6.069255415E0,3.507502122E1,1.373718672E2,6.806717484E2,0.000000000E0,NaN,7.779896736E0,2.053942108E1
7.070589359E0,3.507501110E1,1.373718733E2,6.774493681E2,0.000000000E0,NaN,2.502353907E0,2.268143082E1
8.124609501E0,3.507500714E1,1.373718705E2,6.726119351E2,0.000000000E0,NaN,4.736992359E0,2.133756065E1
9.074626347E0,3.507501310E1,1.373718725E2,6.648510542E2,0.000000000E0,NaN,7.367825985E0,1.808548355E1
1.007785067E1,3.507502527E1,1.373718710E2,6.585552302E2,0.000000000E0,NaN,6.222536564E0,1.318063927E1
1.084008452E1,3.507503484E1,1.373718745E2,6.561292012E2,0.000000000E0,NaN,6.222332954E0,1.123878384E1
1.182501209E1,3.507503494E1,1.373718746E2,6.543708275E2,0.000000000E0,NaN,6.222064495E0,1.002898407E1
1.287122360E1,3.507503507E1,1.373718747E2,6.532103624E2,0.000000000E0,NaN,6.221796036E0,9.217298508E0
1.380747398E1,3.507503521E1,1.373718748E2,6.519408012E2,0.000000000E0,NaN,6.221528053E0,8.589001656E0
1.480746398E1,3.507503536E1,1.373718749E2,6.510115380E2,0.000000000E0,NaN,6.438925266E0,8.078915596E0
1.580756398E1,3.507503551E1,1.373718751E2,6.503795926E2,0.000000000E0,NaN,6.220991611E0,7.659794331E0
1.680748898E1,3.507503565E1,1.373718752E2,6.499952309E2,0.000000000E0,NaN,6.220723152E0,7.309543133E0
1.780753298E1,3.507503572E1,1.373718753E2,6.495524291E2,0.000000000E0,NaN,7.610740185E0,7.044613361E0
1.880752698E1,3.507503577E1,1.373718754E2,6.491288721E2,0.000000000E0,NaN,6.069305420E0,6.789909840E0
1.980760898E1,3.507503587E1,1.373718754E2,6.488749584E2,0.000000000E0,NaN,7.224212170E0,6.565713882E0
2.080755998E1,3.507503590E1,1.373718755E2,6.483824125E2,0.000000000E0,NaN,8.191697121E0,6.373502254E0
2.180757698E1,3.507503596E1,1.373718755E2,6.478919773E2,0.000000000E0,NaN,7.187993526E0,6.171803474E0
2.280758598E1,3.507503604E1,1.373718756E2,6.473260917E2,0.000000000E0,NaN,5.776306152E0,5.930552959E0
2.380759898E1,3.507503610E1,1.373718757E2,6.470815255E2,0.000000000E0,NaN,7.629385471E0,5.780458450E0
2.480770898E1,3.507503622E1,1.373718758E2,6.470589768E2,0.000000000E0,NaN,6.508059025E0,5.544262409E0
2.580763898E1,3.507503635E1,1.373718759E2,6.469506991E2,0.000000000E0,NaN,6.218317986E0,5.340831280E0
2.680774198E1,3.507503645E1,1.373718761E2,6.464677491E2,0.000000000E0,NaN,6.218051434E0,5.159162998E0
2.780766298E1,3.507503654E1,1.373718762E2,6.463313222E2,0.000000000E0,NaN,6.217784882E0,4.992029190E0
2.880768498E1,3.507503663E1,1.373718764E2,6.461991840E2,0.000000000E0,NaN,6.217518330E0,4.841741562E0
2.980770498E1,3.507503672E1,1.373718765E2,6.461385333E2,0.000000000E0,NaN,6.217253208E0,4.701912880E0
3.080770898E1,3.507503679E1,1.373718767E2,6.460098721E2,0.000000000E0,NaN,6.216986656E0,4.576009274E0
3.180772898E1,3.507503686E1,1.373718768E2,6.459853709E2,0.000000000E0,NaN,6.216721535E0,4.461224556E0
3.280774298E1,3.507503695E1,1.373718769E2,6.462043304E2,0.000000000E0,NaN,6.216455460E0,4.351394653E0
3.380776198E1,3.507503702E1,1.373718770E2,6.461988442E2,0.000000000E0,NaN,6.216190338E0,4.251150608E0
3.480777598E1,3.507503707E1,1.373718772E2,6.459532664E2,0.000000000E0,NaN,6.215925217E0,4.162056923E0
3.580779298E1,3.507503714E1,1.373718773E2,6.459975994E2,0.000000000E0,NaN,6.215660572E0,4.080840111E0
3.680781698E1,3.507503720E1,1.373718775E2,6.458901359E2,0.000000000E0,NaN,6.215394974E0,4.007468700E0
3.780782298E1,3.507503725E1,1.373718776E2,6.458907907E2,0.000000000E0,NaN,6.215130806E0,3.953374624E0
3.880794898E1,3.507503736E1,1.373718775E2,6.456135712E2,0.000000000E0,NaN,6.214865685E0,3.906103849E0
