"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.689897300E-2,-6.600199699E0,2.732799911E1,-3.586800003E1
4.691044800E-2,-6.819799900E0,2.770619965E1,-3.528239822E1
5.690727400E-2,-6.331799984E0,2.799899864E1,-3.507500076E1
6.691069200E-2,-6.039000034E0,2.801119995E1,-3.485540009E1
7.691069200E-2,-6.600199699E0,2.769400024E1,-3.597779846E1
8.691069200E-2,-6.112199783E0,2.780379868E1,-3.575819778E1
9.691093600E-2,-6.136600018E0,2.743779945E1,-3.524580002E1
1.068984850E-1,-6.404999733E0,2.723040009E1,-3.596559906E1
1.169104480E-1,-5.831599712E0,2.705959892E1,-3.533119965E1
1.268989730E-1,-6.026799679E0,2.790139961E1,-3.535559845E1
1.369104480E-1,-6.319600105E0,2.714499855E1,-3.545319748E1
1.468987290E-1,-6.234200001E0,2.809659958E1,-3.507500076E1
1.569106920E-1,-5.831599712E0,2.753540039E1,-3.523360062E1
1.668987290E-1,-5.831599712E0,2.771839905E1,-3.553860092E1
1.769104480E-1,-6.039000034E0,2.705959892E1,-3.492860031E1
1.868989730E-1,-5.526599884E0,2.724259949E1,-3.562400055E1
1.969106920E-1,-6.124399662E0,2.724259949E1,-3.564839935E1
2.069065420E-1,-6.514800072E0,2.723040009E1,-3.556299973E1
2.169104480E-1,-6.112199783E0,2.742560005E1,-3.564839935E1
2.269060530E-1,-6.026799679E0,2.686439896E1,-3.533119965E1
2.369106920E-1,-6.014599800E0,2.742560005E1,-3.574599838E1
2.469106920E-1,-5.929199696E0,2.742560005E1,-3.553860092E1
2.569106920E-1,-5.733999729E0,2.696199989E1,-3.551419830E1
2.669104480E-1,-5.721799850E0,2.724259949E1,-3.573379898E1
2.768987290E-1,-6.234200001E0,2.762080002E1,-3.525799942E1
2.869106920E-1,-6.307399750E0,2.704739952E1,-3.585580063E1
2.968987290E-1,-5.721799850E0,2.724259949E1,-3.583139801E1
3.069089830E-1,-6.221999645E0,2.742560005E1,-3.545319748E1
3.168987290E-1,-5.929199696E0,2.743779945E1,-3.544099808E1
3.269104480E-1,-5.441199780E0,2.735239983E1,-3.522140121E1
3.368987290E-1,-6.026799679E0,2.743779945E1,-3.534339905E1
3.469104480E-1,-6.136600018E0,2.697419930E1,-3.494079971E1
3.568984850E-1,-6.221999645E0,2.742560005E1,-3.545319748E1
3.669106920E-1,-5.916999817E0,2.713279915E1,-3.592900085E1
3.769043440E-1,-5.843800068E0,2.735239983E1,-3.503839874E1
3.869104480E-1,-5.441199780E0,2.735239983E1,-3.522140121E1
3.969026350E-1,-5.843800068E0,2.734020042E1,-3.523360062E1
4.068987290E-1,-5.624199867E0,2.771839905E1,-3.573379898E1
4.169104480E-1,-5.624199867E0,2.734020042E1,-3.562400055E1
4.269102040E-1,-6.148799896E0,2.735239983E1,-3.484320068E1
4.369106920E-1,-6.124399662E0,2.714499855E1,-3.534339905E1
4.468984850E-1,-5.916999817E0,2.714499855E1,-3.573379898E1
4.569106920E-1,-6.246399879E0,2.763299942E1,-3.475780106E1
4.668950670E-1,-6.343999863E0,2.725479889E1,-3.464799881E1
4.769102040E-1,-5.831599712E0,2.752319908E1,-3.544099808E1
4.868984850E-1,-5.929199696E0,2.762080002E1,-3.524580002E1
4.969106920E-1,-5.721799850E0,2.734020042E1,-3.563619995E1
5.068984850E-1,-6.112199783E0,2.732799911E1,-3.595339966E1
5.169104480E-1,-5.855999947E0,2.697419930E1,-3.481879807E1
5.268984850E-1,-5.929199696E0,2.752319908E1,-3.553860092E1
5.369106920E-1,-6.319600105E0,2.724259949E1,-3.535559845E1
5.469019030E-1,-5.941400051E0,2.735239983E1,-3.503839874E1
5.569106920E-1,-5.624199867E0,2.734020042E1,-3.572159958E1
5.669014150E-1,-5.953599930E0,2.725479889E1,-3.473339844E1
5.769106920E-1,-5.648600101E0,2.715719986E1,-3.512379837E1
5.869106920E-1,-6.051199913E0,2.764519882E1,-3.455039978E1
5.968984850E-1,-5.453399658E0,2.735239983E1,-3.501399994E1
6.069104480E-1,-5.453399658E0,2.697419930E1,-3.520919800E1
6.168989730E-1,-4.953199863E0,2.716939926E1,-3.518479919E1
6.269106920E-1,-6.124399662E0,2.724259949E1,-3.544099808E1
6.368984850E-1,-6.148799896E0,2.743779945E1,-3.484320068E1
6.469104480E-1,-6.221999645E0,2.742560005E1,-3.545319748E1
6.568987290E-1,-6.124399662E0,2.742560005E1,-3.555080032E1
6.669106920E-1,-6.124399662E0,2.714499855E1,-3.534339905E1
6.769001940E-1,-5.551000118E0,2.763299942E1,-3.512379837E1
6.869106920E-1,-5.929199696E0,2.714499855E1,-3.553860092E1
6.968943350E-1,-5.453399658E0,2.782819939E1,-3.483099747E1
7.069104480E-1,-5.648600101E0,2.763299942E1,-3.502619934E1
7.168997060E-1,-5.746200085E0,2.743779945E1,-3.523360062E1
7.269104480E-1,-5.929199696E0,2.781599998E1,-3.524580002E1
7.368984850E-1,-6.026799679E0,2.771839905E1,-3.555080032E1
