"Time (s)","Pressure (hPa)"
3.821538000E-2,9.415016479E2
5.818657100E-2,9.415169678E2
7.815117100E-2,9.415000610E2
9.822246000E-2,9.414907227E2
1.183428210E-1,9.415195923E2
1.386602040E-1,9.415055542E2
1.585718250E-1,9.415233765E2
1.788130360E-1,9.415066528E2
1.989609850E-1,9.415117798E2
2.190625480E-1,9.415272827E2
2.380850090E-1,9.415177612E2
2.580439930E-1,9.415203857E2
2.780442370E-1,9.414871216E2
2.980435050E-1,9.415188599E2
3.180432600E-1,9.415449219E2
3.380432600E-1,9.415252686E2
3.580437490E-1,9.415075684E2
3.781106430E-1,9.415175781E2
3.985106430E-1,9.415316772E2
4.181499500E-1,9.415113525E2
4.382573720E-1,9.415252686E2
4.583298820E-1,9.415438232E2
4.787298820E-1,9.415047607E2
4.986103990E-1,9.415208740E2
5.188464830E-1,9.415018311E2
5.388603990E-1,9.415052490E2
5.590666980E-1,9.415264893E2
5.781421370E-1,9.415222778E2
5.980442370E-1,9.415188599E2
6.180303210E-1,9.415206909E2
6.380525380E-1,9.415250854E2
6.580435050E-1,9.415286865E2
6.780435050E-1,9.415307007E2
6.980405750E-1,9.415110474E2
7.180442370E-1,9.415260010E2
7.381890120E-1,9.414990234E2
7.581543440E-1,9.415374146E2
7.782722640E-1,9.415227661E2
7.983477040E-1,9.415203857E2
8.186870590E-1,9.415082397E2
8.387307600E-1,9.415258789E2
8.588059560E-1,9.415241699E2
8.792059560E-1,9.415328979E2
8.990664540E-1,9.415121460E2
9.180557120E-1,9.415383911E2
9.380432600E-1,9.415502319E2
9.580435050E-1,9.415296021E2
9.782437000E-1,9.415233765E2
9.980427720E-1,9.415122681E2
1.018020067E0,9.415253906E2
1.038154589E0,9.415163574E2
1.058110399E0,9.415261841E2
1.078236620E0,9.415272827E2
1.098306200E0,9.414972534E2
1.118224169E0,9.415163574E2
1.138444872E0,9.415225830E2
1.158670702E0,9.415175781E2
1.178580858E0,9.415216675E2
1.198834520E0,9.415242920E2
1.218825487E0,9.415217896E2
1.239158495E0,9.415270996E2
1.258067186E0,9.415228882E2
1.278043505E0,9.415361938E2
1.298043260E0,9.415130615E2
1.318042772E0,9.415242920E2
1.338043016E0,9.415291748E2
1.358043016E0,9.415371094E2
1.378068651E0,9.415185547E2
1.398090624E0,9.415358887E2
1.418342333E0,9.415272827E2
1.438319628E0,9.415291748E2
1.458372362E0,9.415175781E2
1.478322802E0,9.414887085E2
1.498722802E0,9.415252686E2
1.518626512E0,9.415208740E2
1.538847216E0,9.415166626E2
1.558965868E0,9.415327759E2
1.579199266E0,9.415305786E2
1.598088427E0,9.415155640E2
1.618043993E0,9.415199585E2
1.638120409E0,9.414960327E2
1.658043505E0,9.415197754E2
1.678031786E0,9.415426025E2
1.698043505E0,9.415354004E2
1.718033251E0,9.415155640E2
1.738114794E0,9.415383911E2
1.758343553E0,9.415296021E2
1.778251268E0,9.415213623E2
1.798378954E0,9.415252686E2
1.818650927E0,9.415111694E2
1.838688768E0,9.415397949E2
1.858611376E0,9.415292969E2
1.878866503E0,9.415343018E2
1.898869188E0,9.415177612E2
1.919140917E0,9.415311890E2
1.938057909E0,9.415386963E2
1.958043749E0,9.415278931E2
1.978043505E0,9.415302734E2
1.998043016E0,9.415402222E2
2.018158739E0,9.415220947E2
2.038165087E0,9.415316772E2
2.058045458E0,9.415263672E2
2.078041796E0,9.415343018E2
2.098321581E0,9.415307007E2
2.118224657E0,9.415274048E2
2.138624657E0,9.415189209E2
2.158632860E0,9.415322876E2
2.178723680E0,9.415139771E2
2.198594774E0,9.415393066E2
2.218864305E0,9.415297852E2
2.238977831E0,9.415130615E2
2.259181932E0,9.415386963E2
2.278043016E0,9.415206909E2
2.298043749E0,9.415303955E2
2.318043749E0,9.415402222E2
2.338043749E0,9.415125732E2
2.358031298E0,9.415202637E2
2.378043260E0,9.414990234E2
2.398030077E0,9.415274048E2
2.418189989E0,9.415171509E2
2.438357714E0,9.415255737E2
2.458314012E0,9.415139771E2
2.478470507E0,9.415213623E2
2.498475634E0,9.415366821E2
2.518755419E0,9.415281982E2
2.538629442E0,9.415336914E2
2.558926561E0,9.415352173E2
2.578953417E0,9.415085449E2
2.599184618E0,9.415267944E2
2.618053270E0,9.415449219E2
2.638046923E0,9.415369873E2
2.658043505E0,9.415225830E2
2.678081346E0,9.415332031E2
2.698032274E0,9.415349121E2
2.718043505E0,9.415311890E2
2.738055712E0,9.415333862E2
2.758106249E0,9.415433960E2
2.778374315E0,9.415249634E2
2.798252977E0,9.415524292E2
2.818427294E0,9.415186768E2
2.838338182E0,9.415214844E2
2.858738182E0,9.415270996E2
2.878669969E0,9.415369873E2
2.898897997E0,9.415194702E2
2.918960497E0,9.415302734E2
2.939166307E0,9.415188599E2
2.958047899E0,9.415424194E2
2.978043505E0,9.415256958E2
2.998043505E0,9.415316772E2
3.018101366E0,9.415419922E2
3.038029833E0,9.415211792E2
3.058043505E0,9.415369873E2
3.078092577E0,9.415404053E2
3.098172411E0,9.415498047E2
3.118360399E0,9.415288696E2
3.138289843E0,9.415285034E2
3.158689843E0,9.415401611E2
3.178440721E0,9.415512085E2
3.198725145E0,9.415088501E2
3.218618212E0,9.415515137E2
3.238919969E0,9.415394897E2
3.258998094E0,9.415258789E2
3.279193651E0,9.415341797E2
3.298070116E0,9.415308838E2
3.318043505E0,9.415231934E2
3.338042772E0,9.415515137E2
3.358029833E0,9.415263672E2
3.378023729E0,9.415430298E2
3.398043749E0,9.415519409E2
3.418100634E0,9.415563354E2
3.438088182E0,9.415328979E2
3.458378954E0,9.415405884E2
3.478352587E0,9.415579224E2
3.498484178E0,9.415462036E2
3.518373339E0,9.415615234E2
3.538773339E0,9.415558472E2
3.558658495E0,9.415437012E2
3.578888964E0,9.415635376E2
3.599013719E0,9.415708618E2
3.619195360E0,9.415633545E2
3.638184618E0,9.415547485E2
3.658043016E0,9.415394897E2
3.678139940E0,9.415465088E2
3.698101854E0,9.415604248E2
3.718037889E0,9.415463257E2
3.738043505E0,9.415258789E2
3.758106981E0,9.415135498E2
3.778200487E0,9.415004272E2
3.798371385E0,9.414754028E2
3.818324999E0,9.414595947E2
3.838442430E0,9.414965210E2
3.858516893E0,9.414741821E2
3.878767137E0,9.414815063E2
3.898863329E0,9.414841309E2
3.918938036E0,9.414829102E2
3.939034227E0,9.414905396E2
3.959239305E0,9.414947510E2
3.978051073E0,9.414799194E2
3.998044237E0,9.415052490E2
4.018042528E0,9.414885254E2
4.038442528E0,9.415015869E2
4.058033251E0,9.415124512E2
4.078043749E0,9.415130615E2
4.098083300E0,9.415114746E2
4.118124559E0,9.415195923E2
4.138385790E0,9.415121460E2
4.158347460E0,9.415197754E2
4.178467089E0,9.415167847E2
4.198396532E0,9.415379028E2
4.218796532E0,9.415282593E2
4.238667040E0,9.415596313E2
4.258908495E0,9.415296021E2
4.279017626E0,9.415394897E2
4.299224413E0,9.415473022E2
4.318051561E0,9.415422974E2
4.338043993E0,9.415498047E2
4.358100634E0,9.415242920E2
4.378078173E0,9.415317993E2
4.398007372E0,9.415501099E2
4.418007616E0,9.415602417E2
4.438121874E0,9.415408936E2
4.458160692E0,9.415482178E2
4.478300096E0,9.415291748E2
4.498274706E0,9.415437012E2
4.518407518E0,9.415349121E2
4.538299364E0,9.415379028E2
4.558679003E0,9.415498047E2
4.578706835E0,9.415565186E2
4.598860643E0,9.415440063E2
4.618822069E0,9.415484009E2
4.638119677E0,9.415529175E2
4.658051073E0,9.415328979E2
4.678043016E0,9.415519409E2
4.698049364E0,9.415766602E2
4.718042528E0,9.415512085E2
4.738043016E0,9.415630493E2
4.758031298E0,9.415964966E2
4.778032274E0,9.415836792E2
4.798066210E0,9.415799561E2
4.818293993E0,9.415568237E2
4.838273241E0,9.415482178E2
4.858374315E0,9.415515137E2
4.878318407E0,9.415576172E2
4.898718407E0,9.415369873E2
4.918530077E0,9.415135498E2
4.938856249E0,9.414916382E2
4.958948534E0,9.414721069E2
4.979143358E0,9.415005493E2
4.998055468E0,9.414857178E2
5.018043749E0,9.414902344E2
5.038077684E0,9.414807129E2
5.058043749E0,9.414905396E2
5.078054247E0,9.414724121E2
5.098077440E0,9.414857178E2
5.118032030E0,9.414899292E2
5.138306932E0,9.415117798E2
5.158301317E0,9.415121460E2
5.178557177E0,9.415002441E2
5.198344042E0,9.415319824E2
5.218272020E0,9.415233765E2
5.238672020E0,9.415141602E2
5.258679003E0,9.415163574E2
5.278851854E0,9.415382080E2
5.298860887E0,9.415250854E2
5.319139452E0,9.415447998E2
5.338111620E0,9.415421143E2
5.358067186E0,9.415347900E2
5.378043749E0,9.415025635E2
5.398042528E0,9.415333862E2
5.418043016E0,9.415399170E2
5.438041796E0,9.415501099E2
5.458030809E0,9.415142822E2
5.478049364E0,9.415457153E2
5.498312548E0,9.415513306E2
5.518283983E0,9.415347900E2
5.538411913E0,9.415275879E2
5.558333300E0,9.415358887E2
5.578733300E0,9.415368042E2
5.598541307E0,9.415382080E2
5.618823778E0,9.415444946E2
5.638950487E0,9.415399170E2
5.659350487E0,9.415382080E2
5.678093309E0,9.415443115E2
5.698068407E0,9.415256958E2
5.718043749E0,9.415521240E2
5.738043749E0,9.415427246E2
5.758039110E0,9.415374146E2
5.778043016E0,9.415391235E2
5.798030565E0,9.415671387E2
5.818158739E0,9.415383911E2
5.838305468E0,9.415194702E2
5.858289843E0,9.415473022E2
5.878397509E0,9.415507202E2
5.898305956E0,9.415572510E2
5.918696337E0,9.415638428E2
5.938755175E0,9.415930786E2
5.958853075E0,9.415803833E2
5.978901903E0,9.415685425E2
5.999138475E0,9.415613403E2
6.018076219E0,9.415646362E2
6.038067919E0,9.415368042E2
6.058043505E0,9.415308838E2
6.078050829E0,9.415654297E2
6.098043749E0,9.415454102E2
6.118043505E0,9.415167847E2
6.138052782E0,9.414985352E2
6.158030565E0,9.414750977E2
6.178290331E0,9.414990234E2
6.198258593E0,9.414957275E2
6.218428270E0,9.414896240E2
6.238328173E0,9.414990234E2
6.258728173E0,9.414854126E2
6.278540087E0,9.415302734E2
6.298864305E0,9.415068359E2
6.318956346E0,9.415068359E2
6.339145800E0,9.415113525E2
6.358068651E0,9.415202637E2
6.378066698E0,9.415256958E2
6.398043749E0,9.415297852E2
6.418043260E0,9.415644531E2
6.438040575E0,9.415238647E2
6.458043993E0,9.415200806E2
6.478052782E0,9.415233765E2
6.498136766E0,9.415437012E2
6.518367723E0,9.415399170E2
6.538318163E0,9.415307007E2
6.558464159E0,9.415347900E2
6.578703417E0,9.415382080E2
6.598738817E0,9.415291748E2
6.618749315E0,9.415530396E2
6.638870653E0,9.415386963E2
