"Time (s)","Temperature (°C)"
6.582597500E-2,3.181640625E1
8.372056700E-2,3.187890625E1
1.016147930E-1,3.183203125E1
1.195093850E-1,3.184765625E1
1.374038560E-1,3.181640625E1
1.552981430E-1,3.186328125E1
1.731948710E-1,3.180859375E1
1.910875100E-1,3.182421875E1
2.089819810E-1,3.183203125E1
2.268765730E-1,3.185546875E1
2.447710430E-1,3.181640625E1
2.626655740E-1,3.180859375E1
2.805599230E-1,3.181640625E1
2.984546370E-1,3.184765625E1
3.163496570E-1,3.180468750E1
3.342434550E-1,3.186718750E1
3.521377420E-1,3.180859375E1
3.700325180E-1,3.184765625E1
3.879270490E-1,3.181640625E1
4.058218850E-1,3.183984375E1
4.237159290E-1,3.180859375E1
4.415939190E-1,3.175390625E1
4.595049910E-1,3.185937500E1
4.773998270E-1,3.186328125E1
4.952940530E-1,3.181640625E1
5.131793690E-1,3.184765625E1
5.310830550E-1,3.185546875E1
5.489775860E-1,3.180859375E1
5.668721780E-1,3.183984375E1
5.847666490E-1,3.183203125E1
6.026641100E-1,3.180859375E1
6.205438700E-1,3.182421875E1
6.384470070E-1,3.180468750E1
6.563445900E-1,3.181250000E1
6.742390610E-1,3.185546875E1
6.921338360E-1,3.183984375E1
7.100281230E-1,3.183984375E1
7.279228990E-1,3.183203125E1
7.458171860E-1,3.180859375E1
7.637116560E-1,3.182421875E1
7.816076520E-1,3.183984375E1
7.995005960E-1,3.181640625E1
8.173952500E-1,3.180859375E1
8.352896590E-1,3.176171875E1
8.531843120E-1,3.179296875E1
8.710789040E-1,3.180468750E1
8.889733750E-1,3.183203125E1
9.068555770E-1,3.185546875E1
9.247622540E-1,3.180859375E1
9.426567850E-1,3.183203125E1
9.605513170E-1,3.180468750E1
9.784461530E-1,3.178515625E1
9.963403790E-1,3.180468750E1
1.014230638E0,3.181640625E1
1.032129442E0,3.180859375E1
1.050023729E0,3.180859375E1
1.067918260E0,3.180468750E1
1.085812852E0,3.180078125E1
1.103707383E0,3.182031250E1
1.121601854E0,3.178906250E1
1.139495836E0,3.178515625E1
1.157382859E0,3.179296875E1
1.175285264E0,3.178515625E1
1.193179735E0,3.182031250E1
1.211074327E0,3.184765625E1
1.228968797E0,3.180859375E1
1.246866258E0,3.181640625E1
1.264757860E0,3.178906250E1
1.282652147E0,3.181250000E1
1.300546739E0,3.178906250E1
1.318441514E0,3.180078125E1
1.336336046E0,3.177734375E1
1.354230028E0,3.185156250E1
1.372112901E0,3.178125000E1
1.390019090E0,3.181250000E1
1.407913865E0,3.178906250E1
1.425808458E0,3.181250000E1
1.443702684E0,3.181640625E1
1.461597520E0,3.183203125E1
1.479488755E0,3.178906250E1
1.497386339E0,3.180468750E1
1.515280565E0,3.178125000E1
1.533175279E0,3.183593750E1
1.551069932E0,3.181640625E1
1.568965014E0,3.181640625E1
1.586858629E0,3.182421875E1
1.604753221E0,3.180859375E1
1.622647752E0,3.178906250E1
1.640528307E0,3.179296875E1
1.658436754E0,3.183593750E1
1.676331407E0,3.180859375E1
1.694225694E0,3.178125000E1
1.712122728E0,3.180078125E1
1.730014512E0,3.179296875E1
1.747908983E0,3.178515625E1
1.765803758E0,3.179296875E1
1.783698289E0,3.182812500E1
1.801592759E0,3.178906250E1
1.819488145E0,3.182812500E1
1.837368577E0,3.180859375E1
1.855276231E0,3.183984375E1
1.873170701E0,3.182421875E1
1.891065294E0,3.178906250E1
1.908959764E0,3.180468750E1
1.926854356E0,3.178906250E1
1.944748826E0,3.180078125E1
1.962643480E0,3.179296875E1
1.980537645E0,3.180078125E1
1.998432176E0,3.180468750E1
2.016326768E0,3.176171875E1
2.034219041E0,3.179296875E1
2.052115770E0,3.178515625E1
2.070009813E0,3.182812500E1
2.087905137E0,3.181640625E1
2.105798936E0,3.178906250E1
2.123693956E0,3.179296875E1
2.141576524E0,3.185156250E1
2.159470872E0,3.180859375E1
2.177381089E0,3.183984375E1
2.195271592E0,3.177343750E1
2.213165819E0,3.180078125E1
2.231060655E0,3.184375000E1
2.248955125E0,3.179687500E1
2.266849656E0,3.178515625E1
2.284744188E0,3.179296875E1
2.302638170E0,3.186718750E1
2.320533067E0,3.182421875E1
2.338427598E0,3.180468750E1
2.356322191E0,3.181250000E1
2.374216417E0,3.180468750E1
2.392111131E0,3.179296875E1
2.410005479E0,3.177734375E1
2.427899949E0,3.179296875E1
2.445794542E0,3.180468750E1
2.463689012E0,3.181640625E1
2.481583299E0,3.180859375E1
2.499466173E0,3.176171875E1
2.517372667E0,3.175781250E1
2.535266954E0,3.180468750E1
2.553164049E0,3.178125000E1
2.571055650E0,3.180078125E1
2.588947802E0,3.181250000E1
2.606845140E0,3.180859375E1
