"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.723913800E-2,-1.831705689E0,-9.571290575E-3,9.537193298E0
1.951739000E-2,-1.613958836E0,-9.553344250E-1,1.056132126E1
2.176020500E-2,-5.790630579E-1,-1.208973646E0,1.133420277E1
2.399378600E-2,5.820540786E-1,-1.216152072E0,1.113021469E1
2.622828400E-2,1.393819213E0,-6.490531564E-1,1.002114105E1
2.846632100E-2,1.591825247E0,-3.014956415E-1,8.711071014E0
3.070631100E-2,1.478764415E0,-3.050848842E-1,7.813164234E0
3.294221200E-2,1.603789330E0,4.007977843E-1,7.832306862E0
3.517841900E-2,1.254437327E0,8.895317912E-1,8.700901031E0
3.741444200E-2,4.815555513E-1,8.733802289E-2,9.872786522E0
3.965174600E-2,2.243271172E-1,-4.079762697E-1,1.120199966E1
4.188862300E-2,-2.452643216E-2,-5.754738450E-1,1.206281757E1
4.412544000E-2,-4.109672904E-1,-1.262213945E0,1.181755257E1
4.636176800E-2,-5.114658475E-1,-9.936196208E-1,1.103390312E1
4.859937800E-2,-6.137589812E-1,8.315058798E-2,1.020179939E1
5.083521700E-2,-1.016949654E0,2.225325108E-1,9.348757744E0
5.307496300E-2,-1.462014675E0,-4.486542568E-2,8.763712883E0
5.530836200E-2,-1.503889084E0,-1.196411327E-1,8.529814720E0
5.754597200E-2,-1.146760225E0,-2.309073806E-1,8.566305161E0
5.978278800E-2,-5.353940725E-1,-3.266202807E-1,8.657830238E0
6.201911600E-2,-2.835494876E-1,-7.465606928E-1,8.732605934E0
6.425471200E-2,-3.326023519E-1,-1.195214868E0,8.680562019E0
6.649238300E-2,-1.567298770E-1,-6.903293133E-1,8.523832321E0
6.872920000E-2,1.668993831E-1,4.725824669E-2,8.349156380E0
7.096821400E-2,3.864408433E-1,-1.322034448E-1,8.127222061E0
7.321571100E-2,5.964110494E-1,-5.467599630E-1,8.130212784E0
7.545252800E-2,7.722834945E-1,-9.110672474E-1,8.780462265E0
7.769019800E-2,7.106683254E-1,-1.226919770E0,9.963115692E0
7.992298600E-2,6.849454641E-1,-1.667797327E0,1.119422245E1
8.215986400E-2,7.776673436E-1,-2.409572363E0,1.204487133E1
8.439423900E-2,1.164706469E0,-2.454437733E0,1.214417267E1
8.661848200E-2,1.613360643E0,-1.314257860E0,1.136411285E1
8.885462700E-2,1.261615753E0,-2.500499785E-1,9.971489906E0
9.109412900E-2,3.822534084E-1,7.657032460E-2,8.437092781E0
9.334608200E-2,-1.304088384E-1,5.575276613E-1,7.525427341E0
9.558375300E-2,-4.169493318E-1,5.718846321E-1,7.427321434E0
9.781934900E-2,-4.851447940E-1,-1.423729509E-1,8.071588516E0
1.000533570E-1,-2.458625287E-1,-6.987041831E-1,9.515059471E0
1.022901740E-1,-3.553341627E-1,-1.647458434E0,1.129890823E1
1.045262580E-1,-1.129412293E0,-2.685943365E0,1.281476212E1
1.067628910E-1,-1.731207132E0,-2.946761131E0,1.331007576E1
1.089997080E-1,-1.863410592E0,-2.102692842E0,1.221057415E1
1.112365240E-1,-1.741376638E0,-9.906286001E-1,1.029332447E1
1.134713260E-1,-1.322632670E0,-5.712863803E-1,8.350951195E0
1.156956910E-1,-6.939185858E-1,-2.584248483E-1,7.016354084E0
1.179319580E-1,-1.537388563E-1,4.193421602E-1,6.538387775E0
1.201688360E-1,-4.845465720E-2,5.216353536E-1,6.782455921E0
1.224086430E-1,-3.296113312E-1,-2.003988922E-1,7.715656757E0
1.246473520E-1,-3.912265003E-1,-9.152546525E-1,9.313464165E0
1.268957640E-1,2.871387303E-1,-7.381857634E-1,1.107936668E1
1.291325200E-1,1.023529887E0,-5.491527915E-1,1.222493076E1
1.313702520E-1,1.085743308E0,-1.243071318E0,1.217468166E1
1.336026740E-1,1.275972724E0,-1.146162033E0,1.131745243E1
1.358397340E-1,1.646261930E0,-2.907279432E-1,1.030887794E1
1.380767950E-1,1.265803218E0,-1.902294010E-1,9.499505997E0
1.403128790E-1,5.162515044E-1,-5.832505226E-1,9.068798065E0
1.425492680E-1,1.674975902E-1,-1.085743308E0,9.242876053E0
1.447860240E-1,-1.316052489E-2,-1.574477315E0,9.971489906E0
1.470228400E-1,-1.716850251E-1,-1.663609982E0,1.109073257E1
1.492605110E-1,-5.491527915E-1,-1.399801254E0,1.206939697E1
1.514962280E-1,-1.207179070E0,-9.661021233E-1,1.242473125E1
1.537331060E-1,-1.545165181E0,-3.804588020E-1,1.203948689E1
1.559701670E-1,-1.304686546E0,1.423729509E-1,1.107757282E1
1.582033200E-1,-6.113662124E-1,3.104687333E-1,9.705288887E0
1.604315920E-1,5.024927482E-2,2.877369225E-1,8.414361000E0
1.626803110E-1,2.309073806E-1,8.793623000E-2,7.615158081E0
1.649162110E-1,-1.082752272E-1,-2.889333367E-1,7.421937466E0
1.671568120E-1,-6.388836503E-1,-5.748756528E-1,7.899305820E0
1.693890510E-1,-8.338986635E-1,-9.260223508E-1,8.947361946E0
1.716264160E-1,-6.197410822E-1,-1.021137118E0,1.017488003E1
1.738634160E-1,-2.991028428E-1,-5.425725579E-1,1.105902767E1
1.760995000E-1,-1.423729509E-1,-3.535395563E-1,1.101236820E1
1.783358890E-1,-2.811566554E-2,-8.105686903E-1,1.025145054E1
1.805727670E-1,4.319044948E-1,-1.244267821E0,9.431310654E0
1.828099490E-1,1.275972724E0,-1.436291814E0,8.962317467E0
1.850470710E-1,1.581655741E0,-1.484148264E0,8.989236832E0
1.872825440E-1,8.165507317E-1,-1.517049551E0,9.363713264E0
1.895194220E-1,-1.794616925E-3,-1.540977836E0,9.852447510E0
1.917570320E-1,-3.074777126E-1,-1.490728498E0,1.037886810E1
1.939928110E-1,-3.026920557E-1,-9.332008362E-1,1.079761219E1
1.962292000E-1,-4.127618968E-1,-2.667997181E-1,1.079043388E1
1.984656500E-1,-7.262216806E-1,-4.313062727E-1,1.017248726E1
2.006997800E-1,-9.864411354E-1,-9.212366939E-1,9.455837250E0
2.029284180E-1,-1.093519926E0,-1.266999602E0,9.026325226E0
2.051759770E-1,-1.086939692E0,-1.099501967E0,9.092725754E0
2.074130980E-1,-1.159322619E0,-9.810572863E-1,9.435498238E0
2.096533330E-1,-1.403390527E0,-1.074377418E0,9.781260490E0
2.118861210E-1,-1.727617979E0,-5.629115105E-1,9.906285286E0
2.141224490E-1,-1.714457393E0,1.363908947E-1,9.552147865E0
2.163589610E-1,-9.888339639E-1,1.298106313E-1,8.657830238E0
2.185960820E-1,1.609173268E-1,2.572284266E-2,7.838887215E0
2.208336920E-1,7.447660565E-1,1.758724600E-1,7.615158081E0
2.230692270E-1,5.018945336E-1,-1.142572835E-1,8.070990562E0
2.253061040E-1,2.213360928E-2,-1.236491084E0,9.160323143E0
2.275433480E-1,4.139583111E-1,-2.224726915E0,1.055832958E1
2.297791870E-1,1.626521230E0,-2.507678032E0,1.179541969E1
2.320158820E-1,2.042274237E0,-2.578864574E0,1.237627697E1
2.342525760E-1,1.344766378E0,-2.500499725E0,1.224586773E1
2.364895140E-1,6.622136831E-1,-1.759921074E0,1.149452209E1
2.387272470E-1,5.132604837E-1,-6.430711150E-1,1.052303600E1
2.409624760E-1,4.145565331E-1,7.776673418E-3,9.696315765E0
2.431994140E-1,4.749752879E-1,-1.471585929E-1,9.000602722E0
2.454365970E-1,8.350951076E-1,-2.183450609E-1,8.761320114E0
2.476695070E-1,6.311069727E-1,-1.890329868E-1,9.217152596E0
2.498971680E-1,-5.545366406E-1,-8.877372146E-1,1.004626560E1
2.521456430E-1,-1.718644857E0,-1.395613790E0,1.094716358E1
2.543827640E-1,-1.880758643E0,-1.258026481E0,1.166560841E1
2.566228160E-1,-1.601396561E0,-1.204786181E0,1.159681511E1
2.588539560E-1,-1.283749342E0,-9.469595551E-1,1.067378330E1
2.610929690E-1,-1.098305583E0,-3.457628787E-1,9.501898766E0
2.633299690E-1,-1.222134113E0,-2.386840582E-1,8.422736168E0
2.655662970E-1,-1.153938770E0,-5.796613097E-1,7.637291908E0
2.678023200E-1,-5.575276613E-1,-8.985049129E-1,7.371089935E0
2.700387090E-1,2.392822653E-1,-1.342373490E0,7.593622684E0
2.722760750E-1,6.807580590E-1,-1.586441398E0,8.266005516E0
2.745135620E-1,5.120640397E-1,-1.708475351E0,9.346963882E0
2.767459840E-1,2.033899277E-1,-2.221137524E0,1.047996521E1
2.789740730E-1,4.683950245E-1,-1.858026743E0,1.161176968E1
2.812232790E-1,5.647061467E-1,-7.292127013E-1,1.235474110E1
2.834561890E-1,3.266202807E-1,-4.899304509E-1,1.203290653E1
2.856867190E-1,4.630111754E-1,-6.436693072E-1,1.083709335E1
2.879320200E-1,8.841479421E-1,-7.393822074E-1,9.515657425E0
2.901693850E-1,1.141376376E0,-6.340979934E-1,8.654839516E0
2.924098640E-1,1.174277663E0,-4.755735099E-1,8.473583221E0
2.946423470E-1,5.653043389E-1,-5.551348329E-1,8.973683357E0
2.968795900E-1,-4.229314029E-1,-8.506484628E-1,9.851848602E0
2.991165900E-1,-1.039083242E0,-5.300102234E-1,1.079940701E1
3.013525520E-1,-1.180858016E0,-4.677968323E-1,1.123669529E1
3.035892460E-1,-8.638089895E-1,-9.068797827E-1,1.097827053E1
3.058256350E-1,-2.350948304E-1,-1.133001566E0,1.038365364E1
3.080635500E-1,-1.076770201E-2,-1.176670551E0,9.808777809E0
3.103026250E-1,-3.463610709E-1,-1.121635556E0,9.300303459E0
3.125357790E-1,-6.299105883E-1,-1.502094388E0,8.759525299E0
