"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.399378600E-2,-1.832595654E-2,-8.491026610E-2,3.512475174E-3
2.622828400E-2,2.504547499E-2,-2.532036304E-1,1.985311974E-3
2.846632100E-2,4.535674304E-2,-4.040873647E-1,6.414085161E-3
3.070631100E-2,2.748893574E-2,-4.958698750E-1,9.468411095E-3
3.294221200E-2,-1.374446787E-2,-5.218316317E-1,1.145372353E-2
3.517841900E-2,-6.963863969E-2,-4.891503453E-1,1.114829071E-2
3.741444200E-2,-1.058324054E-1,-3.901901841E-1,5.192354787E-3
3.965174600E-2,-1.067487001E-1,-2.579378486E-1,8.093964309E-3
4.188862300E-2,-6.811147183E-2,-1.093448773E-1,9.010262787E-3
4.412544000E-2,-7.024950348E-3,4.596760869E-2,5.345070735E-3
4.636176800E-2,5.253441259E-2,1.928807050E-1,8.857546374E-3
4.859937800E-2,7.971791178E-2,3.161227703E-1,8.399397135E-3
5.083521700E-2,8.567385375E-2,4.251621962E-1,3.054326226E-4
5.307496300E-2,6.154467165E-2,5.119050741E-1,-3.207042580E-3
5.530836200E-2,2.794708498E-2,5.513058901E-1,-3.359758761E-3
5.754597200E-2,1.404990070E-2,5.334380865E-1,-5.955935922E-3
5.978278800E-2,1.237002108E-2,4.497495294E-1,-7.635815535E-3
6.201911600E-2,1.985311974E-3,3.066543639E-1,-1.069014147E-2
6.425471200E-2,-5.039638374E-3,1.382082552E-1,-7.788531948E-3
6.649238300E-2,-1.114829071E-2,-3.894266114E-2,-3.665191587E-3
6.872920000E-2,-1.450804994E-2,-2.038762718E-1,4.276056774E-3
7.096821400E-2,-1.985312067E-2,-3.396410644E-1,9.773843922E-3
7.321571100E-2,-3.772092983E-2,-4.327980280E-1,1.160643995E-2
7.545252800E-2,-7.712173462E-2,-4.914411008E-1,1.114829071E-2
7.769019800E-2,-1.140790880E-1,-4.967861474E-1,9.468411095E-3
7.992298600E-2,-1.269072592E-1,-4.576907754E-1,3.512475174E-3
8.215986400E-2,-1.021672115E-1,-3.950771093E-1,5.192354787E-3
8.439423900E-2,-4.871650413E-2,-3.100140989E-1,9.621127509E-3
8.661848200E-2,8.552113548E-3,-2.151772827E-1,3.207042580E-3
8.885462700E-2,5.360342562E-2,-1.201877370E-1,3.054326226E-4
9.109412900E-2,7.574728876E-2,-4.123340361E-3,-2.748893574E-3
9.334608200E-2,7.101308554E-2,1.269072592E-1,-1.069014193E-3
9.558375300E-2,3.909537569E-2,2.587014437E-1,5.345070735E-3
9.781934900E-2,-2.901609987E-3,3.759875596E-1,1.038470957E-2
1.000533570E-1,-3.924809024E-2,4.641048610E-1,1.160643995E-2
1.022901740E-1,-5.574145541E-2,5.007568002E-1,3.054326167E-3
1.045262580E-1,-3.741549700E-2,4.859432876E-1,-4.123340361E-3
1.067628910E-1,1.435533352E-2,4.302018583E-1,-5.192354787E-3
1.089997080E-1,7.299839705E-2,3.454442918E-1,-7.483099122E-3
1.112365240E-1,1.078177169E-1,2.428189367E-1,-7.635815535E-3
1.134713260E-1,1.105666086E-1,1.359175146E-1,-5.650503561E-3
1.156956910E-1,8.491026610E-2,2.840523422E-2,1.069014193E-3
1.179319580E-1,4.092797264E-2,-8.002334833E-2,3.054326226E-4
1.201688360E-1,-6.566801574E-3,-1.724167168E-1,-4.123340361E-3
1.224086430E-1,-5.757404864E-2,-2.600758672E-1,-7.330383174E-3
1.246473520E-1,-9.468411654E-2,-3.284927905E-1,4.276056774E-3
1.268957640E-1,-1.021672115E-1,-3.889684379E-1,1.374446787E-2
1.291325200E-1,-7.360926270E-2,-4.381431043E-1,1.496619824E-2
1.313702520E-1,-3.451388702E-2,-4.546364546E-1,1.038470957E-2
1.336026740E-1,-7.635815418E-4,-4.323398769E-1,1.069014147E-2
1.358397340E-1,1.649336144E-2,-3.683517575E-1,9.926560335E-3
1.380767950E-1,1.343903504E-2,-2.796235681E-1,2.901609987E-3
1.403128790E-1,-2.443460980E-3,-1.531744599E-1,-2.748893574E-3
1.425492680E-1,-2.290744707E-2,-7.177666761E-3,3.665191587E-3
1.447860240E-1,-3.115412779E-2,1.337794960E-1,7.941247895E-3
1.470228400E-1,-2.229658142E-2,2.623666227E-1,3.665191587E-3
1.492605110E-1,1.084285788E-2,3.793473244E-1,-5.497787148E-3
1.514962280E-1,4.841107130E-2,4.648684561E-1,-1.328631863E-2
1.537331060E-1,7.651086897E-2,5.152648091E-1,-1.038470957E-2
1.559701670E-1,8.979719132E-2,5.064072609E-1,-6.108652451E-4
1.582033200E-1,8.216137439E-2,4.398229718E-1,8.857546374E-3
1.604315920E-1,6.490442902E-2,3.188716471E-1,8.246680722E-3
1.626803110E-1,3.619376570E-2,1.774563491E-1,1.374446787E-3
1.649162110E-1,1.374446787E-3,3.497203439E-2,-4.428773187E-3
1.671568120E-1,-3.802636266E-2,-9.178250283E-2,-6.566801574E-3
1.693890510E-1,-7.345654815E-2,-1.966986060E-1,-2.290744567E-3
1.716264160E-1,-8.384125680E-2,-2.826778889E-1,9.162978968E-4
1.738634160E-1,-6.933320314E-2,-3.556762934E-1,-4.581489484E-4
1.760995000E-1,-3.817907721E-2,-3.987422884E-1,-2.901609987E-3
1.783358890E-1,-1.130100712E-2,-4.053090811E-1,9.162978968E-4
1.805727670E-1,-7.177666761E-3,-3.799581826E-1,1.221730467E-2
1.828099490E-1,-2.351831272E-2,-3.384193480E-1,1.954768784E-2
1.850470710E-1,-4.108068720E-2,-2.907718420E-1,1.221730467E-2
1.872825440E-1,-4.932736978E-2,-2.177734673E-1,1.527163113E-4
1.895194220E-1,-3.985895589E-2,-1.148426682E-1,-2.901609987E-3
1.917570320E-1,-1.893682219E-2,3.817907767E-3,2.596177394E-3
1.939928110E-1,7.024950348E-3,1.342376322E-1,2.138028387E-3
1.962292000E-1,2.916881628E-2,2.503020465E-1,-4.581489135E-3
1.984656500E-1,4.337143153E-2,3.436116874E-1,-6.566801574E-3
2.006997800E-1,4.459316283E-2,4.042400718E-1,-5.039638374E-3
2.029284180E-1,3.283400834E-2,4.311181605E-1,-3.817907767E-3
2.051759770E-1,2.015855350E-2,4.155410826E-1,-7.635815535E-3
2.074130980E-1,1.191187184E-2,3.672827184E-1,-1.160643995E-2
2.096533330E-1,2.901609987E-3,2.909245789E-1,-1.328631863E-2
2.118861210E-1,2.138028387E-3,1.902845204E-1,-1.725694351E-2
2.141224490E-1,8.552113548E-3,8.216137439E-2,-6.719517522E-3
2.163589610E-1,2.321287990E-2,-3.711006418E-2,7.635815535E-3
2.185960820E-1,2.199114859E-2,-1.548543423E-1,1.206458826E-2
2.208336920E-1,-9.162978968E-4,-2.635883391E-1,-3.207042580E-3
2.230692270E-1,-5.436700583E-2,-3.523165286E-1,-1.756237634E-2
2.253061040E-1,-1.159116775E-1,-4.094324410E-1,-1.343903504E-2
2.275433480E-1,-1.473712474E-1,-4.390594065E-1,7.024950348E-3
2.297791870E-1,-1.269072592E-1,-4.540255964E-1,1.695151068E-2
2.320158820E-1,-7.757988572E-2,-4.550946057E-1,1.252273750E-2
2.342525760E-1,-2.367102914E-2,-4.088215530E-1,9.162978968E-4
2.364895140E-1,8.093964309E-3,-3.025310040E-1,-4.581489135E-3
2.387272470E-1,2.565634064E-2,-1.609629989E-1,-2.596177394E-3
2.409624760E-1,3.115412779E-2,-1.298088674E-2,4.123340361E-3
2.431994140E-1,2.535090782E-2,1.253800988E-1,1.084285788E-2
2.454365970E-1,1.252273750E-2,2.289217561E-1,1.847867295E-2
2.476695070E-1,1.985311974E-3,3.127630055E-1,7.635815535E-3
2.498971680E-1,-1.084285788E-2,3.979786932E-1,-9.162978269E-3
2.521456430E-1,-2.046398632E-2,4.721988440E-1,-1.267545391E-2
2.543827640E-1,-8.704829961E-3,5.083925724E-1,-3.817907767E-3
2.566228160E-1,2.535090782E-2,4.906775057E-1,-2.443460980E-3
2.588539560E-1,5.849034712E-2,4.208861589E-1,-8.552113548E-3
2.610929690E-1,6.856962293E-2,3.103195429E-1,-1.374446787E-2
2.633299690E-1,5.390885845E-2,1.892155111E-1,-1.802052557E-2
2.655662970E-1,1.557706390E-2,6.368270516E-2,-1.282817032E-2
2.678023200E-1,-2.901609987E-2,-6.765332818E-2,3.359758761E-3
2.700387090E-1,-6.032294407E-2,-2.066251636E-1,1.359175146E-2
2.722760750E-1,-7.773260027E-2,-3.410155177E-1,1.175915636E-2
2.745135620E-1,-9.330966324E-2,-4.450153410E-1,6.261368748E-3
2.767459840E-1,-1.044579595E-1,-5.030475259E-1,5.955935922E-3
2.789740730E-1,-9.560041130E-2,-4.995350540E-1,1.069014193E-3
2.812232790E-1,-7.742717117E-2,-4.502076805E-1,-8.399397135E-3
2.834561890E-1,-4.703662544E-2,-3.549126983E-1,-1.618792862E-2
2.856867190E-1,-1.893682219E-2,-2.402227521E-1,-1.191187184E-2
2.879320200E-1,-4.428773187E-3,-1.311833113E-1,-3.970623948E-3
2.901693850E-1,-4.886921961E-3,-3.420845419E-2,1.527163113E-4
2.924098640E-1,-1.053742506E-2,5.207626149E-2,-7.635815418E-4
2.946423470E-1,-2.962696366E-2,1.447750628E-1,-3.054326167E-3
2.968795900E-1,-4.352414981E-2,2.457205504E-1,-5.192354787E-3
2.991165900E-1,-4.291328415E-2,3.428481221E-1,0.000000000E0
3.013525520E-1,-1.802052557E-2,4.175263941E-1,6.719517522E-3
3.035892460E-1,1.099557430E-2,4.509712756E-1,2.138028387E-3
3.058256350E-1,2.916881628E-2,4.300491214E-1,-8.704829961E-3
3.080635500E-1,2.153299935E-2,3.524692357E-1,-1.649336144E-2
3.103026250E-1,-3.970623948E-3,2.449569702E-1,-2.565634064E-2
3.125357790E-1,-2.611448988E-2,1.276708394E-1,-2.397646010E-2
3.147725350E-1,-3.375030309E-2,2.748893574E-3,-8.552113548E-3
3.170090450E-1,-3.481931984E-2,-1.099557430E-1,-4.581489484E-4
3.192457400E-1,-4.046982154E-2,-2.105957866E-1,-9.162978968E-4
3.214823730E-1,-5.161811411E-2,-2.735149264E-1,-2.443460980E-3
3.237189460E-1,-6.429356337E-2,-2.927571833E-1,-3.970623948E-3
3.259514900E-1,-7.483099401E-2,-2.645046413E-1,-1.527163113E-4
3.281754890E-1,-7.757988572E-2,-2.099849284E-1,1.099557430E-2
3.304290900E-1,-6.429356337E-2,-1.603521258E-1,1.863138936E-2
3.326659060E-1,-3.420845419E-2,-1.391245574E-1,1.038470957E-2
3.349074830E-1,-3.359758761E-3,-1.372919679E-1,-8.857546374E-3
3.371389900E-1,8.093964309E-3,-1.253800988E-1,-1.481348183E-2
3.393754400E-1,5.192354787E-3,-8.292495459E-2,-8.552113548E-3
3.416121950E-1,-1.221730490E-3,-2.687807009E-2,3.817907767E-3
3.438490730E-1,-2.443460980E-3,3.375030309E-2,6.566801574E-3
3.460868660E-1,-7.330383174E-3,9.697485715E-2,6.719517522E-3
3.483221560E-1,-9.773843922E-3,1.528690308E-1,4.428773187E-3
3.505592780E-1,-1.725694351E-2,2.038762718E-1,-1.007927675E-2
3.527962160E-1,-2.122756653E-2,2.550362349E-1,-1.114829071E-2
3.550321780E-1,-9.621127509E-3,2.838996351E-1,-1.069014193E-3
3.572689340E-1,1.267545391E-2,2.871066630E-1,2.748893574E-3
3.595052620E-1,4.031710699E-2,2.550362349E-1,1.679879380E-3
3.617423830E-1,5.635231733E-2,1.939497143E-1,3.054326226E-4
3.639798710E-1,6.215553731E-2,1.162171140E-1,-1.221730490E-3
3.662155280E-1,4.810563847E-2,2.916881628E-2,-4.581489484E-4
3.684526490E-1,1.802052557E-2,-5.283984542E-2,-5.955935922E-3
3.706898320E-1,-2.764165215E-2,-1.247692257E-1,-1.023199316E-2
3.729255500E-1,-6.337726861E-2,-1.823432744E-1,-8.399397135E-3
3.751625490E-1,-8.155050874E-2,-2.292271852E-1,3.512475174E-3
3.773988170E-1,-6.505715102E-2,-2.635883391E-1,4.734205548E-3
3.796359380E-1,-3.695734590E-2,-2.738203406E-1,1.221730490E-3
3.818731210E-1,-1.053742506E-2,-2.464841306E-1,-1.985311974E-3
3.841087770E-1,4.581489484E-4,-1.956295967E-1,-2.901609987E-3
3.863458380E-1,5.650503561E-3,-1.156062484E-1,2.290744567E-3
3.885829600E-1,8.552113548E-3,-3.558290005E-2,6.261368748E-3
3.908189820E-1,1.252273750E-2,3.833179548E-2,5.497787148E-3
3.930553110E-1,1.404990070E-2,1.134682223E-1,3.359758761E-3
3.952918830E-1,-9.162978968E-4,1.684460938E-1,-3.054326226E-4
3.975289430E-1,-7.177666761E-3,2.171625942E-1,-7.483099122E-3
3.997664920E-1,1.985311974E-3,2.435825169E-1,-1.710422710E-2
4.020019050E-1,1.695151068E-2,2.493857294E-1,-1.695151068E-2
4.042392090E-1,3.237585723E-2,2.235766798E-1,-4.734205548E-3
4.064762090E-1,4.444044828E-2,1.579086632E-1,7.483099122E-3
4.087121710E-1,5.635231733E-2,7.391469181E-2,2.290744567E-3
4.109489260E-1,4.856378585E-2,-3.665191587E-3,-5.497787148E-3
4.131854380E-1,2.046398632E-2,-6.017022580E-2,-7.177666761E-3
4.154223150E-1,-1.130100712E-2,-1.020144969E-1,-1.527163084E-3
4.176597420E-1,-3.283400834E-2,-1.295034289E-1,5.650503561E-3
4.198951540E-1,-2.977968007E-2,-1.586722434E-1,9.162978269E-3
4.221325200E-1,-1.420261711E-2,-1.844813079E-1,7.941247895E-3
4.243695810E-1,1.679879380E-3,-1.944078654E-1,1.985311974E-3
4.266035280E-1,4.581489135E-3,-1.727221459E-1,-1.679879380E-3
4.288333870E-1,-1.679879380E-3,-1.178969890E-1,-6.261368748E-3
4.310785040E-1,-5.039638374E-3,-4.016438872E-2,-8.552113548E-3
4.333155640E-1,-7.177666761E-3,3.741549700E-2,-9.162978968E-4
4.355552490E-1,3.054326226E-4,1.076650023E-1,3.207042580E-3
4.377884650E-1,1.252273750E-2,1.560760736E-1,-1.374446787E-3
4.400255860E-1,3.023782931E-2,1.847867370E-1,1.221730490E-3
4.422628300E-1,4.367686436E-2,1.785253733E-1,5.039638374E-3
4.444987310E-1,6.001751125E-2,1.380555481E-1,9.926560335E-3
4.467323730E-1,6.490442902E-2,7.376197726E-2,7.177666761E-3
4.489600960E-1,4.886921868E-2,9.621127509E-3,1.985311974E-3
4.512043580E-1,1.603521220E-2,-3.207042441E-2,3.970623948E-3
4.534281740E-1,-1.267545391E-2,-4.734205827E-2,-1.221730490E-3
4.556849500E-1,-3.084869497E-2,-3.848451003E-2,-1.114829071E-2
4.579188360E-1,-3.023782931E-2,-1.298088674E-2,-1.588249579E-2
4.601604740E-1,-5.039638374E-3,1.802052557E-2,-9.468411095E-3
4.623919800E-1,2.596177347E-2,3.436116874E-2,-1.832595794E-3
4.646286140E-1,5.070181563E-2,3.634648025E-2,-1.527163084E-3
4.668651860E-1,5.910121277E-2,2.641992271E-2,-2.748893574E-3
4.691023070E-1,4.856378585E-2,-6.108652335E-3,3.054326167E-3
4.713399780E-1,2.657263726E-2,-5.177082866E-2,8.857546374E-3
4.735750860E-1,4.886921961E-3,-9.498954564E-2,7.330383174E-3
4.758122070E-1,-1.328631863E-2,-1.346957833E-1,8.246680722E-3
4.780493900E-1,-2.489275858E-2,-1.647808999E-1,1.038470957E-2
4.802853520E-1,-1.649336144E-2,-1.771509200E-1,6.719517522E-3
4.825219240E-1,5.955935922E-3,-1.617265791E-1,-2.748893574E-3
4.847584360E-1,4.046982154E-2,-1.065959856E-1,-9.621127509E-3
4.869954960E-1,6.200282276E-2,-1.481348183E-2,-6.566801574E-3
4.892328620E-1,6.261368841E-2,8.338310570E-2,3.512475174E-3
4.914647350E-1,4.581489414E-2,1.663080603E-1,5.039638374E-3
4.936898320E-1,1.756237634E-2,2.275473028E-1,-1.069014193E-3
4.959425790E-1,-1.481348183E-2,2.681698501E-1,-1.099557430E-2
4.981786630E-1,-2.794708498E-2,2.890919745E-1,-9.773843922E-3
5.004193850E-1,-9.468411095E-3,2.900082767E-1,-5.955935922E-3
5.026517460E-1,3.665191308E-2,2.562579811E-1,4.123340361E-3
5.048886230E-1,7.712173462E-2,1.887573600E-1,1.023199316E-2
5.071262940E-1,1.001819000E-1,1.117883399E-1,6.414085161E-3
5.093617070E-1,9.071348608E-2,1.252273750E-2,-1.527163113E-4
5.115988280E-1,7.162395120E-2,-8.781187981E-2,-5.650503561E-3
5.138358280E-1,4.260785133E-2,-1.818851233E-1,-6.261368748E-3
5.160719730E-1,7.330383174E-3,-2.771801054E-1,1.679879380E-3
5.183085450E-1,-4.932736978E-2,-3.426954150E-1,-3.054326226E-4
5.205421880E-1,-9.529497474E-2,-3.613267839E-1,-1.985311974E-3
5.227704590E-1,-1.049161032E-1,-3.452915847E-1,1.145372353E-2
5.250196660E-1,-7.345654815E-2,-3.058907688E-1,2.046398632E-2
5.272550180E-1,-1.175915636E-2,-2.428189367E-1,1.145372353E-2
5.294950690E-1,3.940080851E-2,-1.563815027E-1,1.221730490E-3
5.317293830E-1,5.497787148E-2,-4.993823543E-2,6.108652451E-4
5.339647960E-1,4.993823543E-2,6.429356337E-2,3.359758761E-3
5.361999030E-1,3.787364438E-2,1.421788931E-1,1.099557430E-2
5.384383060E-1,3.039054573E-2,1.957823038E-1,6.261368748E-3
5.406752440E-1,1.511891466E-2,2.263255715E-1,-2.290744567E-3
5.429134650E-1,9.162978968E-4,2.533563673E-1,-4.886921961E-3
5.451483280E-1,-1.206458826E-2,2.779437006E-1,-4.886921961E-3
5.473854500E-1,-3.207042580E-3,2.959642112E-1,1.527163113E-4
5.496224490E-1,2.871066704E-2,2.929098904E-1,4.581489484E-4
5.518585330E-1,6.276640296E-2,2.654209435E-1,-1.832595794E-3
5.540949220E-1,7.757988572E-2,2.118175179E-1,-5.497787148E-3
5.563316780E-1,6.872233748E-2,1.342376322E-1,-4.734205548E-3
5.585684940E-1,3.970624134E-2,4.382958263E-2,-4.581489484E-4
5.608061040E-1,7.635815418E-4,-5.604688451E-2,1.221730490E-3
5.630386480E-1,-4.169155285E-2,-1.450804919E-1,1.832595794E-3
5.652670410E-1,-6.902777404E-2,-2.160935849E-1,1.221730490E-3
5.675167360E-1,-7.101308554E-2,-2.585487068E-1,2.290744567E-3
5.697516000E-1,-5.787948146E-2,-2.770273983E-1,4.734205548E-3
5.719911630E-1,-2.733621933E-2,-2.837468982E-1,2.596177394E-3
5.742245000E-1,8.399397135E-3,-2.819143236E-1,5.345070735E-3
5.764618660E-1,2.580905706E-2,-2.725986242E-1,4.276056774E-3
5.786994140E-1,1.527163107E-2,-2.530509233E-1,1.832595794E-3
5.809350100E-1,-7.330383174E-3,-2.148718536E-1,-6.108652451E-4
5.831692020E-1,-3.313944116E-2,-1.476766765E-1,-3.054326167E-3
5.853946660E-1,-4.138612002E-2,-7.101308554E-2,-3.054326226E-4
5.876333130E-1,-2.855795063E-2,1.847867295E-2,8.704829961E-3
5.898820320E-1,-2.138028387E-3,1.090394482E-1,9.315694682E-3
5.921211670E-1,3.512475267E-2,1.823432744E-1,5.039638374E-3
5.943581670E-1,6.337726861E-2,2.364048511E-1,-3.054326167E-3
5.965898560E-1,6.811147183E-2,2.848159075E-1,-1.267545391E-2
5.988162970E-1,4.169155285E-2,3.242167234E-1,-7.788531948E-3
6.010654420E-1,3.970623948E-3,3.419318199E-1,4.581489484E-4
6.033025640E-1,-2.229658142E-2,3.242167234E-1,2.596177394E-3
6.055412120E-1,-1.985312067E-2,2.658790946E-1,1.221730490E-3
6.077747930E-1,9.162978269E-3,1.766927689E-1,-3.817907767E-3
6.100113040E-1,4.566217586E-2,9.101892263E-2,-7.483099122E-3
6.122485480E-1,7.483099401E-2,1.527163107E-2,-3.054326226E-4
6.144862800E-1,6.719517708E-2,-5.131268129E-2,1.404990070E-2
6.167185790E-1,3.497203439E-2,-1.223257631E-1,2.214386500E-2
6.189464850E-1,-7.483099122E-3,-2.101376504E-1,1.649336144E-2
6.211956310E-1,-5.803219974E-2,-2.892446816E-1,-7.483099122E-3
6.234315920E-1,-1.032362282E-1,-3.332269788E-1,-2.275473066E-2
