"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.537331060E-1,-6.137461066E-1,2.354001999E-2,1.672369957E0
1.716264160E-1,-4.759302735E-1,3.377999663E-1,-6.455135345E-1
1.895194220E-1,5.112033486E-1,-3.555929661E-1,-2.112512589E-1
2.074130980E-1,-8.171303272E-1,-3.923040628E-2,-2.389345169E-1
2.253061040E-1,-6.010692194E-2,5.113731623E-1,-1.130277634E0
2.431994140E-1,6.339325309E-1,1.324165463E-1,4.110832214E-1
2.610929690E-1,-1.003876090E0,1.429684162E-1,6.608533859E-1
2.789740730E-1,1.773226410E-1,-6.521399617E-1,8.713626862E-2
2.968795900E-1,4.213265181E-1,2.452441454E-1,-2.309885025E-1
3.147725350E-1,-3.637700379E-1,-2.524311543E-1,-4.630260468E-1
3.326659060E-1,1.466383599E-2,-6.969631910E-1,4.882793427E-1
3.505592780E-1,1.206449568E-1,-2.879114151E-1,-2.851772308E-1
3.684526490E-1,-2.410110533E-1,1.449148655E-1,-1.020808220E0
3.863458380E-1,6.345800310E-2,-4.544342160E-1,4.424009323E-1
4.042392090E-1,-4.686035514E-1,-5.816277862E-1,1.168395996E0
4.221325200E-1,2.445970476E-1,3.254629374E-1,-4.013347626E-2
4.400255860E-1,-4.163255990E-1,-6.611149311E-1,9.583406448E-1
4.579188360E-1,-3.717614412E-1,-2.805281878E-1,1.383724213E-1
4.758122070E-1,6.173815727E-1,-7.856155634E-1,-5.788154602E-1
4.936898320E-1,-1.699954420E-1,9.167301655E-2,-6.140041351E-1
5.115988280E-1,-5.159862638E-1,-1.608607173E-1,-6.738281250E-2
5.294950690E-1,3.580687344E-1,-3.923845291E-1,1.442733765E0
5.473854500E-1,-4.956930876E-1,-4.779288769E-1,4.961719513E-1
5.652670410E-1,-4.001685381E-1,-3.772541285E-1,-1.362126350E0
5.831692020E-1,6.876156926E-1,-6.729481220E-1,-8.898448944E-2
6.010654420E-1,-3.837251365E-1,-2.052232027E-1,-7.900714874E-2
6.189464850E-1,2.410452813E-1,5.155578852E-1,-1.587025642E0
6.368519410E-1,2.981897891E-1,-3.130902648E-1,8.769989014E-1
6.547450080E-1,-3.494146764E-1,-5.920208097E-1,5.777664185E-1
6.726384400E-1,-1.317757964E0,-1.089903474E0,-1.807403564E-1
6.905317510E-1,9.598067999E-1,-1.174412966E-1,-5.054788589E-1
7.084250610E-1,-8.657470345E-1,-7.470029593E-1,3.782033920E-1
7.263183110E-1,-7.425464392E-1,-7.684552670E-2,-1.076025963E0
7.442114380E-1,3.835563958E-1,2.713972330E-1,-6.806802750E-1
7.621049320E-1,-3.096273839E-1,-6.620333791E-1,-5.642375946E-1
7.799979980E-1,-3.220322132E-1,-3.585349917E-1,-6.375494003E-1
7.978915530E-1,2.637577355E-1,-7.265622020E-1,5.913772583E-1
8.157846190E-1,1.801748276E-1,-8.866910934E-1,-2.692804337E-1
8.336786620E-1,2.029221877E-2,-4.564595222E-2,-1.537345886E0
8.515711800E-1,-4.008634016E-2,-1.732981205E-2,-1.142247200E0
8.694655890E-1,2.199037224E-1,-9.659564495E-2,-1.342284203E0
8.873578620E-1,-6.102383137E-1,-8.807240725E-1,5.774021149E-1
9.052509280E-1,-3.309695125E-1,-3.247289658E-1,-1.624994278E-1
9.231444220E-1,-2.696695626E-1,-9.060126543E-1,-1.948699951E-1
9.410348020E-1,-3.675266802E-1,-1.552910805E-1,-5.917644501E-1
9.589190800E-1,3.237936497E-1,-5.421130657E-1,-6.534061432E-1
9.768241700E-1,-5.638777018E-1,-1.000269055E0,5.593566895E-1
9.947177250E-1,-2.627935410E-1,-3.323057890E-1,-4.726896286E-1
1.012599256E0,5.028978586E-1,-1.196749568E0,3.879632950E-1
1.030497144E0,-3.589134216E-1,-5.047312975E-1,-8.780860901E-2
1.048397596E0,-3.658786118E-1,1.705933809E-1,-1.805187225E0
1.066288038E0,3.931033909E-1,-1.213702559E0,7.389011383E-1
1.084169324E0,-8.782606721E-1,-6.625437737E-2,1.679897308E-1
1.102077405E0,-1.757777333E-1,-1.313535094E0,5.819978714E-1
1.119958692E0,1.109496132E-1,-3.814985752E-1,1.331639290E0
1.137852124E0,-2.182284892E-1,-3.756170273E-1,-6.430740356E-1
1.155745923E0,3.409518003E-1,-6.841135025E-2,-9.347057343E-2
1.173650464E0,-3.809810430E-2,-2.302613258E-1,2.078723907E-2
1.191543592E0,-1.221508980E0,-9.964644909E-1,7.480792999E-1
1.209436963E0,-2.760798931E-1,-4.111031294E-1,2.298164368E-2
1.227330579E0,-3.705770969E-1,-8.050020933E-1,-2.252483368E-1
1.245223767E0,4.507256299E-2,-2.106451988E-2,-1.640055656E0
1.263116895E0,2.243785262E-1,-4.108464718E-1,-7.163162231E-1
1.281010205E0,-4.788876176E-1,-9.193190336E-1,8.397579193E-2
1.298891553E0,-9.623639286E-3,-3.340809345E-1,-2.823734283E-1
