"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.102978943E1,3.483791242E1,1.363579574E2,2.222352920E2,1.743528366E1,7.835393524E1,1.721324463E2,4.635663452E2
1.204814531E1,3.483790011E1,1.363579397E2,1.792626858E2,1.783309937E1,7.525630188E1,4.869469452E1,6.823106384E1
1.403661915E1,3.483802529E1,1.363583280E2,1.744106397E2,1.950124359E1,7.178614044E1,2.944329453E1,4.740956879E1
1.505753248E1,3.483810104E1,1.363585380E2,1.728556824E2,2.079249382E1,6.912177277E1,2.574065399E1,4.112290192E1
1.603001059E1,3.483819095E1,1.363587657E2,1.719054528E2,2.243698502E1,6.596445465E1,2.330407715E1,3.642069244E1
1.703808900E1,3.483829839E1,1.363590023E2,1.729444677E2,2.291340828E1,6.085639191E1,2.175257874E1,3.355134964E1
1.807479180E1,3.483838886E1,1.363592771E2,1.802328991E2,2.301052094E1,5.696974945E1,1.465028954E1,2.466479301E1
1.903919597E1,3.483850249E1,1.363594637E2,1.776734690E2,2.330917740E1,5.139596176E1,1.203749657E1,2.150881195E1
2.003922297E1,3.483862724E1,1.363596506E2,1.770258560E2,2.321636009E1,4.654399490E1,1.035218048E1,1.711327362E1
2.103923597E1,3.483877110E1,1.363598295E2,1.750886517E2,2.288680267E1,4.173790741E1,1.655612183E1,1.562632084E1
2.203924597E1,3.483892451E1,1.363599877E2,1.739761911E2,2.255843735E1,3.866907501E1,1.234437561E1,1.476092815E1
2.303926397E1,3.483908296E1,1.363601337E2,1.730305936E2,2.193928528E1,3.538298416E1,8.841081619E0,1.397221470E1
2.403930297E1,3.483924346E1,1.363602653E2,1.712371445E2,2.161439133E1,3.142463112E1,1.251962852E1,1.328275490E1
2.503929497E1,3.483940806E1,1.363603803E2,1.695915345E2,2.145464325E1,2.835048103E1,1.915778923E1,1.311040020E1
2.603931097E1,3.483957603E1,1.363604850E2,1.684329408E2,2.133741760E1,2.582009888E1,1.915541267E1,1.297169590E1
2.703937997E1,3.483974370E1,1.363605802E2,1.676298315E2,2.126250839E1,2.438028145E1,8.273112297E0,1.280817890E1
2.803934197E1,3.483991565E1,1.363606728E2,1.665956849E2,2.095239639E1,2.376298714E1,1.444021797E1,1.219562912E1
2.903936297E1,3.484013759E1,1.363607712E2,1.689316935E2,2.092872238E1,2.382320023E1,6.594168663E0,1.118211937E1
3.003936997E1,3.484032760E1,1.363608758E2,1.710220714E2,2.066200447E1,2.468971825E1,5.558110714E0,9.840450287E0
3.103938597E1,3.484051554E1,1.363609857E2,1.732199723E2,2.019517136E1,2.676628876E1,4.868546486E0,8.978831291E0
3.203942497E1,3.484067600E1,1.363611056E2,1.749060607E2,1.992051125E1,3.154569626E1,4.130506039E0,7.461947441E0
3.303942197E1,3.484082683E1,1.363612396E2,1.742826684E2,2.000697899E1,3.786252975E1,4.333380699E0,7.003179073E0
3.403943097E1,3.484095927E1,1.363613914E2,1.732591924E2,2.014185715E1,4.427760696E1,4.359330177E0,6.644922256E0
3.503944997E1,3.484108968E1,1.363615444E2,1.725218148E2,2.028827095E1,4.721970749E1,4.977918625E0,6.677875996E0
3.603948597E1,3.484121380E1,1.363617144E2,1.716177733E2,2.023626328E1,5.017093277E1,5.524934769E0,6.700818539E0
3.703948897E1,3.484130747E1,1.363619185E2,1.706331817E2,2.043839073E1,6.015260696E1,4.854242802E0,6.429824352E0
3.803949197E1,3.484138202E1,1.363621311E2,1.700497811E2,2.026040459E1,6.586864471E1,4.334074974E0,6.249590397E0
3.903951097E1,3.484143476E1,1.363623406E2,1.690108538E2,2.009261513E1,7.275079346E1,4.859777927E0,6.108025551E0
4.003953397E1,3.484147116E1,1.363625584E2,1.684179898E2,1.997359467E1,7.831198120E1,4.583417416E0,5.782293320E0
4.103953697E1,3.484149163E1,1.363627746E2,1.669071027E2,1.950797653E1,8.415570068E1,4.752005577E0,5.492421627E0
4.203960097E1,3.484150169E1,1.363629874E2,1.654350926E2,1.929735947E1,8.643083954E1,4.360620499E0,5.307405949E0
4.303957497E1,3.484151568E1,1.363631981E2,1.646065526E2,1.878733253E1,8.775693512E1,4.559548378E0,5.473048210E0
4.403958997E1,3.484152168E1,1.363633980E2,1.638678094E2,1.822270775E1,8.801486969E1,4.492128372E0,5.119831085E0
4.503961597E1,3.484152887E1,1.363635861E2,1.636096869E2,1.770198059E1,8.800488281E1,4.492189407E0,4.844702244E0
4.603961997E1,3.484153610E1,1.363637739E2,1.638156606E2,1.718688011E1,8.778491211E1,4.501890182E0,4.594183922E0
4.703964397E1,3.484154347E1,1.363639636E2,1.638435044E2,1.672352409E1,8.780131531E1,4.859888554E0,4.761968613E0
4.803965797E1,3.484154829E1,1.363641450E2,1.638000800E2,1.643534660E1,8.871606445E1,5.432382107E0,4.870250225E0
4.903966597E1,3.484155064E1,1.363643308E2,1.642307889E2,1.602275276E1,8.880639648E1,5.590699673E0,5.006638050E0
5.003968497E1,3.484155175E1,1.363645068E2,1.649030190E2,1.587862682E1,8.863419342E1,5.695890427E0,5.110130787E0
5.103970997E1,3.484155086E1,1.363646799E2,1.659203304E2,1.586673546E1,8.987789917E1,5.798500538E0,5.212846756E0
5.203971197E1,3.484154460E1,1.363648513E2,1.669237645E2,1.569297123E1,9.166930389E1,5.630484104E0,5.298030853E0
5.303974297E1,3.484153612E1,1.363650152E2,1.684318417E2,1.575619698E1,9.286524200E1,5.613637447E0,5.432727337E0
5.403975597E1,3.484152625E1,1.363651898E2,1.695429927E2,1.616085815E1,9.205302429E1,5.584077835E0,5.521672249E0
