"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.652522000E-2,3.574599838E1,1.449359989E1,1.393239975E1
5.652204700E-2,3.583139801E1,1.459119987E1,1.412759972E1
6.652131400E-2,3.608760071E1,1.456680012E1,1.243179989E1
7.653278900E-2,3.751499939E1,1.535979939E1,1.368839931E1
8.652131400E-2,3.602659988E1,1.478639984E1,1.423740005E1
9.653278900E-2,3.694160080E1,1.477419949E1,1.337119961E1
1.065330330E-1,3.664879990E1,1.533539963E1,1.313939953E1
1.165210700E-1,3.763700104E1,1.534759998E1,1.318820000E1
1.265325450E-1,3.753939819E1,1.505480003E1,1.299300003E1
1.365210700E-1,3.795420074E1,1.533539963E1,1.249279976E1
1.465330330E-1,3.483099747E1,1.539639950E1,1.205359936E1
1.565210700E-1,3.579479980E1,1.588439941E1,1.248059940E1
1.665327890E-1,3.546540070E1,1.505480003E1,1.349319935E1
1.765208260E-1,3.586800003E1,1.551839924E1,1.320039940E1
1.865330330E-1,3.674639893E1,1.553059959E1,1.323699951E1
1.965152110E-1,3.598999786E1,1.598199940E1,1.239519978E1
2.065327890E-1,3.792979813E1,1.601860046E1,1.318820000E1
2.165208260E-1,3.741740036E1,1.564039993E1,1.377379990E1
2.265330330E-1,3.849100113E1,1.556719971E1,1.401779938E1
2.365208260E-1,3.601440048E1,1.517679977E1,1.482299995E1
2.465178960E-1,3.699039841E1,1.528660011E1,1.496939945E1
2.565327890E-1,3.581919861E1,1.527439976E1,1.481079960E1
2.665208260E-1,3.699039841E1,1.546959972E1,1.466440010E1
2.765332770E-1,3.695380020E1,1.529879951E1,1.577460003E1
2.865327890E-1,3.874720001E1,1.559159946E1,1.514019966E1
2.965330330E-1,3.744179916E1,1.521339989E1,1.599419975E1
3.065174080E-1,3.864960098E1,1.587220001E1,1.503039932E1
3.165327890E-1,3.745399857E1,1.577460003E1,1.567700005E1
3.265210700E-1,3.923519897E1,1.568919945E1,1.516459942E1
3.365330330E-1,3.802740097E1,1.550619984E1,1.601860046E1
3.465210700E-1,3.658779907E1,1.566479969E1,1.533539963E1
3.565330330E-1,3.708799744E1,1.566479969E1,1.495720005E1
3.665305920E-1,3.768579865E1,1.500599957E1,1.450579929E1
3.765327890E-1,3.789319992E1,1.546959972E1,1.410319996E1
3.865208260E-1,3.818600082E1,1.509140015E1,1.422519970E1
3.965332770E-1,3.847879791E1,1.490839958E1,1.434719944E1
4.065215580E-1,3.751499939E1,1.516459942E1,1.368839931E1
4.165330330E-1,3.838119888E1,1.471319962E1,1.423740005E1
4.265330330E-1,3.858860016E1,1.461559963E1,1.365180016E1
4.365330330E-1,3.742959976E1,1.421299934E1,1.321259975E1
4.465327890E-1,3.879599762E1,1.442039967E1,1.346879959E1
4.565327890E-1,3.662440109E1,1.422519970E1,1.396899986E1
4.665327890E-1,3.860079956E1,1.422519970E1,1.326139927E1
4.765208260E-1,3.740520096E1,1.366399956E1,1.402999973E1
4.865330330E-1,3.790539932E1,1.328579998E1,1.374940014E1
4.965213140E-1,3.712459946E1,1.393239975E1,1.370059967E1
5.065330330E-1,3.722219849E1,1.394460011E1,1.381040001E1
5.165213140E-1,3.790539932E1,1.432279968E1,1.382259941E1
5.265330330E-1,3.838119888E1,1.518900013E1,1.412759972E1
5.365159430E-1,3.879599762E1,1.461559963E1,1.366399956E1
5.465330330E-1,3.734420013E1,1.496939945E1,1.298079967E1
5.565264410E-1,3.764920044E1,1.457899952E1,1.260260010E1
5.665208260E-1,3.706359863E1,1.428619957E1,1.238299942E1
5.765283940E-1,3.844219971E1,1.420079994E1,1.215119934E1
5.865210700E-1,3.805179977E1,1.485960007E1,1.230980015E1
5.965327890E-1,3.908879852E1,1.451799965E1,1.357859993E1
6.065330330E-1,3.880820084E1,1.545739937E1,1.333459949E1
6.165330330E-1,4.096759796E1,1.490839958E1,1.315159988E1
6.265327890E-1,3.921080017E1,1.516459942E1,1.285879993E1
6.365330330E-1,4.025999832E1,1.548180008E1,1.350539970E1
6.465210700E-1,3.824699783E1,1.609179878E1,1.249279976E1
6.565330330E-1,3.863739777E1,1.515240002E1,1.252939987E1
6.665210700E-1,3.910099792E1,1.555499935E1,1.315159988E1
6.765327890E-1,3.896680069E1,1.598199940E1,1.141919994E1
6.865210700E-1,3.932059860E1,1.592099953E1,1.234639931E1
6.965332770E-1,3.825920105E1,1.665299988E1,1.198040009E1
7.065205820E-1,3.893019867E1,1.666519928E1,1.240740013E1
7.165327890E-1,3.824699783E1,1.675059891E1,1.237080002E1
7.265347420E-1,3.960120010E1,1.687260056E1,1.293200016E1
7.365330330E-1,3.874720001E1,1.750699997E1,1.207800007E1
7.465342540E-1,3.952799988E1,1.742160034E1,1.221220016E1
7.565218030E-1,3.805179977E1,1.845859909E1,1.251719952E1
7.665327890E-1,3.913759995E1,1.855620003E1,1.226099968E1
7.765330330E-1,3.914979935E1,1.836100006E1,1.196819973E1
7.865327890E-1,3.934499741E1,1.826339912E1,1.188280010E1
7.965327890E-1,3.945479965E1,1.882460022E1,1.156559944E1
8.065327890E-1,3.860079956E1,1.899539948E1,1.082139969E1
8.165213140E-1,3.850320053E1,1.871479988E1,1.082139969E1
8.265330330E-1,4.039419937E1,1.880019951E1,9.711199760E0
8.365213140E-1,3.910099792E1,1.832439995E1,1.026019955E1
8.465327890E-1,4.039419937E1,1.871479988E1,9.906399727E0
8.565215580E-1,3.863739777E1,1.821459961E1,9.637999535E0
8.665327890E-1,3.905220032E1,1.810479927E1,9.064599991E0
8.765208260E-1,3.911320114E1,1.812919998E1,9.869799614E0
8.865325450E-1,3.932059860E1,1.755579948E1,9.686800003E0
8.965213140E-1,4.184600067E1,1.816580009E1,1.018700027E1
9.065376720E-1,3.851539993E1,1.793400002E1,1.015040016E1
9.165220470E-1,3.860079956E1,1.804380035E1,1.084579945E1
9.265327890E-1,3.829579926E1,1.795839882E1,1.094339943E1
9.365327890E-1,3.863739777E1,1.839760017E1,9.735599518E0
9.465210700E-1,3.899119949E1,1.804380035E1,1.066279984E1
9.565330330E-1,3.773460007E1,1.811700058E1,1.030900002E1
9.665327890E-1,3.783219910E1,1.755579948E1,1.012599945E1
9.765330330E-1,3.839339828E1,1.722640038E1,7.942199707E0
9.865240000E-1,3.812500000E1,1.727519989E1,1.024800014E1
9.965330330E-1,3.738079834E1,1.761680031E1,8.991399765E0
1.006521070E0,3.835680008E1,1.706780052E1,9.149999619E0
1.016532789E0,3.649020004E1,1.695800018E1,9.479399681E0
1.026521314E0,3.736859894E1,1.695800018E1,9.210999489E0
1.036533033E0,4.200460052E1,1.747039986E1,8.503399849E0
1.046520826E0,4.040639877E1,1.747039986E1,9.333000183E0
1.056532789E0,3.883259964E1,1.707999992E1,9.479399681E0
1.066520826E0,4.018679810E1,1.662859917E1,1.005280018E1
1.076533033E0,3.910099792E1,1.633580017E1,1.011380005E1
1.086522779E0,3.891799927E1,1.671399879E1,9.991799355E0
1.096532789E0,3.869839859E1,1.662859917E1,1.058959961E1
1.106517896E0,3.951580048E1,1.686039925E1,1.243179989E1
1.116533033E0,3.817379761E1,1.673839951E1,1.156559944E1
1.126532789E0,3.772240067E1,1.737279892E1,1.062619972E1
1.136522291E0,3.772240067E1,1.689699936E1,1.063840008E1
1.146521314E0,3.802740097E1,1.709219933E1,1.034560013E1
1.156521070E0,3.975979996E1,1.711660004E1,1.112639999E1
1.166533277E0,3.758819962E1,1.692140007E1,1.163879967E1
1.176521070E0,3.788100052E1,1.711660004E1,1.174860001E1
1.186532789E0,3.797859955E1,1.721419907E1,1.184619999E1
1.196521070E0,3.720999908E1,1.671399879E1,1.122399998E1
1.206533033E0,4.137019730E1,1.736059952E1,1.279780006E1
1.216521070E0,3.756380081E1,1.740939903E1,1.243179989E1
1.226532789E0,3.824699783E1,1.742160034E1,1.265139961E1
1.236520826E0,3.845439911E1,1.703120041E1,1.217560005E1
1.246532789E0,3.952799988E1,1.743379974E1,1.230980015E1
1.256530592E0,3.905220032E1,1.694579887E1,1.190719986E1
1.266532789E0,4.256579971E1,1.754360008E1,1.205359936E1
1.276540601E0,3.999160004E1,1.716539955E1,1.284659958E1
1.286532789E0,3.971099854E1,1.686039925E1,1.243179989E1
1.296533033E0,3.922299957E1,1.733619881E1,1.250500011E1
1.306521314E0,3.864960098E1,1.740939903E1,1.196819973E1
1.316532789E0,3.913759995E1,1.666519928E1,1.221220016E1
1.326530347E0,3.877159882E1,1.683600044E1,1.139480019E1
1.336533033E0,3.954019928E1,1.732399940E1,1.191940022E1
1.346521070E0,4.024779892E1,1.694579887E1,1.124839973E1
1.356532789E0,4.062599945E1,1.666519928E1,1.138259983E1
1.366521070E0,4.209000015E1,1.725079918E1,1.173639965E1
1.376533033E0,4.310260010E1,1.667740059E1,1.068719959E1
1.386521070E0,3.899119949E1,1.662859917E1,1.060179996E1
1.396532789E0,3.995499802E1,1.607959938E1,1.106540012E1
1.406526197E0,3.925959778E1,1.636019897E1,1.132159996E1
1.416521314E0,3.963779831E1,1.646999931E1,1.163879967E1
1.426520826E0,3.952799988E1,1.666519928E1,1.213899994E1
1.436520826E0,3.984519958E1,1.760459900E1,1.172420025E1
1.446532545E0,4.072359848E1,1.742160034E1,1.166319942E1
1.456533033E0,4.046739960E1,1.749480057E1,1.065059948E1
1.466533033E0,4.036980057E1,1.759239960E1,1.054080009E1
1.476532789E0,4.000379944E1,1.699460030E1,9.735599518E0
1.486533033E0,3.940599823E1,1.700679970E1,1.011380005E1
1.496521070E0,3.979639816E1,1.728739929E1,9.918600082E0
1.506533033E0,3.961339951E1,1.671399879E1,9.625800133E0
1.516521558E0,3.895459747E1,1.659199905E1,8.893799782E0
1.526528883E0,3.904000092E1,1.660420036E1,9.101200104E0
1.536521070E0,3.829579926E1,1.684819984E1,8.149600029E0
1.546532789E0,3.983300018E1,1.678719902E1,8.930399895E0
1.556521314E0,3.945479965E1,1.573799992E1,8.332599640E0
1.566533033E0,3.885699844E1,1.555499935E1,8.820599556E0
1.576520826E0,3.885699844E1,1.545739937E1,8.722999573E0
1.586531812E0,3.824699783E1,1.517679977E1,9.296400070E0
1.596520338E0,3.882040024E1,1.518900013E1,9.625800133E0
1.606521070E0,3.824699783E1,1.489620018E1,9.503799438E0
1.616537428E0,3.781999969E1,1.557940006E1,1.047980022E1
1.626521314E0,3.843000031E1,1.509140015E1,9.808799744E0
1.636533033E0,3.792979813E1,1.538420010E1,1.018700027E1
1.646532545E0,3.829579926E1,1.577460003E1,1.079699993E1
1.656533033E0,3.918639755E1,1.550619984E1,1.073600006E1
1.666520826E0,3.908879852E1,1.549399948E1,1.054080009E1
1.676532789E0,3.847879791E1,1.578679943E1,1.119960022E1
1.686520826E0,3.875939941E1,1.579899979E1,1.161439991E1
1.696520826E0,3.808839798E1,1.560379982E1,1.139480019E1
1.706521070E0,3.836899948E1,1.598199940E1,1.169979954E1
1.716533033E0,3.954019928E1,1.676280022E1,1.193159962E1
1.726522047E0,3.884479904E1,1.666519928E1,1.200479984E1
1.736532789E0,3.961339951E1,1.715320015E1,1.252939987E1
1.746520582E0,3.993059921E1,1.723859978E1,1.183399963E1
1.756532789E0,4.088219833E1,1.754360008E1,1.277339935E1
1.766526685E0,4.100419998E1,1.771439934E1,1.187059975E1
1.776533033E0,3.977199936E1,1.749480057E1,1.071159935E1
1.786523512E0,4.025999832E1,1.797060013E1,1.072379971E1
1.796533033E0,3.988179779E1,1.795839882E1,1.040660000E1
1.806532789E0,4.038199997E1,1.786079979E1,1.012599945E1
1.816532789E0,3.971099854E1,1.737279892E1,9.808799744E0
1.826532789E0,3.982080078E1,1.727519989E1,9.320799828E0
1.836521070E0,3.963779831E1,1.754360008E1,8.893799782E0
1.846533033E0,3.962559891E1,1.689699936E1,9.320799828E0
