"Time (s)","Pressure (hPa)"
6.802961500E-2,9.917680054E2
8.810334500E-2,9.918309326E2
1.080633060E-1,9.920640259E2
1.280274180E-1,9.919589844E2
1.482293220E-1,9.918964233E2
1.682520270E-1,9.917638550E2
1.883594490E-1,9.917792969E2
2.087594490E-1,9.918726196E2
2.286250740E-1,9.919558716E2
2.489143810E-1,9.917883911E2
2.688704350E-1,9.917394409E2
2.890462170E-1,9.917728882E2
3.081414310E-1,9.919281616E2
3.280803960E-1,9.919360352E2
3.480625740E-1,9.917900391E2
3.680508550E-1,9.917551880E2
3.880628180E-1,9.918671875E2
4.080515880E-1,9.918867188E2
4.280630620E-1,9.918250732E2
4.480506110E-1,9.917811890E2
4.682849860E-1,9.919185791E2
4.882581310E-1,9.917982178E2
5.082815680E-1,9.919304199E2
5.283335700E-1,9.919566040E2
5.487151620E-1,9.919979858E2
5.686060310E-1,9.919236450E2
5.888726330E-1,9.919660034E2
6.088345470E-1,9.919337769E2
6.290237560E-1,9.920858765E2
6.480615970E-1,9.918958130E2
6.680635510E-1,9.918691406E2
6.880635510E-1,9.918566284E2
7.080628180E-1,9.919668579E2
7.280503670E-1,9.920169067E2
7.480625740E-1,9.919005737E2
7.680508550E-1,9.917960205E2
7.880623300E-1,9.919403076E2
8.080625740E-1,9.919954834E2
8.282344490E-1,9.918294678E2
8.482349370E-1,9.918592529E2
8.683489510E-1,9.918085327E2
8.886853770E-1,9.920019531E2
9.086023690E-1,9.919243164E2
9.287534920E-1,9.919650269E2
9.491424080E-1,9.918705444E2
9.689959240E-1,9.919789429E2
9.880952890E-1,9.919567871E2
1.008088209E0,9.920043945E2
1.028051588E0,9.919488525E2
1.048062574E0,9.917706909E2
1.068062574E0,9.919393921E2
1.088110426E0,9.920073853E2
1.108073804E0,9.921078491E2
1.128201978E0,9.919635010E2
1.148403883E0,9.921079712E2
1.168173170E0,9.920567017E2
1.188168531E0,9.920837402E2
1.208346265E0,9.920339966E2
1.228623365E0,9.920366821E2
1.248678297E0,9.920361328E2
1.268734693E0,9.919829102E2
1.288774488E0,9.919282837E2
1.308986158E0,9.918450928E2
1.328094801E0,9.917346191E2
1.348086988E0,9.919054565E2
1.368074537E0,9.918687134E2
1.388063306E0,9.919708862E2
1.408050123E0,9.920811768E2
1.428063306E0,9.918603516E2
1.448068922E0,9.919396362E2
1.468062818E0,9.919408569E2
1.488079908E0,9.920107422E2
1.508246900E0,9.920050049E2
1.528330885E0,9.919937134E2
1.548404859E0,9.922116699E2
1.568530592E0,9.921833496E2
1.588925855E0,9.924013672E2
1.609124586E0,9.923885498E2
1.629184644E0,9.923790894E2
1.649035719E0,9.925739746E2
1.669265455E0,9.928532104E2
1.688085279E0,9.929423828E2
1.708062818E0,9.925979004E2
1.728063306E0,9.926867065E2
1.748063306E0,9.929383545E2
1.768063551E0,9.928476562E2
1.788051099E0,9.928611450E2
1.808031812E0,9.932188110E2
1.828043043E0,9.930124512E2
1.848208570E0,9.929223633E2
1.868200513E0,9.931692505E2
1.888346510E0,9.931564941E2
1.908629713E0,9.928383789E2
1.928589674E0,9.930452271E2
1.948734937E0,9.933950195E2
1.968748609E0,9.931399536E2
1.989016187E0,9.929998779E2
2.009286207E0,9.934215698E2
2.028092603E0,9.932808228E2
2.048063551E0,9.931411133E2
2.068064039E0,9.932964478E2
2.088053297E0,9.934049072E2
2.108251051E0,9.934134521E2
2.128217115E0,9.933810425E2
2.148065015E0,9.935117188E2
2.168059400E0,9.934478149E2
2.188098219E0,9.933665771E2
2.208109205E0,9.931556396E2
2.228301832E0,9.930555420E2
2.248467359E0,9.931411133E2
2.268540113E0,9.931149292E2
2.288768385E0,9.928507080E2
2.308833082E0,9.928040161E2
2.328921949E0,9.928269043E2
2.349197095E0,9.927254639E2
2.368070875E0,9.924511108E2
2.388063062E0,9.927144775E2
2.408063306E0,9.927889404E2
2.428063062E0,9.926282959E2
2.448062818E0,9.926665649E2
2.468063062E0,9.927044067E2
2.488106031E0,9.925421143E2
2.508088209E0,9.925088501E2
2.528192945E0,9.925637817E2
2.548225904E0,9.926425171E2
2.568352125E0,9.928043823E2
2.588752125E0,9.928330078E2
2.608573804E0,9.927943726E2
2.628734693E0,9.927531128E2
2.648696607E0,9.928306274E2
2.668976148E0,9.926948853E2
2.689205396E0,9.927996216E2
2.708096021E0,9.928110352E2
2.728087232E0,9.928138428E2
2.748063551E0,9.926923828E2
2.768066969E0,9.926301880E2
2.788063306E0,9.926754150E2
2.808062818E0,9.926806641E2
2.828063795E0,9.925313110E2
2.848463795E0,9.925014038E2
2.868115553E0,9.924567261E2
2.888146803E0,9.923933716E2
2.908304273E0,9.922778320E2
2.928467359E0,9.922106323E2
2.948567457E0,9.922797241E2
2.968674879E0,9.923266602E2
2.988846510E0,9.922511597E2
3.009006666E0,9.924153442E2
3.029236158E0,9.922692261E2
3.048094801E0,9.922650757E2
3.068069410E0,9.921973267E2
3.088062330E0,9.923297119E2
3.108063062E0,9.924265137E2
3.128086012E0,9.924389038E2
3.148206373E0,9.924496460E2
3.168051099E0,9.921599121E2
3.188059156E0,9.923849487E2
3.208182691E0,9.924815674E2
3.228110181E0,9.925242920E2
3.248283033E0,9.921906128E2
3.268616529E0,9.924410400E2
3.288534742E0,9.924541626E2
3.308671949E0,9.923584595E2
3.328750318E0,9.922967529E2
3.348952955E0,9.923944702E2
3.369194410E0,9.922308960E2
3.389172926E0,9.922804565E2
3.408106275E0,9.922499390E2
3.428080152E0,9.923740845E2
3.448052564E0,9.923121948E2
3.468097974E0,9.922839355E2
3.488062818E0,9.922832642E2
3.508086744E0,9.921958618E2
3.528095289E0,9.922749634E2
3.548251051E0,9.922943726E2
3.568150953E0,9.922399292E2
3.588326002E0,9.922304688E2
3.608458082E0,9.921799316E2
3.628858082E0,9.923029175E2
3.648645826E0,9.922779541E2
3.668776685E0,9.921048584E2
3.688908277E0,9.921756592E2
3.709199293E0,9.922048340E2
3.729174635E0,9.922431641E2
3.748069898E0,9.922094727E2
3.768062574E0,9.921500854E2
3.788063306E0,9.922317505E2
3.808063551E0,9.922376099E2
3.828086744E0,9.921545410E2
3.848043043E0,9.921787720E2
3.868071607E0,9.922869873E2
3.888239576E0,9.924327393E2
3.908099195E0,9.922584229E2
3.928291090E0,9.920471802E2
3.948542310E0,9.921388550E2
3.968526441E0,9.922145386E2
3.988680494E0,9.922348633E2
4.008756178E0,9.920729980E2
4.028967847E0,9.922922974E2
4.049190260E0,9.921155396E2
4.069180494E0,9.922095947E2
4.088086256E0,9.922683105E2
4.108063795E0,9.921474609E2
4.128163648E0,9.923685913E2
4.148062818E0,9.921649170E2
4.168063306E0,9.922574463E2
4.188063306E0,9.923168335E2
4.208103345E0,9.922218628E2
4.228394361E0,9.921977539E2
4.248053541E0,9.921782837E2
4.268270582E0,9.922974854E2
4.288443433E0,9.922893677E2
4.308554762E0,9.921782837E2
4.328616041E0,9.921623535E2
4.349016041E0,9.923391113E2
4.369036939E0,9.920966797E2
4.389010084E0,9.920922852E2
4.409033521E0,9.921241455E2
4.428094556E0,9.922434692E2
4.448087232E0,9.921861572E2
4.468063306E0,9.920610352E2
4.488063306E0,9.922207642E2
4.508062818E0,9.922031860E2
4.528081861E0,9.920679321E2
4.548062574E0,9.920717163E2
4.568115553E0,9.921140137E2
4.588058668E0,9.920444946E2
4.608458668E0,9.921030884E2
4.628373365E0,9.920088501E2
4.648348219E0,9.921715698E2
4.668453687E0,9.921692505E2
4.688727125E0,9.923078003E2
4.708832594E0,9.923388672E2
4.728982496E0,9.922698364E2
4.748982496E0,9.923274536E2
4.768130689E0,9.923361206E2
4.788069654E0,9.923029785E2
4.808080396E0,9.923919067E2
4.828063795E0,9.923572998E2
4.848062330E0,9.924047852E2
4.868062086E0,9.924415894E2
4.888057447E0,9.922649536E2
4.908077711E0,9.923262329E2
4.928058912E0,9.922951660E2
4.948101392E0,9.924352417E2
4.968279371E0,9.924447632E2
4.988354322E0,9.922520142E2
5.008468336E0,9.922266235E2
5.028554762E0,9.922203979E2
5.048742506E0,9.922617188E2
5.069071119E0,9.922499390E2
5.089320631E0,9.923557739E2
5.109118970E0,9.922338257E2
5.128086988E0,9.921849365E2
5.148070631E0,9.923378296E2
5.168058179E0,9.921101074E2
5.188099439E0,9.922446289E2
5.208063062E0,9.923241577E2
5.228063306E0,9.923947754E2
5.248114820E0,9.920211792E2
5.268060133E0,9.921943359E2
5.288209547E0,9.922459717E2
5.308348707E0,9.923004150E2
5.328341383E0,9.921749878E2
5.348437330E0,9.923545532E2
5.368466383E0,9.921851196E2
5.388794508E0,9.925792236E2
5.408972242E0,9.923447266E2
5.428955152E0,9.923109741E2
5.449136793E0,9.924797974E2
5.468070387E0,9.924155884E2
5.488063062E0,9.927067871E2
5.508099195E0,9.923939819E2
5.528179029E0,9.924609985E2
5.548062818E0,9.926776123E2
5.568051344E0,9.924179077E2
5.588113599E0,9.924385986E2
5.608065260E0,9.925335083E2
5.628050611E0,9.923476562E2
5.648450611E0,9.924907227E2
5.668319166E0,9.921922607E2
5.688486402E0,9.922847900E2
5.708521558E0,9.925593262E2
5.728696851E0,9.923383179E2
5.748985181E0,9.921814575E2
5.768944166E0,9.922237549E2
5.789143629E0,9.922510376E2
5.808100416E0,9.923342896E2
5.828086744E0,9.921461792E2
5.848063551E0,9.921929321E2
5.868098463E0,9.924204712E2
5.888068189E0,9.923107300E2
5.908063306E0,9.923443604E2
5.928150709E0,9.923470459E2
5.948063795E0,9.923942871E2
5.968048658E0,9.923515015E2
5.988341383E0,9.924207764E2
6.008316724E0,9.925079956E2
6.028443678E0,9.923145142E2
6.048518385E0,9.925811157E2
6.068918385E0,9.924531250E2
6.089117994E0,9.924859619E2
6.108940992E0,9.924865723E2
6.129340992E0,9.924097290E2
6.148114088E0,9.923927612E2
6.168145094E0,9.924501953E2
6.188050611E0,9.923830566E2
6.208062818E0,9.924649048E2
6.228062330E0,9.922915039E2
6.248066236E0,9.924434204E2
6.268126539E0,9.922734375E2
6.288197584E0,9.922937622E2
6.308039137E0,9.923024902E2
6.328402174E0,9.924296875E2
6.348285719E0,9.923769531E2
6.368404615E0,9.923361816E2
6.388511060E0,9.923702393E2
6.408667554E0,9.924112549E2
6.428982740E0,9.924949951E2
6.448900709E0,9.924551392E2
6.469079420E0,9.924321289E2
6.489368970E0,9.925748291E2
6.508096510E0,9.925125732E2
6.528064039E0,9.925012817E2
6.548063306E0,9.926435547E2
6.568289625E0,9.925840454E2
6.588080640E0,9.926289062E2
6.608213697E0,9.925863647E2
6.628348951E0,9.926776733E2
6.648060133E0,9.926137695E2
6.668380445E0,9.926182251E2
6.688551099E0,9.926223755E2
6.708436597E0,9.925752563E2
6.728470289E0,9.925352173E2
6.748739576E0,9.925375366E2
6.768928053E0,9.925134277E2
6.788939771E0,9.925722656E2
6.809127271E0,9.924957886E2
6.829267408E0,9.924698486E2
6.848080152E0,9.923604126E2
6.868063306E0,9.924149170E2
6.888063306E0,9.925091553E2
