"Time (s)","Temperature (°C)"
5.754597200E-2,2.955859375E1
7.545252800E-2,2.955468750E1
9.334608200E-2,2.962890625E1
1.112365240E-1,2.960156250E1
1.291325200E-1,2.962500000E1
1.470228400E-1,2.960937500E1
1.649162110E-1,2.964843750E1
1.828099490E-1,2.964062500E1
2.006997800E-1,2.958593750E1
2.185960820E-1,2.960156250E1
2.364895140E-1,2.960937500E1
2.543827640E-1,2.964062500E1
2.722760750E-1,2.963281250E1
2.901693850E-1,2.958593750E1
3.080635500E-1,2.960937500E1
3.259514900E-1,2.961718750E1
3.438490730E-1,2.963281250E1
3.617423830E-1,2.963281250E1
3.796359380E-1,2.961718750E1
3.975289430E-1,2.962500000E1
4.154223150E-1,2.961718750E1
4.333155640E-1,2.959375000E1
4.512043580E-1,2.960937500E1
4.691023070E-1,2.962500000E1
4.869954960E-1,2.959375000E1
5.048886230E-1,2.964062500E1
5.227704590E-1,2.963281250E1
5.406752440E-1,2.962500000E1
5.585684940E-1,2.960156250E1
5.764618660E-1,2.958593750E1
5.943581670E-1,2.962500000E1
6.122485480E-1,2.961718750E1
6.301417970E-1,2.964843750E1
6.480333990E-1,2.961718750E1
6.659281740E-1,2.963281250E1
6.838214240E-1,2.959375000E1
7.017147950E-1,2.961718750E1
7.196067020E-1,2.960937500E1
7.375013550E-1,2.963281250E1
7.553947270E-1,2.960937500E1
7.732880370E-1,2.963281250E1
7.911784180E-1,2.962500000E1
8.090746580E-1,2.956640625E1
8.269679080E-1,2.963281250E1
8.448612800E-1,2.956640625E1
8.627422000E-1,2.962500000E1
8.806475960E-1,2.964843750E1
8.985409060E-1,2.964843750E1
9.164343390E-1,2.962500000E1
9.343275880E-1,2.964843750E1
9.522212650E-1,2.961718750E1
9.701142090E-1,2.962500000E1
9.880061160E-1,2.956640625E1
1.005900830E0,2.962500000E1
1.023782178E0,2.959375000E1
1.041687390E0,2.958593750E1
1.059580762E0,2.962500000E1
1.077474012E0,2.961718750E1
1.095367139E0,2.959375000E1
1.113260450E0,2.962500000E1
1.131139050E0,2.961718750E1
1.149034864E0,2.960937500E1
1.166940625E0,2.964062500E1
1.184833814E0,2.960937500E1
1.202728406E0,2.962500000E1
1.220620069E0,2.962500000E1
1.238513684E0,2.962500000E1
1.256406629E0,2.961718750E1
1.274300000E0,2.963281250E1
1.292193372E0,2.958593750E1
1.310086866E0,2.955859375E1
1.327977124E0,2.959375000E1
1.345873242E0,2.956640625E1
1.363754285E0,2.960156250E1
1.381659864E0,2.960937500E1
1.399540906E0,2.962500000E1
1.417446546E0,2.963281250E1
1.435339551E0,2.960156250E1
1.453233045E0,2.961718750E1
1.471126538E0,2.960937500E1
1.489008008E0,2.961718750E1
1.506912793E0,2.963281250E1
