"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.375288200E-2,1.142572835E-1,8.835497499E-1,9.935597420E0
1.598925500E-2,9.930214286E-2,8.602197170E-1,9.926026344E0
1.822562800E-2,8.015955985E-2,8.739784956E-1,9.988240242E0
2.045048000E-2,4.725824669E-2,9.367900491E-1,9.987641335E0
2.268789500E-2,2.871387079E-2,9.756734371E-1,9.982855797E0
2.492274300E-2,-4.187439568E-3,1.014556766E0,9.967901230E0
2.715912100E-2,-7.118647546E-2,9.439685345E-1,9.867402077E0
2.939532800E-2,-1.046859920E-1,9.164510965E-1,9.795618057E0
3.163165600E-2,-1.160518974E-1,7.920243144E-1,9.790832520E0
3.386767900E-2,-1.357926875E-1,7.824530005E-1,9.824331284E0
3.610498300E-2,-9.810572863E-2,7.202396393E-1,9.819545746E0
3.834173800E-2,-2.015953064E-1,8.410771489E-1,9.775876999E0
4.057855500E-2,-1.758724600E-1,8.943174481E-1,9.656833649E0
4.281402900E-2,-2.380858511E-1,8.901300430E-1,9.622735977E0
4.504992900E-2,-2.099701911E-1,8.470591903E-1,9.661021233E0
4.728674600E-2,-2.362912297E-1,7.465606928E-1,9.756733894E0
4.952307400E-2,-2.123630047E-1,7.076773047E-1,9.718449593E0
5.176220900E-2,-2.410768867E-1,7.178468108E-1,9.699306488E0
5.401062200E-2,-1.962114573E-1,8.321040869E-1,9.670592308E0
5.624713400E-2,-2.051845491E-1,8.560323119E-1,9.670592308E0
5.848425500E-2,-1.908276081E-1,8.793623447E-1,9.723235130E0
6.071637200E-2,-1.920240223E-1,8.458628058E-1,9.809376717E0
6.295282200E-2,-1.489532143E-1,8.685946465E-1,9.857233047E0
6.518909000E-2,-1.399801224E-1,7.495517135E-1,9.709476471E0
6.742480700E-2,-9.272187948E-2,7.058826685E-1,9.753145218E0
6.965838900E-2,-6.939185411E-2,7.435696125E-1,9.834501266E0
7.189831800E-2,-5.383851007E-2,7.770691514E-1,9.801001549E0
7.413495100E-2,-6.580262631E-2,9.254241586E-1,9.738788605E0
7.637341500E-2,-3.110669367E-2,9.589236975E-1,9.681360245E0
7.860858400E-2,-1.034895778E-1,9.786644578E-1,9.757332802E0
8.084393600E-2,-3.409772366E-2,8.578268886E-1,9.829715729E0
8.308002000E-2,-9.272187948E-2,8.243274093E-1,9.938589096E0
