"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.822562800E-2,-2.901609987E-3,3.817907767E-3,-1.007927675E-2
2.045048000E-2,-7.941247895E-3,3.054326226E-4,-1.145372353E-2
2.268789500E-2,-6.719517522E-3,3.054326226E-4,-1.007927675E-2
2.492274300E-2,-1.832595794E-3,1.527163113E-4,-1.007927675E-2
2.715912100E-2,4.428773187E-3,4.886921961E-3,-1.130100712E-2
2.939532800E-2,3.207042580E-3,2.443460980E-3,-1.130100712E-2
3.163165600E-2,-1.832595794E-3,1.374446787E-3,-1.130100712E-2
3.386767900E-2,-4.276056774E-3,1.374446787E-3,-1.252273750E-2
3.610498300E-2,-7.941247895E-3,3.054326226E-4,-1.023199316E-2
3.834173800E-2,-6.566801574E-3,5.039638374E-3,-1.007927675E-2
4.057855500E-2,-6.566801574E-3,5.039638374E-3,-1.130100712E-2
4.281402900E-2,-6.719517522E-3,1.527163084E-3,-1.007927675E-2
4.504992900E-2,-1.679879380E-3,3.817907767E-3,-1.252273750E-2
4.728674600E-2,1.985311974E-3,6.108652335E-3,-1.130100712E-2
4.952307400E-2,1.985311974E-3,6.108652335E-3,-1.130100712E-2
5.176220900E-2,1.985311974E-3,6.108652335E-3,-1.252273750E-2
5.401062200E-2,-1.679879380E-3,3.817907767E-3,-1.130100712E-2
5.624713400E-2,7.635815418E-4,1.374446787E-3,-1.130100712E-2
5.848425500E-2,-1.679879380E-3,3.817907767E-3,-8.857546374E-3
6.071637200E-2,1.832595794E-3,1.221730490E-3,-8.857546374E-3
6.295282200E-2,8.093964309E-3,2.443460980E-3,-1.007927675E-2
6.518909000E-2,9.315694682E-3,-1.221730490E-3,-1.007927675E-2
6.742480700E-2,1.832595794E-3,-1.069014193E-3,-1.130100712E-2
6.965838900E-2,-1.832595794E-3,1.527163113E-4,-1.007927675E-2
7.189831800E-2,-4.123340361E-3,2.596177394E-3,-1.374446787E-2
7.413495100E-2,-1.679879380E-3,6.261368748E-3,-1.252273750E-2
7.637341500E-2,-4.581489484E-4,2.596177394E-3,-1.252273750E-2
7.860858400E-2,3.207042580E-3,4.886921961E-3,-1.130100712E-2
8.084393600E-2,5.650503561E-3,2.443460980E-3,-1.007927675E-2
8.308002000E-2,5.497787148E-3,-1.221730490E-3,-7.635815535E-3
8.531659200E-2,5.497787148E-3,-2.443460980E-3,-1.252273750E-2
8.755316400E-2,1.832595794E-3,-2.290744567E-3,-1.252273750E-2
8.978949200E-2,-3.054326167E-3,-1.069014193E-3,-1.007927675E-2
9.202606500E-2,-5.497787148E-3,2.596177394E-3,-8.857546374E-3
9.426355200E-2,-1.832595794E-3,1.374446787E-3,-8.857546374E-3
9.649945300E-2,5.650503561E-3,6.108652335E-3,-1.007927675E-2
9.873498800E-2,7.024950348E-3,7.330383174E-3,-1.114829071E-2
1.009708280E-1,3.207042580E-3,4.886921961E-3,-1.130100712E-2
1.032074610E-1,-4.123340361E-3,5.039638374E-3,-1.130100712E-2
1.054439720E-1,-4.276056774E-3,1.527163113E-4,-1.007927675E-2
1.076803620E-1,-3.054326167E-3,1.374446787E-3,-1.252273750E-2
1.099140040E-1,1.985311974E-3,2.443460980E-3,-1.130100712E-2
1.121398340E-1,5.650503561E-3,2.443460980E-3,-8.857546374E-3
1.143759180E-1,1.832595794E-3,-1.069014193E-3,-1.007927675E-2
1.166112690E-1,3.054326167E-3,0.000000000E0,-1.007927675E-2
1.188531520E-1,3.207042580E-3,2.443460980E-3,-1.130100712E-2
1.211011980E-1,-1.679879380E-3,5.039638374E-3,-1.007927675E-2
1.233378330E-1,-1.679879380E-3,2.596177394E-3,-1.130100712E-2
1.255743430E-1,-6.108652451E-4,1.374446787E-3,-1.130100712E-2
1.278076810E-1,5.650503561E-3,1.221730490E-3,-1.252273750E-2
1.300448630E-1,4.428773187E-3,4.886921961E-3,-1.130100712E-2
1.322813750E-1,1.985311974E-3,4.886921961E-3,-8.857546374E-3
1.345167870E-1,7.635815418E-4,3.817907767E-3,-1.007927675E-2
1.367529930E-1,-4.581489484E-4,5.039638374E-3,-1.130100712E-2
1.389893830E-1,-6.108652451E-4,1.527163113E-4,-1.252273750E-2
1.412257720E-1,-5.497787148E-3,1.374446787E-3,-1.007927675E-2
1.434623440E-1,-6.108652451E-4,-2.290744567E-3,-8.857546374E-3
1.456962300E-1,4.276056774E-3,-2.443460980E-3,-1.007927675E-2
1.479227930E-1,9.315694682E-3,2.290744567E-3,-1.007927675E-2
1.501605860E-1,8.093964309E-3,0.000000000E0,-1.252273750E-2
1.524079010E-1,3.207042580E-3,2.443460980E-3,-1.252273750E-2
1.546466090E-1,-6.566801574E-3,3.817907767E-3,-1.374446787E-2
1.568832420E-1,-7.941247895E-3,2.748893574E-3,-1.252273750E-2
1.591168240E-1,-6.566801574E-3,5.039638374E-3,-1.007927675E-2
1.613531520E-1,1.985311974E-3,2.443460980E-3,-1.130100712E-2
1.635897850E-1,6.872233935E-3,2.443460980E-3,-8.857546374E-3
1.658273340E-1,8.093964309E-3,4.734205548E-3,-1.007927675E-2
1.680634180E-1,4.428773187E-3,0.000000000E0,-1.130100712E-2
1.702987700E-1,-3.054326167E-3,-2.290744567E-3,-1.130100712E-2
1.725348540E-1,-7.941247895E-3,-2.138028387E-3,-1.023199316E-2
1.747713650E-1,-5.497787148E-3,1.527163113E-4,-1.007927675E-2
1.770077540E-1,7.635815418E-4,4.886921961E-3,-1.252273750E-2
1.792443260E-1,5.650503561E-3,4.886921961E-3,-1.252273750E-2
1.814808380E-1,5.650503561E-3,0.000000000E0,-1.374446787E-2
1.837182030E-1,4.428773187E-3,2.443460980E-3,-1.130100712E-2
1.859542870E-1,1.985311974E-3,7.330383174E-3,-1.252273750E-2
1.881898830E-1,-4.123340361E-3,3.817907767E-3,-1.130100712E-2
1.904259060E-1,-5.497787148E-3,-9.162978968E-4,-1.252273750E-2
1.926621120E-1,-9.162978269E-3,-2.138028387E-3,-1.145372353E-2
1.948991120E-1,-6.872233935E-3,-3.359758761E-3,-9.010262787E-3
1.971353790E-1,-1.832595794E-3,-2.290744567E-3,-1.252273750E-2
1.993718290E-1,-6.108652451E-4,1.527163113E-4,-1.252273750E-2
2.016092550E-1,-4.581489484E-4,2.596177394E-3,-1.252273750E-2
2.038453400E-1,-4.276056774E-3,2.596177394E-3,-1.130100712E-2
2.060808130E-1,-9.162978269E-3,1.527163084E-3,-1.389718428E-2
2.083170190E-1,-1.298088674E-2,-4.428773187E-3,-1.023199316E-2
2.105531030E-1,-9.162978269E-3,-2.138028387E-3,-1.267545391E-2
2.127897370E-1,-6.108652451E-4,1.374446787E-3,-1.007927675E-2
2.150261870E-1,3.207042580E-3,1.221730490E-3,-1.007927675E-2
2.172597070E-1,3.207042580E-3,1.221730490E-3,-1.130100712E-2
2.194884670E-1,-3.054326167E-3,1.374446787E-3,-1.007927675E-2
2.217362700E-1,-4.428773187E-3,-5.803219974E-3,-1.267545391E-2
2.239719260E-1,-1.832595794E-3,-1.069014193E-3,-1.374446787E-2
2.262108790E-1,-2.901609987E-3,3.817907767E-3,-1.252273750E-2
2.284442780E-1,-1.679879380E-3,3.817907767E-3,-1.374446787E-2
2.306807890E-1,3.207042580E-3,1.221730490E-3,-8.857546374E-3
2.329171170E-1,4.276056774E-3,0.000000000E0,-7.635815535E-3
2.351537500E-1,5.497787148E-3,-3.665191587E-3,-7.635815535E-3
2.373912990E-1,6.108652451E-4,-2.290744567E-3,-1.007927675E-2
2.396273830E-1,-1.832595794E-3,-1.069014193E-3,-1.130100712E-2
2.418627350E-1,-4.276056774E-3,1.527163113E-4,-1.130100712E-2
2.440988190E-1,-1.679879380E-3,3.817907767E-3,-1.374446787E-2
2.463353910E-1,3.207042580E-3,2.443460980E-3,-1.496619824E-2
2.485719630E-1,4.428773187E-3,2.443460980E-3,-1.252273750E-2
2.508082300E-1,5.650503561E-3,2.443460980E-3,-1.252273750E-2
2.530446190E-1,3.207042580E-3,3.665191587E-3,-1.130100712E-2
2.552823510E-1,7.635815418E-4,1.374446787E-3,-1.130100712E-2
2.575181300E-1,-1.985311974E-3,-8.399397135E-3,-8.857546374E-3
2.597534210E-1,-3.207042580E-3,-5.955935922E-3,-7.635815535E-3
2.619899320E-1,6.108652451E-4,-4.734205548E-3,-8.857546374E-3
2.642265040E-1,4.276056774E-3,0.000000000E0,-1.007927675E-2
2.664628930E-1,8.093964309E-3,0.000000000E0,-1.130100712E-2
2.686990990E-1,5.650503561E-3,4.886921961E-3,-1.252273750E-2
2.709356720E-1,7.635815418E-4,6.108652335E-3,-1.374446787E-2
2.731732810E-1,-5.497787148E-3,2.596177394E-3,-1.252273750E-2
2.754093650E-1,-4.276056774E-3,1.527163113E-4,-1.252273750E-2
2.776446560E-1,-1.832595794E-3,-1.069014193E-3,-1.130100712E-2
2.798804350E-1,1.985311974E-3,2.443460980E-3,-1.007927675E-2
2.821168850E-1,-6.108652451E-4,-1.069014193E-3,-1.007927675E-2
2.843539460E-1,6.108652451E-4,-1.069014193E-3,-1.007927675E-2
