"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.546466090E-1,3.623136878E-2,-4.794764519E-2,1.457405090E-2
1.725348540E-1,-6.413027644E-2,-2.338850498E-2,-2.270412445E-2
1.904259060E-1,2.729967237E-3,9.501755238E-3,1.021175385E-1
2.083170190E-1,9.276811779E-2,1.818931103E-2,1.724433899E-2
2.262108790E-1,7.557243109E-3,-2.233219147E-2,6.649017334E-3
2.440988190E-1,-2.745653689E-2,-7.241666317E-3,-2.931690216E-2
2.619899320E-1,-4.639562964E-2,5.487012863E-2,4.292392731E-2
2.798804350E-1,-1.499862969E-2,1.230987906E-1,8.965110779E-2
2.977730120E-1,-2.768370509E-2,4.715424776E-2,-2.371788025E-3
3.156655290E-1,2.709611505E-2,1.139998436E-3,2.144527435E-2
3.335535310E-1,2.523814887E-2,3.212624788E-2,3.371429443E-2
3.514445220E-1,-2.972717583E-2,9.225243330E-2,4.539394379E-2
3.693272120E-1,-4.432311654E-2,8.561366796E-2,9.325027466E-3
3.872267480E-1,1.134672016E-2,4.560053349E-2,2.463340759E-2
4.051145050E-1,6.484872103E-2,-2.135103941E-2,2.261257172E-2
4.230081210E-1,2.695099264E-2,-4.764831066E-2,5.518913269E-2
4.408992950E-1,-2.670751512E-2,3.503441811E-3,2.305221558E-2
4.587903470E-1,-5.889290571E-2,1.532846689E-2,2.002716064E-5
4.766815210E-1,-9.002044797E-3,-2.086848021E-2,9.739971161E-2
4.945722070E-1,3.103330731E-2,-6.180214882E-2,6.874561310E-2
5.124605740E-1,5.981347710E-2,-1.045227051E-3,-3.070640564E-2
5.303543730E-1,-1.715223491E-2,-6.024658680E-3,-1.784515381E-2
5.482454250E-1,-3.827245533E-2,-9.489655495E-3,3.475189209E-3
5.661361110E-1,-2.331882715E-3,-7.045269012E-3,-5.750274658E-2
5.840275300E-1,-4.348640144E-2,5.226987600E-2,1.864528656E-2
6.019179720E-1,4.161237925E-2,1.102173328E-1,-1.690387726E-2
6.198102440E-1,2.954445779E-2,3.160417080E-2,-1.007642746E-1
6.377001370E-1,-2.854476869E-2,4.100555182E-2,-4.974746704E-2
6.555955220E-1,-4.449462891E-2,9.841865301E-2,-7.179737091E-2
6.734821200E-1,8.738160133E-3,8.713847399E-2,-8.278560638E-2
6.913762230E-1,7.105373591E-2,4.332405329E-2,2.593040466E-3
7.092643460E-1,-2.090891302E-1,2.596533298E-2,-6.584167480E-2
7.271551540E-1,1.025328487E-1,-7.410466671E-3,-7.713603973E-2
7.450459610E-1,1.773105264E-1,-1.731932163E-3,-2.009582520E-2
7.629238310E-1,-3.550073504E-2,1.325726509E-2,-3.381633759E-2
7.808282500E-1,-4.387661815E-3,-4.913914204E-2,-9.413337708E-2
7.987191190E-1,1.190120727E-1,-5.821442604E-2,-4.977512360E-2
8.166100490E-1,-1.501536369E-2,1.825690269E-3,-4.611968994E-2
8.344896270E-1,-3.500874341E-2,3.089010715E-3,-6.246852875E-2
8.523920320E-1,1.018951237E-1,5.442082882E-3,-1.159849167E-1
8.702711820E-1,7.859526575E-2,6.325787306E-2,-1.012487411E-1
8.881739530E-1,-4.734243453E-2,6.096601486E-2,-6.505489349E-2
9.060650660E-1,1.607827842E-2,1.102713346E-1,-1.278495789E-2
9.239559960E-1,1.914087534E-1,1.363672614E-1,-1.008033752E-3
9.418469880E-1,5.719183385E-2,3.122705221E-2,-1.242971420E-1
9.597379180E-1,-3.611546010E-2,5.825287104E-2,-7.022190094E-2
9.776293360E-1,8.384301513E-2,1.254941821E-1,2.095222473E-2
9.955199610E-1,7.077623904E-2,7.518112659E-2,2.180290222E-2
1.013396609E0,-1.205188036E-2,3.366088867E-2,-8.638095856E-2
1.031301944E0,2.845890820E-3,5.953395367E-2,-2.637100220E-2
1.049193057E0,3.861665726E-2,2.667707205E-2,4.491329193E-2
1.067082766E0,8.539599180E-2,2.903538942E-2,9.574985504E-2
1.084975100E0,2.691349387E-2,1.053988934E-3,8.959102631E-2
1.102865909E0,-1.068630815E-2,1.701515913E-2,6.147193909E-2
1.120756961E0,1.046051085E-2,-2.174001932E-2,9.873962402E-2
1.138647769E0,9.345576167E-2,2.691388130E-2,9.979343414E-2
1.156537661E0,8.917693794E-2,2.787035704E-2,1.398611069E-1
1.174418643E0,2.642034739E-2,5.687963963E-2,8.677959442E-2
1.192308169E0,-4.571764916E-2,7.720929384E-2,1.359109879E-1
1.210200320E0,2.308745682E-2,4.621785879E-2,7.748317719E-2
1.228097720E0,7.410436124E-2,2.795374393E-2,2.066774368E-1
1.245993838E0,4.114087671E-2,7.096755505E-2,1.125221252E-1
1.263884891E0,-1.037165523E-3,9.396600723E-2,1.321554184E-1
1.281776065E0,1.644100249E-2,7.493996620E-2,1.154356003E-1
1.299655032E0,1.042737067E-2,-6.914734840E-4,1.251392365E-1
1.317555178E0,3.884630650E-2,5.966609716E-2,1.242380142E-1
1.335449100E0,9.006573260E-2,5.876052380E-2,2.043828964E-1
1.353340274E0,8.449526131E-2,-1.224219799E-3,9.004306793E-2
1.371230777E0,-5.139529705E-3,1.359701157E-2,1.406555176E-1
1.389109988E0,3.489920497E-2,1.745784283E-2,1.961469650E-1
1.407015871E0,5.387891829E-2,2.730453014E-2,1.786575317E-1
1.424903995E0,2.877058089E-2,1.438575983E-2,9.539508820E-2
1.442795108E0,9.811292589E-2,-1.397508383E-2,9.431076050E-2
1.460686160E0,7.314167917E-2,-8.969783783E-3,1.442213058E-1
1.478577090E0,-2.203522623E-2,-2.741467953E-2,1.203727722E-1
1.496467959E0,2.009689808E-3,8.214420080E-2,5.485630035E-2
1.514359073E0,5.049833655E-2,6.371212006E-2,-1.027202606E-2
1.532250186E0,3.493127227E-2,4.684579372E-2,3.380775452E-3
1.550131045E0,3.812235594E-2,5.452501774E-2,-2.118682861E-2
1.568029116E0,-1.143813133E-2,4.451692104E-2,-4.033470154E-2
1.585919252E0,4.405746609E-2,8.424121141E-2,-5.378627777E-2
1.603814151E0,7.837618142E-2,7.183223963E-2,-7.550621033E-2
1.621705203E0,4.507785290E-2,7.787346840E-3,-1.091623306E-1
1.639599123E0,-3.518462181E-4,7.823652029E-2,-1.458034515E-1
1.657484316E0,3.247384727E-2,7.805413008E-2,-8.071517944E-2
1.675378055E0,1.184752733E-1,4.723101854E-2,-1.199235916E-1
1.693274783E0,-3.545880318E-4,-4.147696495E-2,-1.791334152E-1
1.711149966E0,1.331192255E-2,-1.543837786E-2,-1.116571426E-1
1.729041872E0,1.624807119E-1,6.069338322E-2,-1.749715805E-1
1.746944826E0,4.498125613E-2,-2.777230740E-2,-1.843910217E-1
1.764833377E0,3.487889469E-2,2.204966545E-2,-1.686677933E-1
1.782712466E0,1.055936441E-1,1.424723864E-2,-1.169366837E-1
1.800615298E0,5.547899753E-2,1.146781445E-2,-1.641340256E-1
1.818491519E0,2.692131698E-2,1.051747799E-2,-1.714019775E-1
1.836397342E0,1.050508842E-1,6.466901302E-2,-1.219863892E-1
1.854288211E0,4.781879485E-2,4.662567377E-2,-1.217565536E-1
1.872179141E0,2.384939790E-2,7.231235504E-2,-1.670513153E-1
1.890074405E0,9.277358651E-2,7.487255335E-2,-1.673192978E-1
1.907958621E0,5.677017570E-2,3.126412630E-2,-1.194868088E-1
1.925852664E0,-4.108804464E-2,6.920796633E-2,-1.405296326E-1
1.943743350E0,-2.214519680E-2,5.990403891E-2,-1.228103638E-1
1.961634402E0,3.277809918E-2,3.966176510E-2,-2.941322327E-2
1.979525516E0,4.582700133E-2,3.297865391E-2,-2.924633026E-2
1.997416446E0,1.657216251E-2,-1.296889782E-2,-5.947017670E-2
2.015307498E0,1.944841444E-2,3.854662180E-2,-1.402854919E-2
2.033198428E0,-1.597021520E-2,-1.250880957E-2,3.760433197E-2
2.051089480E0,-4.339644313E-2,1.038908958E-4,-1.126766205E-2
2.068965701E0,-2.617955208E-3,-1.178765297E-2,6.004714966E-2
2.086871890E0,3.424174339E-2,5.349260569E-2,9.339523315E-2
2.104762393E0,3.489403427E-2,4.411691427E-2,8.240222931E-2
2.122653506E0,3.225998580E-2,1.766031981E-2,1.287794113E-1
2.140544559E0,2.006427944E-2,5.491322279E-2,1.600284576E-1
2.158421023E0,2.009245753E-2,4.387485981E-2,1.996173859E-1
2.176326541E0,5.684805661E-2,4.484707117E-2,1.564760208E-1
2.194205874E0,1.664423943E-2,8.547317982E-2,1.556472778E-1
2.212108584E0,1.123043895E-2,1.052611470E-1,1.769456863E-1
2.229999698E0,3.492872417E-2,3.721630573E-2,1.544666290E-1
2.247886538E0,5.128750205E-2,5.176663399E-3,1.250867844E-1
2.265781985E0,-3.364011645E-3,3.966349363E-2,1.230258942E-1
2.283660463E0,7.045567036E-4,8.141517639E-2,1.983528137E-1
2.301563846E0,5.284098536E-2,9.742200375E-3,1.046648026E-1
2.319440188E0,6.425231695E-2,-9.760320187E-3,1.394557953E-1
2.337346194E0,9.395787120E-2,6.721675396E-3,1.430425644E-1
2.355236758E0,6.961075217E-2,1.486486197E-2,1.372690201E-1
2.373128177E0,3.789163381E-2,-2.019196749E-2,1.988515854E-1
2.391018985E0,5.164162815E-2,4.041886330E-2,1.538410187E-1
2.408898867E0,8.912801743E-3,1.168018579E-2,1.149339676E-1
2.426800967E0,9.804998338E-2,3.486162424E-2,7.910823822E-2
2.444689516E0,1.432187259E-1,5.732196569E-2,2.523517609E-2
2.462582950E0,3.518501669E-2,2.540773153E-2,1.174421310E-1
2.480474490E0,1.178510487E-2,5.208241940E-2,3.854084015E-2
2.498365054E0,3.769528866E-2,1.228265166E-1,4.710006714E-2
2.516256534E0,1.561917365E-2,8.920007944E-2,-1.297855377E-2
2.534147403E0,3.614688665E-2,7.185697556E-2,-8.871746063E-2
2.552038211E0,2.969721705E-2,5.844074488E-2,-1.269378662E-1
2.569925723E0,6.542591006E-2,2.848100662E-2,-4.515838623E-2
2.587817324E0,6.311419606E-2,1.205199957E-2,-1.083230972E-1
2.605711307E0,2.843409777E-2,3.656083345E-2,-9.896945953E-2
2.623602481E0,1.727196574E-2,4.481518269E-2,-1.614236832E-1
2.641493533E0,5.150306970E-2,5.313932896E-3,-1.459903717E-1
2.659372745E0,3.535461426E-2,-1.131206751E-2,-1.709032059E-1
2.677275577E0,7.478759438E-2,3.087913990E-2,-8.253288269E-2
2.695166385E0,3.675046563E-2,-3.189903498E-2,-1.263313293E-1
2.713057498E0,4.707857966E-2,-2.923136950E-2,-1.661701202E-1
2.730948916E0,1.055818051E-1,4.556858540E-2,-1.622610092E-1
2.748839907E0,8.416450024E-2,8.532500267E-2,-2.646751404E-1
2.766727847E0,-1.844748855E-3,1.041313410E-1,-4.216289520E-2
2.784621707E0,1.035230756E-1,1.534680128E-1,-3.225421906E-2
2.802512881E0,1.467823982E-2,4.000031948E-2,-2.174606323E-1
2.820391909E0,2.835549414E-3,-1.489818096E-3,-1.647586823E-1
2.838294803E0,7.597245276E-2,9.785282612E-2,-8.698940277E-2
2.856182925E0,6.650891900E-2,9.024578333E-2,-3.132247925E-2
2.874077090E0,1.857874542E-2,4.482966661E-2,-1.287794113E-1
2.891968142E0,8.591969311E-2,3.935104609E-2,-4.000282288E-2
